date_obj,Rangers'%20tights price
2019-04-11,1000000
2019-04-11,1050000
2019-04-12,1102500
2019-04-13,1157625
2019-04-14,1215507
2019-04-15,9000000
2019-04-16,9000000
2019-04-17,9295025
2019-04-18,9759777
2019-04-19,10247766
2019-04-20,10758338
2019-04-21,11129183
2019-04-22,11120996
2019-04-23,11427280
2019-04-24,11287797
2019-04-25,10975066
2019-04-26,10623958
2019-04-27,10134071
2019-04-28,9672002
2019-04-29,9495519
2019-04-30,9308189
2019-05-01,9162916
2019-05-02,8852565
2019-05-03,8468076
2019-05-04,8499946
2019-05-05,8246935
2019-05-06,8105355
2019-05-07,8101919
2019-05-08,8019547
2019-05-09,7766790
2019-05-10,7461510
2019-05-11,7168847
2019-05-12,7110834
2019-05-13,6881176
2019-05-14,6713759
2019-05-15,6594632
2019-05-16,6366207
2019-05-17,6275728
2019-05-18,6137483
2019-05-19,5982851
2019-05-20,5816439
2019-05-21,5557876
2019-05-22,5380565
2019-05-23,5199443
2019-05-24,4971586
2019-05-25,4771133
2019-05-26,4549880
2019-05-27,4366640
2019-05-28,4235124
2019-05-29,4429322
2019-05-30,4574696
2019-05-31,4488361
2019-06-01,4397479
2019-06-02,4298818
2019-06-03,4162414
2019-06-04,3990262
2019-06-05,3829901
2019-06-06,3711339
2019-06-07,3733267
2019-06-08,3638221
2019-06-09,3726892
2019-06-10,3726892
2019-06-11,3795093
2019-06-12,3643765
2019-06-13,3514816
2019-06-14,3413809
2019-06-15,3380641
2019-06-16,3262493
2019-06-17,3188932
2019-06-18,3130004
2019-06-19,3044089
2019-06-20,2950450
2019-06-21,2880482
2019-06-22,2880661
2019-06-23,2848701
2019-06-24,2814763
2019-06-25,2752779
2019-06-26,2730404
2019-06-27,2708717
2019-06-28,2699573
2019-06-29,2745219
2019-06-30,2875793
2019-07-01,2968330
2019-07-02,3024214
2019-07-03,2967171
2019-07-04,2931345
2019-07-05,2904398
2019-07-06,2860415
2019-07-07,2830078
2019-07-08,2812690
2019-07-09,2797435
2019-07-10,2766984
2019-07-11,2701186
2019-07-12,2616571
2019-07-13,2525190
2019-07-14,2414946
2019-07-15,2325489
2019-07-16,2232785
2019-07-17,2126289
2019-07-18,2021017
2019-07-19,1943443
2019-07-20,1936711
2019-07-21,1921576
2019-07-22,1862504
2019-07-23,1825129
2019-07-24,1816027
2019-07-25,1787156
2019-07-26,1740636
2019-07-27,1674519
2019-07-28,1643260
2019-07-29,1629704
2019-07-30,1620549
2019-07-31,1548940
2019-08-01,1485176
2019-08-02,1437014
2019-08-03,1377415
2019-08-04,1331609
2019-08-05,1336444
2019-08-06,1362545
2019-08-07,1379173
2019-08-08,1348255
2019-08-09,1338888
2019-08-10,1322519
2019-08-11,1338398
2019-08-12,1348862
2019-08-13,1329880
2019-08-14,1314822
2019-08-15,1310992
2019-08-16,1320537
2019-08-17,1360717
2019-08-18,1372014
2019-08-19,1396295
2019-08-20,1417963
2019-08-21,1452624
2019-08-22,1505629
2019-08-23,1485943
2019-08-24,1498086
2019-08-24,1498086
2019-08-25,1495340
2019-08-25,1495340
2019-08-26,1492288
2019-08-26,1492288
2019-08-27,1503985
2019-08-27,1503985
2019-08-28,1567925
2019-08-29,1625574
2019-08-30,1686244
2019-08-31,1734510
2019-09-01,1784920
2019-09-02,1799302
2019-09-03,1776336
2019-09-04,1749857
2019-09-05,1741167
2019-09-06,1695689
2019-09-07,1629715
2019-09-08,1594060
2019-09-09,1605552
2019-09-10,1614059
2019-09-11,1616043
2019-09-12,1556840
2019-09-13,1522341
2019-09-14,1533339
2019-09-15,1510333
2019-09-16,1495869
2019-09-17,1476302
2019-09-18,1458630
2019-09-19,1468621
2019-09-20,1463140
2019-09-21,1463849
2019-09-22,1444790
2019-09-23,1390511
2019-09-24,1336284
2019-09-25,1329769
2019-09-26,1306195
2019-09-27,1257992
2019-09-28,1199456
2019-09-29,1140638
2019-09-30,1114299
2019-10-01,1075135
2019-10-02,1063238
2019-10-03,1010755
2019-10-04,982225
2019-10-05,951468
2019-10-06,927202
2019-10-07,929706
2019-10-08,930134
2019-10-09,925194
2019-10-10,929716
2019-10-11,931631
2019-10-12,908814
2019-10-13,880152
2019-10-14,865456
2019-10-15,882487
2019-10-16,883786
2019-10-17,855947
2019-10-18,826821
2019-10-19,798357
2019-10-20,771498
2019-10-21,767742
2019-10-22,801293
2019-10-23,828976
2019-10-24,823723
2019-10-25,814255
2019-10-26,810517
2019-10-27,831999
2019-10-28,837812
2019-10-29,870721
2019-10-30,912586
2019-10-31,893927
2019-11-01,867729
2019-11-02,843142
2019-11-03,837832
2019-11-04,829772
2019-11-05,808844
2019-11-06,793637
2019-11-07,773274
2019-11-08,765505
2019-11-09,787373
2019-11-10,821519
2019-11-11,840444
2019-11-12,842377
2019-11-13,830512
2019-11-14,818721
2019-11-15,783773
2019-11-16,778256
2019-11-17,778256
2019-11-18,773997
2019-11-19,779622
2019-11-20,780356
2019-11-21,788840
2019-11-22,787305
2019-11-23,812849
2019-11-24,836607
2019-11-25,811733
2019-11-26,795733
2019-11-27,805991
2019-11-28,838799
2019-11-29,862967
2019-11-30,878611
2019-12-01,884053
2019-12-02,875324
2019-12-03,873324
2019-12-04,861824
2019-12-05,863634
2019-12-06,865830
2019-12-07,889812
2019-12-08,881042
2019-12-09,889353
2019-12-10,896636
2019-12-11,886278
2019-12-12,872242
2019-12-13,855260
2019-12-14,839194
2019-12-15,830285
2019-12-16,820980
2019-12-17,803139
2019-12-18,795094
2019-12-19,807511
2019-12-20,814740
2019-12-21,813141
2019-12-22,811821
2019-12-23,844181
2019-12-24,886035
2019-12-25,919013
2019-12-26,958808
2019-12-27,972083
2019-12-28,973429
2019-12-29,961573
2019-12-30,939505
2019-12-31,896850
2020-01-01,863537
2020-01-02,840688
2020-01-03,834354
2020-01-04,815682
2020-01-05,810475
2020-01-06,814106
