date_obj,Tyrannical%20ring price
2015-03-26,1158392
2015-03-27,1158392
2015-03-28,1158392
2015-03-29,1158392
2015-03-30,1158392
2015-03-31,1158392
2015-04-01,1158392
2015-04-02,1158392
2015-04-03,1158392
2015-04-04,1158392
2015-04-05,1158392
2015-04-06,1158392
2015-04-07,1210570
2015-04-08,1210570
2015-04-09,1210570
2015-04-10,1210570
2015-04-11,1210570
2015-04-12,1210570
2015-04-13,1210570
2015-04-14,1210570
2015-04-15,1210570
2015-04-16,1210570
2015-04-17,1210570
2015-04-18,1210570
2015-04-19,1264023
2015-04-20,1264023
2015-04-21,1264023
2015-04-22,1264023
2015-04-23,1264023
2015-04-24,1264023
2015-04-25,1264023
2015-04-26,1264023
2015-04-27,1264023
2015-04-28,1264023
2015-04-29,1264023
2015-04-30,1264023
2015-05-01,1322806
2015-05-02,1322806
2015-05-03,1322806
2015-05-04,1322806
2015-05-05,1322806
2015-05-06,1322806
2015-05-07,1322806
2015-05-08,1322806
2015-05-09,1322806
2015-05-10,1322806
2015-05-11,1322806
2015-05-12,1322806
2015-05-13,1322806
2015-05-14,1384516
2015-05-15,1384516
2015-05-16,1384516
2015-05-17,1384516
2015-05-18,1384516
2015-05-19,1384516
2015-05-20,1384516
2015-05-21,1384516
2015-05-22,1384516
2015-05-23,1384516
2015-05-24,1384516
2015-05-25,1384516
2015-05-26,1450274
2015-05-27,1450274
2015-05-28,1450274
2015-05-29,1450274
2015-05-30,1450274
2015-05-31,1450274
2015-06-01,1450274
2015-06-02,1450274
2015-06-03,1518150
2015-06-04,1518150
2015-06-05,1518150
2015-06-06,1518150
2015-06-07,1518150
2015-06-08,1518150
2015-06-09,1518150
2015-06-10,1518150
2015-06-11,1588534
2015-06-12,1588534
2015-06-13,1588534
2015-06-14,1588534
2015-06-15,1588534
2015-06-16,1588534
2015-06-17,1588534
2015-06-18,1588534
2015-06-19,1662292
2015-06-20,1662292
2015-06-21,1662292
2015-06-22,1662292
2015-06-23,1662292
2015-06-24,1662292
2015-06-25,1662292
2015-06-26,1662292
2015-06-27,1662292
2015-06-28,1738636
2015-06-29,1738636
2015-06-30,1738636
2015-07-01,1738636
2015-07-02,1738636
2015-07-03,1738636
2015-07-04,1738636
2015-07-05,1738636
2015-07-06,1738636
2015-07-07,1821056
2015-07-08,1821056
2015-07-09,1821056
2015-07-10,1821056
2015-07-11,1821056
2015-07-12,1821056
2015-07-13,1821056
2015-07-14,1821056
2015-07-15,1821056
2015-07-16,1897845
2015-07-17,1897845
2015-07-18,1897845
2015-07-19,1897845
2015-07-20,1897845
2015-07-21,1897845
2015-07-22,1897845
2015-07-23,1897845
2015-07-24,1982027
2015-07-25,1982027
2015-07-26,1982027
2015-07-27,1982027
2015-07-28,1982027
2015-07-29,1982027
2015-07-30,1982027
2015-07-31,1982027
2015-08-01,1982027
2015-08-02,2067595
2015-08-03,2067595
2015-08-04,2067595
2015-08-05,2067595
2015-08-06,2067595
2015-08-07,2067595
2015-08-08,2067595
2015-08-09,2067595
2015-08-10,2134158
2015-08-11,2134158
2015-08-12,2134158
2015-08-13,2134158
2015-08-14,2134158
2015-08-15,2134158
2015-08-16,2134158
2015-08-17,2134158
2015-08-18,2134158
2015-08-19,2185298
2015-08-20,2185298
2015-08-21,2185298
2015-08-22,2185298
2015-08-23,2185298
2015-08-24,2185298
2015-08-25,2185298
2015-08-26,2185298
2015-08-27,2153755
2015-08-28,2153755
2015-08-29,2153755
2015-08-30,2153755
2015-08-31,2153755
2015-09-01,2153755
2015-09-02,2153755
2015-09-03,2153755
2015-09-04,2106212
2015-09-05,2106212
2015-09-06,2106212
2015-09-07,2106212
2015-09-08,2106212
2015-09-09,2106212
2015-09-10,2106212
2015-09-11,2106212
2015-09-12,2200453
2015-09-13,2200453
2015-09-14,2200453
2015-09-15,2200453
2015-09-16,2200453
2015-09-17,2200453
2015-09-18,2200453
2015-09-19,2200453
2015-09-20,2302092
2015-09-21,2302092
2015-09-22,2302092
2015-09-23,2302092
2015-09-24,2302092
2015-09-25,2302092
2015-09-27,2302092
