date_obj,Highwayman%20mask price
2015-03-26,74674
2015-03-27,74674
2015-03-28,74674
2015-03-29,74674
2015-03-30,74674
2015-03-31,71208
2015-04-01,71208
2015-04-02,71208
2015-04-03,71208
2015-04-04,71208
2015-04-05,71208
2015-04-06,71208
2015-04-07,71208
2015-04-08,71208
2015-04-09,71208
2015-04-10,71208
2015-04-11,71208
2015-04-12,67778
2015-04-13,67778
2015-04-14,67778
2015-04-15,67778
2015-04-16,67778
2015-04-17,67778
2015-04-18,67778
2015-04-19,67778
2015-04-20,67778
2015-04-21,67778
2015-04-22,67778
2015-04-23,67778
2015-04-24,64491
2015-04-25,64491
2015-04-26,64491
2015-04-27,64491
2015-04-28,64491
2015-04-29,64491
2015-04-30,64491
2015-05-01,64491
2015-05-02,64491
2015-05-03,64491
2015-05-04,64491
2015-05-05,64491
2015-05-06,61390
2015-05-07,61390
2015-05-08,61390
2015-05-09,61390
2015-05-10,61390
2015-05-11,61390
2015-05-12,61390
2015-05-13,61390
2015-05-14,61390
2015-05-15,61390
2015-05-16,61390
2015-05-17,58409
2015-05-18,58409
2015-05-19,58409
2015-05-20,58409
2015-05-21,58409
2015-05-22,58409
2015-05-23,58409
2015-05-24,58409
2015-05-25,58409
2015-05-26,58409
2015-05-27,58409
2015-05-28,55488
2015-05-29,55488
2015-05-30,55488
2015-05-31,55488
2015-06-01,55488
2015-06-02,55488
2015-06-03,55488
2015-06-04,55488
2015-06-05,52794
2015-06-06,52794
2015-06-07,52794
2015-06-08,52794
2015-06-09,52794
2015-06-10,52794
2015-06-11,52794
2015-06-12,52794
2015-06-13,52794
2015-06-14,52794
2015-06-15,53328
2015-06-16,53328
2015-06-17,53328
2015-06-18,53328
2015-06-19,53328
2015-06-20,53328
2015-06-21,53328
2015-06-22,53328
2015-06-23,53328
2015-06-24,53328
2015-06-25,51711
2015-06-26,51711
2015-06-27,51711
2015-06-28,51711
2015-06-29,51711
2015-06-30,51711
2015-07-01,51711
2015-07-02,51711
2015-07-03,51412
2015-07-04,51412
2015-07-05,51412
2015-07-06,51412
2015-07-07,51412
2015-07-08,51412
2015-07-09,51412
2015-07-10,51412
2015-07-11,51412
2015-07-12,51412
2015-07-13,51412
2015-07-14,49143
2015-07-15,49143
2015-07-16,49143
2015-07-17,49143
2015-07-18,49143
2015-07-19,49143
2015-07-20,49143
2015-07-21,49143
2015-07-22,49143
2015-07-23,49143
2015-07-24,50479
2015-07-25,50479
2015-07-26,50479
2015-07-27,50479
2015-07-28,50479
2015-07-29,50479
2015-07-30,50479
2015-07-31,50479
2015-08-01,50479
2015-08-02,52144
2015-08-03,52144
2015-08-04,52144
2015-08-05,52144
2015-08-06,52144
2015-08-07,52144
2015-08-08,52144
2015-08-09,52144
2015-08-10,52144
2015-08-11,52144
2015-08-12,53569
2015-08-13,53569
2015-08-14,53569
2015-08-15,53569
2015-08-16,53569
2015-08-17,53569
2015-08-18,53569
2015-08-19,53569
2015-08-20,53569
2015-08-21,54181
2015-08-22,54181
2015-08-23,54181
2015-08-24,54181
2015-08-25,54181
2015-08-26,54181
2015-08-27,54181
2015-08-28,54181
2015-08-29,54181
2015-08-30,54181
2015-08-31,56730
2015-09-01,56730
2015-09-02,56730
2015-09-03,56730
2015-09-04,56730
2015-09-05,56730
2015-09-06,56730
2015-09-07,56730
2015-09-08,56730
2015-09-09,56730
2015-09-10,56730
2015-09-11,58313
2015-09-12,58313
2015-09-13,58313
2015-09-14,58313
2015-09-15,58313
