date_obj,Mith%20grapple price
2015-02-25,22000
2015-02-26,22000
2015-02-27,22000
2015-02-28,22000
2015-03-01,20915
2015-03-02,20915
2015-03-03,20915
2015-03-04,20915
2015-03-05,19869
2015-03-06,18875
2015-03-07,18875
2015-03-08,17931
2015-03-09,17931
2015-03-10,17049
2015-03-11,17049
2015-03-12,16197
2015-03-13,16197
2015-03-14,15387
2015-03-15,15387
2015-03-16,14617
2015-03-17,14617
2015-03-18,13886
2015-03-19,13886
2015-03-20,13192
2015-03-21,13192
2015-03-22,12532
2015-03-23,12532
2015-03-24,12532
2015-03-25,11905
2015-03-26,11905
2015-03-27,11905
2015-03-28,11309
2015-03-29,11309
2015-03-30,10743
2015-03-31,10743
2015-04-01,10743
2015-04-02,10205
2015-04-03,10205
2015-04-04,9694
2015-04-05,9694
2015-04-06,9216
2015-04-07,9216
2015-04-08,8758
2015-04-09,8758
2015-04-10,8320
2015-04-11,8320
2015-04-12,7904
2015-04-13,7904
2015-04-14,7516
2015-04-15,7516
2015-04-16,7140
2015-04-17,7140
2015-04-18,6783
2015-04-19,6783
2015-04-20,6450
2015-04-21,6450
2015-04-22,6450
2015-04-23,6127
2015-04-24,6127
2015-04-25,5820
2015-04-26,5820
2015-04-27,5529
2015-04-28,5529
2015-04-29,5529
2015-04-30,5271
2015-05-01,5271
2015-05-02,5007
2015-05-03,5007
2015-05-04,5007
2015-05-05,4756
2015-05-06,4756
2015-05-07,4518
2015-05-08,4518
2015-05-09,4292
2015-05-10,4292
2015-05-11,4292
2015-05-12,4084
2015-05-13,4084
2015-05-14,3963
2015-05-15,3963
2015-05-16,3963
2015-05-17,3764
2015-05-18,3764
2015-05-19,3764
2015-05-20,3575
2015-05-21,3575
2015-05-22,3575
2015-05-23,3396
2015-05-24,3396
2015-05-25,3226
2015-05-26,3226
2015-05-27,3226
2015-05-28,3064
2015-05-29,3064
2015-05-30,2951
2015-05-31,2951
2015-06-01,2836
2015-06-02,2836
2015-06-03,2836
2015-06-04,2695
2015-06-05,2695
2015-06-06,2618
2015-06-07,2618
2015-06-08,2502
2015-06-09,2502
2015-06-10,2482
2015-06-11,2482
2015-06-12,2482
2015-06-13,2464
2015-06-14,2464
2015-06-15,2394
2015-06-16,2394
2015-06-17,2295
2015-06-18,2295
2015-06-19,2245
2015-06-20,2245
2015-06-21,2269
2015-06-22,2269
2015-06-23,2189
2015-06-24,2189
2015-06-25,2097
2015-06-26,2097
2015-06-27,2059
2015-06-28,2021
2015-06-29,2021
2015-06-30,2096
2015-07-01,2096
2015-07-02,2109
2015-07-03,2109
2015-07-04,2048
2015-07-05,2048
2015-07-06,1976
2015-07-07,1976
2015-07-08,1910
2015-07-09,1910
2015-07-10,1966
2015-07-11,1966
2015-07-12,1966
2015-07-13,1989
2015-07-14,1989
2015-07-15,2054
2015-07-16,2054
2015-07-17,2036
2015-07-18,2036
2015-07-19,1958
2015-07-20,1958
2015-07-21,1934
2015-07-22,1978
2015-07-23,1978
2015-07-24,1879
2015-07-25,1879
2015-07-26,1836
2015-07-27,1836
2015-07-28,1820
2015-07-29,1886
2015-07-30,1886
2015-07-31,1977
2015-08-01,1977
2015-08-02,2005
2015-08-03,2005
2015-08-04,1996
2015-08-05,1996
2015-08-06,1899
2015-08-07,1899
2015-08-08,1804
2015-08-09,1804
2015-08-10,1814
2015-08-11,1814
2015-08-12,1870
2015-08-13,1870
2015-08-14,1842
2015-08-15,1842
2015-08-16,1882
2015-08-17,1882
2015-08-18,1933
2015-08-19,1933
2015-08-20,1952
2015-08-21,1982
2015-08-22,1982
2015-08-23,1987
2015-08-24,1987
2015-08-25,1967
2015-08-26,1967
2015-08-27,2013
2015-08-28,2013
2015-08-29,2059
2015-08-30,2059
2015-08-31,2059
2015-09-01,2086
2015-09-02,2044
2015-09-03,2044
2015-09-04,1989
2015-09-05,1989
2015-09-06,1989
2015-09-07,2010
2015-09-08,2010
2015-09-09,2095
2015-09-10,2095
2015-09-11,2135
2015-09-12,2135
2015-09-13,2135
2015-09-14,2167
2015-09-15,2132
2015-09-16,2132
2015-09-17,2167
2015-09-18,2167
2015-09-19,2195
2015-09-20,2195
2015-09-21,2195
2015-09-22,2174
2015-09-23,2174
2015-09-24,2174
2015-09-25,2105
2015-09-26,2105
2015-09-27,2105
2015-09-28,2105
2015-09-29,2037
2015-09-30,2037
2015-10-01,1935
2015-10-02,1935
2015-10-03,1935
2015-10-04,1891
2015-10-05,1891
2015-10-06,1797
2015-10-07,1797
2015-10-08,1797
2015-10-09,1717
2015-10-10,1717
2015-10-11,1693
2015-10-12,1693
2015-10-13,1693
2015-10-14,1719
2015-10-15,1719
2015-10-16,1722
2015-10-17,1722
2015-10-18,1722
2015-10-19,1709
2015-10-20,1709
2015-10-21,1755
2015-10-22,1755
2015-10-23,1755
2015-10-24,1745
2015-10-25,1745
2015-10-26,1774
2015-10-27,1774
2015-10-28,1774
2015-10-29,1761
2015-10-30,1761
2015-10-31,1790
2015-11-01,1790
2015-11-02,1790
2015-11-03,1791
2015-11-04,1791
2015-11-05,1791
2015-11-06,1818
2015-11-07,1818
2015-11-08,1818
2015-11-09,1810
2015-11-10,1810
2015-11-11,1810
2015-11-12,1868
2015-11-13,1868
2015-11-14,1868
2015-11-15,1808
2015-11-16,1808
2015-11-17,1808
2015-11-18,1783
2015-11-19,1783
2015-11-20,1823
2015-11-21,1823
2015-11-22,1892
2015-11-23,1892
2015-11-24,1892
2015-11-25,1892
2015-11-26,1797
2015-11-27,1797
2015-11-28,1727
2015-11-29,1727
2015-11-30,1708
2015-12-01,1708
2015-12-02,1708
2015-12-03,1758
2015-12-04,1758
2015-12-05,1751
2015-12-06,1751
2015-12-07,1778
2015-12-08,1778
2015-12-09,1778
2015-12-10,1794
2015-12-11,1799
2015-12-12,1799
2015-12-13,1799
2015-12-14,1799
2015-12-15,1824
2015-12-16,1824
2015-12-17,1841
2015-12-18,1841
2015-12-19,1923
2015-12-20,1923
2015-12-21,1982
2015-12-22,1982
2015-12-23,2025
2015-12-24,2025
2015-12-25,2033
2015-12-26,2033
2015-12-27,2016
2015-12-28,2016
2015-12-29,1916
2015-12-30,1916
2015-12-31,1820
2016-01-01,1820
2016-01-02,1729
2016-01-03,1658
2016-01-04,1658
2016-01-05,1586
2016-01-06,1586
2016-01-07,1564
2016-01-08,1564
2016-01-09,1488
2016-01-10,1488
2016-01-11,1442
2016-01-12,1490
2016-01-13,1490
2016-01-14,1532
2016-01-15,1532
2016-01-16,1545
2016-01-17,1545
2016-01-18,1513
2016-01-19,1513
2016-01-20,1581
2016-01-21,1581
2016-01-22,1608
2016-01-23,1608
2016-01-24,1654
2016-01-25,1670
2016-01-26,1670
2016-01-27,1678
2016-01-28,1678
2016-01-29,1683
2016-01-30,1683
2016-01-31,1737
2016-02-01,1737
2016-02-02,1688
2016-02-03,1688
2016-02-04,1625
2016-02-05,1625
2016-02-06,1624
2016-02-07,1624
2016-02-08,1675
2016-02-09,1675
2016-02-10,1675
2016-02-11,1731
2016-02-12,1817
2016-02-13,1793
2016-02-14,1793
2016-02-15,1787
2016-02-16,1787
2016-02-17,1777
2016-02-18,1777
2016-02-19,1747
2016-02-20,1747
2016-02-21,1711
2016-02-22,1711
2016-02-23,1782
2016-02-24,1782
2016-02-25,1821
2016-02-26,1821
2016-02-27,1794
2016-02-28,1794
2016-02-29,1828
2016-03-01,1828
2016-03-02,1898
2016-03-03,1898
2016-03-04,1949
2016-03-05,1949
2016-03-06,1946
2016-03-07,1946
2016-03-08,1945
2016-03-09,1945
2016-03-10,1988
2016-03-11,1988
2016-03-12,2052
2016-03-13,2052
2016-03-14,2085
2016-03-15,2085
2016-03-16,2085
2016-03-17,2025
2016-03-18,2017
2016-03-19,2017
2016-03-20,2028
2016-03-21,2028
2016-03-22,1996
2016-03-23,1996
2016-03-24,1988
2016-03-25,1988
2016-03-26,1914
2016-03-27,1914
2016-03-28,1938
2016-03-29,1938
2016-03-30,1971
2016-03-31,1971
2016-04-01,1910
2016-04-02,1910
2016-04-03,1922
2016-04-04,1922
2016-04-05,1916
2016-04-06,1916
2016-04-07,2006
2016-04-08,2006
2016-04-09,2096
2016-04-10,2096
2016-04-11,2136
2016-04-12,2090
2016-04-13,2090
2016-04-14,1995
2016-04-15,1995
2016-04-16,1940
2016-04-17,1940
2016-04-18,1888
2016-04-19,1888
2016-04-20,1888
2016-04-21,1860
2016-04-22,1860
2016-04-23,1875
2016-04-24,1875
2016-04-25,1851
2016-04-26,1851
2016-04-27,1851
2016-04-28,1824
2016-04-29,1835
2016-04-30,1835
2016-05-01,1862
2016-05-02,1862
2016-05-03,1879
2016-05-04,1879
2016-05-05,1829
2016-05-06,1829
2016-05-07,1740
2016-05-08,1740
2016-05-09,1698
2016-05-10,1698
2016-05-11,1680
2016-05-12,1680
2016-05-13,1735
2016-05-14,1735
2016-05-15,1758
2016-05-16,1758
2016-05-17,1694
2016-05-18,1694
2016-05-19,1688
2016-05-20,1715
2016-05-21,1715
2016-05-22,1745
2016-05-23,1774
2016-05-24,1774
2016-05-25,1863
2016-05-26,1863
2016-05-27,1857
2016-05-28,1857
2016-05-29,1835
2016-05-30,1835
2016-05-31,1774
2016-06-01,1774
2016-06-02,1719
2016-06-03,1727
2016-06-04,1719
2016-06-05,1719
2016-06-06,1666
2016-06-07,1666
2016-06-08,1647
2016-06-09,1647
2016-06-10,1641
2016-06-11,1641
2016-06-12,1677
2016-06-13,1677
2016-06-14,1711
2016-06-15,1711
2016-06-16,1782
2016-06-17,1769
2016-06-18,1769
2016-06-19,1773
2016-06-20,1773
2016-06-21,1751
2016-06-22,1751
2016-06-23,1730
2016-06-24,1730
2016-06-25,1660
2016-06-26,1660
2016-06-27,1622
2016-06-28,1622
2016-06-29,1656
2016-06-30,1656
2016-07-01,1675
2016-07-02,1675
2016-07-03,1694
2016-07-04,1698
2016-07-05,1698
2016-07-06,1639
2016-07-07,1639
2016-07-08,1663
2016-07-09,1663
2016-07-10,1639
2016-07-11,1639
2016-07-12,1657
2016-07-13,1657
2016-07-14,1656
2016-07-15,1656
2016-07-16,1593
2016-07-17,1593
2016-07-18,1592
2016-07-19,1592
2016-07-20,1538
2016-07-21,1538
2016-07-22,1555
2016-07-23,1555
2016-07-24,1584
2016-07-25,1584
2016-07-26,1535
2016-07-27,1535
2016-07-28,1458
2016-07-29,1385
2016-07-30,1385
2016-07-31,1363
2016-08-01,1363
2016-08-02,1378
2016-08-03,1378
2016-08-04,1436
2016-08-05,1436
2016-08-06,1501
2016-08-07,1501
2016-08-08,1534
2016-08-09,1560
2016-08-10,1560
2016-08-11,1534
2016-08-12,1534
2016-08-13,1505
2016-08-14,1505
2016-08-15,1537
2016-08-16,1537
2016-08-17,1541
2016-08-18,1541
2016-08-19,1522
2016-08-20,1522
2016-08-21,1513
2016-08-22,1513
2016-08-23,1474
2016-08-24,1474
2016-08-25,1475
2016-08-26,1475
2016-08-27,1490
2016-08-28,1490
2016-08-29,1519
2016-08-30,1519
2016-08-31,1463
2016-09-01,1396
2016-09-02,1396
2016-09-03,1421
2016-09-04,1421
2016-09-05,1381
2016-09-06,1381
2016-09-07,1381
2016-09-08,1338
2016-09-09,1338
2016-09-10,1361
2016-09-11,1361
2016-09-12,1361
2016-09-13,1329
2016-09-14,1329
2016-09-15,1300
2016-09-16,1300
2016-09-17,1286
2016-09-18,1286
2016-09-19,1240
2016-09-20,1240
2016-09-21,1240
2016-09-22,1208
2016-09-23,1208
2016-09-24,1208
2016-09-25,1154
2016-09-26,1154
2016-09-27,1162
2016-09-28,1162
2016-09-29,1169
2016-09-30,1169
2016-10-01,1147
