date_obj,Earth%20orb price
2015-03-26,1232
2015-03-27,1193
2015-03-28,1193
2015-03-29,1193
2015-03-30,1193
2015-03-31,1193
2015-04-01,1159
2015-04-02,1159
2015-04-03,1159
2015-04-04,1159
2015-04-05,1159
2015-04-06,1113
2015-04-07,1113
2015-04-08,1113
2015-04-09,1113
2015-04-10,1113
2015-04-11,1130
2015-04-12,1130
2015-04-13,1130
2015-04-14,1130
2015-04-15,1130
2015-04-16,1184
2015-04-17,1184
2015-04-18,1184
2015-04-19,1184
2015-04-20,1184
2015-04-21,1214
2015-04-22,1214
2015-04-23,1214
2015-04-24,1214
2015-04-25,1214
2015-04-26,1214
2015-04-27,1175
2015-04-28,1175
2015-04-29,1175
2015-04-30,1175
2015-05-01,1175
2015-05-02,1215
2015-05-03,1215
2015-05-04,1215
2015-05-05,1215
2015-05-06,1215
2015-05-07,1256
2015-05-08,1256
2015-05-09,1256
2015-05-10,1256
2015-05-11,1256
2015-05-12,1224
2015-05-13,1224
2015-05-14,1224
2015-05-15,1224
2015-05-16,1224
2015-05-17,1260
2015-05-18,1260
2015-05-19,1260
2015-05-20,1260
2015-05-21,1260
2015-05-22,1260
2015-05-23,1237
2015-05-24,1237
2015-05-25,1237
2015-05-26,1237
2015-05-27,1237
2015-05-28,1175
2015-05-29,1175
2015-05-30,1175
2015-05-31,1118
2015-06-01,1118
2015-06-02,1118
2015-06-03,1118
2015-06-04,1115
2015-06-05,1115
2015-06-06,1115
2015-06-07,1157
2015-06-08,1157
2015-06-09,1157
2015-06-10,1213
2015-06-11,1213
2015-06-12,1213
2015-06-13,1272
2015-06-14,1272
2015-06-15,1272
2015-06-16,1332
2015-06-17,1332
2015-06-18,1332
2015-06-19,1332
2015-06-20,1365
2015-06-21,1365
2015-06-22,1365
2015-06-23,1365
2015-06-24,1360
2015-06-25,1360
2015-06-26,1360
2015-06-27,1360
2015-06-28,1360
2015-06-29,1360
2015-06-30,1360
2015-07-01,1360
2015-07-02,1349
2015-07-03,1349
2015-07-04,1349
2015-07-05,1349
2015-07-06,1288
2015-07-07,1288
2015-07-08,1288
2015-07-09,1288
2015-07-10,1242
2015-07-11,1242
2015-07-12,1242
2015-07-13,1242
2015-07-14,1240
2015-07-15,1240
2015-07-16,1240
2015-07-17,1209
2015-07-18,1209
2015-07-19,1209
2015-07-20,1163
2015-07-21,1163
2015-07-22,1163
2015-07-23,1163
2015-07-24,1137
2015-07-25,1137
2015-07-26,1137
2015-07-27,1137
2015-07-28,1090
2015-07-29,1090
2015-07-30,1090
2015-07-31,1090
2015-08-01,1043
2015-08-02,1043
2015-08-03,1043
2015-08-04,1043
2015-08-05,1028
2015-08-06,1028
2015-08-07,1028
2015-08-08,1028
2015-08-09,1051
2015-08-10,1051
2015-08-11,1051
2015-08-12,1051
2015-08-13,1049
2015-08-14,1049
2015-08-15,1049
2015-08-16,1049
2015-08-17,1050
2015-08-18,1050
2015-08-19,1050
2015-08-20,1050
2015-08-21,1034
2015-08-22,1034
2015-08-23,1034
2015-08-24,1034
2015-08-25,1034
2015-08-26,1063
2015-08-27,1063
2015-08-28,1063
2015-08-29,1081
2015-08-30,1081
2015-08-31,1081
2015-09-01,1081
2015-09-02,1081
2015-09-03,1104
2015-09-04,1104
2015-09-05,1104
2015-09-06,1104
2015-09-07,1148
2015-09-08,1148
2015-09-09,1148
2015-09-10,1148
2015-09-11,1136
2015-09-12,1136
2015-09-13,1136
2015-09-14,1136
2015-09-15,1136
2015-09-16,1136
2015-09-17,1136
2015-09-18,1136
2015-09-19,1136
2015-09-20,1100
2015-09-21,1100
2015-09-22,1100
2015-09-23,1100
2015-09-24,1100
2015-09-25,1111
2015-09-27,1111
2015-09-28,1111
2015-09-29,1111
2015-09-30,1152
2015-10-05,1155
2015-10-06,1141
2015-10-07,1141
2015-10-08,1103
2015-10-09,1103
2015-10-10,1106
2015-10-11,1145
2015-10-12,1145
2015-10-13,1180
2015-10-14,1180
2015-10-15,1213
2015-10-16,1213
2015-10-17,1213
2015-10-18,1213
2015-10-19,1218
2015-10-20,1218
2015-10-22,1210
2015-10-23,1210
2015-10-24,1188
2015-10-25,1188
2015-10-26,1148
2015-10-27,1148
2015-10-29,1113
2015-10-30,1113
2015-10-31,1088
2015-11-01,1088
2015-11-02,1088
2015-11-03,1112
2015-11-04,1112
2015-11-05,1112
2015-11-06,1163
2015-11-07,1163
2015-11-08,1163
2015-11-09,1221
2015-11-10,1221
2015-11-11,1221
2015-11-12,1278
2015-11-13,1278
2015-11-14,1278
2015-11-15,1325
2015-11-16,1325
2015-11-17,1325
2015-11-18,1325
2015-11-19,1385
2015-11-20,1385
