date_obj,Deerstalker price
2015-03-26,258703
2015-03-27,258703
2015-03-28,246727
2015-03-29,246727
2015-03-30,234864
2015-03-31,234864
2015-04-01,224270
2015-04-02,224270
2015-04-03,213887
2015-04-04,213887
2015-04-05,203731
2015-04-06,203731
2015-04-07,194044
2015-04-08,194044
2015-04-09,194044
2015-04-10,184796
2015-04-11,184796
2015-04-12,176012
2015-04-13,176012
2015-04-14,176012
2015-04-15,167799
2015-04-16,167799
2015-04-17,167799
2015-04-18,159946
2015-04-19,159946
2015-04-20,159946
2015-04-21,152639
2015-04-22,152639
2015-04-23,152639
2015-04-24,152639
2015-04-25,145842
2015-04-26,145842
2015-04-27,145842
2015-04-28,139107
2015-04-29,139107
2015-04-30,139107
2015-05-01,139107
2015-05-02,132223
2015-05-03,132223
2015-05-04,132223
2015-05-05,132223
2015-05-06,126242
2015-05-07,126242
2015-05-08,126242
2015-05-09,120218
2015-05-10,120218
2015-05-11,120218
2015-05-12,114434
2015-05-13,114434
2015-05-14,109255
2015-05-15,109255
2015-05-16,109255
2015-05-17,104075
2015-05-18,104075
2015-05-19,104075
2015-05-20,99421
2015-05-21,99421
2015-05-22,99421
2015-05-23,95007
2015-05-24,95007
2015-05-25,95007
2015-05-26,90794
2015-05-27,90794
2015-05-28,90794
2015-05-29,86514
2015-05-30,86514
2015-05-31,86514
2015-06-01,82298
2015-06-02,82298
2015-06-03,82298
2015-06-04,82298
2015-06-05,78351
2015-06-06,78351
2015-06-07,78351
2015-06-08,75491
2015-06-09,75491
2015-06-10,75491
2015-06-11,75491
2015-06-12,72053
2015-06-13,72053
2015-06-14,72053
2015-06-15,72053
2015-06-16,69454
2015-06-17,69454
2015-06-18,69454
2015-06-19,69454
2015-06-20,66893
2015-06-21,66893
2015-06-22,66893
2015-06-23,66893
2015-06-24,63548
2015-06-25,63548
2015-06-26,63548
2015-06-27,63548
2015-06-28,61179
2015-06-29,61179
2015-06-30,61179
2015-07-01,61179
2015-07-02,61179
2015-07-03,59912
2015-07-04,59912
2015-07-05,59912
2015-07-06,59912
2015-07-07,57426
2015-07-08,57426
2015-07-09,57426
2015-07-10,57426
2015-07-11,57426
2015-07-12,55006
2015-07-13,55006
2015-07-14,55006
2015-07-15,55006
2015-07-16,52511
2015-07-17,52511
2015-07-18,52511
2015-07-19,52511
2015-07-20,50443
2015-07-21,50443
2015-07-22,50443
2015-07-23,50443
2015-07-24,51020
2015-07-25,51020
2015-07-26,51020
2015-07-27,51020
2015-07-28,50804
2015-07-29,50804
2015-07-30,50804
2015-07-31,50804
2015-08-01,50369
2015-08-02,50369
2015-08-03,50369
2015-08-04,49651
2015-08-05,49651
2015-08-06,49651
2015-08-07,49651
2015-08-08,48622
2015-08-09,48622
2015-08-10,48622
2015-08-11,48622
2015-08-12,48622
2015-08-13,48445
2015-08-14,48445
2015-08-15,48445
2015-08-16,48445
2015-08-17,47559
2015-08-18,47559
2015-08-19,47559
2015-08-20,47559
2015-08-21,47688
2015-08-22,47688
2015-08-23,47688
2015-08-24,47688
2015-08-25,47688
2015-08-26,46991
2015-08-27,46991
2015-08-28,46991
2015-08-29,46991
2015-08-30,46082
2015-08-31,46082
2015-09-01,46082
2015-09-02,46082
2015-09-03,46082
2015-09-04,45173
2015-09-05,45173
2015-09-06,45173
2015-09-07,45173
2015-09-08,45173
2015-09-09,45173
2015-09-10,44341
2015-09-11,44341
2015-09-12,44341
2015-09-13,45557
2015-09-14,45557
2015-09-15,45557
2015-09-16,45557
2015-09-17,46305
2015-09-18,46305
2015-09-19,46305
2015-09-20,46305
2015-09-21,47679
2015-09-22,47679
2015-09-23,47679
2015-09-24,47679
2015-09-25,48022
2015-09-27,48022
2015-09-28,48022
2015-09-29,47283
2015-09-30,47283
2015-10-05,47484
2015-10-06,47084
2015-10-07,47084
2015-10-08,47084
2015-10-09,47510
2015-10-10,47510
2015-10-11,47510
2015-10-12,47849
2015-10-13,47849
2015-10-14,47849
2015-10-15,48303
2015-10-16,48303
2015-10-17,48303
2015-10-18,48303
2015-10-19,46714
2015-10-20,46714
2015-10-22,46714
2015-10-23,46254
2015-10-24,46254
2015-10-25,46254
2015-10-26,46254
