date_obj,Gout%20tuber price
2015-03-05,304000
2015-03-06,302562
2015-03-07,302562
2015-03-08,302562
2015-03-09,302562
2015-03-10,302562
2015-03-11,302562
2015-03-12,302562
2015-03-13,302562
2015-03-14,302562
2015-03-15,302562
2015-03-16,297448
2015-03-17,297448
2015-03-18,297448
2015-03-19,297448
2015-03-20,297448
2015-03-21,297448
2015-03-22,297448
2015-03-23,297448
2015-03-24,297448
2015-03-25,297448
2015-03-26,297448
2015-03-27,297448
2015-03-28,297448
2015-03-29,297448
2015-03-30,297448
2015-03-31,299480
2015-04-01,299480
2015-04-02,299480
2015-04-03,299480
2015-04-04,299480
2015-04-05,299480
2015-04-06,299480
2015-04-07,299480
2015-04-08,299480
2015-04-09,299480
2015-04-10,299480
2015-04-11,299480
2015-04-12,299480
2015-04-13,299480
2015-04-14,299480
2015-04-15,299480
2015-04-16,312528
2015-04-17,312528
2015-04-18,312528
2015-04-19,312528
2015-04-20,312528
2015-04-21,312528
2015-04-22,312528
2015-04-23,312528
2015-04-24,312528
2015-04-25,312528
2015-04-26,312528
2015-04-27,312528
2015-04-28,312528
2015-04-29,312528
2015-04-30,312528
2015-05-01,312528
2015-05-02,324199
2015-05-03,324199
2015-05-04,324199
2015-05-05,324199
2015-05-06,324199
2015-05-07,324199
2015-05-08,324199
2015-05-09,324199
2015-05-10,324199
2015-05-11,324199
2015-05-12,324199
2015-05-13,324199
2015-05-14,324199
2015-05-15,324199
2015-05-16,324199
2015-05-17,339201
2015-05-18,339201
2015-05-19,339201
2015-05-20,339201
2015-05-21,339201
2015-05-22,339201
2015-05-23,339201
2015-05-24,339201
2015-05-25,339201
2015-05-26,339201
2015-05-27,339201
2015-05-28,354073
2015-05-29,354073
2015-05-30,354073
2015-05-31,354073
2015-06-01,354073
2015-06-02,354073
2015-06-03,354073
2015-06-04,354073
2015-06-05,354073
2015-06-06,370161
2015-06-07,370161
2015-06-08,370161
2015-06-09,370161
2015-06-10,370161
2015-06-11,370161
2015-06-12,370161
2015-06-13,370161
2015-06-14,370161
2015-06-15,370161
2015-06-16,370161
2015-06-17,387362
2015-06-18,387362
2015-06-19,387362
2015-06-20,387362
2015-06-21,387362
2015-06-22,387362
2015-06-23,387362
2015-06-24,387362
2015-06-25,387362
2015-06-26,404066
2015-06-27,404066
2015-06-28,404066
2015-06-29,404066
2015-06-30,404066
2015-07-01,404066
2015-07-02,404066
2015-07-03,404066
2015-07-04,404066
2015-07-05,404066
2015-07-06,404066
2015-07-07,404066
2015-07-08,421411
2015-07-09,421411
2015-07-10,421411
2015-07-11,421411
2015-07-12,421411
2015-07-13,421411
2015-07-14,421411
2015-07-15,421411
2015-07-16,421411
2015-07-17,421411
2015-07-18,421411
2015-07-19,427074
2015-07-20,427074
2015-07-21,427074
2015-07-22,427074
2015-07-23,427074
2015-07-24,427074
2015-07-25,427074
2015-07-26,427074
2015-07-27,427074
2015-07-28,439633
2015-07-29,439633
2015-07-30,439633
2015-07-31,439633
2015-08-01,439633
2015-08-02,439633
2015-08-03,439633
2015-08-04,439633
2015-08-05,439633
2015-08-06,439633
2015-08-07,442365
2015-08-08,442365
2015-08-09,442365
2015-08-10,442365
2015-08-11,442365
2015-08-12,442365
2015-08-13,442365
2015-08-14,442365
2015-08-15,442365
2015-08-16,442365
2015-08-17,461669
2015-08-18,461669
2015-08-19,461669
2015-08-20,461669
2015-08-21,461669
2015-08-22,461669
2015-08-23,461669
2015-08-24,461669
2015-08-25,461669
2015-08-26,461669
2015-08-27,471752
2015-08-28,471752
2015-08-29,471752
2015-08-30,471752
2015-08-31,471752
2015-09-02,471752
2015-09-07,456507
2015-09-08,456507
2015-09-10,456507
2015-09-14,456507
2015-09-16,456507
