date_obj,Blessed%20spirit%20shield price
2015-03-26,1187634
2015-03-27,1187634
2015-03-28,1187634
2015-03-29,1137121
2015-03-30,1137121
2015-03-31,1116840
2015-04-01,1116840
2015-04-02,1111734
2015-04-03,1111734
2015-04-04,1128089
2015-04-05,1128089
2015-04-06,1120704
2015-04-07,1120704
2015-04-08,1163036
2015-04-09,1163036
2015-04-10,1199803
2015-04-11,1199803
2015-04-12,1234616
2015-04-13,1234616
2015-04-14,1260732
2015-04-15,1260732
2015-04-16,1299999
2015-04-17,1299999
2015-04-18,1357969
2015-04-19,1357969
2015-04-20,1408204
2015-04-21,1408204
2015-04-22,1474142
2015-04-23,1474142
2015-04-24,1506805
2015-04-25,1506805
2015-04-26,1473825
2015-04-27,1473825
2015-04-28,1401091
2015-04-29,1401091
2015-04-30,1333857
2015-05-01,1333857
2015-05-02,1353251
2015-05-03,1353251
2015-05-04,1378452
2015-05-05,1378452
2015-05-06,1349118
2015-05-07,1349118
2015-05-08,1322742
2015-05-09,1322742
2015-05-10,1309943
2015-05-11,1309943
2015-05-12,1271499
2015-05-13,1271499
2015-05-14,1227558
2015-05-15,1227558
2015-05-16,1210602
2015-05-17,1187831
2015-05-18,1187831
2015-05-19,1191174
2015-05-20,1191174
2015-05-21,1191174
2015-05-22,1189069
2015-05-23,1189069
2015-05-24,1168926
2015-05-25,1212492
2015-05-26,1212492
2015-05-27,1175365
2015-05-28,1149998
2015-05-29,1125923
2015-05-30,1082839
2015-05-31,1038184
2015-06-01,1039468
2015-06-02,1039468
2015-06-03,1057480
2015-06-04,1043057
2015-06-05,1029420
2015-06-06,1046647
2015-06-07,1048113
2015-06-08,1074835
2015-06-09,1078212
2015-06-10,1052495
2015-06-11,1036466
2015-06-12,1036466
2015-06-13,1036637
2015-06-14,1024071
2015-06-15,1022707
2015-06-16,1012572
2015-06-17,990786
2015-06-18,968860
2015-06-19,942537
2015-06-20,922586
2015-06-21,951796
2015-06-22,941543
2015-06-23,928712
2015-06-24,926084
2015-06-25,926084
2015-06-26,966392
2015-06-27,966392
2015-06-28,968580
2015-06-29,947400
2015-06-30,941693
2015-07-01,929442
2015-07-02,929442
2015-07-03,923463
2015-07-04,915770
2015-07-05,899328
2015-07-06,895049
2015-07-07,898716
2015-07-08,883730
2015-07-09,883730
2015-07-10,858935
2015-07-11,844376
2015-07-12,834916
2015-07-13,823188
2015-07-14,826115
2015-07-15,835769
2015-07-16,853270
2015-07-17,840923
2015-07-18,838379
2015-07-19,845759
2015-07-20,838388
2015-07-21,825501
2015-07-22,831587
2015-07-23,831587
2015-07-24,849602
2015-07-25,869345
2015-07-26,876304
2015-07-27,864382
2015-07-28,861048
2015-07-29,869593
2015-07-30,911121
2015-07-31,945086
2015-08-01,918580
2015-08-02,878740
2015-08-03,851060
2015-08-04,871056
2015-08-05,876895
2015-08-06,861915
2015-08-07,873497
2015-08-08,873318
2015-08-09,864257
2015-08-10,868845
2015-08-11,853814
2015-08-12,853814
2015-08-13,860243
2015-08-14,857171
2015-08-15,855250
2015-08-16,840404
2015-08-17,855856
2015-08-18,857847
2015-08-19,844210
2015-08-20,837046
2015-08-21,836256
2015-08-22,847565
2015-08-23,836230
2015-08-24,835441
2015-08-25,835441
2015-08-26,828045
2015-08-27,836099
2015-08-28,835879
2015-08-29,830283
2015-08-30,833125
2015-08-31,839724
2015-09-01,839290
2015-09-02,839290
2015-09-03,831978
2015-09-04,856525
2015-09-05,856525
2015-09-06,868330
2015-09-07,845310
2015-09-08,847419
2015-09-09,834110
2015-09-10,820163
2015-09-11,831817
2015-09-12,834093
2015-09-13,825304
2015-09-14,834005
2015-09-15,821188
2015-09-16,821188
2015-09-17,841997
2015-09-18,830413
2015-09-19,831852
2015-09-20,835588
2015-09-21,823410
2015-09-22,827513
2015-09-23,831504
2015-09-24,831504
2015-09-25,831363
2015-09-27,875561
2015-09-28,857830
2015-09-29,835904
2015-09-30,847519
2015-10-05,822362
2015-10-06,823494
2015-10-07,828350
2015-10-08,829894
2015-10-09,831808
2015-10-10,831808
2015-10-11,832889
2015-10-12,851332
2015-10-13,851332
2015-10-14,848657
2015-10-15,833724
2015-10-16,833448
2015-10-17,833448
2015-10-18,836534
2015-10-19,859151
2015-10-20,876924
2015-10-22,847473
2015-10-23,851847
2015-10-24,848127
2015-10-25,844093
2015-10-26,868233
2015-10-27,868233
2015-10-29,835247
2015-10-30,824186
2015-10-31,825794
2015-11-01,825794
2015-11-02,850661
2015-11-03,850661
2015-11-04,834585
2015-11-05,845407
2015-11-06,845407
2015-11-07,837899
2015-11-08,837899
2015-11-09,825236
2015-11-10,825236
2015-11-11,816678
2015-11-12,816678
2015-11-13,810799
2015-11-14,812292
2015-11-15,803572
2015-11-16,803572
2015-11-17,807875
2015-11-18,807875
2015-11-19,817537
2015-11-20,852538
2015-11-21,852538
2015-11-22,843888
2015-11-23,843888
2015-11-24,829921
2015-11-25,822958
2015-11-26,822958
2015-11-27,824212
2015-11-28,819728
2015-11-29,821563
2015-11-30,836071
2015-12-01,836071
2015-12-02,838088
2015-12-03,834269
2015-12-04,834269
2015-12-05,831974
2015-12-06,855544
2015-12-07,864473
2015-12-08,854005
2015-12-09,847405
2015-12-10,852765
2015-12-11,850386
2015-12-12,844982
2015-12-13,841174
2015-12-14,841174
2015-12-15,876990
2015-12-16,883434
2015-12-17,883434
2015-12-18,876949
2015-12-19,884632
2015-12-20,876009
2015-12-21,908666
2015-12-22,931075
2015-12-23,890935
2015-12-24,877790
2015-12-25,869584
2015-12-26,850108
2015-12-27,839702
2015-12-28,832050
2015-12-29,836848
2015-12-30,852288
2015-12-31,872507
2016-01-01,868473
2016-01-02,871650
2016-01-03,856488
2016-01-04,851015
2016-01-05,849626
2016-01-06,846749
2016-01-07,855447
2016-01-08,859228
2016-01-09,863353
2016-01-10,868249
2016-01-11,876879
2016-01-12,866772
2016-01-13,858531
2016-01-14,852926
2016-01-15,848517
2016-01-16,844235
2016-01-17,838352
2016-01-18,854620
2016-01-19,858813
2016-01-20,850789
2016-01-21,838466
2016-01-22,839180
2016-01-23,833091
2016-01-24,824863
2016-01-25,832272
2016-01-26,840650
2016-01-27,833748
2016-01-28,833748
2016-01-29,826973
2016-01-30,822713
2016-01-31,821516
2016-02-01,827090
2016-02-02,834423
2016-02-03,833534
2016-02-04,834800
2016-02-05,831012
2016-02-06,827478
2016-02-07,825211
2016-02-08,829689
2016-02-09,830003
2016-02-10,830219
2016-02-11,828080
2016-02-12,828358
2016-02-13,826783
2016-02-14,816254
2016-02-15,803294
2016-02-16,788260
2016-02-17,812483
2016-02-18,832195
2016-02-19,834982
2016-02-20,841466
2016-02-21,843524
2016-02-22,843524
2016-02-23,865799
2016-02-24,859098
2016-02-25,850362
2016-02-26,850362
2016-02-27,844709
2016-02-28,830788
2016-02-29,822799
2016-03-01,822636
2016-03-02,823539
2016-03-03,843306
2016-03-04,885378
2016-03-05,899219
2016-03-06,895858
2016-03-07,868291
2016-03-08,869827
2016-03-09,853819
2016-03-10,846323
2016-03-11,842008
2016-03-12,832204
2016-03-13,825451
