date_obj,Mithril%20full%20helm%20(t) price
2015-03-26,16618
2015-03-27,16618
2015-03-28,16123
2015-03-29,15585
2015-03-30,15585
2015-03-31,14868
2015-04-01,14868
2015-04-02,14244
2015-04-03,14244
2015-04-04,13714
2015-04-05,13714
2015-04-06,13405
2015-04-07,13282
2015-04-08,13282
2015-04-09,12670
2015-04-10,12410
2015-04-11,12392
2015-04-12,12052
2015-04-13,12052
2015-04-14,11527
2015-04-15,11179
2015-04-16,11179
2015-04-17,11025
2015-04-18,10854
2015-04-19,10671
2015-04-20,10671
2015-04-21,10354
2015-04-22,10354
2015-04-23,10148
2015-04-24,10063
2015-04-25,10063
2015-04-26,9869
2015-04-27,9563
2015-04-28,9254
2015-04-29,9254
2015-04-30,9012
2015-05-01,8731
2015-05-02,9057
2015-05-03,9057
2015-05-04,8911
2015-05-05,8911
2015-05-06,8730
2015-05-07,8730
2015-05-08,8454
2015-05-09,8562
2015-05-10,8479
2015-05-11,8479
2015-05-12,8272
2015-05-13,8272
2015-05-14,8190
2015-05-15,8190
2015-05-16,8442
2015-05-17,8635
2015-05-18,8564
2015-05-19,8564
2015-05-20,8963
2015-05-21,8963
2015-05-22,9408
2015-05-23,9408
2015-05-24,9310
2015-05-25,9060
2015-05-26,8916
2015-05-27,8916
2015-05-28,8743
2015-05-29,8795
2015-05-30,8936
2015-05-31,8936
2015-06-01,8891
2015-06-02,8891
2015-06-03,9007
2015-06-04,9007
2015-06-05,8943
2015-06-06,9203
2015-06-07,9250
2015-06-08,9250
2015-06-09,9351
2015-06-10,9340
2015-06-11,9340
2015-06-12,9688
2015-06-13,9906
2015-06-14,9906
2015-06-15,9965
2015-06-16,9792
2015-06-17,9792
2015-06-18,9488
2015-06-19,9488
2015-06-20,9434
2015-06-21,9434
2015-06-22,9351
2015-06-23,9351
2015-06-24,9166
2015-06-25,9166
2015-06-26,9170
2015-06-27,9170
2015-06-28,9322
2015-06-29,9322
2015-06-30,9362
2015-07-01,9362
2015-07-02,9435
2015-07-03,9309
2015-07-04,9309
2015-07-05,9253
2015-07-06,9253
2015-07-07,9153
2015-07-08,9153
2015-07-09,9153
2015-07-10,9570
2015-07-11,9570
2015-07-12,9584
2015-07-13,9584
2015-07-14,9362
2015-07-15,9356
2015-07-16,9356
2015-07-17,9038
2015-07-18,9038
2015-07-19,8849
2015-07-20,9058
2015-07-21,9058
2015-07-22,8888
2015-07-23,8888
2015-07-24,8791
2015-07-25,8791
2015-07-26,8557
2015-07-27,8559
2015-07-28,8420
2015-07-29,8614
2015-07-30,8614
2015-07-31,8570
2015-08-01,8570
2015-08-02,8582
2015-08-03,8582
2015-08-04,8511
2015-08-05,8635
