date_obj,Mystic%20mist%20staff price
2016-09-14,4815000
2016-09-15,4815000
2016-09-16,4815000
2016-09-17,4815000
2016-09-18,4815000
2016-09-19,4815000
2016-09-20,4815000
2016-09-21,4815000
2016-09-22,4815000
2016-09-23,4815000
2016-09-24,4815000
2016-09-25,4815000
2016-09-26,4599836
2016-09-27,4599836
2016-09-28,4599836
2016-09-29,4599836
2016-09-30,4599836
2016-10-01,4599836
2016-10-02,4599836
2016-10-03,4599836
2016-10-04,4599836
2016-10-05,4599836
2016-10-06,4599836
2016-10-07,4371964
2016-10-08,4371964
2016-10-09,4371964
2016-10-10,4371964
2016-10-11,4371964
2016-10-12,4371964
2016-10-13,4371964
2016-10-14,4371964
2016-10-15,4371964
2016-10-16,4155336
2016-10-17,4155336
2016-10-18,4155336
2016-10-19,4155336
2016-10-20,4155336
2016-10-21,4155336
2016-10-22,4155336
2016-10-23,4155336
2016-10-24,3950456
2016-10-25,3950456
2016-10-26,3950456
2016-10-27,3950456
2016-10-28,3950456
2016-10-29,3950456
2016-10-30,3950456
2016-10-31,3755280
2016-11-01,3755280
2016-11-02,3755280
2016-11-03,3755280
2016-11-04,3569970
2016-11-05,3569970
2016-11-06,3569970
2016-11-07,3569970
2016-11-08,3569970
2016-11-09,3392700
2016-11-10,3392700
2016-11-11,3392700
2016-11-12,3392700
2016-11-13,3224877
2016-11-14,3224877
2016-12-07,2262956
2016-12-08,2262956
2016-12-09,2262956
2016-12-10,2151683
2016-12-11,2151683
2016-12-12,2151683
2016-12-13,2048257
2016-12-14,2048257
2016-12-15,2048257
2016-12-16,2048257
2016-12-17,1947548
2016-12-18,1947548
2016-12-19,1947548
2016-12-20,1947548
2016-12-21,1852441
2016-12-22,1852441
2016-12-23,1852441
2016-12-24,1852441
2016-12-25,1762464
2016-12-26,1762464
2016-12-27,1762464
2016-12-28,1762464
2016-12-29,1676318
2016-12-30,1676318
2016-12-31,1676318
2017-01-01,1676318
2017-01-02,1592948
2017-01-03,1592948
2017-01-04,1592948
2017-01-05,1515392
2017-01-06,1515392
2017-01-07,1515392
2017-01-08,1440989
2017-01-09,1440989
2017-01-10,1440989
2017-01-11,1369935
2017-01-12,1369935
2017-01-13,1369935
2017-01-14,1302634
2017-01-15,1302634
2017-01-16,1302634
2017-01-17,1239006
2017-01-18,1239006
2017-01-19,1239006
2017-01-20,1239006
2017-01-21,1177055
2017-01-22,1177055
2017-01-27,1064980
2017-01-28,1064980
2017-01-29,1064980
2017-01-30,1064980
2017-01-31,1013412
2017-02-01,1013412
2017-02-02,1013412
2017-02-03,1013412
2017-02-04,964022
2017-02-05,964022
2017-02-06,964022
2017-02-07,964022
2017-02-08,916620
2017-02-09,916620
2017-02-10,916620
2017-02-11,871905
2017-02-12,871905
2017-02-13,871905
2017-02-14,829757
2017-02-15,829757
2017-02-16,829757
2017-02-18,789761
2017-02-19,789761
2017-02-20,789761
2017-02-21,751148
2017-02-22,751148
2017-02-23,751148
2017-02-24,751148
2017-02-25,751148
2017-02-26,714110
2017-02-27,714110
2017-02-28,714110
2017-03-01,679416
2017-03-02,679416
2017-03-03,679416
2017-03-04,646363
2017-03-05,646363
2017-03-06,646363
2017-03-07,614782
2017-03-08,614782
2017-03-09,614782
2017-03-10,614782
2017-03-11,584042
2017-03-12,584042
2017-03-13,584042
2017-03-14,555477
2017-03-15,555477
2017-03-16,555477
2017-03-17,528999
2017-03-18,528999
2017-03-19,528999
2017-03-20,502873
2017-03-21,502873
2017-03-22,502873
2017-03-23,478293
2017-03-24,478293
2017-03-25,478293
2017-03-26,455759
2017-03-27,455759
2017-03-28,455759
2017-03-29,433527
2017-03-30,433527
2017-03-31,433527
2017-04-01,412412
2017-04-02,412412
2017-04-03,412412
2017-04-04,391791
2017-04-12,180000
2017-04-13,180000
2017-04-14,180000
2017-04-15,173823
2017-04-16,173823
2017-04-17,173823
2017-04-18,176422
2017-04-19,176422
2017-04-20,176422
2017-04-21,173016
2017-04-22,173016
2017-04-23,173016
2017-04-24,167700
2017-04-25,167700
2017-04-26,167700
2017-04-27,172114
2017-04-28,172114
2017-04-29,172114
2017-04-30,176884
2017-05-01,176884
2017-05-02,176884
2017-05-03,182877
2017-05-04,182877
2017-05-05,182877
2017-05-06,185214
2017-05-07,185214
2017-05-08,185214
2017-05-09,186253
2017-05-10,186253
2017-05-11,186253
2017-05-12,186253
2017-05-13,182579
2017-05-14,182579
2017-05-15,182579
2017-05-16,186993
2017-05-17,186993
2017-05-18,186993
2017-05-19,192710
2017-05-20,192710
2017-05-21,192710
2017-05-22,192030
2017-05-23,192030
2017-05-24,192030
2017-05-25,192030
2017-05-26,184498
2017-05-27,184498
2017-05-28,184498
2017-05-29,175273
2017-05-30,175273
2017-05-31,175273
2017-06-01,166509
2017-06-02,166509
2017-06-03,166509
2017-06-06,158183
2017-06-07,150273
