date_obj,Maple%20sapling price
2015-03-26,38758
2015-03-27,38758
2015-03-28,38758
2015-03-29,40589
2015-03-30,40589
2015-03-31,40589
2015-04-01,40589
2015-04-02,42423
2015-04-03,42423
2015-04-04,42423
2015-04-05,44259
2015-04-06,44259
2015-04-07,44259
2015-04-08,44259
2015-04-09,42628
2015-04-10,42628
2015-04-11,42628
2015-04-12,40496
2015-04-13,40496
2015-04-14,40496
2015-04-15,38471
2015-04-16,38471
2015-04-17,38471
2015-04-18,39978
2015-04-19,39978
2015-04-20,39978
2015-04-21,41562
2015-04-22,41562
2015-04-23,41562
2015-04-24,41562
2015-04-25,43528
2015-04-26,43528
2015-04-27,43528
2015-04-28,45493
2015-04-29,45493
2015-04-30,45493
2015-05-01,45493
2015-05-02,46470
2015-05-03,46470
2015-05-04,46470
2015-05-05,46470
2015-05-06,47419
2015-05-07,47419
2015-05-08,47419
2015-05-09,47419
2015-05-10,49495
2015-05-11,49495
2015-05-12,49495
2015-05-13,49495
2015-05-14,49495
2015-05-15,47332
2015-05-16,47332
2015-05-17,47332
2015-05-18,47332
2015-05-19,45943
2015-05-20,45943
2015-05-21,45943
2015-05-22,45943
2015-05-23,45943
2015-05-24,46096
2015-05-25,46096
2015-05-26,46096
2015-05-27,46096
2015-05-28,44246
2015-05-29,44246
2015-05-30,43005
2015-05-31,43005
2015-06-01,43005
2015-06-02,43988
2015-06-03,43988
2015-06-04,43988
2015-06-05,45470
2015-06-06,45470
2015-06-07,45470
2015-06-08,44138
2015-06-09,44138
2015-06-10,44138
2015-06-11,43468
2015-06-12,43468
2015-06-13,43468
2015-06-14,43185
2015-06-15,43185
2015-06-16,43185
2015-06-17,43185
2015-06-18,43822
2015-06-19,43822
2015-06-20,43822
2015-06-21,43822
2015-06-22,45787
2015-06-23,45787
2015-06-24,45787
2015-06-25,45787
2015-06-26,46880
2015-06-27,46880
2015-06-28,46880
2015-06-29,46880
2015-06-30,45540
2015-07-01,45540
2015-07-02,45540
2015-07-03,44560
2015-07-04,44560
2015-07-05,44560
2015-07-06,44560
2015-07-07,43553
2015-07-08,43553
2015-07-09,43553
2015-07-10,42977
2015-07-11,42977
2015-07-12,42977
2015-07-13,42977
2015-07-14,43495
2015-07-15,43495
2015-07-16,43495
2015-07-17,45267
2015-07-18,45267
2015-07-19,45267
2015-07-20,45267
2015-07-21,47227
2015-07-22,47227
2015-07-23,47227
2015-07-24,48995
2015-07-25,48995
2015-07-26,48995
2015-07-27,48995
2015-07-28,49427
2015-07-29,49427
2015-07-30,49427
2015-07-31,49427
2015-08-01,48805
2015-08-02,48805
2015-08-03,48805
2015-08-04,48739
2015-08-05,48739
2015-08-06,48739
2015-08-07,49725
2015-08-08,49725
2015-08-09,49725
2015-08-10,50166
2015-08-11,50166
2015-08-12,50166
2015-08-13,50166
2015-08-14,50389
2015-08-15,50389
2015-08-16,50389
2015-08-17,51746
2015-08-18,51746
2015-08-19,51746
2015-08-20,52162
2015-08-21,52162
2015-08-22,52162
2015-08-23,52515
2015-08-24,52515
2015-08-25,52515
2015-08-26,52515
2015-08-27,53024
2015-08-28,53024
2015-08-29,53024
2015-08-30,53024
2015-08-31,53032
2015-09-01,53032
2015-09-02,53032
2015-09-03,53032
2015-09-04,51536
2015-09-05,51536
2015-09-06,51536
2015-09-07,51536
2015-09-08,50699
2015-09-09,50699
2015-09-10,50699
2015-09-11,50699
2015-09-12,49220
2015-09-13,49220
2015-09-14,49220
2015-09-15,49687
2015-09-16,49687
2015-09-17,49687
2015-09-18,49687
2015-09-19,52079
2015-09-20,52079
2015-09-21,52079
2015-09-22,52079
2015-09-23,53776
2015-09-24,53776
2015-09-25,53776
2015-09-27,54361
2015-09-28,54361
2015-09-29,54361
2015-09-30,53405
2015-10-05,51290
2015-10-06,51290
2015-10-07,51290
2015-10-08,51290
2015-10-09,50222
2015-10-10,50222
2015-10-11,50222
2015-10-12,50303
2015-10-13,50303
2015-10-14,50303
2015-10-15,51579
2015-10-16,51579
2015-10-17,51579
2015-10-18,51579
2015-10-19,50944
2015-10-20,50944
2015-10-22,50944
2015-10-23,50999
2015-10-24,50999
2015-10-25,50999
2015-10-26,51638
2015-10-27,51638
2015-10-29,51638
2015-10-30,51283
2015-10-31,51283
2015-11-01,51283
2015-11-02,51283
2015-11-03,51242
2015-11-04,51242
2015-11-05,51242
2015-11-06,51242
2015-11-07,51036
2015-11-08,51036
2015-11-09,51036
2015-11-10,51036
2015-11-11,50765
2015-11-12,50765
2015-11-13,50765
2015-11-14,50765
2015-11-15,50647
2015-11-16,50647
2015-11-17,50647
2015-11-18,50647
2015-11-19,51646
2015-11-20,51646
2015-11-21,51646
2015-11-22,51646
2015-11-23,53112
2015-11-24,53112
2015-11-25,53112
2015-11-26,53112
2015-11-27,52602
2015-11-28,52602
2015-11-29,52602
2015-11-30,52276
2015-12-01,52276
2015-12-02,52276
2015-12-03,52981
2015-12-04,52981
2015-12-05,52981
2015-12-06,54995
2015-12-07,54995
2015-12-08,54995
2015-12-09,57745
2015-12-10,57745
2015-12-11,57745
2015-12-12,60103
2015-12-13,60103
2015-12-14,60103
2015-12-15,60584
2015-12-16,60584
2015-12-17,60584
2015-12-18,58970
2015-12-19,58970
2015-12-20,58970
2015-12-21,59761
2015-12-22,59761
2015-12-23,59761
2015-12-24,61892
2015-12-25,61892
2015-12-26,61892
2015-12-27,60121
2015-12-28,60121
2015-12-29,60121
2015-12-30,57481
2015-12-31,57481
2016-01-01,57481
2016-01-02,54610
2016-01-03,54610
2016-01-04,55174
2016-01-05,55174
2016-01-06,57634
2016-01-07,57634
2016-01-08,60232
2016-01-09,60232
2016-01-10,60232
2016-01-11,62743
2016-01-12,62743
2016-01-13,64467
2016-01-14,64467
2016-01-15,67625
2016-01-16,67625
2016-01-17,67625
2016-01-18,68980
2016-01-19,68980
2016-01-20,68980
2016-01-21,67305
2016-01-22,67305
2016-01-23,67305
2016-01-24,65124
2016-01-25,65124
2016-01-26,61867
2016-01-27,61867
2016-01-28,61867
2016-01-29,59244
2016-01-30,59244
2016-01-31,59244
2016-02-01,56338
2016-02-02,56338
2016-02-03,53652
2016-02-04,53652
2016-02-05,53652
2016-02-06,52437
2016-02-07,52437
2016-02-08,52437
2016-02-09,53608
2016-02-10,53608
2016-02-11,53804
2016-02-12,53804
2016-02-13,55648
2016-02-14,55648
2016-02-15,55648
2016-02-16,54776
2016-02-17,54776
2016-02-18,54776
2016-02-19,52612
2016-02-20,52612
2016-02-21,50419
2016-02-22,50419
2016-02-23,50419
2016-02-24,52103
2016-02-25,52103
2016-02-26,52103
2016-02-27,53060
2016-02-28,53060
2016-02-29,52840
2016-03-01,52840
2016-03-02,52360
2016-03-03,52360
2016-03-04,53906
2016-03-05,53906
2016-03-06,53402
2016-03-07,53402
2016-03-08,53402
2016-03-09,52967
2016-03-10,52967
2016-03-11,54587
2016-03-12,54587
2016-03-13,56672
2016-03-14,56672
2016-03-15,56898
2016-03-16,56898
2016-03-17,56966
2016-03-18,56966
2016-03-19,58349
2016-03-20,58349
2016-03-21,56821
2016-03-22,56821
2016-03-23,57683
2016-03-24,57683
2016-03-25,57271
2016-03-26,57271
2016-03-27,57271
2016-03-28,55860
2016-03-29,55860
2016-03-30,55860
2016-03-31,53817
2016-04-01,53817
2016-04-02,53817
2016-04-03,53995
2016-04-04,53995
2016-04-05,53995
2016-04-06,54171
2016-04-07,54171
2016-04-08,54354
2016-04-09,54354
2016-04-10,53603
2016-04-11,53603
2016-04-12,53603
2016-04-13,53130
2016-04-14,53130
2016-04-15,52361
2016-04-16,52361
2016-04-17,51741
2016-04-18,51741
2016-04-19,50765
2016-04-20,50765
2016-04-21,50765
2016-04-22,49141
2016-04-23,49141
2016-04-24,48956
2016-04-25,48956
2016-04-26,47775
2016-04-27,47775
2016-04-28,47598
2016-04-29,47598
2016-04-30,45795
2016-05-01,45795
2016-05-02,47384
2016-05-03,47384
2016-05-04,49019
2016-05-05,49019
2016-05-06,50968
2016-05-07,50968
2016-05-08,50945
2016-05-09,50945
2016-05-10,48493
2016-05-11,48493
2016-05-12,48493
2016-05-13,46377
2016-05-14,46377
2016-05-15,46443
2016-05-16,46443
2016-05-17,44356
2016-05-18,44356
2016-05-19,42907
2016-05-22,43002
2016-05-23,43170
2016-05-24,43170
2016-05-25,43893
2016-05-26,43893
2016-05-27,45909
2016-05-28,45909
2016-05-29,45619
2016-05-30,45619
2016-05-31,45862
2016-06-01,46375
2016-06-02,46375
2016-06-03,47754
2016-06-04,47754
2016-06-05,48686
2016-06-06,49818
2016-06-07,49818
2016-06-08,51873
2016-06-09,54242
2016-06-10,54242
2016-06-11,55375
2016-06-12,55375
2016-06-13,54867
2016-06-14,54867
2016-06-15,55533
2016-06-16,55533
2016-06-17,55549
2016-06-18,55549
2016-06-19,53939
2016-06-20,53939
2016-06-21,53522
2016-06-22,53522
2016-06-23,52634
2016-06-24,52634
2016-06-25,52942
2016-06-26,52942
2016-06-27,52942
2016-06-28,53209
2016-06-29,53209
2016-06-30,53506
2016-07-01,52664
2016-07-02,52664
2016-07-03,53377
2016-07-04,54282
2016-07-05,54282
2016-07-06,54666
2016-07-07,54666
2016-07-08,54311
2016-07-09,54311
2016-07-10,55512
2016-07-11,57079
2016-07-12,57079
2016-07-13,58601
2016-07-14,58601
2016-07-15,60407
2016-07-16,60407
2016-07-17,63254
2016-07-18,63254
2016-07-23,60692
2016-07-24,60692
2016-07-25,57657
2016-07-26,57657
2016-07-27,54774
2016-07-28,54774
2016-07-29,52077
2016-07-30,52077
2016-07-31,53309
2016-08-01,53309
