date_obj,White%20cavalier price
2015-03-26,55948
2015-03-27,55948
2015-03-28,54774
2015-03-29,52261
2015-03-30,51330
2015-03-31,50427
2015-04-01,49298
2015-04-02,48914
2015-04-03,50292
2015-04-04,50428
2015-04-05,51196
2015-04-06,50786
2015-04-07,49889
2015-04-08,48981
2015-04-09,48275
2015-04-10,48193
2015-04-11,48554
2015-04-12,49202
2015-04-13,49061
2015-04-14,48814
2015-04-15,49113
2015-04-16,48522
2015-04-17,47999
2015-04-18,47587
2015-04-19,47117
2015-04-20,46430
2015-04-21,46335
2015-04-22,46649
2015-04-23,46367
2015-04-24,46332
2015-04-25,46705
2015-04-26,46533
2015-04-27,46114
2015-04-28,45099
2015-04-29,44950
2015-04-30,44968
2015-05-01,44263
2015-05-02,43464
2015-05-03,43173
2015-05-04,42391
2015-05-05,41668
2015-05-06,41175
2015-05-07,39909
2015-05-08,39476
2015-05-09,39216
2015-05-10,39108
2015-05-11,39108
2015-05-12,40374
2015-05-13,40433
2015-05-14,40923
2015-05-15,41694
2015-05-16,41591
2015-05-17,41747
2015-05-18,41851
2015-05-19,41448
2015-05-20,40861
2015-05-21,40009
2015-05-22,39552
2015-05-23,39255
2015-05-24,38295
2015-05-25,38011
2015-05-26,37478
2015-05-27,36775
2015-05-28,35831
2015-05-29,35523
2015-05-30,35175
2015-05-31,35350
2015-06-01,34872
2015-06-02,34872
2015-06-03,34753
2015-06-04,34703
2015-06-05,34892
2015-06-06,34807
2015-06-07,34865
2015-06-08,34862
2015-06-09,35171
2015-06-10,35228
2015-06-11,35609
2015-06-12,36399
2015-06-13,36270
2015-06-14,35913
2015-06-15,35989
2015-06-16,35875
2015-06-17,35763
2015-06-18,36063
2015-06-19,36177
2015-06-20,35297
2015-06-21,35265
2015-06-22,35186
2015-06-23,34988
2015-06-24,34853
2015-06-25,34853
2015-06-26,35125
2015-06-27,35401
2015-06-28,35443
2015-06-29,35504
2015-06-30,35489
2015-07-01,36454
2015-07-02,36454
2015-07-03,36403
2015-07-04,36127
2015-07-05,36482
2015-07-06,37082
2015-07-07,37563
2015-07-08,36657
2015-07-09,36657
2015-07-10,36808
2015-07-11,37485
2015-07-12,37647
2015-07-13,37912
2015-07-14,37137
2015-07-15,37138
2015-07-16,37208
2015-07-17,36856
2015-07-18,36643
2015-07-19,36655
2015-07-20,36621
2015-07-21,36855
2015-07-22,36682
2015-07-23,36682
2015-07-24,37565
2015-07-25,37448
2015-07-26,37731
2015-07-27,38131
2015-07-28,38352
2015-07-29,38833
2015-07-30,39605
2015-07-31,41109
2015-08-01,43165
2015-08-02,45284
2015-08-03,47241
2015-08-04,49423
2015-08-05,50983
2015-08-06,51544
2015-08-07,52077
2015-08-08,52608
2015-08-09,52967
2015-08-10,53568
2015-08-11,53317
2015-08-12,53317
2015-08-13,52558
2015-08-14,51922
2015-08-15,51922
2015-08-16,51517
2015-08-17,51310
2015-08-18,50805
2015-08-19,50150
2015-08-20,49011
2015-08-21,48954
2015-08-22,48036
2015-08-23,48149
2015-08-24,47656
2015-08-25,47656
2015-08-26,47104
2015-08-27,46212
2015-08-28,45921
2015-08-29,45387
2015-08-30,45386
2015-08-31,43904
2015-09-01,43052
2015-09-02,43052
2015-09-03,43491
2015-09-04,43380
2015-09-05,43380
2015-09-06,42715
2015-09-07,42876
2015-09-08,43093
2015-09-09,43095
2015-09-10,42138
2015-09-11,42146
2015-09-12,42430
2015-09-13,42439
2015-09-14,42596
2015-09-15,43080
2015-09-16,41065
2015-09-17,41027
2015-09-18,41406
2015-09-19,41961
2015-09-20,43086
2015-09-21,43691
2015-09-22,44544
2015-09-23,44268
2015-09-24,44268
2015-09-25,44630
2015-09-27,45232
2015-09-28,45209
2015-09-29,44783
2015-09-30,44812
2015-10-05,44439
2015-10-06,44023
2015-10-07,44296
2015-10-08,44602
2015-10-09,43939
2015-10-10,43939
2015-10-11,44240
2015-10-12,44744
2015-10-13,44744
2015-10-14,44659
2015-10-15,44345
2015-10-16,43465
2015-10-17,43465
2015-10-18,43086
2015-10-19,43390
2015-10-20,42248
2015-10-22,41378
2015-10-23,39745
2015-10-24,38192
2015-10-25,37491
2015-10-26,36719
2015-10-27,36719
2015-10-29,35607
2015-10-30,36372
2015-10-31,36671
2015-11-01,36671
2015-11-02,36273
2015-11-03,36339
2015-11-04,37131
2015-11-05,37199
2015-11-06,37199
2015-11-07,37164
2015-11-08,37164
2015-11-09,37311
2015-11-10,37832
2015-11-11,38679
2015-11-12,39016
2015-11-13,39016
2015-11-14,38801
2015-11-15,38639
2015-11-16,39097
2015-11-17,39097
2015-11-18,40456
2015-11-19,42291
2015-11-20,43377
2015-11-21,43377
2015-11-22,44236
2015-11-23,44236
2015-11-24,45468
2015-11-25,46677
2015-11-26,46677
2015-11-27,46841
2015-11-28,47175
2015-11-29,47712
2015-11-30,46471
2015-12-01,46466
2015-12-02,46040
2015-12-03,45586
