date_obj,Jar%20of%20dirt price
2016-02-14,73869
2016-02-15,73869
2016-02-16,73869
2016-02-17,73869
2016-02-18,73869
2016-02-19,73869
2016-02-20,73869
2016-02-21,73869
2016-02-22,70366
2016-02-23,70366
2016-02-24,70366
2016-02-25,70366
2016-02-26,70366
2016-02-27,70366
2016-02-28,70366
2016-02-29,67091
2016-03-01,67091
2016-03-02,67091
2016-03-03,67091
2016-03-04,67091
2016-03-05,67091
2016-03-06,67091
2016-03-07,67091
2016-03-08,64862
2016-03-09,64862
2016-03-10,64862
2016-03-11,64862
2016-03-12,64862
2016-03-13,64862
2016-03-14,64862
2016-03-15,64862
2016-03-16,64862
2016-03-17,62018
2016-03-18,62018
2016-03-19,62018
2016-03-20,62018
2016-03-21,62018
2016-03-22,62018
2016-03-23,62018
2016-03-24,62018
2016-03-25,62018
2016-03-26,59077
2016-03-27,59077
2016-03-28,59077
2016-03-29,59077
2016-03-30,59077
2016-03-31,59077
2016-04-01,59077
2016-04-02,59077
2016-04-03,59077
2016-04-04,56477
2016-04-05,56477
2016-04-06,56477
2016-04-07,56477
2016-04-08,56477
2016-04-09,56477
2016-04-10,56477
2016-04-11,56477
2016-04-12,56477
2016-04-13,56477
2016-04-14,53801
2016-04-15,53801
2016-04-16,53801
2016-04-17,53801
2016-04-18,53801
2016-04-19,53801
2016-04-20,53801
2016-04-21,53801
2016-04-22,51349
2016-04-23,51349
2016-04-24,51349
2016-04-25,51349
2016-04-26,51349
2016-04-27,51349
2016-04-28,51349
2016-04-29,48967
2016-04-30,48967
2016-05-01,48967
2016-05-02,48967
2016-05-03,48967
2016-05-04,48967
2016-05-05,47178
2016-05-06,47178
2016-05-07,47178
2016-05-08,47178
2016-05-09,47178
2016-05-10,47178
2016-05-11,47178
2016-05-12,47178
2016-05-13,45886
2016-05-14,45886
2016-05-15,45886
2016-05-16,45886
2016-05-17,45886
2016-05-18,45886
2016-05-19,45886
2016-05-22,44250
2016-05-23,44250
2016-05-24,44250
2016-05-25,44250
2016-05-26,44250
2016-05-27,44250
2016-05-28,44250
2016-05-29,42316
2016-05-30,42316
2016-05-31,42316
2016-06-01,42316
2016-06-02,42316
2016-06-03,42316
2016-06-04,42316
2016-06-05,42316
2016-06-06,42316
2016-06-07,40383
2016-06-08,40383
2016-06-09,40383
2016-06-10,40383
2016-06-11,40383
2016-06-12,40383
2016-06-13,40383
2016-06-14,38773
2016-06-15,38773
2016-06-16,38773
2016-06-17,38559
2016-06-18,38559
2016-06-19,38559
2016-06-20,38559
2016-06-21,38559
2016-06-22,39492
2016-06-23,39492
2016-06-24,39492
2016-06-25,39492
2016-06-26,39492
2016-06-27,39492
2016-06-28,39492
2016-06-29,38486
2016-06-30,38486
2016-07-01,38486
2016-07-02,38486
2016-07-03,38486
2016-07-04,38486
2016-07-05,38486
2016-07-06,37306
2016-07-07,37306
2016-07-08,37306
2016-07-09,37306
2016-07-10,37306
2016-07-11,37306
2016-07-12,37306
2016-07-13,38002
2016-07-14,38002
2016-07-15,39645
2016-07-16,39645
2016-07-17,39645
2016-07-18,39645
2016-07-23,41564
2016-07-24,41564
2016-07-25,41564
2016-07-26,41564
2016-07-27,41564
2016-07-28,41564
2016-07-29,43617
2016-07-30,43617
2016-07-31,43617
2016-08-01,43617
2016-08-02,43617
2016-08-03,43617
2016-08-04,45756
2016-08-05,45756
2016-08-06,45756
2016-08-07,45756
2016-08-08,45756
2016-08-09,45756
2016-08-10,48019
2016-08-11,48019
2016-08-12,48019
2016-08-13,48019
2016-08-14,48019
2016-08-15,48019
2016-08-16,48019
2016-08-17,48019
2016-08-18,50352
2016-08-19,50352
2016-08-20,50352
2016-08-21,50352
2016-08-22,50352
2016-08-23,50352
2016-08-24,50569
2016-08-25,48541
2016-08-26,48541
2016-08-28,46278
2016-08-31,46278
2016-09-01,44151
2016-09-02,44151
2016-09-03,44151
2016-09-04,44151
2016-09-05,44151
2016-09-06,42123
2016-09-07,42123
2016-09-08,42123
2016-09-09,42123
2016-09-10,42123
2016-09-11,40107
2016-09-12,40107
2016-09-13,40107
2016-09-14,40107
2016-09-15,38190
2016-09-16,38190
2016-09-17,38190
2016-09-18,38190
2016-09-19,38190
2016-09-20,38190
2016-09-21,36409
2016-09-22,36409
2016-09-23,36409
2016-09-24,36409
2016-09-25,36409
2016-09-26,36409
2016-09-27,34846
2016-09-28,34846
2016-09-29,34846
2016-09-30,34846
2016-10-01,34846
2016-10-02,34846
2016-10-03,33200
2016-10-04,33200
2016-10-05,33200
2016-10-06,33200
2016-10-07,33200
2016-10-08,31687
2016-10-09,31687
2016-10-10,31687
2016-10-11,31687
2016-10-12,31687
2016-10-13,31687
2016-10-14,30163
2016-10-15,30163
2016-10-16,30163
2016-10-17,30163
2016-10-18,30163
2016-10-19,28758
2016-10-20,28758
2016-10-21,28758
2016-10-22,28758
2016-10-23,28758
2016-10-24,27439
2016-10-25,27439
2016-10-26,27439
2016-10-27,27439
2016-10-28,27439
2016-10-29,26117
2016-10-30,26117
2016-10-31,26117
2016-11-01,26117
2016-11-02,26117
2016-11-03,24896
2016-11-04,24896
2016-11-05,24896
2016-11-06,24896
2016-11-07,24896
2016-11-08,23752
2016-11-09,23752
2016-11-10,23752
2016-11-11,23752
2016-11-12,23752
2016-11-13,23752
2016-11-14,22634
2016-12-07,19647
2016-12-08,18710
2016-12-09,18710
2016-12-10,18710
2016-12-11,18710
2016-12-12,18710
2016-12-13,18710
2016-12-14,17848
2016-12-15,17848
2016-12-16,17848
2016-12-17,17848
2016-12-18,17848
2016-12-19,17848
2016-12-20,17044
2016-12-21,17044
2016-12-22,17044
2016-12-23,17044
2016-12-24,17044
2016-12-25,17044
2016-12-26,17044
2016-12-27,16225
2016-12-28,16225
2016-12-29,16225
2016-12-30,16225
2016-12-31,16225
2017-01-01,16225
2017-01-02,15480
2017-01-03,15480
2017-01-04,15480
2017-01-05,15480
2017-01-06,15480
2017-01-07,15480
2017-01-08,14781
2017-01-09,14781
2017-01-10,14781
2017-01-11,14781
2017-01-12,14781
2017-01-13,14781
2017-01-14,14078
2017-01-15,14078
2017-01-16,14078
2017-01-17,14078
2017-01-18,14078
2017-01-19,14078
2017-01-20,13427
2017-01-21,13427
2017-01-22,13427
2017-01-27,12809
2017-01-28,12809
2017-01-29,12809
2017-01-30,12234
2017-01-31,12234
2017-02-01,12234
2017-02-02,12234
2017-02-03,12234
2017-02-04,11642
2017-02-05,11642
2017-02-06,11642
2017-02-07,11642
2017-02-08,11642
2017-02-09,11642
2017-02-10,11089
2017-02-11,11089
2017-02-12,11089
2017-02-13,11089
2017-02-14,11089
2017-02-15,10561
2017-02-16,10561
2017-02-18,10561
2017-02-19,10561
2017-02-20,10073
2017-02-21,10073
2017-02-22,10073
2017-02-23,10073
2017-02-24,10073
2017-02-25,10073
2017-02-26,9618
2017-02-27,9618
2017-02-28,9618
2017-03-01,9618
2017-03-02,9618
2017-03-03,9160
2017-03-04,9160
2017-03-05,9160
2017-03-06,9160
2017-03-07,9160
2017-03-08,9160
2017-03-09,8828
2017-03-10,8828
2017-03-11,8828
2017-03-12,8828
2017-03-13,8828
2017-03-14,8828
2017-03-15,8426
2017-03-16,8426
2017-03-17,8426
2017-03-18,8426
2017-03-19,8426
2017-03-20,8426
2017-03-21,8040
2017-03-22,8040
2017-03-23,8040
2017-03-24,8040
2017-03-25,8040
2017-03-26,8040
2017-03-27,8040
2017-03-28,7659
2017-03-29,7659
2017-03-30,7659
2017-03-31,7659
2017-04-01,7659
2017-04-02,7659
2017-04-03,7297
2017-04-04,7297
2017-04-12,6959
2017-04-13,6959
2017-04-14,6959
2017-04-15,6959
2017-04-16,6642
2017-04-17,6642
2017-04-18,6642
2017-04-19,6642
2017-04-20,6642
2017-04-21,6642
2017-04-22,6384
2017-04-23,6384
2017-04-24,6384
2017-04-25,6384
2017-04-26,6384
2017-04-27,6384
2017-04-28,6384
2017-04-29,6185
2017-04-30,6185
2017-05-01,6185
2017-05-02,6185
2017-05-03,6185
2017-05-04,6185
2017-05-05,6150
2017-05-06,6150
2017-05-07,6150
2017-05-08,6150
2017-05-09,6150
2017-05-10,6150
2017-05-11,6177
2017-05-12,6177
2017-05-13,6177
2017-05-14,6177
2017-05-15,6177
2017-05-16,6177
2017-05-17,6126
2017-05-18,6126
2017-05-19,6126
2017-05-20,6126
2017-05-21,6126
2017-05-22,6126
2017-05-23,6155
2017-05-24,6155
2017-05-25,6155
2017-05-26,6155
2017-05-27,6155
2017-05-28,6155
2017-05-29,6119
2017-05-30,6119
2017-05-31,6119
2017-06-01,6119
2017-06-02,6119
2017-06-03,6119
2017-06-04,5895
2017-06-06,5895
2017-06-07,5895
2017-06-08,5895
2017-06-09,5704
2017-06-10,5704
2017-06-11,5704
2017-06-12,5704
2017-06-13,5704
2017-06-14,5704
2017-06-15,5506
2017-06-16,5506
2017-06-17,5506
2017-06-18,5506
2017-06-19,5506
2017-06-20,5506
2017-06-21,5506
2017-06-22,5483
2017-06-23,5483
2017-06-24,5483
2017-06-25,5483
2017-06-26,5483
2017-06-27,5483
2017-06-28,5483
2017-06-29,5507
2017-06-30,5507
2017-07-01,5507
2017-07-02,5507
2017-07-03,5507
2017-07-04,5507
2017-07-05,5507
2017-07-06,5327
2017-07-07,5327
2017-07-08,5327
2017-07-13,5081
2017-07-14,5081
2017-07-15,5081
2017-07-16,5081
2017-07-17,5081
2017-07-18,4877
2017-07-19,4877
2017-07-20,4877
2017-07-21,4877
2017-07-22,4877
2017-07-23,4642
2017-07-24,4642
2017-07-25,4642
2017-07-26,4642
2017-07-27,4642
2017-07-28,4642
2017-07-29,4419
2017-07-30,4419
2017-07-31,4419
2017-08-01,4419
2017-08-02,4306
2017-08-03,4306
2017-08-04,4306
2017-08-05,4306
2017-08-06,4306
2017-08-09,4210
2017-08-10,4210
2017-08-11,4210
2017-08-12,4210
2017-08-13,4210
2017-08-14,4111
2017-08-15,4111
2017-08-16,4111
2017-08-17,4111
2017-08-18,4111
2017-08-19,4111
2017-08-20,4157
2017-08-21,4157
2017-08-22,4157
2017-08-23,4157
2017-08-24,4157
2017-08-25,4157
2017-08-26,4174
2017-08-27,4174
2017-08-28,4174
2017-08-29,4174
2017-08-30,4174
2017-08-31,4174
2017-09-01,4174
2017-09-02,4357
2017-09-03,4357
2017-09-04,4357
2017-09-05,4357
2017-09-06,4357
2017-09-07,4357
2017-09-08,4500
2017-09-09,4500
2017-09-10,4500
2017-09-11,4500
2017-09-12,4500
2017-09-13,4500
2017-09-14,4690
2017-09-15,4690
2017-09-16,4690
2017-09-17,4690
2017-09-19,4690
2017-09-20,4883
2017-09-21,4883
2017-09-22,4883
2017-09-23,4883
2017-09-24,4883
2017-09-25,4883
2017-09-26,4883
2017-09-27,5046
2017-09-28,5046
2017-09-29,5046
2017-09-30,5046
2017-10-01,5046
2017-10-02,5046
2017-10-03,5046
2017-10-04,5046
2017-10-05,5167
2017-10-06,5167
2017-10-07,5167
2017-10-08,5167
2017-10-09,5167
2017-10-10,5167
2017-10-11,5167
2017-10-12,5356
2017-10-13,5356
2017-10-14,5356
2017-10-15,5356
2017-10-16,5356
2017-10-17,5356
2017-10-18,5482
2017-10-19,5482
2017-10-20,5482
2017-10-21,5482
2017-10-22,5482
2017-10-23,5482
2017-10-24,5568
2017-10-25,5568
2017-10-26,5568
2017-10-27,5568
2017-10-28,5568
2017-10-29,5530
2017-10-30,5530
2017-10-31,5530
2017-11-01,5530
2017-11-02,5530
2017-11-03,5414
2017-11-04,5414
2017-11-05,5414
2017-11-06,5414
2017-11-07,5414
2017-11-08,5414
2017-11-09,5459
2017-11-10,5459
2017-11-11,5459
2017-11-12,5459
2017-11-13,5459
2017-11-14,5459
2017-11-15,5393
2017-11-16,5393
2017-11-17,5393
2017-11-18,5393
2017-11-19,5393
2017-11-20,5411
2017-11-21,5411
2017-11-22,5411
2017-11-23,5411
2017-11-24,5411
2017-11-25,5445
2017-11-26,5445
2017-11-27,5445
2017-11-28,5445
2017-11-29,5445
2017-11-30,5445
2017-12-01,5545
2017-12-02,5545
2017-12-03,5545
2017-12-04,5545
2017-12-05,5545
2017-12-06,5579
2017-12-07,5579
2017-12-08,5579
2017-12-09,5579
2017-12-10,5579
2017-12-11,5359
2017-12-12,5359
2017-12-14,5359
2017-12-15,5359
2017-12-16,5103
2017-12-17,5103
2017-12-18,5103
2017-12-19,5103
2017-12-20,5103
2017-12-21,4881
2017-12-22,4881
2017-12-23,4881
2017-12-24,4881
2017-12-25,4881
2017-12-26,4857
2017-12-27,4857
2017-12-28,4857
2017-12-29,4857
2017-12-30,4950
2017-12-31,4950
2018-01-01,4950
2018-01-02,4950
2018-01-03,5013
2018-01-04,5013
2018-01-05,5013
2018-01-06,5013
2018-01-07,4910
2018-01-08,4910
2018-01-09,4910
2018-01-10,4910
2018-01-11,4910
2018-01-12,4779
2018-01-13,4779
2018-01-14,4779
2018-01-15,4779
2018-01-16,4624
2018-01-17,4624
2018-01-18,4624
2018-01-19,4624
2018-01-20,4414
2018-01-21,4414
2018-01-22,4414
2018-01-23,4414
2018-01-25,4214
2018-01-26,4214
2018-01-27,4336
2018-01-28,4336
2018-01-29,4533
2018-01-30,4533
2018-01-31,4533
2018-02-01,4714
2018-02-02,4714
2018-02-03,4689
2018-02-04,4689
2018-02-05,4689
2018-02-06,4714
2018-02-07,4714
2018-02-08,4714
2018-02-09,4731
2018-02-10,4731
2018-02-11,4731
2018-02-12,4822
2018-02-13,4822
2018-02-14,4822
2018-02-15,4748
2018-02-16,4748
2018-02-17,4748
2018-02-18,4797
2018-02-19,4797
2018-02-20,4816
2018-02-21,4816
2018-02-22,4816
2018-02-23,4717
2018-02-24,4717
2018-02-25,4847
2018-02-26,4847
2018-02-27,4847
2018-02-28,4991
2018-03-01,4991
2018-03-02,5192
2018-03-03,5192
2018-03-04,5098
2018-03-05,5098
2018-03-06,5015
2018-03-07,5015
2018-03-08,5201
2018-03-09,5201
2018-03-10,5201
2018-03-11,5169
2018-03-12,5169
2018-03-13,5169
2018-03-14,5427
2018-03-15,5427
2018-03-16,5427
2018-03-17,5670
2018-03-18,5670
2018-03-19,5670
2018-03-20,5954
2018-03-21,5954
2018-03-23,6252
2018-03-24,6252
2018-03-25,6483
2018-03-26,6483
2018-03-27,6483
2018-03-28,6784
2018-03-29,6784
2018-03-30,6947
2018-03-31,6947
2018-04-01,6947
2018-04-02,7095
2018-04-03,7095
2018-04-04,7028
2018-04-05,7028
2018-04-06,7028
2018-04-07,6925
2018-04-08,6925
2018-04-09,6925
2018-04-10,6779
2018-04-11,6779
2018-04-12,6988
2018-04-13,6988
2018-04-14,6988
2018-04-15,7205
2018-04-16,7205
2018-04-17,7205
2018-04-18,7210
2018-04-19,7210
2018-04-20,7210
2018-04-21,7497
2018-04-22,7497
2018-04-23,7497
2018-04-24,7554
2018-04-25,7554
2018-04-26,7554
2018-04-27,7455
2018-04-28,7455
2018-04-29,7455
2018-04-30,7289
2018-05-01,7289
2018-05-04,6929
2018-05-05,6683
2018-05-06,6683
2018-05-07,6683
2018-05-08,6351
2018-05-09,6351
2018-05-10,6194
2018-05-11,6194
2018-05-12,6046
2018-05-13,6046
2018-05-14,6046
2018-05-15,5924
2018-05-16,5924
2018-05-17,5924
2018-05-18,6061
2018-05-19,6061
2018-05-20,6072
2018-05-21,6072
2018-05-22,6072
2018-05-23,6186
2018-05-24,6186
2018-05-25,6186
2018-05-26,6187
2018-05-27,6187
2018-05-28,6187
2018-05-29,6150
2018-05-30,6150
2018-05-31,6150
2018-06-01,6134
2018-06-02,6134
2018-06-03,6098
2018-06-04,6098
2018-06-05,6128
2018-06-06,6128
2018-06-07,6128
2018-06-08,6234
2018-06-09,6234
2018-06-10,6234
2018-06-11,6071
2018-06-12,6071
2018-06-13,5815
