date_obj,Teal%20boots price
2015-03-04,2500
2015-03-05,2500
2015-03-06,2500
2015-03-07,2500
2015-03-08,2500
2015-03-09,2500
2015-03-10,2429
2015-03-11,2429
2015-03-12,2429
2015-03-13,2429
2015-03-14,2429
2015-03-15,2429
2015-03-16,2429
2015-03-17,2429
2015-03-18,2429
2015-03-19,2429
2015-03-20,2429
2015-03-21,2429
2015-03-22,2429
2015-03-23,2429
2015-03-24,2429
2015-03-25,2377
2015-03-26,2377
2015-03-27,2377
2015-03-28,2377
2015-03-29,2377
2015-03-30,2377
2015-03-31,2377
2015-04-01,2377
2015-04-02,2377
2015-04-03,2377
2015-04-04,2377
2015-04-05,2377
2015-04-06,2377
2015-04-07,2377
2015-04-08,2331
2015-04-09,2331
2015-04-10,2331
2015-04-11,2331
2015-04-12,2331
2015-04-13,2331
2015-04-14,2331
2015-04-15,2331
2015-04-16,2331
2015-04-17,2331
2015-04-18,2331
2015-04-19,2331
2015-04-20,2331
2015-04-21,2331
2015-04-22,2331
2015-04-23,2262
2015-04-24,2262
2015-04-25,2262
2015-04-26,2262
2015-04-27,2262
2015-04-28,2262
2015-04-29,2262
2015-04-30,2262
2015-05-01,2262
2015-05-02,2262
2015-05-03,2262
2015-05-04,2262
2015-05-05,2262
2015-05-06,2262
2015-05-07,2262
2015-05-08,2262
2015-05-09,2231
2015-05-10,2231
2015-05-11,2231
2015-05-12,2231
2015-05-13,2231
2015-05-14,2231
2015-05-15,2231
2015-05-16,2231
2015-05-17,2231
2015-05-18,2231
2015-05-19,2231
2015-05-20,2231
2015-05-21,2231
2015-05-22,2231
2015-05-23,2231
2015-05-24,2231
2015-05-25,2231
2015-05-26,2231
2015-05-27,2231
2015-05-28,2125
2015-05-29,2125
2015-05-30,2125
2015-05-31,2125
2015-06-01,2125
2015-06-02,2125
2015-06-03,2125
2015-06-04,2125
2015-06-05,2125
2015-06-06,2125
2015-06-07,2051
2015-06-08,2051
2015-06-09,2051
2015-06-10,2051
2015-06-11,2051
2015-06-12,2051
2015-06-13,2051
2015-06-14,2051
