date_obj,Machete price
2016-01-21,560
2016-01-22,560
2016-01-23,560
2016-01-24,564
2016-01-25,564
2016-01-26,543
2016-01-27,543
2016-01-28,543
2016-01-29,515
2016-01-30,515
2016-01-31,515
2016-02-01,491
2016-02-02,491
2016-02-03,491
2016-02-04,493
2016-02-05,493
2016-02-06,485
2016-02-07,485
2016-02-08,485
2016-02-09,490
2016-02-10,490
2016-02-11,490
2016-02-12,472
2016-02-13,472
2016-02-14,467
2016-02-15,467
2016-02-16,467
2016-02-17,464
2016-02-18,464
2016-02-19,464
2016-02-20,455
2016-02-21,455
2016-02-22,452
2016-02-23,452
2016-02-24,452
2016-02-25,461
2016-02-26,461
2016-02-27,461
2016-02-28,463
2016-02-29,463
2016-03-01,466
2016-03-02,466
2016-03-03,466
2016-03-04,469
2016-03-05,469
2016-03-06,488
2016-03-07,488
2016-03-08,488
2016-03-09,502
2016-03-10,502
2016-03-11,502
2016-03-12,517
2016-03-13,517
2016-03-14,517
2016-03-15,536
2016-03-16,536
2016-03-17,536
2016-03-18,537
2016-03-19,537
2016-03-20,518
2016-03-21,518
2016-03-22,518
2016-03-23,508
2016-03-24,508
2016-03-25,482
2016-03-26,482
2016-03-27,482
2016-03-28,469
2016-03-29,469
2016-03-30,469
2016-03-31,449
2016-04-01,449
2016-04-02,449
2016-04-03,449
2016-04-04,449
2016-04-05,449
2016-04-06,445
2016-04-07,445
2016-04-08,445
2016-04-09,453
2016-04-10,453
2016-04-11,453
2016-04-12,453
2016-04-13,453
2016-04-14,453
2016-04-15,430
2016-04-16,430
2016-04-17,408
2016-04-18,408
2016-04-19,387
2016-04-20,387
2016-04-21,387
2016-04-22,367
2016-04-23,367
2016-04-24,348
2016-04-25,348
2016-04-26,333
2016-04-27,333
2016-04-28,350
2016-04-29,350
2016-04-30,360
2016-05-01,360
2016-05-02,355
2016-05-03,355
2016-05-04,340
2016-05-05,340
2016-05-06,340
2016-05-07,338
2016-05-08,338
2016-05-09,338
2016-05-10,345
2016-05-11,345
2016-05-12,345
2016-05-13,355
2016-05-14,355
2016-05-15,360
2016-05-16,360
2016-05-17,361
2016-05-18,361
2016-05-19,361
2016-05-22,364
2016-05-23,365
2016-05-24,365
2016-05-25,365
2016-05-26,346
2016-05-27,346
2016-05-28,331
2016-05-29,331
2016-05-30,333
2016-05-31,333
2016-06-01,318
2016-06-02,318
2016-06-03,318
2016-06-04,302
2016-06-05,302
2016-06-06,286
2016-06-07,286
2016-06-08,286
2016-06-09,271
2016-06-10,271
2016-06-11,259
2016-06-12,259
2016-06-13,254
2016-06-14,254
2016-06-15,243
2016-06-16,243
2016-06-17,230
2016-06-18,230
