date_obj,Ancient%20bracers price
2015-03-26,10857
2015-03-27,10857
2015-03-28,10314
2015-03-29,9947
2015-03-30,9494
2015-03-31,9019
2015-04-01,8727
2015-04-02,8349
2015-04-03,7954
2015-04-04,7653
2015-04-05,7314
2015-04-06,6952
2015-04-07,6697
2015-04-08,6697
2015-04-09,6547
2015-04-10,6486
2015-04-11,6475
2015-04-12,6456
2015-04-13,6629
2015-04-14,6629
2015-04-15,6897
2015-04-16,6778
2015-04-17,6728
2015-04-18,6399
2015-04-19,6206
2015-04-20,6206
2015-04-21,5924
2015-04-22,5924
2015-04-23,5705
2015-04-24,5451
2015-04-25,5190
2015-04-26,5051
2015-04-27,4924
2015-04-28,4698
2015-04-29,4698
2015-04-30,4552
2015-05-01,4388
2015-05-02,4201
2015-05-03,4201
2015-05-04,4039
2015-05-05,3901
2015-05-06,3754
2015-05-07,3677
2015-05-08,3570
2015-05-09,3528
2015-05-10,3640
2015-05-11,3640
2015-05-12,3767
2015-05-13,3767
2015-05-14,3945
2015-05-15,4086
2015-05-16,4086
2015-05-17,4221
2015-05-18,4333
2015-05-19,4349
2015-05-20,4349
2015-05-21,4474
2015-05-22,4542
2015-05-23,4692
2015-05-24,4716
2015-05-25,4897
2015-05-26,5054
2015-05-27,5054
2015-05-28,5146
2015-05-29,5375
2015-05-30,5621
2015-05-31,5621
2015-06-01,5868
2015-06-02,5868
2015-06-03,6004
2015-06-04,6004
2015-06-05,6123
2015-06-06,6427
2015-06-07,6720
2015-06-08,6720
2015-06-09,6888
2015-06-10,7227
2015-06-11,7227
2015-06-12,7585
2015-06-13,7965
2015-06-14,8346
2015-06-15,8415
2015-06-16,8675
2015-06-17,9018
2015-06-18,8785
2015-06-19,8785
2015-06-20,8612
2015-06-21,8612
2015-06-22,8716
2015-06-23,8659
2015-06-24,8478
2015-06-25,8478
2015-06-26,8230
2015-06-27,8230
2015-06-28,7959
2015-06-29,7823
2015-06-30,7647
2015-07-01,7329
2015-07-02,7329
2015-07-03,7271
2015-07-04,7067
2015-07-05,6978
2015-07-06,7019
2015-07-07,7004
2015-07-08,6965
2015-07-09,6965
2015-07-10,6770
2015-07-11,6770
2015-07-12,6686
2015-07-13,6503
2015-07-14,6222
2015-07-15,6016
2015-07-16,6016
2015-07-17,5777
2015-07-18,5777
2015-07-19,5498
2015-07-20,5242
2015-07-21,5006
2015-07-22,4781
2015-07-23,4781
2015-07-24,4567
2015-07-25,4567
2015-07-26,4377
2015-07-27,4276
2015-07-28,4174
2015-07-29,4105
2015-07-30,4105
2015-07-31,3973
2015-08-01,3973
2015-08-02,3876
2015-08-03,3876
2015-08-04,3833
2015-08-05,3809
2015-08-06,3818
2015-08-07,3818
2015-08-08,3816
2015-08-09,3723
