date_obj,Raurg%20bones price
2015-03-26,2386
2015-03-27,2386
2015-03-28,2386
2015-03-29,2386
2015-03-30,2386
2015-03-31,2386
2015-04-01,2386
2015-04-02,2386
2015-04-03,2386
2015-04-04,2386
2015-04-05,2386
2015-04-06,2386
2015-04-07,2386
2015-04-08,2386
2015-04-09,2478
2015-04-10,2478
2015-04-11,2478
2015-04-12,2478
2015-04-13,2478
2015-04-14,2478
2015-04-15,2478
2015-04-16,2478
2015-04-17,2478
2015-04-18,2478
2015-04-19,2478
2015-04-20,2478
2015-04-21,2478
2015-04-22,2478
2015-04-23,2568
2015-04-24,2568
2015-04-25,2568
2015-04-26,2568
2015-04-27,2568
2015-04-28,2568
2015-04-29,2568
2015-04-30,2568
2015-05-01,2568
2015-05-02,2568
2015-05-03,2568
2015-05-04,2568
2015-05-05,2568
2015-05-06,2666
2015-05-07,2666
2015-05-08,2666
2015-05-09,2666
2015-05-10,2666
2015-05-11,2666
2015-05-12,2666
2015-05-13,2666
2015-05-14,2666
2015-05-15,2666
2015-05-16,2666
2015-05-17,2666
2015-05-18,2666
2015-05-19,2666
2015-05-20,2666
2015-05-21,2666
2015-05-22,2771
2015-05-23,2771
2015-05-24,2771
2015-05-25,2771
2015-05-26,2771
2015-05-27,2771
2015-05-28,2771
2015-05-29,2771
2015-05-30,2771
2015-05-31,2771
2015-06-01,2887
2015-06-02,2887
2015-06-03,2887
2015-06-04,2887
2015-06-05,2887
2015-06-06,2887
2015-06-07,2887
2015-06-08,2887
2015-06-09,2887
2015-06-10,2887
2015-06-11,2887
2015-06-12,2887
2015-06-13,3003
2015-06-14,3003
2015-06-15,3003
2015-06-16,3003
2015-06-17,3003
2015-06-18,3003
2015-06-19,3003
2015-06-20,3003
2015-06-21,3003
2015-06-22,3003
2015-06-23,3003
2015-06-24,3003
2015-06-25,3003
2015-06-26,3112
2015-06-27,3112
2015-06-28,3112
2015-06-29,3112
2015-06-30,3112
2015-07-01,3112
2015-07-02,3112
2015-07-03,3112
2015-07-04,3112
2015-07-05,3112
2015-07-06,3112
2015-07-07,3112
2015-07-08,3112
2015-07-09,3112
2015-07-10,3112
2015-07-11,3229
2015-07-12,3229
2015-07-13,3229
2015-07-14,3229
2015-07-15,3229
2015-07-16,3229
2015-07-17,3229
2015-07-18,3229
2015-07-19,3229
2015-07-20,3229
2015-07-21,3229
2015-07-22,3229
2015-07-23,3229
2015-07-24,3229
2015-07-25,3229
2015-07-26,3229
2015-07-27,3229
2015-07-28,3331
2015-07-29,3331
2015-07-30,3331
2015-07-31,3331
2015-08-01,3331
2015-08-02,3331
2015-08-03,3331
2015-08-04,3331
2015-08-05,3331
2015-08-06,3331
2015-08-07,3331
2015-08-08,3331
2015-08-09,3331
2015-08-10,3331
2015-08-11,3460
2015-08-12,3460
2015-08-13,3460
2015-08-14,3460
2015-08-15,3460
2015-08-16,3460
2015-08-17,3460
2015-08-18,3460
2015-08-19,3460
2015-08-20,3460
2015-08-21,3460
2015-08-22,3460
2015-08-23,3460
2015-08-24,3460
2015-08-25,3576
2015-08-26,3576
2015-08-27,3576
2015-08-28,3576
2015-08-29,3576
2015-08-30,3576
2015-08-31,3576
2015-09-01,3576
2015-09-02,3576
2015-09-03,3576
2015-09-04,3576
2015-09-05,3713
2015-09-06,3713
2015-09-07,3713
2015-09-08,3713
2015-09-09,3713
2015-09-10,3713
2015-09-11,3713
2015-09-12,3713
2015-09-13,3713
2015-09-14,3713
2015-09-15,3713
2015-09-16,3713
2015-09-17,3867
2015-09-18,3867
2015-09-19,3867
2015-09-20,3867
2015-09-21,3867
2015-09-22,3867
2015-09-23,3867
2015-09-24,3867
2015-09-25,3867
2015-09-27,3867
2015-09-28,3867
2015-09-29,3867
2015-09-30,3867
2015-10-05,3985
2015-10-06,3985
2015-10-07,3985
2015-10-08,3985
2015-10-09,3985
2015-10-10,3985
2015-10-11,3985
2015-10-12,3985
2015-10-13,3985
2015-10-14,3985
2015-10-15,3985
2015-10-16,3985
2015-10-17,3985
2015-10-18,3985
2015-10-19,3985
2015-10-20,4116
2015-10-22,4116
2015-10-23,4116
2015-10-24,4116
2015-10-25,4116
2015-10-26,4116
2015-10-27,4116
2015-10-29,4116
2015-10-30,4116
2015-10-31,4116
2015-11-01,4116
2015-11-02,4116
2015-11-03,4116
2015-11-04,4116
2015-11-05,4116
2015-11-06,4116
2015-11-07,4116
2015-11-08,4257
2015-11-09,4257
2015-11-10,4257
2015-11-11,4257
2015-11-12,4257
2015-11-13,4257
2015-11-14,4257
2015-11-15,4257
2015-11-16,4257
2015-11-17,4257
2015-11-18,4257
2015-11-19,4257
2015-11-20,4257
2015-11-21,4257
2015-11-22,4257
2015-11-23,4257
2015-11-24,4257
2015-11-25,4257
2015-11-26,4419
2015-11-27,4419
2015-11-28,4419
2015-11-29,4419
2015-11-30,4419
2015-12-01,4419
2015-12-02,4419
2015-12-03,4419
