date_obj,Stone%20scarab price
2015-03-26,517
2015-03-27,517
2015-03-28,517
2015-03-29,517
2015-03-30,517
2015-03-31,517
2015-04-01,492
2015-04-02,492
2015-04-03,492
2015-04-04,492
2015-04-05,492
2015-04-06,492
2015-04-07,492
2015-04-08,492
2015-04-09,492
2015-04-10,467
2015-04-11,467
2015-04-12,467
2015-04-13,467
2015-04-14,467
2015-04-15,467
2015-04-16,467
2015-04-17,467
2015-04-18,467
2015-04-19,444
2015-04-20,444
2015-04-21,444
2015-04-22,444
2015-04-23,444
2015-04-24,444
2015-04-25,444
2015-04-26,444
2015-04-27,444
2015-04-28,422
2015-04-29,422
2015-04-30,422
2015-05-01,422
2015-05-02,422
2015-05-03,422
2015-05-04,422
2015-05-05,422
2015-05-06,401
2015-05-07,401
2015-05-08,401
2015-05-09,401
2015-05-10,401
2015-05-11,401
2015-05-12,381
2015-05-13,381
2015-05-14,381
2015-05-15,381
2015-05-16,381
2015-05-17,381
2015-05-18,362
2015-05-19,362
2015-05-20,362
2015-05-21,362
2015-05-22,362
2015-05-23,362
2015-05-24,362
2015-05-25,362
2015-05-26,343
2015-05-27,343
2015-05-28,343
2015-05-29,343
2015-05-30,343
2015-05-31,326
2015-06-01,326
2015-06-02,326
2015-06-03,326
2015-06-04,326
2015-06-05,326
2015-06-06,310
2015-06-07,310
2015-06-08,310
2015-06-09,310
2015-06-10,310
2015-06-11,310
2015-06-12,295
2015-06-13,295
2015-06-14,295
2015-06-15,295
2015-06-16,295
2015-06-17,295
2015-06-18,281
2015-06-19,281
2015-06-20,281
2015-06-21,281
2015-06-22,281
2015-06-23,281
2015-06-24,267
2015-06-25,267
2015-06-26,267
2015-06-27,267
2015-06-28,267
2015-06-29,267
2015-06-30,253
2015-07-01,253
2015-07-02,253
2015-07-03,253
2015-07-04,253
2015-07-05,253
2015-07-06,253
2015-07-07,240
2015-07-08,240
2015-07-09,240
2015-07-10,240
2015-07-11,240
2015-07-12,240
2015-07-13,229
2015-07-14,229
2015-07-15,229
2015-07-16,229
2015-07-17,229
2015-07-18,217
2015-07-19,217
2015-07-20,217
2015-07-21,217
2015-07-22,217
2015-07-23,217
2015-07-24,207
2015-07-25,207
2015-07-26,207
2015-07-27,207
2015-07-28,207
2015-07-29,207
2015-07-30,197
2015-07-31,197
2015-08-01,197
2015-08-02,197
2015-08-03,188
2015-08-04,188
2015-08-05,188
2015-08-06,188
2015-08-07,188
2015-08-08,179
2015-08-09,179
2015-08-10,179
2015-08-11,179
2015-08-12,179
2015-08-13,179
2015-08-14,170
2015-08-15,170
2015-08-16,170
2015-08-17,170
2015-08-18,170
2015-08-19,170
2015-08-20,161
2015-08-21,161
2015-08-22,161
2015-08-23,161
2015-08-24,161
2015-08-25,161
2015-08-26,153
2015-08-27,153
2015-08-28,153
2015-08-29,153
2015-08-30,153
2015-08-31,153
2015-09-01,155
2015-09-02,155
2015-09-03,155
2015-09-04,155
2015-09-05,155
2015-09-06,155
2015-09-07,155
2015-09-08,155
2015-09-09,155
2015-09-10,155
2015-09-11,155
2015-09-12,155
2015-09-13,155
2015-09-14,161
2015-09-15,161
2015-09-16,161
2015-09-17,161
2015-09-18,161
2015-09-19,161
2015-09-20,161
2015-09-21,161
2015-09-22,161
2015-09-23,161
2015-09-24,161
2015-09-25,161
2015-09-27,165
2015-09-28,165
2015-09-29,165
2015-09-30,165
2015-10-05,162
2015-10-06,162
2015-10-07,162
2015-10-08,162
2015-10-09,162
2015-10-10,162
2015-10-11,160
2015-10-12,160
2015-10-13,160
2015-10-14,160
2015-10-15,160
2015-10-16,160
2015-10-17,164
2015-10-18,164
2015-10-19,164
2015-10-20,164
2015-10-22,164
2015-10-23,162
2015-10-24,162
2015-10-25,162
2015-10-26,162
2015-10-27,162
2015-10-29,163
2015-10-30,163
2015-10-31,163
2015-11-01,163
2015-11-02,163
2015-11-03,163
2015-11-04,163
2015-11-05,163
2015-11-06,163
2015-11-07,163
2015-11-08,163
2015-11-09,163
2015-11-10,163
2015-11-11,163
2015-11-12,164
2015-11-13,164
2015-11-14,164
2015-11-15,164
2015-11-16,164
2015-11-17,164
2015-11-18,164
2015-11-19,163
2015-11-20,163
2015-11-21,163
2015-11-22,163
2015-11-23,163
2015-11-24,163
2015-11-25,167
2015-11-26,167
2015-11-27,167
2015-11-28,167
2015-11-29,167
2015-11-30,167
2015-12-01,167
2015-12-02,169
2015-12-03,169
2015-12-04,169
2015-12-05,169
2015-12-06,169
2015-12-07,169
2015-12-08,168
2015-12-09,168
2015-12-10,168
2015-12-11,168
2015-12-13,167
2015-12-14,167
2015-12-15,167
2015-12-16,167
2015-12-17,167
2015-12-18,167
2015-12-19,166
2015-12-20,166
2015-12-21,166
2015-12-22,166
2015-12-23,166
2015-12-24,165
2015-12-25,165
2015-12-26,165
2015-12-27,165
2015-12-28,165
