date_obj,Adamant%20gold-trimmed%20set%20(sk) price
2016-02-12,191310
2016-02-13,191310
2016-02-14,191310
2016-02-15,191310
2016-02-16,191310
2016-02-17,191310
2016-02-18,191310
2016-02-19,191310
2016-02-20,191310
2016-02-21,185822
2016-02-22,185822
2016-02-23,185822
2016-02-24,185822
2016-02-25,185822
2016-02-26,185822
2016-02-27,185822
2016-02-28,185822
2016-02-29,185822
2016-03-01,185822
2016-03-02,185822
2016-03-03,185822
2016-03-04,185822
2016-03-05,185822
2016-03-06,185822
2016-03-07,185822
2016-03-08,185822
2016-03-09,185822
2016-03-10,185822
2016-03-11,185822
2016-03-12,185822
2016-03-13,185822
2016-03-14,185822
2016-03-15,181957
2016-03-16,181957
2016-03-17,181957
2016-03-18,181957
2016-03-19,181957
2016-03-20,181957
2016-03-21,181957
2016-03-22,181957
2016-03-23,181957
2016-03-24,181957
2016-03-25,181957
2016-03-26,181957
2016-03-27,181957
2016-03-28,181957
2016-03-29,181957
2016-03-30,181957
2016-03-31,181957
2016-04-01,181957
2016-04-02,181957
2016-04-03,181957
2016-04-04,181957
2016-04-05,181957
2016-04-06,181957
2016-04-07,181957
2016-04-08,181957
2016-04-09,181957
2016-04-10,181957
2016-04-11,181957
2016-04-12,181957
2016-04-13,173888
2016-04-14,173888
2016-04-15,173888
2016-04-16,173888
2016-04-17,173888
2016-04-18,173888
2016-04-19,173888
2016-04-20,173888
2016-04-21,173888
2016-04-22,173888
2016-04-23,173888
2016-04-24,173888
2016-04-25,173888
2016-04-26,173888
2016-04-27,173888
2016-04-28,173888
2016-04-29,173888
2016-04-30,173888
2016-05-01,173888
2016-05-02,173888
2016-05-03,173888
2016-05-04,173888
2016-05-05,166442
2016-05-06,166442
2016-05-07,166442
2016-05-08,166442
2016-05-09,166442
2016-05-10,166442
2016-05-11,166442
2016-05-12,166442
2016-05-13,166442
2016-05-14,166442
2016-05-15,166442
2016-05-16,166442
2016-05-17,166442
2016-05-18,166442
2016-05-19,166442
2016-05-21,166442
2016-05-22,166442
2016-05-23,166442
2016-05-24,158351
2016-05-25,158351
2016-05-26,158351
2016-05-27,158351
2016-05-28,158351
2016-05-29,158351
2016-05-30,158351
2016-05-31,158351
2016-06-01,158351
2016-06-02,158351
2016-06-03,158351
2016-06-04,158351
2016-06-05,158351
2016-06-06,158351
2016-06-07,158351
