date_obj,Bandos%20coif price
2015-03-26,17348
2015-03-27,17348
2015-03-28,17204
2015-03-29,16977
2015-03-30,16799
2015-03-31,16583
2015-04-01,16693
2015-04-02,16741
2015-04-03,17011
2015-04-04,17317
2015-04-05,17019
2015-04-06,17100
2015-04-07,17012
2015-04-08,17092
2015-04-09,17553
2015-04-10,17954
2015-04-11,18673
2015-04-12,19001
2015-04-13,19250
2015-04-14,19444
2015-04-15,19430
2015-04-16,20027
2015-04-17,20427
2015-04-18,20716
2015-04-19,20730
2015-04-20,20801
2015-04-21,20919
2015-04-22,20917
2015-04-23,20958
2015-04-24,21010
2015-04-25,21263
2015-04-26,20951
2015-04-27,21390
2015-04-28,22130
2015-04-29,22746
2015-04-30,22982
2015-05-01,22958
2015-05-02,23221
2015-05-03,23282
2015-05-04,23372
2015-05-05,23680
2015-05-06,23791
2015-05-07,23936
2015-05-08,24361
2015-05-09,24808
2015-05-10,25007
2015-05-11,25230
2015-05-12,25437
2015-05-13,25855
2015-05-14,25988
2015-05-15,25667
2015-05-16,24674
2015-05-17,24587
2015-05-18,24133
2015-05-19,24013
2015-05-20,23270
2015-05-21,23270
2015-05-22,22550
2015-05-23,22631
2015-05-24,22180
2015-05-25,21532
2015-05-26,21014
2015-05-27,20341
2015-05-28,19977
2015-05-29,19639
2015-05-30,19444
2015-05-31,19584
2015-06-01,19455
2015-06-02,19455
2015-06-03,18958
2015-06-04,18821
2015-06-05,18465
2015-06-06,18214
2015-06-07,18206
2015-06-08,18450
2015-06-09,18500
2015-06-10,18810
2015-06-11,19147
2015-06-12,19787
2015-06-13,20154
2015-06-14,20496
2015-06-15,20580
2015-06-16,20602
2015-06-17,19737
2015-06-18,20012
2015-06-19,20119
2015-06-20,20013
2015-06-21,19963
2015-06-22,19912
2015-06-23,19843
2015-06-24,20067
2015-06-25,20346
2015-06-26,20440
2015-06-27,20685
2015-06-28,21042
2015-06-29,20839
2015-06-30,21288
2015-07-01,21532
2015-07-02,21532
2015-07-03,22050
2015-07-04,22674
2015-07-05,22848
2015-07-06,23313
2015-07-07,23924
2015-07-08,24686
2015-07-09,24686
2015-07-10,25307
2015-07-11,25832
2015-07-12,26519
2015-07-13,26981
2015-07-14,27600
2015-07-15,27222
2015-07-16,27101
2015-07-17,26869
2015-07-18,27441
2015-07-19,27804
2015-07-20,27416
2015-07-21,27786
2015-07-22,27517
2015-07-23,27517
2015-07-24,26658
2015-07-25,26325
2015-07-26,26160
2015-07-27,25871
2015-07-28,25469
2015-07-29,25715
2015-07-30,26231
2015-07-31,26833
2015-08-01,26927
2015-08-02,26822
2015-08-03,26279
2015-08-04,26625
2015-08-05,25952
2015-08-06,26346
2015-08-07,26720
2015-08-08,26901
2015-08-09,27014
2015-08-10,27230
2015-08-11,27449
2015-08-12,27887
2015-08-13,28019
2015-08-14,28304
2015-08-15,28315
2015-08-16,28143
2015-08-17,28292
2015-08-18,27719
2015-08-19,27670
2015-08-20,27922
2015-08-21,28061
