date_obj,Bandos%20plateskirt price
2015-03-26,38041
2015-03-27,38041
2015-03-28,38419
2015-03-29,38419
2015-03-30,38075
2015-03-31,38075
2015-04-01,38658
2015-04-02,38658
2015-04-03,38922
2015-04-04,38692
2015-04-05,38692
2015-04-06,38407
2015-04-07,38407
2015-04-08,38927
2015-04-09,38927
2015-04-10,39672
2015-04-11,39933
2015-04-12,39933
2015-04-13,39305
2015-04-14,39305
2015-04-15,38820
2015-04-16,38820
2015-04-17,39718
2015-04-18,39718
2015-04-19,39929
2015-04-20,39929
2015-04-21,39885
2015-04-22,39885
2015-04-23,41208
2015-04-24,41208
2015-04-25,42456
2015-04-26,42456
2015-04-27,41144
2015-04-28,40186
2015-04-29,40186
2015-04-30,38630
2015-05-01,39399
2015-05-02,39399
2015-05-03,39929
2015-05-04,39929
2015-05-05,39751
2015-05-06,39751
2015-05-07,39980
2015-05-08,39980
2015-05-09,39023
2015-05-10,38508
2015-05-11,38508
2015-05-12,38501
2015-05-13,38501
2015-05-14,38424
2015-05-15,38424
2015-05-16,37132
2015-05-17,36250
2015-05-18,37019
2015-05-19,37019
2015-05-20,37223
2015-05-21,37223
2015-05-22,37634
2015-05-23,37634
2015-05-24,37323
2015-05-25,38003
2015-05-26,38003
2015-05-27,38885
2015-05-28,38885
2015-05-29,38789
2015-05-30,39223
2015-05-31,39223
2015-06-01,38495
2015-06-02,38495
2015-06-03,39266
2015-06-04,39266
2015-06-05,39201
2015-06-06,39201
2015-06-07,39734
2015-06-08,39734
2015-06-09,40143
2015-06-10,40143
2015-06-11,40557
2015-06-12,40557
2015-06-13,42042
2015-06-14,42042
2015-06-15,40872
2015-06-16,40872
2015-06-17,39553
2015-06-18,39333
2015-06-19,39333
2015-06-20,38238
2015-06-21,38238
2015-06-22,38477
2015-06-23,38477
2015-06-24,38246
2015-06-25,38246
2015-06-26,38364
2015-06-27,38364
2015-06-28,38928
2015-06-29,38928
2015-06-30,39498
2015-07-01,39764
2015-07-02,39764
2015-07-03,39174
2015-07-04,39174
2015-07-05,39325
2015-07-06,39325
2015-07-07,39244
2015-07-08,39244
2015-07-09,40536
2015-07-10,40536
2015-07-11,40710
2015-07-12,40710
2015-07-13,39915
2015-07-14,39915
2015-07-15,39774
2015-07-16,39774
2015-07-17,40305
2015-07-18,40305
2015-07-19,40442
2015-07-20,40442
2015-07-21,40820
2015-07-22,40820
2015-07-23,41289
2015-07-24,41289
2015-07-25,41369
2015-07-26,41369
2015-07-27,40993
2015-07-28,40993
2015-07-29,41200
2015-07-30,41200
2015-07-31,41314
2015-08-01,41314
2015-08-02,41657
2015-08-03,41657
2015-08-04,41657
2015-08-05,40322
2015-08-06,40322
2015-08-07,39752
2015-08-08,39752
2015-08-09,39465
2015-08-10,39465
2015-08-11,38799
2015-08-12,38799
2015-08-13,38799
2015-08-14,39109
2015-08-15,39109
2015-08-16,39109
2015-08-17,38526
2015-08-18,38526
2015-08-19,38717
2015-08-20,38717
2015-08-21,38508
2015-08-22,39572
2015-08-23,39572
2015-08-24,39996
2015-08-25,39996
2015-08-26,39996
2015-08-27,39350
2015-08-28,39350
2015-08-29,39842
2015-08-30,39842
2015-08-31,39301
2015-09-01,39301
2015-09-02,40230
2015-09-03,40230
2015-09-04,40990
2015-09-05,40990
2015-09-06,40990
2015-09-07,40652
2015-09-08,40652
2015-09-09,40652
2015-09-10,39917
2015-09-11,39917
2015-09-12,39443
2015-09-13,39443
2015-09-14,40124
2015-09-15,40124
2015-09-16,39655
2015-09-17,39655
2015-09-18,39051
2015-09-19,39051
2015-09-20,39051
2015-09-21,40595
2015-09-22,40595
2015-09-23,41091
2015-09-24,41091
2015-09-25,41091
2015-09-27,39974
2015-09-28,39610
2015-09-29,39610
2015-09-30,39761
2015-10-05,39968
2015-10-06,39968
2015-10-07,39554
2015-10-08,39554
2015-10-09,39323
2015-10-10,39323
2015-10-11,39812
2015-10-12,39812
2015-10-13,40045
2015-10-14,40045
2015-10-15,40030
2015-10-16,40030
2015-10-17,40030
2015-10-18,40033
2015-10-19,40033
2015-10-20,39555
2015-10-22,39555
2015-10-23,39710
2015-10-24,39710
2015-10-25,39998
2015-10-26,39998
2015-10-27,39468
2015-10-28,39468
2015-10-29,39536
2015-10-30,39536
2015-10-31,39536
2015-11-01,39376
2015-11-02,39376
2015-11-03,39376
2015-11-04,40036
2015-11-05,40036
2015-11-06,40036
2015-11-07,39786
2015-11-08,39786
2015-11-09,39786
2015-11-10,39948
2015-11-11,39948
2015-11-12,39571
2015-11-13,39571
2015-11-14,39571
2015-11-15,38250
2015-11-16,38250
2015-11-17,38250
2015-11-18,38387
2015-11-19,38387
2015-11-20,39049
2015-11-21,39049
2015-11-22,38257
2015-11-23,38257
2015-11-24,38257
2015-11-25,38646
2015-11-26,38646
2015-11-27,38646
2015-11-28,39243
2015-11-29,39243
2015-11-30,39393
2015-12-01,39393
2015-12-02,40726
2015-12-03,40726
2015-12-04,40579
2015-12-05,40579
2015-12-06,39170
2015-12-07,39170
2015-12-08,39244
2015-12-09,39244
2015-12-10,38483
2015-12-11,38483
2015-12-12,38712
2015-12-13,38712
2015-12-14,38712
2015-12-15,39923
2015-12-16,39923
2015-12-17,39923
2015-12-18,40446
2015-12-19,40446
2015-12-20,40131
2015-12-21,40131
2015-12-22,40455
2015-12-23,40455
2015-12-24,41614
2015-12-25,41614
2015-12-26,40318
2015-12-27,40318
2015-12-28,39820
2015-12-29,39447
2015-12-30,39447
2015-12-31,38420
2016-01-01,38420
2016-01-02,38420
2016-01-03,39877
2016-01-04,39877
2016-01-05,40742
2016-01-06,40742
2016-01-07,39703
2016-01-08,39703
2016-01-09,41261
2016-01-10,41261
2016-01-11,42121
2016-01-12,42121
2016-01-13,42311
2016-01-14,42311
2016-01-15,40901
2016-01-16,40901
2016-01-17,40743
2016-01-18,42083
2016-01-19,42083
2016-01-20,42348
2016-01-21,42348
2016-01-22,40921
2016-01-23,40921
2016-01-24,39298
2016-01-25,38477
2016-01-26,38477
2016-01-27,37820
2016-01-28,37820
2016-01-29,39553
2016-01-30,39553
2016-01-31,41458
2016-02-01,41458
2016-02-02,41875
2016-02-03,41875
2016-02-04,41315
2016-02-05,41315
2016-02-06,40282
2016-02-07,40282
2016-02-08,39046
2016-02-09,39046
2016-02-10,38517
2016-02-11,38517
2016-02-12,40163
2016-02-13,39820
2016-02-14,39820
2016-02-15,40245
