date_obj,Ahrim's%20staff price
2015-03-26,64866
2015-03-27,63718
2015-03-28,63718
2015-03-29,61505
2015-03-30,61505
2015-03-31,61505
2015-04-01,58931
2015-04-02,58931
2015-04-03,58931
2015-04-04,57015
2015-04-05,57015
2015-04-06,57015
2015-04-07,54731
2015-04-08,54731
2015-04-09,54731
2015-04-10,53878
2015-04-11,53878
2015-04-12,53878
2015-04-13,54702
2015-04-14,54702
2015-04-15,54702
2015-04-16,55650
2015-04-17,55650
2015-04-18,57876
2015-04-19,57876
2015-04-20,57876
2015-04-21,58905
2015-04-22,58905
2015-04-23,58905
2015-04-24,59560
2015-04-25,59560
2015-04-26,59560
2015-04-27,59701
2015-04-28,59701
2015-04-29,59701
2015-04-30,57288
2015-05-01,57288
2015-05-02,57288
2015-05-03,56781
2015-05-04,56781
2015-05-05,56781
2015-05-06,56242
2015-05-07,56242
2015-05-08,56242
2015-05-09,55053
2015-05-10,55053
2015-05-11,55053
2015-05-12,53884
2015-05-13,53884
2015-05-14,53884
2015-05-15,53527
2015-05-16,53527
2015-05-17,53527
2015-05-18,53539
2015-05-19,53539
2015-05-20,53539
2015-05-21,53539
2015-05-22,53539
2015-05-23,55421
2015-05-24,55421
2015-05-25,55421
2015-05-26,54793
2015-05-27,54793
2015-05-28,53723
2015-05-29,53723
2015-05-30,53963
2015-05-31,53963
2015-06-01,53143
2015-06-02,53143
2015-06-03,53143
2015-06-04,53132
2015-06-05,53132
2015-06-06,53193
2015-06-07,53193
2015-06-08,52500
2015-06-09,52500
2015-06-10,53643
2015-06-11,53643
2015-06-12,53643
2015-06-13,54934
2015-06-14,54934
2015-06-15,55449
2015-06-16,55449
2015-06-17,56317
2015-06-18,56317
2015-06-19,57039
2015-06-20,57039
2015-06-21,57039
2015-06-22,57838
2015-06-23,57838
2015-06-24,57577
2015-06-25,57577
2015-06-26,57577
2015-06-27,58505
2015-06-28,58505
2015-06-29,58182
2015-06-30,58182
2015-07-01,56596
2015-07-02,56596
2015-07-03,56596
2015-07-04,55056
2015-07-05,55056
2015-07-06,55056
2015-07-07,56309
2015-07-08,56309
2015-07-09,56309
2015-07-10,55372
2015-07-11,55372
2015-07-12,55372
2015-07-13,56462
2015-07-14,56462
2015-07-15,55926
2015-07-16,55926
2015-07-17,55864
2015-07-18,55864
2015-07-19,55864
2015-07-20,56995
2015-07-21,56995
2015-07-22,55692
2015-07-23,55692
2015-07-24,56830
2015-07-25,56830
2015-07-26,56830
2015-07-27,57634
2015-07-28,57634
2015-07-29,56910
2015-07-30,56910
2015-07-31,56910
2015-08-01,56730
2015-08-02,56730
2015-08-03,57669
2015-08-04,57669
2015-08-05,57027
2015-08-06,57027
2015-08-07,58208
2015-08-08,58208
2015-08-09,57491
2015-08-10,57491
2015-08-11,58001
2015-08-12,58001
2015-08-13,58001
2015-08-14,56902
2015-08-15,56902
2015-08-16,56902
2015-08-17,55853
2015-08-18,55853
2015-08-19,56977
2015-08-20,56977
2015-08-21,57178
2015-08-22,57178
2015-08-23,57372
2015-08-24,57372
2015-08-25,57372
2015-08-26,57381
2015-08-27,57381
2015-08-28,58881
2015-08-29,58881
2015-08-30,58952
2015-08-31,58952
2015-09-01,59329
2015-09-02,59329
2015-09-03,58901
2015-09-04,58901
2015-09-05,57835
2015-09-06,57835
2015-09-07,57461
2015-09-08,57461
2015-09-09,58286
2015-09-10,58286
2015-09-11,57297
2015-09-12,57297
2015-09-13,57449
2015-09-14,57449
2015-09-15,58109
2015-09-16,58109
2015-09-17,58109
2015-09-18,58183
2015-09-19,58183
2015-09-20,58183
2015-09-21,58137
2015-09-22,58137
2015-09-23,58539
2015-09-24,58539
2015-09-25,58539
2015-09-27,58695
2015-09-28,58695
2015-09-29,58695
2015-09-30,59578
2015-10-05,59230
2015-10-06,58764
2015-10-07,58764
2015-10-08,58764
2015-10-09,59213
2015-10-10,59213
2015-10-11,59213
2015-10-12,59577
2015-10-13,59577
2015-10-14,59577
2015-10-15,59577
2015-10-16,60688
2015-10-17,60688
2015-10-18,60688
2015-10-19,62706
2015-10-20,62706
2015-10-22,65541
2015-10-23,65541
2015-10-24,65541
2015-10-25,65942
2015-10-26,65942
2015-10-27,65942
2015-10-28,69082
2015-10-29,69082
2015-10-30,69082
2015-10-31,72026
2015-11-01,72026
2015-11-02,72026
2015-11-03,72026
2015-11-04,72536
2015-11-05,72536
2015-11-06,72536
2015-11-07,74056
2015-11-08,74056
2015-11-09,74056
2015-11-10,74056
2015-11-11,73765
2015-11-12,73765
2015-11-13,73765
2015-11-14,73765
2015-11-15,76604
2015-11-16,76604
2015-11-17,76604
2015-11-18,76620
2015-11-19,76620
2015-11-20,74527
2015-11-21,74527
2015-11-22,74527
2015-11-23,74816
2015-11-24,74816
2015-11-25,74496
2015-11-26,74496
2015-11-27,74496
2015-11-28,74919
2015-11-29,74919
2015-11-30,77764
2015-12-01,77764
2015-12-02,77764
2015-12-03,77810
2015-12-04,77810
