date_obj,Irit%20potion%20(unf) price
2015-03-26,1100
2015-03-27,1100
2015-03-28,1100
2015-03-29,1100
2015-03-30,1100
2015-03-31,1100
2015-04-01,1050
2015-04-02,1050
2015-04-03,1050
2015-04-04,1050
2015-04-05,1050
2015-04-06,1048
2015-04-07,1048
2015-04-08,1048
2015-04-09,1048
2015-04-10,1048
2015-04-11,1048
2015-04-12,1018
2015-04-13,1018
2015-04-14,1018
2015-04-15,1018
2015-04-16,1018
2015-04-17,1003
2015-04-18,1003
2015-04-19,1003
2015-04-20,1003
2015-04-21,1003
2015-04-22,1003
2015-04-23,982
2015-04-24,982
2015-04-25,982
2015-04-26,982
2015-04-27,982
2015-04-28,991
2015-04-29,991
2015-04-30,991
2015-05-01,991
2015-05-02,991
2015-05-03,1012
2015-05-04,1012
2015-05-05,1012
2015-05-06,1012
2015-05-07,1044
2015-05-08,1044
2015-05-09,1044
2015-05-10,1044
2015-05-11,1044
2015-05-12,1030
2015-05-13,1030
2015-05-14,1030
2015-05-15,1030
2015-05-16,1030
2015-05-17,1030
2015-05-18,1020
2015-05-19,1020
2015-05-20,1020
2015-05-21,1020
2015-05-22,1020
2015-05-23,1020
2015-05-24,1013
2015-05-25,1013
2015-05-26,1013
2015-05-27,1013
2015-05-28,1053
2015-05-29,1053
2015-05-30,1053
2015-05-31,1098
2015-06-01,1098
2015-06-02,1098
2015-06-03,1098
2015-06-04,1124
2015-06-05,1124
2015-06-06,1124
2015-06-07,1142
2015-06-08,1142
2015-06-09,1142
2015-06-10,1142
2015-06-11,1163
2015-06-12,1163
2015-06-13,1163
2015-06-14,1163
2015-06-15,1154
2015-06-16,1154
2015-06-17,1154
2015-06-18,1154
2015-06-19,1110
2015-06-20,1110
2015-06-21,1110
2015-06-22,1110
2015-06-23,1081
2015-06-24,1081
2015-06-25,1081
2015-06-26,1081
2015-06-27,1040
2015-06-28,1040
2015-06-29,1040
2015-06-30,1040
2015-07-01,1007
2015-07-02,1007
2015-07-03,1007
2015-07-04,1007
2015-07-05,1007
2015-07-06,981
2015-07-07,981
2015-07-08,981
2015-07-09,981
2015-07-10,1001
2015-07-11,1001
2015-07-12,1001
2015-07-13,1001
2015-07-14,1001
2015-07-15,1000
2015-07-16,1000
2015-07-17,1000
2015-07-18,1000
