date_obj,Adamant%20thrownaxe price
2015-03-26,50
2015-03-27,50
2015-03-28,50
2015-03-29,50
2015-03-30,50
2015-03-31,50
2015-04-01,50
2015-04-02,50
2015-04-03,50
2015-04-04,50
2015-04-05,50
2015-04-06,50
2015-04-07,50
2015-04-08,50
2015-04-09,50
2015-04-10,50
2015-04-11,50
2015-04-12,50
2015-04-13,50
2015-04-14,50
2015-04-15,50
2015-04-16,50
2015-04-17,50
2015-04-18,50
2015-04-19,50
2015-04-20,50
2015-04-21,50
2015-04-22,50
2015-04-23,50
2015-04-24,50
2015-04-25,50
2015-04-26,50
2015-04-27,50
2015-04-28,50
2015-04-29,50
2015-04-30,50
2015-05-01,50
2015-05-02,50
2015-05-03,50
2015-05-04,50
2015-05-05,50
2015-05-06,50
2015-05-07,50
2015-05-08,50
2015-05-09,50
2015-05-10,50
2015-05-11,50
2015-05-12,50
2015-05-13,50
2015-05-14,50
2015-05-15,50
2015-05-16,50
2015-05-17,50
2015-05-18,50
2015-05-19,50
2015-05-20,50
2015-05-21,50
2015-05-22,50
2015-05-23,50
2015-05-24,50
2015-05-25,50
2015-05-26,50
2015-05-27,50
2015-05-28,52
2015-05-29,52
2015-05-30,52
2015-05-31,52
2015-06-01,52
2015-06-02,52
2015-06-03,52
2015-06-04,52
2015-06-05,52
2015-06-06,52
2015-06-07,52
2015-06-08,52
2015-06-09,52
2015-06-10,52
2015-06-11,52
2015-06-12,52
2015-06-13,52
2015-06-14,52
2015-06-15,52
2015-06-16,52
2015-06-17,52
2015-06-18,52
2015-06-19,52
2015-06-20,52
2015-06-21,52
2015-06-22,52
2015-06-23,52
2015-06-24,52
2015-06-25,52
2015-06-26,52
2015-06-27,52
2015-06-28,52
2015-06-29,52
2015-06-30,52
2015-07-01,52
2015-07-02,52
2015-07-03,52
2015-07-04,52
2015-07-05,52
2015-07-06,52
2015-07-07,52
2015-07-08,52
2015-07-09,52
2015-07-10,52
2015-07-11,52
2015-07-12,52
2015-07-13,52
2015-07-14,52
2015-07-15,52
2015-07-16,52
2015-07-17,52
2015-07-18,52
2015-07-19,52
2015-07-20,52
2015-07-21,52
2015-07-22,52
2015-07-23,52
2015-07-24,52
2015-07-25,52
2015-07-26,52
2015-07-27,52
2015-07-28,52
2015-07-29,52
2015-07-30,52
2015-07-31,52
2015-08-01,52
2015-08-02,52
2015-08-03,52
2015-08-04,52
2015-08-05,52
2015-08-06,52
2015-08-07,52
2015-08-08,52
2015-08-09,52
2015-08-10,52
2015-08-11,52
2015-08-12,52
2015-08-13,52
2015-08-14,52
2015-08-15,52
2015-08-16,52
2015-08-17,52
2015-08-18,52
2015-08-19,52
2015-08-20,52
2015-08-21,52
2015-08-22,52
2015-08-23,52
2015-08-24,52
2015-08-25,52
2015-08-26,54
2015-08-27,54
2015-08-28,54
2015-08-29,54
2015-08-30,54
2015-08-31,54
2015-09-01,54
2015-09-02,54
2015-09-03,54
2015-09-04,54
2015-09-05,54
2015-09-06,54
2015-09-07,54
2015-09-08,54
2015-09-09,54
2015-09-10,54
2015-09-11,54
2015-09-12,54
2015-09-13,54
2015-09-14,54
2015-09-15,54
2015-09-16,54
