date_obj,Bronze%20full%20helm%20(g) price
2015-03-26,52508
2015-03-27,52508
2015-03-28,51189
2015-03-29,49245
2015-03-30,47587
2015-03-31,45669
2015-04-01,45669
2015-04-02,44197
2015-04-03,44470
2015-04-04,44241
2015-04-05,44241
2015-04-06,43142
2015-04-07,42609
2015-04-08,42609
2015-04-09,41031
2015-04-10,41116
2015-04-11,41718
2015-04-12,41718
2015-04-13,40940
2015-04-14,40940
2015-04-15,40315
2015-04-16,40558
2015-04-17,40558
2015-04-18,40253
2015-04-19,40253
2015-04-20,40793
2015-04-21,40793
2015-04-22,41425
2015-04-23,42228
2015-04-24,42228
2015-04-25,43699
2015-04-26,43699
2015-04-27,45172
2015-04-28,46885
2015-04-29,46885
2015-04-30,46121
2015-05-01,47315
2015-05-02,47315
2015-05-03,48192
2015-05-04,46233
2015-05-05,46233
2015-05-06,46095
2015-05-07,46095
2015-05-08,45285
2015-05-09,45285
2015-05-10,43842
2015-05-11,43842
2015-05-12,43403
2015-05-13,43403
2015-05-14,43301
2015-05-15,43301
2015-05-16,42910
2015-05-17,42286
2015-05-18,42286
2015-05-19,41488
2015-05-20,41488
2015-05-21,40768
2015-05-22,40057
2015-05-23,40057
2015-05-24,39321
2015-05-25,38595
2015-05-26,37896
2015-05-27,37896
2015-05-28,37671
2015-05-29,37671
2015-05-30,36993
2015-05-31,36993
2015-06-01,36739
2015-06-02,36739
2015-06-03,37555
2015-06-04,37555
2015-06-05,38834
2015-06-06,38834
2015-06-07,39463
2015-06-08,39463
2015-06-09,39656
2015-06-10,39656
2015-06-11,39054
2015-06-12,39054
2015-06-13,38530
2015-06-14,38530
2015-06-15,37136
2015-06-16,37136
2015-06-17,37215
2015-06-18,37215
2015-06-19,37777
2015-06-20,37777
2015-06-21,37105
2015-06-22,37105
2015-06-23,37201
2015-06-24,38796
2015-06-25,38796
2015-06-26,40294
2015-06-27,40294
2015-06-28,41693
2015-06-29,41693
2015-06-30,43350
2015-07-01,43350
2015-07-02,44522
2015-07-03,44522
2015-07-04,45844
2015-07-05,45844
2015-07-06,47817
2015-07-07,47817
2015-07-08,49851
2015-07-09,49851
2015-07-10,49851
2015-07-11,50550
2015-07-12,50550
2015-07-13,52083
2015-07-14,52083
2015-07-15,54289
2015-07-16,54289
2015-07-17,56033
2015-07-18,56033
2015-07-19,56033
2015-07-20,55456
2015-07-21,55456
2015-07-22,55464
2015-07-23,55464
2015-07-24,56705
2015-07-25,56705
2015-07-26,56705
2015-07-27,59389
2015-07-28,59389
2015-07-29,60681
2015-07-30,60681
2015-07-31,60681
