date_obj,Abyssal%20whip price
2015-03-26,2040584
2015-03-27,2057864
2015-03-28,2072694
2015-03-29,2102960
2015-03-30,2178819
2015-03-31,2249543
2015-04-01,2319325
2015-04-02,2360255
2015-04-03,2368405
2015-04-04,2392144
2015-04-05,2394875
2015-04-06,2390741
2015-04-07,2409399
2015-04-08,2389007
2015-04-09,2356691
2015-04-10,2342664
2015-04-11,2336414
2015-04-12,2335558
2015-04-13,2330528
2015-04-14,2317402
2015-04-15,2295263
2015-04-16,2307012
2015-04-17,2304418
2015-04-18,2327891
2015-04-19,2359531
2015-04-20,2380597
2015-04-21,2410379
2015-04-22,2404707
2015-04-23,2414599
2015-04-24,2446213
2015-04-25,2488963
2015-04-26,2571803
2015-04-27,2586193
2015-04-28,2587452
2015-04-29,2577164
2015-04-30,2568771
2015-05-01,2570292
2015-05-02,2559288
2015-05-03,2549194
2015-05-04,2538078
2015-05-05,2530434
2015-05-06,2515488
2015-05-07,2499754
2015-05-08,2494479
2015-05-09,2503266
2015-05-10,2529397
2015-05-11,2602017
2015-05-12,2621285
2015-05-13,2616512
2015-05-14,2590783
2015-05-15,2594518
2015-05-16,2587970
2015-05-17,2590791
2015-05-18,2587453
2015-05-19,2579994
2015-05-20,2568216
2015-05-21,2552299
2015-05-22,2526495
2015-05-23,2523491
2015-05-24,2496289
2015-05-25,2448995
2015-05-26,2395349
2015-05-27,2339494
2015-05-28,2282779
2015-05-29,2253387
2015-05-30,2219137
2015-05-31,2167508
2015-06-01,2090010
2015-06-02,2026629
2015-06-03,2000044
2015-06-04,2067232
2015-06-05,2161367
2015-06-06,2269402
2015-06-07,2325928
2015-06-08,2289084
2015-06-09,2263922
2015-06-10,2225204
2015-06-11,2136535
2015-06-12,2117559
2015-06-13,2111311
2015-06-14,2095282
2015-06-15,2086308
2015-06-16,2075567
2015-06-17,2071299
2015-06-18,2062923
2015-06-19,2038374
2015-06-20,2024779
2015-06-21,2013231
2015-06-22,2009496
2015-06-23,2001301
2015-06-24,1998135
2015-06-25,1990222
2015-06-26,1987241
2015-06-27,2011865
2015-06-28,2023077
2015-06-29,2005624
2015-06-30,1985412
2015-07-01,1991634
2015-07-02,2056707
2015-07-03,2104866
2015-07-04,2087452
2015-07-05,2097357
2015-07-06,2100316
2015-07-07,2120875
2015-07-08,2136241
2015-07-09,2173358
2015-07-10,2173407
2015-07-11,2169846
2015-07-12,2183598
2015-07-13,2172355
2015-07-14,2179386
2015-07-15,2228250
2015-07-16,2237083
2015-07-17,2334192
2015-07-18,2423178
2015-07-19,2484019
2015-07-20,2473445
2015-07-21,2457640
2015-07-22,2438185
2015-07-23,2443962
2015-07-24,2438215
2015-07-25,2431943
2015-07-26,2424259
2015-07-27,2412965
2015-07-28,2398018
2015-07-29,2363156
2015-07-30,2314904
2015-07-31,2328940
2015-08-01,2323435
2015-08-02,2318483
2015-08-03,2314612
2015-08-04,2303838
2015-08-05,2297454
2015-08-06,2289655
2015-08-07,2280591
2015-08-08,2266688
2015-08-09,2254362
2015-08-10,2249053
2015-08-11,2246238
2015-08-12,2242409
2015-08-13,2253964
2015-08-14,2285227
2015-08-15,2371742
2015-08-16,2377700
2015-08-17,2362540
2015-08-18,2357975
2015-08-19,2347975
2015-08-20,2339109
2015-08-21,2318157
2015-08-22,2290578
2015-08-23,2271780
2015-08-24,2248832
2015-08-25,2230130
2015-08-26,2206232
2015-08-27,2156691
2015-08-28,2144932
2015-08-29,2135191
2015-08-30,2127975
2015-08-31,2121079
2015-09-01,2123387
2015-09-02,2111974
2015-09-03,2096213
2015-09-04,2080714
2015-09-05,2075903
2015-09-06,2071833
2015-09-07,2072781
2015-09-08,2102847
2015-09-09,2135764
2015-09-10,2149740
2015-09-11,2190547
2015-09-12,2279328
2015-09-13,2347193
2015-09-14,2359089
2015-09-15,2390704
2015-09-16,2436055
2015-09-17,2476508
2015-09-18,2500077
2015-09-19,2518998
2015-09-20,2515938
2015-09-21,2509620
2015-09-22,2501997
2015-09-23,2487153
2015-09-24,2474109
2015-09-25,2450509
2015-09-27,2462046
2015-09-28,2480144
2015-09-29,2490152
2015-09-30,2513086
2015-10-05,2511478
2015-10-06,2546953
2015-10-07,2562650
2015-10-08,2568383
2015-10-09,2607132
2015-10-10,2621299
2015-10-11,2703436
2015-10-12,2693603
2015-10-13,2691622
2015-10-14,2677654
2015-10-15,2639596
2015-10-16,2627181
2015-10-17,2621150
2015-10-18,2615748
2015-10-19,2602902
2015-10-20,2592004
2015-10-22,2584547
2015-10-23,2623067
2015-10-24,2674131
2015-10-25,2678998
2015-10-26,2671994
2015-10-27,2673231
2015-10-28,2670527
2015-10-29,2660649
2015-10-30,2693909
2015-10-31,2684826
2015-11-01,2660398
2015-11-02,2623982
2015-11-03,2542622
2015-11-04,2472388
2015-11-05,2360385
2015-11-06,2318104
2015-11-07,2343577
2015-11-08,2321259
2015-11-09,2306148
2015-11-10,2296142
2015-11-11,2288487
2015-11-12,2266732
2015-11-13,2219406
2015-11-14,2209819
2015-11-15,2262243
2015-11-16,2266854
2015-11-17,2277224
2015-11-18,2246028
2015-11-19,2260198
2015-11-20,2284162
2015-11-21,2282117
2015-11-22,2308550
2015-11-23,2336643
2015-11-24,2355775
2015-11-25,2372520
2015-11-26,2362333
2015-11-27,2344940
2015-11-28,2312096
2015-11-29,2289197
2015-11-30,2273808
2015-12-01,2280619
2015-12-02,2292222
2015-12-03,2313230
2015-12-04,2323264
2015-12-05,2341423
2015-12-06,2351450
2015-12-07,2363617
2015-12-08,2368330
2015-12-09,2311978
2015-12-10,2281752
2015-12-11,2273794
2015-12-12,2279830
2015-12-13,2280589
2015-12-14,2296102
2015-12-15,2314255
2015-12-16,2311562
2015-12-17,2306418
2015-12-18,2300299
2015-12-19,2317202
2015-12-20,2320933
2015-12-21,2333523
2015-12-22,2331415
2015-12-23,2351174
2015-12-24,2347733
2015-12-25,2385891
2015-12-26,2427408
2015-12-27,2461404
2015-12-28,2475878
2015-12-29,2464456
2015-12-30,2458479
2015-12-31,2465241
2016-01-01,2477797
2016-01-02,2480468
2016-01-03,2478292
2016-01-04,2464045
2016-01-05,2466441
2016-01-06,2472228
2016-01-07,2477541
2016-01-08,2473609
2016-01-09,2500044
2016-01-10,2521812
2016-01-11,2532603
2016-01-12,2540709
2016-01-13,2529695
2016-01-14,2513304
2016-01-15,2515581
2016-01-16,2514720
2016-01-17,2509873
2016-01-18,2494602
2016-01-19,2486628
2016-01-20,2476380
2016-01-21,2453236
2016-01-22,2441955
2016-01-23,2429769
2016-01-24,2419344
2016-01-25,2406926
2016-01-26,2399325
2016-01-27,2396992
2016-01-28,2392339
2016-01-29,2387003
2016-01-30,2401410
2016-01-31,2402346
2016-02-01,2395982
2016-02-02,2394242
2016-02-03,2387658
2016-02-04,2378632
2016-02-05,2372188
2016-02-06,2378071
2016-02-07,2375480
2016-02-08,2362999
2016-02-09,2360844
2016-02-10,2353927
2016-02-11,2345116
2016-02-12,2341497
2016-02-13,2370932
2016-02-14,2385603
2016-02-15,2385799
2016-02-16,2380038
2016-02-17,2372129
2016-02-18,2369624
2016-02-19,2392502
2016-02-20,2395756
2016-02-21,2385041
2016-02-22,2379445
2016-02-23,2370525
2016-02-24,2358625
2016-02-25,2350706
2016-02-26,2346205
2016-02-27,2338042
2016-02-28,2323081
2016-02-29,2304887
2016-03-01,2292483
2016-03-02,2284032
2016-03-03,2276417
2016-03-04,2278111
2016-03-05,2290478
2016-03-06,2318952
2016-03-07,2308037
2016-03-08,2301565
2016-03-09,2288977
2016-03-10,2281822
2016-03-11,2278356
2016-03-12,2280758
2016-03-13,2281243
2016-03-14,2231260
2016-03-15,2215878
2016-03-16,2204915
2016-03-17,2206718
2016-03-18,2199482
2016-03-19,2198831
2016-03-20,2206067
2016-03-21,2224241
2016-03-22,2228373
2016-03-23,2226327
2016-03-24,2224459
2016-03-25,2238429
2016-03-26,2261101
2016-03-27,2253988
2016-03-28,2253113
2016-03-29,2244501
2016-03-30,2230633
2016-03-31,2220862
2016-04-01,2206316
2016-04-02,2202807
2016-04-03,2216391
2016-04-04,2218567
2016-04-05,2223522
2016-04-06,2228206
2016-04-07,2229106
2016-04-08,2228132
2016-04-09,2221055
2016-04-10,2217991
2016-04-11,2214152
2016-04-12,2214827
2016-04-13,2215811
2016-04-14,2226116
2016-04-15,2221421
2016-04-16,2222879
2016-04-17,2222645
2016-04-18,2224772
2016-04-19,2226080
2016-04-20,2227413
2016-04-21,2227230
2016-04-22,2247426
2016-04-23,2275553
2016-04-24,2264708
2016-04-25,2266784
2016-04-26,2315988
2016-04-27,2324963
2016-04-28,2340582
2016-04-29,2359070
2016-04-30,2374573
2016-05-01,2397888
2016-05-02,2504326
2016-05-03,2510613
2016-05-04,2532760
2016-05-05,2530702
2016-05-06,2558768
2016-05-07,2681518
2016-05-08,2660690
2016-05-09,2670631
2016-05-10,2681743
2016-05-11,2778988
2016-05-12,2755888
2016-05-13,2735438
2016-05-14,2708065
2016-05-15,2689391
2016-05-16,2649668
2016-05-17,2563436
2016-05-18,2484560
2016-05-19,2430893
2016-05-21,2423933
2016-05-22,2443839
2016-05-23,2441639
2016-05-24,2459941
2016-05-25,2487253
2016-05-26,2523716
2016-05-27,2578745
2016-05-28,2576718
2016-05-29,2540986
2016-05-30,2531977
2016-05-31,2527207
2016-06-01,2519200
2016-06-02,2514964
2016-06-03,2503799
2016-06-04,2491993
2016-06-05,2473381
2016-06-06,2453080
2016-06-07,2428030
2016-06-08,2402804
2016-06-09,2370290
2016-06-10,2299909
2016-06-11,2252655
2016-06-12,2206832
2016-06-13,2191625
2016-06-14,2181492
2016-06-15,2185111
2016-06-16,2195563
2016-06-17,2213521
2016-06-18,2225654
2016-06-19,2214863
