date_obj,Wrath%20talisman price
2018-12-30,798
2018-12-31,762
2019-01-01,734
2019-01-02,699
2019-01-03,697
2019-01-04,732
2019-01-05,740
2019-01-06,737
2019-01-08,793
2019-01-10,728
2019-01-11,698
2019-01-12,665
2019-01-13,683
2019-01-14,718
2019-01-15,754
2019-01-16,792
2019-01-17,761
2019-01-18,723
2019-01-19,710
2019-01-20,709
2019-01-21,673
2019-01-22,663
2019-01-23,652
2019-01-24,664
2019-01-25,689
2019-01-26,724
2019-01-27,759
2019-01-28,797
2019-01-29,837
2019-01-30,879
2019-01-31,851
2019-02-01,840
2019-02-02,878
2019-02-03,852
2019-02-04,869
2019-02-05,859
2019-02-06,854
2019-02-07,837
2019-02-08,801
2019-02-09,785
2019-02-10,795
2019-02-11,790
2019-02-12,764
2019-02-13,767
2019-02-14,803
2019-02-15,841
2019-02-16,883
2019-02-17,926
2019-02-18,973
2019-02-19,1018
2019-02-20,1034
2019-02-21,1075
2019-02-22,1125
2019-02-23,1182
2019-02-24,1237
2019-02-25,1299
2019-02-26,1364
2019-02-27,1433
2019-02-28,1459
2019-03-01,1445
2019-03-02,1372
2019-03-03,1303
2019-03-04,1237
2019-03-05,1175
2019-03-06,1116
2019-03-07,1075
2019-03-08,1021
2019-03-09,969
2019-03-10,920
2019-03-11,877
2019-03-12,914
2019-03-13,927
2019-03-14,894
2019-03-15,860
2019-03-16,890
2019-03-17,935
2019-03-18,982
2019-03-19,1020
2019-03-20,1071
2019-03-21,1125
2019-03-22,1148
2019-03-23,1093
2019-03-24,1038
2019-03-25,986
2019-03-26,936
2019-03-27,892
2019-03-28,850
2019-03-29,817
2019-03-30,777
2019-03-31,747
2019-04-01,745
2019-04-02,766
2019-04-03,785
2019-04-04,750
2019-04-05,712
2019-04-06,688
2019-04-07,655
2019-04-08,676
2019-04-09,696
2019-04-10,688
2019-04-11,653
2019-04-12,652
2019-04-13,634
2019-04-14,658
2019-04-15,691
2019-04-16,724
2019-04-17,748
2019-04-18,734
2019-04-19,751
2019-04-20,778
2019-04-21,803
2019-04-22,769
2019-04-23,738
2019-04-24,736
2019-04-25,759
