date_obj,Bucket%20of%20water price
2015-03-26,60
2015-03-27,60
2015-03-28,58
2015-03-29,59
2015-03-30,61
2015-03-31,62
2015-04-01,63
2015-04-02,62
2015-04-03,58
2015-04-04,59
2015-04-05,61
2015-04-06,63
2015-04-07,62
2015-04-08,58
2015-04-09,55
2015-04-10,52
2015-04-11,49
2015-04-12,46
2015-04-13,43
2015-04-14,40
2015-04-15,38
2015-04-16,36
2015-04-17,34
2015-04-18,34
2015-04-19,35
2015-04-20,37
2015-04-21,39
2015-04-22,41
2015-04-23,41
2015-04-24,44
2015-04-25,47
2015-04-26,49
2015-04-27,52
2015-04-28,55
2015-04-29,55
2015-04-30,55
2015-05-01,54
2015-05-02,52
2015-05-03,51
2015-05-04,52
2015-05-05,54
2015-05-06,57
2015-05-07,60
2015-05-08,63
2015-05-09,66
2015-05-10,64
2015-05-11,66
2015-05-12,62
2015-05-13,59
2015-05-14,58
2015-05-15,56
2015-05-16,54
2015-05-17,53
2015-05-18,50
2015-05-19,47
2015-05-20,47
2015-05-21,45
2015-05-22,45
2015-05-23,44
2015-05-24,44
2015-05-25,44
2015-05-26,47
2015-05-27,48
2015-05-28,49
2015-05-29,51
2015-05-30,54
2015-05-31,57
2015-06-01,60
2015-06-02,62
2015-06-03,64
2015-06-04,65
2015-06-05,62
2015-06-06,59
2015-06-07,58
2015-06-08,57
2015-06-09,54
2015-06-10,51
2015-06-11,50
2015-06-12,47
2015-06-13,44
2015-06-14,41
2015-06-15,40
2015-06-16,41
2015-06-17,42
2015-06-18,44
2015-06-19,47
2015-06-20,48
2015-06-21,46
2015-06-22,45
2015-06-23,47
2015-06-24,46
2015-06-25,47
2015-06-26,48
2015-06-27,51
2015-06-28,50
2015-06-29,53
2015-06-30,53
2015-07-01,52
2015-07-02,50
2015-07-03,51
2015-07-04,52
2015-07-05,50
2015-07-06,50
2015-07-07,49
2015-07-08,49
2015-07-09,50
2015-07-10,49
2015-07-11,48
2015-07-12,49
2015-07-13,50
2015-07-14,50
2015-07-15,49
2015-07-16,49
2015-07-17,50
2015-07-18,50
2015-07-19,50
2015-07-20,49
2015-07-21,49
2015-07-22,50
2015-07-23,47
2015-07-24,44
2015-07-25,41
2015-07-26,39
2015-07-27,39
2015-07-28,39
2015-07-29,40
2015-07-30,41
2015-07-31,40
2015-08-01,41
2015-08-02,40
2015-08-03,41
2015-08-04,42
2015-08-05,43
2015-08-06,41
2015-08-07,39
2015-08-08,38
2015-08-09,36
2015-08-10,35
2015-08-11,33
2015-08-12,33
2015-08-13,34
2015-08-14,35
2015-08-15,36
2015-08-16,36
2015-08-17,36
2015-08-18,37
2015-08-19,38
2015-08-20,39
2015-08-21,40
2015-08-22,41
2015-08-23,44
2015-08-24,44
2015-08-25,44
2015-08-26,46
2015-08-27,47
2015-08-28,46
2015-08-29,47
2015-08-30,47
2015-08-31,47
2015-09-01,45
2015-09-02,43
2015-09-03,43
2015-09-04,46
2015-09-05,48
2015-09-06,51
2015-09-07,54
2015-09-08,55
2015-09-09,58
2015-09-10,61
2015-09-11,65
2015-09-12,67
2015-09-13,68
2015-09-14,72
2015-09-15,74
2015-09-16,70
2015-09-17,71
2015-09-18,72
2015-09-19,69
2015-09-20,68
2015-09-21,64
2015-09-22,63
2015-09-23,60
2015-09-24,59
2015-09-25,58
2015-09-27,57
2015-09-28,57
2015-09-29,58
2015-09-30,57
2015-10-05,57
2015-10-06,56
2015-10-07,56
2015-10-08,57
2015-10-09,58
2015-10-10,58
2015-10-11,59
2015-10-12,61
2015-10-13,65
2015-10-14,66
2015-10-15,68
2015-10-16,69
2015-10-17,71
2015-10-18,68
2015-10-19,67
2015-10-20,66
2015-10-22,65
2015-10-23,64
2015-10-24,65
2015-10-25,66
2015-10-26,64
2015-10-27,64
2015-10-29,63
2015-10-30,61
2015-10-31,61
2015-11-01,61
2015-11-02,60
2015-11-03,60
2015-11-04,59
2015-11-05,56
2015-11-06,53
2015-11-07,50
2015-11-08,47
2015-11-09,44
2015-11-10,43
2015-11-11,42
2015-11-12,43
2015-11-13,43
2015-11-14,43
2015-11-15,43
2015-11-16,42
2015-11-17,42
2015-11-18,42
2015-11-19,44
2015-11-20,44
2015-11-21,44
2015-11-22,43
2015-11-23,43
2015-11-24,46
2015-11-25,49
2015-11-26,50
2015-11-27,50
2015-11-28,52
2015-11-29,55
2015-11-30,58
2015-12-01,61
2015-12-02,64
2015-12-03,66
2015-12-04,66
2015-12-05,66
2015-12-06,66
2015-12-07,65
2015-12-08,65
2015-12-09,65
2015-12-10,66
2015-12-11,65
2015-12-12,64
2015-12-13,66
2015-12-14,70
2015-12-15,70
2015-12-16,68
2015-12-17,65
2015-12-18,62
2015-12-19,62
2015-12-20,61
2015-12-21,60
2015-12-22,61
2015-12-23,61
2015-12-24,60
2015-12-25,59
2015-12-26,59
2015-12-27,59
2015-12-28,60
2015-12-29,60
2015-12-30,60
2015-12-31,60
2016-01-01,60
2016-01-02,63
2016-01-03,65
2016-01-04,65
2016-01-05,64
2016-01-06,66
2016-01-07,68
2016-01-08,66
2016-01-09,70
2016-01-10,74
2016-01-11,74
2016-01-12,73
2016-01-13,70
2016-01-14,69
2016-01-15,70
2016-01-16,73
2016-01-17,76
2016-01-18,80
2016-01-19,83
2016-01-20,84
2016-01-21,88
2016-01-22,91
2016-01-23,92
2016-01-24,91
2016-01-25,94
2016-01-26,92
2016-01-27,89
2016-01-28,89
2016-01-29,86
2016-01-30,82
2016-01-31,81
2016-02-01,80
2016-02-02,80
2016-02-03,79
2016-02-04,78
2016-02-05,79
2016-02-06,78
2016-02-07,80
2016-02-08,76
2016-02-09,73
2016-02-10,72
2016-02-11,74
2016-02-12,77
2016-02-13,80
2016-02-14,81
2016-02-15,83
2016-02-16,83
2016-02-17,84
2016-02-18,87
2016-02-19,89
2016-02-20,91
2016-02-21,91
2016-02-22,92
2016-02-23,93
2016-02-24,95
2016-02-25,99
2016-02-26,98
2016-02-27,95
2016-02-28,90
2016-02-29,85
2016-03-01,82
2016-03-02,83
2016-03-03,81
2016-03-04,79
2016-03-05,78
2016-03-06,77
2016-03-07,77
2016-03-08,75
2016-03-09,75
2016-03-10,77
2016-03-11,79
2016-03-12,82
2016-03-13,87
2016-03-14,89
2016-03-15,88
2016-03-16,88
2016-03-17,86
2016-03-18,84
2016-03-19,81
2016-03-20,82
2016-03-21,80
2016-03-22,82
2016-03-23,80
2016-03-24,80
2016-03-25,80
2016-03-26,77
2016-03-27,78
2016-03-28,77
2016-03-29,77
2016-03-30,75
2016-03-31,76
2016-04-01,74
2016-04-02,70
2016-04-03,67
2016-04-04,63
2016-04-05,59
2016-04-06,57
2016-04-07,58
2016-04-08,59
2016-04-09,57
2016-04-10,58
2016-04-11,58
2016-04-12,57
2016-04-13,58
2016-04-14,56
2016-04-15,57
2016-04-16,55
2016-04-17,53
2016-04-18,51
2016-04-19,49
2016-04-20,46
2016-04-21,44
2016-04-22,42
2016-04-23,39
2016-04-24,40
2016-04-25,41
2016-04-26,42
2016-04-27,45
2016-04-28,48
2016-04-29,51
2016-04-30,54
2016-05-01,57
2016-05-02,60
2016-05-03,63
2016-05-04,67
2016-05-05,70
2016-05-06,70
2016-05-07,72
2016-05-08,75
2016-05-09,72
2016-05-10,73
2016-05-11,71
2016-05-12,71
2016-05-13,74
2016-05-14,76
2016-05-15,76
2016-05-16,78
2016-05-17,79
2016-05-18,81
2016-05-19,80
2016-05-22,87
2016-05-23,90
2016-05-24,90
2016-05-25,88
2016-05-26,85
2016-05-27,83
2016-05-28,78
2016-05-29,78
2016-05-30,78
2016-05-31,76
2016-06-01,76
2016-06-02,73
2016-06-03,73
2016-06-04,71
2016-06-05,74
2016-06-06,76
2016-06-07,74
2016-06-08,72
2016-06-09,71
2016-06-10,71
2016-06-11,68
2016-06-12,69
2016-06-13,67
2016-06-14,68
2016-06-15,67
2016-06-16,63
2016-06-17,66
2016-06-18,69
2016-06-19,70
2016-06-20,70
2016-06-21,71
2016-06-22,72
2016-06-23,74
2016-06-24,74
2016-06-25,75
2016-06-26,73
2016-06-27,72
2016-06-28,72
2016-06-29,74
2016-06-30,74
2016-07-01,72
2016-07-02,71
2016-07-03,69
2016-07-04,70
2016-07-05,73
2016-07-06,73
2016-07-07,75
2016-07-08,73
2016-07-09,70
2016-07-10,68
2016-07-11,70
2016-07-12,73
2016-07-13,73
2016-07-14,73
2016-07-15,73
2016-07-16,73
2016-07-17,73
2016-07-18,74
2016-07-23,79
2016-07-24,77
2016-07-25,77
2016-07-26,76
2016-07-27,75
2016-07-28,74
2016-07-29,73
2016-07-30,72
2016-07-31,73
2016-08-01,75
2016-08-02,72
2016-08-03,69
2016-08-04,66
2016-08-05,62
2016-08-06,58
2016-08-07,55
2016-08-08,52
2016-08-09,49
2016-08-10,51
2016-08-11,51
2016-08-12,54
2016-08-13,57
2016-08-14,60
2016-08-15,62
2016-08-16,64
2016-08-17,64
2016-08-18,63
2016-08-19,64
2016-08-20,63
2016-08-21,60
2016-08-22,61
2016-08-23,62
2016-08-24,59
2016-08-25,59
2016-08-26,59
2016-08-28,55
2016-08-31,52
2016-09-01,53
2016-09-02,53
2016-09-03,54
2016-09-04,54
2016-09-05,54
2016-09-06,53
2016-09-07,53
2016-09-08,56
2016-09-09,57
2016-09-10,59
2016-09-11,58
2016-09-12,55
2016-09-13,57
2016-09-14,60
2016-09-15,63
2016-09-16,67
2016-09-17,71
2016-09-18,75
2016-09-19,76
2016-09-20,79
2016-09-21,77
2016-09-22,77
2016-09-23,75
2016-09-24,75
2016-09-25,71
2016-09-26,67
2016-09-27,63
2016-09-28,59
2016-09-29,56
2016-09-30,54
2016-10-01,51
2016-10-02,50
2016-10-03,50
2016-10-04,52
2016-10-05,54
2016-10-06,55
2016-10-07,56
2016-10-08,56
2016-10-09,54
2016-10-10,53
2016-10-11,53
2016-10-12,53
2016-10-13,54
2016-10-14,54
2016-10-15,56
2016-10-16,55
2016-10-17,55
2016-10-18,54
2016-10-19,53
2016-10-20,54
2016-10-21,52
2016-10-22,51
2016-10-23,50
2016-10-24,52
2016-10-25,53
2016-10-26,55
2016-10-27,58
2016-10-28,58
2016-10-29,60
2016-10-30,63
2016-10-31,65
2016-11-01,65
2016-11-02,67
2016-11-03,69
2016-11-04,72
2016-11-05,74
2016-11-06,77
2016-11-07,79
2016-11-08,81
2016-11-09,81
2016-11-10,82
2016-11-11,84
2016-11-12,83
2016-11-13,80
2016-11-14,79
2016-11-15,78
2016-12-07,67
2016-12-08,68
2016-12-09,68
2016-12-10,66
2016-12-11,67
2016-12-12,68
2016-12-13,67
2016-12-14,64
2016-12-15,62
2016-12-16,62
2016-12-17,61
2016-12-18,60
2016-12-19,59
2016-12-20,58
2016-12-21,59
2016-12-22,59
2016-12-23,59
2016-12-24,59
2016-12-25,58
2016-12-26,55
2016-12-27,53
2016-12-28,55
2016-12-29,54
2016-12-30,55
2016-12-31,54
2017-01-01,52
2017-01-02,49
2017-01-03,49
2017-01-04,51
2017-01-05,53
2017-01-06,55
2017-01-07,56
2017-01-08,56
2017-01-09,57
2017-01-10,58
2017-01-11,59
2017-01-12,62
2017-01-13,66
2017-01-14,70
2017-01-15,72
2017-01-16,76
2017-01-17,74
2017-01-18,71
2017-01-19,69
2017-01-20,70
2017-01-21,71
2017-01-22,74
2017-01-23,77
2017-01-27,78
2017-01-28,82
2017-01-29,82
2017-01-30,77
2017-01-31,75
2017-02-01,73
2017-02-02,70
2017-02-03,68
2017-02-04,68
2017-02-05,68
2017-02-06,65
2017-02-07,64
2017-02-08,65
2017-02-09,61
2017-02-10,63
2017-02-11,65
2017-02-12,63
2017-02-13,66
2017-02-14,67
2017-02-15,67
2017-02-16,67
2017-02-18,67
2017-02-19,68
2017-02-20,70
2017-02-21,70
2017-02-22,69
2017-02-23,69
2017-02-24,69
2017-02-25,70
2017-02-26,69
2017-02-27,68
2017-02-28,67
2017-03-01,67
2017-03-02,66
2017-03-03,63
2017-03-04,61
2017-03-05,64
2017-03-06,64
2017-03-07,62
2017-03-08,63
2017-03-09,62
2017-03-10,60
2017-03-11,62
2017-03-12,61
2017-03-13,62
2017-03-14,61
2017-03-15,62
2017-03-16,64
2017-03-17,62
2017-03-18,60
2017-03-19,61
2017-03-20,59
2017-03-21,61
2017-03-22,63
2017-03-23,62
2017-03-24,61
2017-03-25,63
2017-03-26,62
2017-03-27,61
2017-03-28,60
2017-03-29,59
2017-03-30,59
2017-03-31,61
2017-04-01,64
2017-04-02,65
2017-04-03,65
2017-04-04,65
2017-04-12,69
2017-04-13,68
2017-04-14,67
2017-04-15,66
2017-04-16,63
2017-04-17,61
2017-04-18,59
2017-04-19,58
2017-04-20,59
2017-04-21,57
2017-04-22,56
2017-04-23,56
2017-04-24,54
2017-04-25,54
2017-04-26,55
2017-04-27,57
2017-04-28,57
2017-04-29,56
2017-04-30,56
2017-05-01,57
2017-05-02,57
2017-05-03,58
2017-05-04,58
2017-05-05,55
2017-05-06,53
2017-05-07,51
2017-05-08,48
2017-05-09,46
2017-05-10,46
2017-05-11,43
2017-05-12,42
2017-05-13,41
2017-05-14,41
2017-05-15,42
2017-05-16,41
2017-05-17,39
2017-05-18,39
2017-05-19,39
2017-05-20,39
2017-05-21,39
2017-05-22,40
2017-05-23,40
2017-05-24,38
2017-05-25,39
2017-05-26,41
2017-05-27,40
2017-05-28,38
2017-05-29,36
2017-05-30,37
2017-05-31,38
2017-06-01,39
2017-06-02,40
2017-06-03,38
2017-06-04,40
2017-06-05,40
2017-06-06,42
2017-06-07,45
2017-06-08,48
2017-06-09,50
2017-06-10,49
2017-06-11,47
2017-06-12,48
2017-06-13,48
2017-06-14,48
2017-06-15,49
2017-06-16,52
2017-06-17,54
2017-06-18,55
2017-06-19,58
2017-06-20,60
2017-06-21,61
2017-06-22,59
2017-06-23,59
2017-06-24,58
2017-06-25,60
2017-06-26,58
2017-06-27,61
2017-06-28,65
2017-06-29,67
2017-06-30,71
2017-07-01,69
2017-07-02,71
2017-07-03,69
2017-07-04,67
2017-07-05,65
2017-07-06,63
2017-07-07,61
2017-07-08,60
2017-07-13,55
2017-07-14,56
2017-07-15,57
2017-07-16,56
2017-07-17,55
2017-07-18,54
2017-07-19,53
2017-07-20,54
2017-07-21,53
2017-07-22,52
2017-07-23,52
2017-07-24,49
2017-07-25,47
2017-07-26,46
2017-07-27,48
2017-07-28,49
2017-07-29,50
2017-07-30,51
2017-07-31,53
2017-08-01,53
2017-08-02,54
2017-08-03,54
2017-08-04,53
2017-08-05,55
2017-08-06,53
2017-08-09,54
2017-08-10,56
2017-08-11,57
2017-08-12,55
2017-08-13,55
2017-08-14,55
2017-08-15,57
2017-08-16,60
2017-08-17,61
2017-08-18,59
2017-08-19,57
2017-08-20,55
2017-08-21,53
2017-08-22,51
2017-08-23,49
2017-08-24,49
2017-08-25,51
2017-08-26,49
2017-08-27,46
2017-08-28,44
2017-08-29,43
2017-08-30,40
2017-08-31,39
2017-09-01,38
2017-09-02,37
2017-09-03,37
2017-09-04,35
2017-09-05,35
2017-09-06,34
2017-09-07,33
2017-09-08,32
2017-09-09,31
2017-09-10,31
2017-09-11,32
2017-09-12,32
2017-09-13,33
2017-09-14,34
2017-09-15,36
2017-09-16,38
2017-09-17,39
2017-09-18,41
2017-09-19,44
2017-09-20,45
2017-09-21,47
2017-09-22,46
2017-09-23,46
2017-09-24,45
2017-09-25,44
2017-09-26,44
2017-09-27,45
2017-09-28,46
2017-09-29,44
2017-09-30,45
2017-10-01,44
2017-10-02,43
2017-10-03,43
2017-10-04,44
2017-10-05,44
2017-10-06,44
2017-10-07,46
2017-10-08,48
2017-10-09,49
2017-10-11,50
2017-10-12,49
2017-10-13,48
2017-10-14,47
2017-10-15,45
2017-10-16,43
2017-10-17,45
2017-10-18,43
2017-10-19,41
2017-10-20,41
2017-10-21,39
2017-10-22,39
2017-10-23,38
2017-10-24,38
2017-10-25,38
2017-10-26,39
2017-10-27,38
2017-10-28,38
2017-10-29,37
2017-10-30,37
2017-10-31,37
2017-11-01,37
2017-11-02,36
2017-11-03,36
2017-11-04,37
2017-11-05,38
2017-11-06,37
2017-11-07,36
2017-11-08,36
2017-11-09,37
2017-11-10,38
2017-11-11,37
2017-11-12,39
2017-11-13,41
2017-11-14,44
2017-11-15,46
2017-11-16,45
2017-11-17,46
2017-11-18,49
2017-11-19,50
2017-11-20,51
2017-11-21,51
2017-11-22,50
2017-11-23,50
2017-11-24,50
2017-11-25,50
2017-11-26,49
2017-11-27,48
2017-11-28,49
2017-11-29,50
2017-11-30,51
2017-12-01,53
2017-12-02,55
2017-12-03,57
2017-12-04,59
2017-12-05,62
2017-12-06,66
2017-12-07,70
2017-12-08,74
2017-12-09,76
2017-12-10,72
2017-12-11,68
2017-12-12,65
2017-12-13,61
2017-12-14,58
2017-12-15,58
2017-12-16,59
2017-12-17,57
2017-12-18,56
2017-12-19,57
2017-12-20,58
2017-12-21,59
2017-12-22,61
2017-12-23,60
2017-12-24,59
2017-12-25,62
2017-12-26,65
2017-12-27,66
2017-12-28,62
2017-12-29,60
2017-12-30,59
2017-12-31,59
2018-01-01,59
2018-01-02,62
2018-01-03,65
2018-01-04,68
2018-01-05,69
2018-01-06,72
2018-01-07,73
2018-01-08,74
2018-01-09,72
2018-01-10,68
2018-01-11,65
2018-01-12,63
2018-01-13,61
2018-01-14,62
2018-01-15,61
2018-01-16,57
