date_obj,Sea%20turtle price
2015-03-26,2500
2015-03-27,2500
2015-03-28,2500
2015-03-29,2500
2015-03-30,2500
2015-03-31,2599
2015-04-01,2599
2015-04-02,2599
2015-04-03,2599
2015-04-04,2599
2015-04-05,2599
2015-04-06,2599
2015-04-07,2599
2015-04-08,2599
2015-04-09,2599
2015-04-10,2599
2015-04-11,2599
2015-04-12,2599
2015-04-13,2599
2015-04-14,2599
2015-04-15,2599
2015-04-16,2599
2015-04-17,2599
2015-04-18,2599
2015-04-19,2599
2015-04-20,2599
2015-04-21,2599
2015-04-22,2599
2015-04-23,2599
2015-04-24,2599
2015-04-25,2599
2015-04-26,2599
2015-04-27,2599
2015-04-28,2599
2015-04-29,2599
2015-04-30,2599
2015-05-01,2599
2015-05-02,2599
2015-05-03,2599
2015-05-04,2599
2015-05-05,2599
2015-05-06,2703
2015-05-07,2703
2015-05-08,2703
2015-05-09,2703
2015-05-10,2703
2015-05-11,2703
2015-05-12,2703
2015-05-13,2703
2015-05-14,2703
2015-05-15,2703
2015-05-16,2703
2015-05-17,2703
2015-05-18,2703
2015-05-19,2703
2015-05-20,2703
2015-05-21,2703
2015-05-22,2703
2015-05-23,2703
2015-05-24,2703
2015-05-25,2703
2015-05-26,2703
2015-05-27,2703
2015-05-28,2703
2015-05-29,2703
2015-05-30,2703
2015-05-31,2828
2015-06-01,2828
2015-06-02,2828
2015-06-03,2828
2015-06-04,2828
2015-06-05,2828
2015-06-06,2828
2015-06-07,2828
2015-06-08,2828
2015-06-09,2828
2015-06-10,2828
2015-06-11,2828
2015-06-12,2828
2015-06-13,2828
2015-06-14,2828
2015-06-15,2828
2015-06-16,2828
2015-06-17,2828
2015-06-18,2828
2015-06-19,2828
2015-06-20,2828
2015-06-21,2828
2015-06-22,2828
2015-06-23,2828
2015-06-24,2828
2015-06-25,2828
2015-06-26,2828
2015-06-27,2956
2015-06-28,2956
2015-06-29,2956
2015-06-30,2956
2015-07-01,2956
2015-07-02,2956
2015-07-03,2956
2015-07-04,2956
2015-07-05,2956
2015-07-06,2956
2015-07-07,2956
2015-07-08,2956
2015-07-09,2956
2015-07-10,2956
2015-07-11,2956
2015-07-12,2956
2015-07-13,2956
2015-07-14,2956
2015-07-15,2956
2015-07-16,2956
2015-07-17,2956
2015-07-18,2956
2015-07-19,2956
2015-07-20,2956
2015-07-21,2956
2015-07-22,2956
2015-07-23,2956
2015-07-24,2956
2015-07-25,2956
2015-07-26,3085
2015-07-27,3085
2015-07-28,3085
2015-07-29,3085
2015-07-30,3085
2015-07-31,3085
