date_obj,Dragon%20cane price
2015-03-26,212716
2015-03-27,213446
2015-03-28,217523
2015-03-29,217523
2015-03-30,218201
2015-03-31,218201
2015-04-01,226180
2015-04-02,226180
2015-04-03,230405
2015-04-04,230405
2015-04-05,232546
2015-04-06,232546
2015-04-07,231054
2015-04-08,231054
2015-04-09,220515
2015-04-10,220515
2015-04-11,212880
2015-04-12,212880
2015-04-13,209024
2015-04-14,209024
2015-04-15,204736
2015-04-16,204736
2015-04-17,207661
2015-04-18,207661
2015-04-19,205921
2015-04-20,205921
2015-04-21,205825
2015-04-22,205825
2015-04-23,206091
2015-04-24,206091
2015-04-25,204030
2015-04-26,204030
2015-04-27,198490
2015-04-28,190408
2015-04-29,190408
2015-04-30,185127
2015-05-01,178416
2015-05-02,178416
2015-05-03,176292
2015-05-04,172886
2015-05-05,172886
2015-05-06,174197
2015-05-07,172863
2015-05-08,172863
2015-05-09,170353
2015-05-10,170353
2015-05-11,166554
2015-05-12,161415
2015-05-13,161415
2015-05-14,154426
2015-05-15,154426
2015-05-16,146704
2015-05-17,139369
2015-05-18,133004
2015-05-19,133004
2015-05-20,126353
2015-05-21,126353
2015-05-22,120035
2015-05-23,114176
2015-05-24,108467
2015-05-25,103043
2015-05-26,98441
2015-05-27,98441
2015-05-28,95227
2015-05-29,93671
2015-05-30,90495
2015-05-31,86990
2015-06-01,85176
2015-06-02,85176
2015-06-03,84007
2015-06-04,84007
2015-06-05,81931
2015-06-06,81454
2015-06-07,83199
2015-06-08,83199
2015-06-09,83381
2015-06-10,86305
2015-06-11,86305
2015-06-12,90014
2015-06-13,90828
2015-06-14,90828
2015-06-15,91877
2015-06-16,91877
2015-06-17,93743
2015-06-18,94877
2015-06-19,94877
2015-06-20,94251
2015-06-21,94251
2015-06-22,93412
2015-06-23,93412
2015-06-24,92134
2015-06-25,92134
2015-06-26,89303
2015-06-27,89303
2015-06-28,88004
2015-06-29,88004
2015-06-30,86191
2015-07-01,88601
2015-07-02,88601
2015-07-03,92024
2015-07-04,95241
2015-07-05,95241
2015-07-06,98982
2015-07-07,98982
2015-07-08,103683
2015-07-09,103683
2015-07-10,108868
2015-07-11,108868
2015-07-12,113884
2015-07-13,119043
2015-07-14,119043
2015-07-15,124338
2015-07-16,124338
2015-07-17,123874
2015-07-18,123874
2015-07-19,122276
2015-07-20,119724
2015-07-21,119724
2015-07-22,117925
2015-07-23,117925
2015-07-24,113643
2015-07-25,113643
2015-07-26,112007
2015-07-27,112007
2015-07-28,108799
2015-07-29,105876
2015-07-30,105876
2015-07-31,105253
2015-08-01,105253
2015-08-02,103044
2015-08-03,103044
2015-08-04,100910
2015-08-05,100961
2015-08-06,100961
2015-08-07,101008
2015-08-08,98143
2015-08-09,96593
2015-08-10,96593
2015-08-11,93256
2015-08-12,93256
2015-08-13,93421
2015-08-14,94654
2015-08-15,94654
2015-08-16,97400
2015-08-17,101706
2015-08-18,101706
2015-08-19,104610
2015-08-20,104610
2015-08-21,108157
2015-08-22,108157
2015-08-23,108173
2015-08-24,108127
2015-08-25,108127
2015-08-26,107470
2015-08-27,106777
2015-08-28,106777
2015-08-29,103684
2015-08-30,103684
2015-08-31,101843
2015-09-01,101843
2015-09-02,104090
2015-09-03,104090
2015-09-04,101482
2015-09-05,101482
2015-09-06,97055
2015-09-07,97055
2015-09-08,92910
2015-09-09,91061
2015-09-10,91061
2015-09-11,92830
2015-09-12,93198
2015-09-13,93198
2015-09-14,93132
2015-09-15,95077
2015-09-16,95077
2015-09-17,98811
2015-09-18,98811
2015-09-19,102695
2015-09-20,102695
2015-09-21,100374
2015-09-22,100374
2015-09-23,97219
2015-09-24,97219
2015-09-25,96166
2015-09-27,93666
2015-09-28,92267
2015-09-29,92267
2015-09-30,90418
2015-10-05,88758
2015-10-06,88573
2015-10-07,88573
2015-10-08,87850
2015-10-09,87850
2015-10-10,87478
2015-10-11,86334
2015-10-12,86334
2015-10-13,87552
2015-10-14,87552
2015-10-15,86920
2015-10-16,86920
2015-10-17,85396
2015-10-18,85396
2015-10-19,83299
2015-10-20,83299
2015-10-22,81897
2015-10-23,83339
2015-10-24,83339
2015-10-25,84955
2015-10-26,84955
2015-10-27,88843
2015-10-29,93148
2015-10-30,93148
2015-10-31,97165
2015-11-01,97165
2015-11-02,98234
2015-11-03,98234
2015-11-04,98234
2015-11-05,99532
2015-11-06,99532
2015-11-07,99616
2015-11-08,99616
2015-11-09,99616
2015-11-10,100169
2015-11-11,100169
2015-11-12,100925
2015-11-13,100925
2015-11-14,100925
2015-11-15,100694
2015-11-16,100694
2015-11-17,98441
2015-11-18,98441
2015-11-19,97724
2015-11-20,97724
2015-11-21,97724
2015-11-22,95739
2015-11-23,95739
2015-11-24,94203
2015-11-25,91617
2015-11-26,91617
2015-11-27,89126
2015-11-28,89126
2015-11-29,87275
2015-11-30,87275
2015-12-01,88699
2015-12-02,88699
2015-12-03,91183
2015-12-04,91183
2015-12-05,93368
2015-12-06,93368
2015-12-07,96182
2015-12-08,96182
2015-12-09,94832
2015-12-10,94832
2015-12-11,96311
2015-12-12,96311
2015-12-13,95685
2015-12-14,95685
2015-12-15,97911
2015-12-16,97911
2015-12-17,101221
2015-12-18,101221
2015-12-19,105856
2015-12-20,105856
2015-12-21,109592
2015-12-22,109592
2015-12-23,113277
2015-12-24,113277
2015-12-25,116188
2015-12-26,116188
2015-12-27,118585
2015-12-28,118585
2015-12-29,114974
2015-12-30,114974
2015-12-31,117133
2016-01-01,117133
2016-01-02,117133
2016-01-03,117341
2016-01-04,115974
2016-01-05,115974
2016-01-06,112668
2016-01-07,112668
2016-01-08,111551
2016-01-09,111551
2016-01-10,110341
2016-01-11,110341
2016-01-12,110142
2016-01-13,110142
2016-01-14,109605
2016-01-15,109605
2016-01-16,108704
2016-01-17,108704
2016-01-18,105691
2016-01-19,105691
2016-01-20,102395
2016-01-21,102395
