date_obj,Obsidian%20cape%20(r) price
2017-04-26,3443962
2017-04-27,3443962
2017-04-28,3280471
2017-04-29,3280471
2017-04-30,3324537
2017-05-01,3324537
2017-05-02,3324537
2017-05-03,3442000
2017-05-04,3442000
2017-05-05,3443123
2017-05-06,3443123
2017-05-07,3443123
2017-05-08,3468187
2017-05-09,3468187
2017-05-10,3468187
2017-05-11,3418136
2017-05-12,3418136
2017-05-13,3299072
2017-05-14,3299072
2017-05-15,3299072
2017-05-16,3145537
2017-05-17,3145537
2017-05-18,3145537
2017-05-19,2992477
2017-05-20,2992477
2017-05-21,2934614
2017-05-22,2934614
2017-05-23,2934614
2017-05-24,2913183
2017-05-25,2913183
2017-05-26,2913183
2017-05-27,2812664
2017-05-28,2812664
2017-05-29,2812664
2017-05-30,2823343
2017-05-31,2823343
2017-06-01,2940559
2017-06-02,2940559
2017-06-03,3072049
2017-06-06,3215595
2017-06-07,3246139
2017-06-08,3246139
2017-06-09,3246139
2017-06-10,3147911
2017-06-11,3147911
2017-06-12,3147911
2017-06-13,2991546
2017-06-14,2991546
2017-06-15,2991546
2017-06-16,2867646
2017-06-17,2867646
2017-06-18,2815563
2017-06-19,2815563
2017-06-20,2813151
2017-06-21,2813151
2017-06-22,2813151
2017-06-23,2874311
2017-06-24,2874311
2017-06-25,2898398
2017-06-26,2898398
2017-06-27,2972322
2017-06-28,2972322
2017-06-29,3105659
2017-06-30,3105659
2017-07-01,3105659
2017-07-02,3057042
2017-07-03,3057042
2017-07-04,2952394
2017-07-05,2952394
2017-07-06,2952394
2017-07-07,2919476
2017-07-08,2919476
2017-07-13,3016040
2017-07-14,3016040
2017-07-15,2970122
2017-07-16,2970122
2017-07-17,2927803
2017-07-18,2927803
2017-07-19,2931389
2017-07-20,2931389
2017-07-21,2996674
2017-07-22,2996674
2017-07-23,3078654
2017-07-24,3078654
2017-07-25,3078654
2017-07-26,3170438
2017-07-27,3170438
2017-07-28,3078065
2017-07-29,3078065
2017-07-30,3074249
2017-07-31,3074249
2017-08-01,3074249
2017-08-02,3155875
2017-08-03,3155875
2017-08-04,3155875
2017-08-05,3120876
2017-08-06,3120876
2017-08-09,3076048
2017-08-10,3043689
2017-08-11,3043689
2017-08-12,3043689
2017-08-13,3008032
2017-08-14,3008032
2017-08-15,3037257
2017-08-17,2980721
2017-08-18,2980721
2017-08-19,2980721
2017-08-20,3036414
2017-08-22,3043609
2017-08-23,3043609
2017-08-24,3043609
2017-08-25,3012403
2017-08-26,3012403
2017-08-27,2972181
2017-08-28,2972181
2017-08-29,2972181
2017-08-30,3007758
2017-08-31,3007758
2017-09-01,3007758
2017-09-02,3041199
2017-09-03,3041199
2017-09-04,3041199
2017-09-05,3063001
2017-09-06,3063001
2017-09-07,2993444
2017-09-08,2993444
2017-09-09,2974631
2017-09-10,2974631
2017-09-11,2974631
2017-09-12,2920440
2017-09-13,2920440
2017-09-14,2934225
2017-09-15,2934225
2017-09-16,2934225
2017-09-17,2961319
2017-09-19,2961319
2017-09-20,2960285
2017-09-21,2960285
2017-09-22,2960285
2017-09-23,2947576
2017-09-24,2947576
2017-09-25,2929392
2017-09-26,2929392
2017-09-27,2929392
2017-09-28,2901124
2017-09-29,2901124
2017-09-30,2857957
2017-10-01,2857957
2017-10-02,2876749
2017-10-03,2876749
2017-10-04,2876749
2017-10-05,2876900
2017-10-06,2876900
2017-10-07,2830079
2017-10-08,2830079
2017-10-09,2751571
2017-10-10,2751571
2017-10-11,2751571
2017-10-12,2750656
2017-10-13,2750656
2017-10-14,2761361
2017-10-15,2761361
2017-10-16,2761361
2017-10-17,2771478
2017-10-18,2771478
2017-10-19,2781725
2017-10-20,2781725
2017-10-21,2781725
2017-10-22,2845460
2017-10-23,2845460
2017-10-24,2898285
2017-10-25,2898285
2017-10-26,2836687
2017-10-27,2836687
2017-10-28,2836687
2017-10-29,2835584
2017-10-30,2835584
2017-10-31,2818459
2017-11-01,2818459
2017-11-02,2818459
2017-11-03,2855306
2017-11-04,2855306
2017-11-05,2866695
2017-11-06,2866695
2017-11-07,2866695
2017-11-08,2868202
2017-11-09,2868202
2017-11-10,2863537
2017-11-11,2863537
2017-11-12,2863537
2017-11-13,2920221
2017-11-14,2920221
2017-11-15,2920221
2017-11-16,2976659
2017-11-17,2976659
2017-11-18,2976659
2017-11-19,2968739
2017-11-20,2968739
2017-11-21,2974374
2017-11-22,2974374
2017-11-23,2974374
2017-11-24,2946424
2017-11-25,2946424
2017-11-26,2863374
2017-11-27,2863374
2017-11-28,2863374
2017-11-29,2850523
2017-11-30,2850523
2017-12-01,2834273
2017-12-02,2834273
2017-12-03,2793563
2017-12-04,2793563
2017-12-05,2797215
2017-12-06,2797215
2017-12-07,2804894
2017-12-08,2804894
2017-12-09,2804894
2017-12-10,2801174
2017-12-11,2801174
2017-12-12,2801174
2017-12-14,2783150
2017-12-15,2775448
2017-12-16,2775448
2017-12-17,2775448
2017-12-18,2773004
2017-12-19,2773004
2017-12-20,2773004
2017-12-21,2776211
2017-12-22,2776211
2017-12-23,2728713
2017-12-24,2728713
2017-12-25,2785614
2017-12-26,2785614
2017-12-27,2914178
2017-12-28,2914178
2017-12-29,3035032
2017-12-30,3035032
2017-12-31,3048048
2018-01-01,3048048
2018-01-02,2958227
2018-01-03,2958227
2018-01-04,2823858
2018-01-05,2823858
2018-01-06,2745044
2018-01-07,2745044
2018-01-08,2729598
2018-01-09,2729598
2018-01-10,2673910
2018-01-11,2673910
2018-01-12,2596969
2018-01-13,2596969
2018-01-14,2492423
2018-01-15,2492423
2018-01-16,2454740
2018-01-17,2454740
2018-01-18,2456398
2018-01-19,2456398
2018-01-20,2456398
2018-01-21,2481879
2018-01-22,2481879
2018-01-23,2518398
2018-01-24,2453525
2018-01-25,2433946
2018-01-26,2475358
2018-01-27,2468301
2018-01-28,2430068
2018-01-29,2411855
2018-01-31,2357170
2018-02-01,2331700
2018-02-02,2361665
2018-02-03,2397659
2018-02-04,2422078
2018-02-05,2422078
2018-02-06,2385496
2018-02-07,2353027
2018-02-08,2353027
2018-02-09,2316881
2018-02-10,2316881
2018-02-11,2253200
2018-02-12,2213052
2018-02-13,2201689
2018-02-14,2124424
2018-02-15,2027205
2018-02-16,1995306
2018-02-17,1952587
2018-02-18,1881690
2018-02-19,1899247
2018-02-20,1950201
2018-02-21,2004048
2018-02-22,2056568
2018-02-23,2057685
2018-02-24,2057685
2018-02-25,2025248
2018-02-26,1948317
2018-02-27,1921545
2018-03-01,1876953
2018-03-02,1884611
2018-03-03,1909156
2018-03-04,1909156
2018-03-05,1935080
2018-03-06,2003618
2018-03-07,2045909
2018-03-08,2089524
2018-03-09,2081283
2018-03-10,2069651
2018-03-11,2032131
2018-03-12,2019581
2018-03-13,2032771
2018-03-14,2040067
2018-03-15,2065704
2018-03-16,2120424
2018-03-17,2131373
2018-03-18,2172691
2018-03-19,2172691
2018-03-20,2247051
2018-03-21,2326257
2018-03-23,2313284
2018-03-24,2316486
2018-03-26,2336492
2018-03-27,2313008
2018-03-28,2313008
2018-03-29,2304024
2018-03-30,2289737
2018-03-31,2276042
2018-04-01,2268432
2018-04-02,2260729
2018-04-03,2328972
2018-04-04,2370654
2018-04-05,2370654
2018-04-06,2395686
2018-04-08,2464975
2018-04-09,2536574
2018-04-10,2536574
2018-04-11,2520423
2018-04-12,2530994
2018-04-13,2530994
2018-04-14,2520189
2018-04-15,2437096
2018-04-16,2437096
2018-04-17,2480345
2018-04-18,2480345
2018-04-19,2518548
2018-04-20,2516034
2018-04-21,2452201
2018-04-22,2452201
2018-04-23,2409413
2018-04-24,2423544
2018-04-25,2402037
2018-04-26,2402037
2018-04-27,2347850
2018-04-28,2388275
2018-04-29,2396569
2018-04-30,2400748
2018-05-01,2438912
2018-05-02,2438912
2018-05-04,2450759
2018-05-05,2445840
2018-05-06,2445840
2018-05-07,2380312
2018-05-08,2364009
2018-05-09,2390625
2018-05-10,2402776
2018-05-11,2431120
2018-05-12,2537382
2018-05-13,2537382
2018-05-14,2429164
2018-05-15,2389431
2018-05-16,2278876
2018-05-17,2178220
2018-05-18,2102260
2018-05-19,2098124
2018-05-20,2117600
2018-05-21,2161405
2018-05-22,2161405
2018-05-23,2210995
2018-05-24,2271125
2018-05-25,2272075
2018-05-26,2310044
2018-05-27,2310044
2018-05-28,2321432
2018-05-29,2324566
2018-05-30,2306363
2018-05-31,2310396
2018-06-01,2391619
2018-06-02,2450135
2018-06-03,2500706
2018-06-04,2522026
2018-06-05,2451111
2018-06-06,2341074
