date_obj,Mithril%20kiteshield%20(g) price
2016-02-13,25364
2016-02-14,25364
2016-02-15,25080
2016-02-16,25080
2016-02-17,25001
2016-02-18,25001
2016-02-19,25418
2016-02-20,25393
2016-02-21,24848
2016-02-22,24848
2016-02-23,24450
2016-02-24,24450
2016-02-25,24745
2016-02-26,24745
2016-02-27,24871
2016-02-28,24871
2016-02-29,25251
2016-03-01,25716
2016-03-02,25716
2016-03-03,25638
2016-03-04,25533
2016-03-05,24320
2016-03-06,23204
2016-03-07,23204
2016-03-08,22403
2016-03-09,21582
2016-03-10,21260
2016-03-11,21260
2016-03-12,20958
2016-03-13,20958
2016-03-14,20908
2016-03-15,21482
2016-03-16,21334
2016-03-17,21334
2016-03-18,20685
2016-03-19,20685
2016-03-20,20248
2016-03-21,20248
2016-03-22,20148
2016-03-23,19700
2016-03-24,19700
2016-03-25,19346
2016-03-26,18782
2016-03-27,18782
2016-03-28,18393
2016-03-29,19052
2016-03-30,19052
2016-03-31,19357
2016-04-01,19357
2016-04-02,19758
2016-04-03,19709
2016-04-04,19709
2016-04-05,19396
2016-04-06,18629
2016-04-07,18398
2016-04-08,17984
2016-04-09,17776
2016-04-10,17884
2016-04-11,17884
2016-04-12,17877
2016-04-13,17932
2016-04-14,17932
2016-04-15,17836
2016-04-16,18072
2016-04-17,18261
2016-04-18,18587
2016-04-19,18587
2016-04-20,18588
2016-04-21,18020
2016-04-22,18020
2016-04-23,17507
2016-04-24,16879
2016-04-25,16791
2016-04-26,16436
2016-04-27,16287
2016-04-28,15821
2016-04-29,15821
2016-04-30,15832
2016-05-01,15081
2016-05-02,15029
2016-05-03,14471
2016-05-04,14428
2016-05-05,14134
2016-05-06,14134
2016-05-07,13928
2016-05-08,13928
2016-05-09,13774
2016-05-10,13332
2016-05-11,13332
2016-05-12,12802
2016-05-13,12201
2016-05-14,11822
2016-05-15,11863
2016-05-16,12390
2016-05-17,12887
2016-05-18,13136
2016-05-19,12950
