date_obj,Dareeyak%20teleport%20(tablet) price
2016-01-04,3088
2016-01-05,3088
2016-01-06,3117
2016-01-07,3117
2016-01-08,3117
2016-01-09,3113
2016-01-10,3113
2016-01-11,3113
2016-01-12,3097
2016-01-13,3097
2016-01-14,3097
2016-01-15,3153
2016-01-16,3153
2016-01-17,3153
2016-01-18,3044
2016-01-19,3044
2016-01-20,3044
2016-01-21,3044
2016-01-22,2953
2016-01-23,2953
2016-01-24,2953
2016-01-25,2981
2016-01-26,2981
2016-01-27,2981
2016-01-28,2981
2016-01-29,3102
2016-01-30,3102
2016-01-31,3102
2016-02-01,3216
2016-02-02,3216
2016-02-03,3216
2016-02-04,3216
2016-02-05,3203
2016-02-06,3203
2016-02-07,3203
2016-02-08,3149
2016-02-09,3149
2016-02-10,3149
2016-02-11,3039
2016-02-12,3039
2016-02-13,3039
2016-02-14,2946
2016-02-15,2946
2016-02-16,2946
2016-02-17,2854
2016-02-18,2854
2016-02-19,2854
2016-02-20,2854
2016-02-21,2780
2016-02-22,2780
2016-02-23,2780
2016-02-24,2780
2016-02-25,2725
2016-02-26,2725
2016-02-27,2748
2016-02-28,2748
2016-03-01,2801
2016-03-02,2801
2016-03-03,2801
2016-03-04,2801
2016-03-05,2801
2016-03-06,2801
2016-03-07,2905
2016-03-08,2905
2016-03-09,2905
2016-03-10,2997
2016-03-11,2997
2016-03-12,2997
2016-03-13,2949
2016-03-14,2949
2016-03-15,2949
2016-03-16,2906
2016-03-17,2906
2016-03-18,2906
2016-03-19,2905
2016-03-20,2905
2016-03-21,2905
2016-03-22,2989
2016-03-23,2989
2016-03-24,2989
2016-03-25,3009
2016-03-26,3009
2016-03-27,3009
2016-03-28,2869
2016-03-29,2869
2016-03-30,2869
2016-03-31,2869
2016-04-01,2811
2016-04-02,2811
2016-04-03,2811
2016-04-04,2869
2016-04-05,2869
2016-04-06,2869
2016-04-07,2869
2016-04-08,2851
2016-04-09,2851
2016-04-10,2820
2016-04-11,2820
2016-04-12,2820
2016-04-13,2820
2016-04-14,2742
2016-04-15,2742
2016-04-16,2748
2016-04-17,2748
2016-04-18,2809
2016-04-19,2809
2016-04-20,2809
2016-04-21,2823
2016-04-22,2823
2016-04-23,2823
2016-04-24,2825
2016-04-25,2825
2016-04-26,2825
2016-04-27,2886
2016-04-28,2886
2016-04-29,2886
2016-04-30,2872
2016-05-01,2872
2016-05-02,2872
2016-05-03,2860
2016-05-04,2860
2016-05-05,2860
2016-05-06,2825
2016-05-07,2825
2016-05-08,2825
2016-05-09,2781
2016-05-10,2781
2016-05-11,2781
2016-05-12,2764
2016-05-13,2764
2016-05-14,2711
2016-05-15,2711
2016-05-16,2711
2016-05-17,2575
2016-05-18,2575
2016-05-19,2575
2016-05-22,2485
2016-05-23,2422
2016-05-24,2422
2016-05-25,2422
2016-05-26,2421
2016-05-27,2421
2016-05-28,2421
2016-05-29,2480
2016-05-30,2480
2016-05-31,2480
2016-06-01,2603
2016-06-02,2603
2016-06-03,2603
2016-06-04,2708
2016-06-05,2708
2016-06-06,2721
2016-06-07,2721
