date_obj,Red%20d'hide%20body%20(t) price
2015-03-26,8631
2015-03-27,8631
2015-03-28,8220
2015-03-29,7863
2015-03-30,7863
2015-03-31,7469
2015-04-01,7469
2015-04-02,7165
2015-04-03,7165
2015-04-04,6884
2015-04-05,6884
2015-04-06,6679
2015-04-07,6679
2015-04-08,6445
2015-04-09,6445
2015-04-10,6323
2015-04-11,6323
2015-04-12,6304
2015-04-13,6420
2015-04-14,6420
2015-04-15,6405
2015-04-16,6405
2015-04-17,6286
2015-04-18,6286
2015-04-19,6140
2015-04-20,6140
2015-04-21,6277
2015-04-22,6277
2015-04-23,6353
2015-04-24,6353
2015-04-25,6344
2015-04-26,6344
2015-04-27,6334
2015-04-28,6402
2015-04-29,6402
2015-04-30,6411
2015-05-01,6285
2015-05-02,6422
2015-05-03,6422
2015-05-04,6420
2015-05-05,6420
2015-05-06,6383
2015-05-07,6383
2015-05-08,6385
2015-05-09,6385
2015-05-10,6421
2015-05-11,6421
2015-05-12,6461
2015-05-13,6461
2015-05-14,6448
2015-05-15,6448
2015-05-16,6399
2015-05-17,6435
2015-05-18,6435
2015-05-19,6408
2015-05-20,6408
2015-05-21,6408
2015-05-22,6428
2015-05-23,6428
2015-05-24,6399
2015-05-25,6518
2015-05-26,6518
2015-05-27,6425
2015-05-28,6425
2015-05-29,6317
2015-05-30,6318
2015-05-31,6318
2015-06-01,6395
2015-06-02,6395
2015-06-03,6395
2015-06-04,6430
2015-06-05,6430
2015-06-06,6440
2015-06-07,6440
2015-06-08,6588
2015-06-09,6588
2015-06-10,6423
2015-06-11,6423
2015-06-12,6423
2015-06-13,6435
2015-06-14,6435
2015-06-15,6414
2015-06-16,6414
2015-06-17,6504
2015-06-18,6504
2015-06-19,6463
2015-06-20,6463
2015-06-21,6446
2015-06-22,6446
2015-06-23,6510
2015-06-24,6510
2015-06-25,6510
2015-06-26,6498
2015-06-27,6498
2015-06-28,6510
2015-06-29,6510
2015-06-30,6552
2015-07-01,6552
2015-07-02,6552
2015-07-03,6467
2015-07-04,6467
2015-07-05,6464
2015-07-06,6464
2015-07-07,6448
2015-07-08,6448
2015-07-09,6544
2015-07-10,6544
2015-07-11,6544
2015-07-12,6544
2015-07-13,6571
2015-07-14,6571
2015-07-15,6486
2015-07-16,6486
2015-07-17,6559
2015-07-18,6559
2015-07-19,6692
2015-07-20,6692
2015-07-21,6641
2015-07-22,6641
2015-07-23,6606
2015-07-24,6606
2015-07-25,6470
2015-07-26,6470
2015-07-27,6536
2015-07-28,6536
2015-07-29,6467
2015-07-30,6467
2015-07-31,6546
2015-08-01,6546
2015-08-02,6533
2015-08-03,6533
2015-08-04,6586
2015-08-05,6586
2015-08-06,6500
2015-08-07,6500
2015-08-08,6559
2015-08-09,6559
2015-08-10,6460
2015-08-11,6460
2015-08-12,6452
2015-08-13,6452
2015-08-14,6549
2015-08-15,6549
2015-08-16,6569
2015-08-17,6569
2015-08-18,6448
2015-08-19,6448
2015-08-20,6534
2015-08-21,6534
2015-08-22,6562
2015-08-23,6562
2015-08-24,6562
2015-08-25,6459
2015-08-26,6459
2015-08-27,6409
2015-08-28,6409
2015-08-29,6448
2015-08-30,6448
2015-08-31,6544
2015-09-01,6544
