date_obj,Carved%20teak%20magic%20wardrobe%20(flatpack) price
2016-01-28,85
2016-01-29,85
2016-01-30,85
2016-01-31,85
2016-02-01,85
2016-02-02,85
2016-02-03,85
2016-02-04,85
2016-02-05,85
2016-02-06,85
2016-02-07,85
2016-02-08,85
2016-02-09,85
2016-02-10,85
2016-02-11,85
2016-02-12,85
2016-02-13,85
2016-02-14,85
2016-02-15,85
2016-02-16,85
2016-02-17,85
2016-02-18,85
2016-02-19,85
2016-02-20,85
2016-02-21,85
2016-02-22,85
2016-02-23,85
2016-02-25,85
2016-02-26,85
2016-02-27,85
2016-02-28,85
2016-02-29,85
2016-03-01,85
2016-03-02,85
2016-03-03,85
2016-03-04,85
2016-03-05,85
2016-03-06,85
2016-03-07,85
2016-03-08,85
2016-03-09,85
2016-03-10,85
2016-03-11,85
2016-03-12,85
2016-03-13,85
2016-03-14,85
2016-03-15,85
2016-03-16,85
2016-03-17,82
2016-03-18,82
2016-03-19,82
2016-03-20,82
2016-03-21,82
2016-03-22,82
2016-03-23,82
2016-03-24,82
2016-03-25,82
2016-03-26,82
2016-03-27,82
2016-03-28,82
2016-03-29,82
2016-03-30,82
2016-03-31,82
2016-04-01,82
2016-04-02,82
2016-04-03,82
2016-04-04,82
2016-04-05,82
2016-04-06,82
2016-04-07,82
2016-04-08,82
2016-04-09,82
2016-04-10,82
2016-04-11,82
2016-04-12,82
2016-04-13,82
2016-04-14,82
2016-04-15,82
2016-04-16,82
2016-04-17,82
2016-04-18,82
2016-04-19,82
2016-04-20,82
2016-04-21,82
2016-04-22,82
2016-04-23,82
2016-04-24,82
2016-04-25,82
2016-04-26,82
2016-04-27,82
2016-04-28,82
2016-04-29,82
2016-04-30,82
2016-05-01,82
2016-05-02,82
2016-05-03,82
2016-05-04,82
2016-05-05,82
2016-05-06,82
2016-05-07,82
2016-05-08,82
2016-05-09,82
2016-05-10,82
2016-05-11,82
2016-05-12,82
2016-05-13,82
2016-05-14,82
2016-05-15,82
2016-05-16,82
2016-05-17,82
2016-05-18,82
2016-05-19,82
2016-05-22,82
2016-05-23,82
2016-05-24,82
2016-05-25,82
2016-05-26,82
2016-05-27,82
2016-05-28,82
2016-05-29,82
2016-05-30,82
2016-05-31,82
2016-06-01,82
2016-06-02,82
2016-06-03,82
2016-06-04,82
2016-06-05,82
2016-06-06,82
2016-06-07,82
2016-06-08,82
2016-06-09,82
2016-06-10,82
2016-06-11,82
2016-06-12,82
2016-06-13,82
2016-06-14,82
2016-06-15,82
2016-06-16,82
2016-06-17,82
2016-06-18,82
2016-06-19,82
2016-06-20,82
2016-06-21,82
2016-06-22,82
2016-06-23,82
2016-06-24,82
2016-06-25,82
2016-06-26,82
2016-06-27,82
2016-06-28,82
2016-06-29,82
2016-06-30,82
2016-07-01,82
2016-07-02,82
2016-07-03,82
2016-07-04,82
2016-07-05,82
2016-07-06,82
2016-07-07,82
2016-07-08,82
2016-07-09,82
2016-07-10,82
2016-07-11,82
2016-07-12,82
2016-07-13,82
2016-07-14,82
2016-07-15,82
2016-07-16,82
2016-07-17,82
2016-07-18,82
2016-07-23,82
2016-07-24,82
2016-07-25,82
2016-07-26,82
2016-07-27,82
2016-07-28,82
2016-07-29,82
2016-07-30,82
2016-07-31,82
2016-08-01,82
2016-08-02,82
2016-08-03,82
2016-08-04,82
2016-08-05,82
2016-08-06,82
2016-08-07,82
2016-08-08,82
2016-08-09,82
2016-08-10,82
2016-08-11,82
2016-08-12,82
2016-08-13,82
2016-08-14,82
2016-08-15,82
2016-08-16,82
2016-08-17,82
2016-08-18,82
2016-08-19,82
2016-08-20,82
2016-08-21,82
2016-08-22,82
2016-08-23,82
2016-08-24,82
2016-08-25,82
2016-08-26,82
2016-08-28,82
2016-08-31,82
2016-09-01,82
2016-09-02,82
2016-09-03,82
2016-09-04,82
2016-09-05,82
