date_obj,Bone%20spear price
2015-03-26,11764
2015-03-27,11764
2015-03-28,11189
2015-03-29,10647
2015-03-30,10139
2015-03-31,9661
2015-04-01,9661
2015-04-02,9177
2015-04-03,8737
2015-04-04,8317
2015-04-05,8317
2015-04-06,7901
2015-04-07,7511
2015-04-08,7511
2015-04-09,7147
2015-04-10,6800
2015-04-11,6472
2015-04-12,6472
2015-04-13,6148
2015-04-14,6148
2015-04-15,5840
2015-04-16,5840
2015-04-17,5548
2015-04-18,5277
2015-04-19,5277
2015-04-20,5013
2015-04-21,5013
2015-04-22,4762
2015-04-23,4527
2015-04-24,4527
2015-04-25,4300
2015-04-26,4300
2015-04-27,4092
2015-04-28,4092
2015-04-29,3887
2015-04-30,3698
2015-05-01,3517
2015-05-02,3366
2015-05-03,3366
2015-05-04,3197
2015-05-05,3197
2015-05-06,3037
2015-05-07,3037
2015-05-08,2885
2015-05-09,2885
2015-05-10,2740
2015-05-11,2740
2015-05-12,2603
2015-05-13,2603
2015-05-14,2472
2015-05-15,2472
2015-05-16,2351
2015-05-17,2233
2015-05-18,2233
2015-05-19,2121
2015-05-20,2121
2015-05-21,2121
2015-05-22,2014
2015-05-23,2014
2015-05-24,1913
2015-05-25,1913
2015-05-26,1822
2015-05-27,1822
2015-05-28,1783
2015-05-29,1727
2015-05-30,1698
2015-05-31,1698
2015-06-01,1625
2015-06-02,1625
2015-06-03,1563
2015-06-04,1563
2015-06-05,1539
2015-06-06,1517
2015-06-07,1517
2015-06-08,1507
2015-06-09,1545
2015-06-10,1497
2015-06-11,1497
2015-06-12,1493
2015-06-13,1486
2015-06-14,1486
2015-06-15,1484
2015-06-16,1455
2015-06-17,1455
2015-06-18,1446
2015-06-19,1446
2015-06-20,1470
2015-06-21,1470
2015-06-22,1426
2015-06-23,1426
2015-06-24,1401
2015-06-25,1401
2015-06-26,1412
2015-06-27,1412
2015-06-28,1406
2015-06-29,1406
2015-06-30,1366
2015-07-01,1353
2015-07-02,1353
2015-07-03,1342
2015-07-04,1342
2015-07-05,1322
2015-07-06,1322
2015-07-07,1312
2015-07-08,1296
2015-07-09,1296
2015-07-10,1274
2015-07-11,1274
2015-07-12,1214
2015-07-13,1159
2015-07-14,1105
2015-07-15,1068
2015-07-16,1068
2015-07-17,1049
2015-07-18,1049
2015-07-19,996
2015-07-20,954
2015-07-21,954
2015-07-22,913
2015-07-23,913
2015-07-24,900
2015-07-25,900
2015-07-26,889
2015-07-27,889
2015-07-28,861
2015-07-29,840
2015-07-30,840
2015-07-31,798
2015-08-01,798
2015-08-02,779
2015-08-03,779
2015-08-04,774
2015-08-05,758
2015-08-06,758
2015-08-07,744
2015-08-08,735
2015-08-09,724
2015-08-10,724
2015-08-11,713
2015-08-12,713
2015-08-13,704
2015-08-14,691
2015-08-15,691
2015-08-16,669
2015-08-17,673
2015-08-18,673
2015-08-19,670
2015-08-20,670
2015-08-21,675
2015-08-22,672
2015-08-23,672
2015-08-24,675
2015-08-25,675
2015-08-26,677
2015-08-27,690
2015-08-28,690
2015-08-29,673
2015-08-30,673
2015-08-31,690
2015-09-01,690
2015-09-02,695
2015-09-03,695
2015-09-04,704
2015-09-05,704
2015-09-06,709
2015-09-07,709
2015-09-08,706
2015-09-09,706
2015-09-10,714
2015-09-11,714
2015-09-12,717
2015-09-13,714
2015-09-14,714
2015-09-15,697
2015-09-16,697
2015-09-17,708
2015-09-18,708
2015-09-19,724
2015-09-20,724
2015-09-21,734
2015-09-22,734
2015-09-23,753
2015-09-24,753
2015-09-25,774
2015-09-27,786
2015-09-28,786
2015-09-29,808
2015-09-30,832
2015-10-05,859
2015-10-06,890
2015-10-07,890
2015-10-08,899
2015-10-09,911
2015-10-10,911
2015-10-11,933
2015-10-12,933
2015-10-13,944
2015-10-14,944
2015-10-15,972
2015-10-16,972
2015-10-17,993
2015-10-18,993
2015-10-19,1010
2015-10-20,1010
2015-10-22,1020
2015-10-23,1021
2015-10-24,1021
2015-10-25,997
2015-10-26,997
2015-10-27,989
2015-10-29,962
2015-10-30,962
2015-10-31,943
2015-11-01,943
2015-11-02,935
2015-11-03,935
2015-11-04,918
2015-11-05,918
2015-11-06,907
2015-11-07,901
2015-11-08,901
2015-11-09,884
2015-11-10,884
2015-11-11,841
2015-11-12,841
2015-11-13,814
2015-11-14,814
2015-11-15,815
2015-11-16,815
2015-11-17,825
2015-11-18,825
2015-11-19,842
2015-11-20,842
2015-11-21,840
2015-11-22,834
2015-11-23,834
2015-11-24,813
2015-11-25,806
2015-11-26,806
2015-11-27,807
2015-11-28,807
