date_obj,Amulet%20of%20magic price
2015-03-26,479
2015-03-27,479
2015-03-28,484
2015-03-29,501
2015-03-30,492
2015-03-31,473
2015-04-01,471
2015-04-02,469
2015-04-03,468
2015-04-04,467
2015-04-05,468
2015-04-06,473
2015-04-07,484
2015-04-08,501
2015-04-09,525
2015-04-10,533
2015-04-11,541
2015-04-12,558
2015-04-13,561
2015-04-14,550
2015-04-15,550
2015-04-16,564
2015-04-17,587
2015-04-18,602
2015-04-19,616
2015-04-20,616
2015-04-21,642
2015-04-22,660
2015-04-23,663
2015-04-24,672
2015-04-25,674
2015-04-26,679
2015-04-27,666
2015-04-28,657
2015-04-29,657
2015-04-30,665
2015-05-01,679
2015-05-02,668
2015-05-03,647
2015-05-04,645
2015-05-05,620
2015-05-06,645
2015-05-07,650
2015-05-08,620
2015-05-09,627
2015-05-10,651
2015-05-11,651
2015-05-12,654
2015-05-13,661
2015-05-14,670
2015-05-15,671
2015-05-16,678
2015-05-17,681
2015-05-18,653
2015-05-19,667
2015-05-20,667
2015-05-21,682
2015-05-22,697
2015-05-23,694
2015-05-24,690
2015-05-25,687
2015-05-26,679
2015-05-27,672
2015-05-28,684
2015-05-29,681
2015-05-30,702
2015-05-31,696
2015-06-01,693
2015-06-02,697
2015-06-03,688
2015-06-04,695
2015-06-05,688
2015-06-06,691
2015-06-07,668
2015-06-08,662
2015-06-09,675
2015-06-10,685
2015-06-11,694
2015-06-12,707
2015-06-13,719
2015-06-14,729
2015-06-15,725
2015-06-16,717
2015-06-17,733
2015-06-18,765
2015-06-19,761
2015-06-20,764
2015-06-21,761
2015-06-22,763
2015-06-23,792
2015-06-24,810
2015-06-25,831
2015-06-26,855
2015-06-27,874
2015-06-28,879
2015-06-29,900
2015-06-30,926
2015-07-01,924
2015-07-02,924
2015-07-03,931
2015-07-04,896
2015-07-05,857
2015-07-06,830
2015-07-07,792
2015-07-08,762
2015-07-09,768
2015-07-10,779
2015-07-11,791
2015-07-12,800
2015-07-13,811
2015-07-14,806
2015-07-15,817
2015-07-16,823
2015-07-17,820
2015-07-18,824
2015-07-19,831
2015-07-20,821
2015-07-21,816
2015-07-22,836
2015-07-23,836
2015-07-24,838
2015-07-25,846
2015-07-26,852
2015-07-27,865
2015-07-28,847
2015-07-29,860
2015-07-30,833
2015-07-31,823
2015-08-01,833
2015-08-02,830
2015-08-03,818
2015-08-04,836
2015-08-05,840
2015-08-06,845
2015-08-07,822
2015-08-08,838
2015-08-09,875
2015-08-10,889
2015-08-11,914
2015-08-12,922
2015-08-13,934
2015-08-14,924
2015-08-15,917
2015-08-16,921
2015-08-17,886
2015-08-18,855
2015-08-19,855
2015-08-20,818
2015-08-21,807
2015-08-22,816
2015-08-23,820
2015-08-24,811
2015-08-25,811
2015-08-26,807
2015-08-27,808
2015-08-28,804
2015-08-29,790
2015-08-30,791
2015-08-31,815
2015-09-01,828
2015-09-02,828
2015-09-03,845
2015-09-04,865
2015-09-05,883
2015-09-06,881
2015-09-07,902
2015-09-08,868
2015-09-09,862
2015-09-10,867
2015-09-11,867
2015-09-12,890
2015-09-13,926
2015-09-14,959
2015-09-15,969
2015-09-16,969
2015-09-17,965
2015-09-18,935
2015-09-19,916
2015-09-20,928
2015-09-21,936
2015-09-22,932
2015-09-23,889
2015-09-24,889
2015-09-25,857
2015-09-27,861
2015-09-28,869
2015-09-29,877
2015-09-30,855
2015-10-05,781
2015-10-06,756
2015-10-07,754
2015-10-08,767
2015-10-09,784
2015-10-10,784
2015-10-11,794
2015-10-12,801
2015-10-13,837
2015-10-14,840
2015-10-15,830
2015-10-16,826
2015-10-17,826
2015-10-18,831
2015-10-19,837
2015-10-20,841
2015-10-22,846
2015-10-23,823
2015-10-24,803
2015-10-25,791
2015-10-26,788
2015-10-27,788
2015-10-28,781
2015-10-29,759
2015-10-30,763
2015-10-31,737
2015-11-01,730
2015-11-02,755
2015-11-03,736
2015-11-04,738
2015-11-05,734
2015-11-06,733
2015-11-07,738
2015-11-08,732
2015-11-09,728
2015-11-10,748
2015-11-11,745
2015-11-12,722
2015-11-13,715
2015-11-14,689
2015-11-15,697
2015-11-16,707
2015-11-17,726
2015-11-18,725
2015-11-19,709
2015-11-20,718
2015-11-21,718
2015-11-22,709
2015-11-23,709
2015-11-24,709
2015-11-25,712
2015-11-26,712
2015-11-27,716
2015-11-28,715
2015-11-29,731
2015-11-30,747
2015-12-01,725
2015-12-02,707
2015-12-03,671
2015-12-04,645
2015-12-05,613
2015-12-06,596
2015-12-07,601
2015-12-08,613
2015-12-09,621
2015-12-10,628
2015-12-11,612
2015-12-12,584
2015-12-13,583
2015-12-14,583
2015-12-15,582
2015-12-16,590
2015-12-17,605
2015-12-18,604
2015-12-19,610
2015-12-20,617
2015-12-21,606
2015-12-22,609
2015-12-23,619
2015-12-24,613
2015-12-25,603
2015-12-26,582
2015-12-27,568
2015-12-28,556
2015-12-29,557
2015-12-30,549
2015-12-31,524
2016-01-01,524
2016-01-02,523
2016-01-04,564
2016-01-05,586
2016-01-06,608
2016-01-07,622
2016-01-08,609
2016-01-09,616
2016-01-10,630
2016-01-11,662
2016-01-12,696
2016-01-13,731
2016-01-14,729
2016-01-15,720
2016-01-16,745
2016-01-17,771
2016-01-18,781
2016-01-19,778
2016-01-20,752
2016-01-21,722
2016-01-22,733
2016-01-23,737
2016-01-24,751
2016-01-25,745
2016-01-26,759
2016-01-27,775
2016-01-28,775
2016-01-29,782
2016-01-30,778
2016-01-31,795
2016-02-01,799
2016-02-02,815
2016-02-03,807
2016-02-04,771
2016-02-05,762
2016-02-06,776
2016-02-07,810
2016-02-08,811
2016-02-09,791
2016-02-10,801
2016-02-11,798
2016-02-12,782
2016-02-13,776
2016-02-14,769
2016-02-15,780
2016-02-16,803
2016-02-17,841
2016-02-18,881
2016-02-19,903
2016-02-20,911
2016-02-21,918
2016-02-22,918
2016-02-23,897
