date_obj,Black%20leprechaun%20hat price
2016-07-06,4759909
2016-07-07,4759909
2016-07-08,4525752
2016-07-09,4525752
2016-07-10,4299464
2016-07-11,4299464
2016-07-12,4084490
2016-07-13,4084490
2016-07-14,3885861
2016-07-15,3885861
2016-07-16,3696275
2016-07-17,3696275
2016-07-18,3519155
2016-07-23,3186456
2016-07-24,3030640
2016-07-25,3030640
2016-07-26,2883289
2016-07-27,2883289
2016-07-28,2742917
2016-07-29,2742917
2016-07-30,2610133
2016-07-31,2610133
2016-08-01,2610133
2016-08-02,2479626
2016-08-03,2479626
2016-08-04,2479626
2016-08-05,2357606
2016-08-06,2357606
2016-08-07,2357606
2016-08-08,2242722
2016-08-09,2242722
2016-08-10,2132064
2016-08-11,2132064
2016-08-12,2132064
2016-08-13,2132064
2016-08-14,2027681
2016-08-15,2027681
2016-08-16,1932605
2016-08-17,1932605
2016-08-18,1932605
2016-08-19,1837236
2016-08-20,1837236
2016-08-21,1837236
2016-08-22,1746806
2016-08-23,1746806
2016-08-24,1746806
2016-08-25,1661799
2016-08-26,1661799
2016-08-28,1661799
2016-08-31,1581488
2016-09-01,1581488
2016-09-02,1506545
2016-09-03,1506545
2016-09-04,1506545
2016-09-05,1433881
2016-09-06,1433881
2016-09-07,1433881
2016-09-08,1433881
2016-09-09,1433881
2016-09-10,1364713
2016-09-11,1364713
2016-09-12,1364713
2016-09-13,1364713
2016-09-14,1297740
2016-09-15,1297740
2016-09-16,1297740
2016-09-17,1297740
2016-09-18,1234318
2016-09-19,1234318
2016-09-20,1234318
2016-09-21,1234318
2016-09-22,1234318
2016-09-23,1174121
2016-09-24,1174121
2016-09-25,1174121
2016-09-26,1174121
2016-09-27,1116130
2016-09-28,1116130
2016-09-29,1116130
2016-09-30,1116130
2016-10-01,1062067
2016-10-02,1062067
2016-10-03,1062067
2016-10-04,1062067
2016-10-05,1062067
2016-10-06,1011208
2016-10-07,1011208
2016-10-08,1011208
2016-10-09,1011208
2016-10-10,963000
2016-10-11,963000
2016-10-12,963000
2016-10-13,963000
2016-10-14,917355
2016-10-15,917355
2016-10-16,917355
2016-10-17,917355
2016-10-18,871970
2016-10-19,871970
2016-10-20,871970
2016-10-21,871970
2016-10-22,871970
2016-10-23,829943
2016-10-24,829943
2016-10-25,829943
2016-10-26,829943
2016-10-27,829943
2016-10-28,790006
2016-10-29,790006
2016-10-30,790006
2016-10-31,752203
2016-11-01,752203
2016-11-02,752203
2016-11-03,752203
2016-11-04,715653
2016-11-05,715653
2016-11-06,715653
2016-11-07,715653
2016-11-08,681883
2016-11-09,681883
2016-11-10,681883
2016-11-11,681883
2016-11-12,649549
2016-11-13,649549
2016-11-14,649549
2016-11-15,649549
2016-12-07,459714
2016-12-08,459714
2016-12-09,459714
2016-12-10,459714
2016-12-11,437910
2016-12-12,437910
2016-12-13,437910
2016-12-14,437910
2016-12-15,416976
2016-12-16,416976
2016-12-17,416976
2016-12-18,416976
2016-12-19,416976
2016-12-20,396816
2016-12-21,396816
2016-12-22,396816
2016-12-23,396816
2016-12-24,377376
2016-12-25,377376
2016-12-26,377376
2016-12-27,377376
2016-12-28,359024
2016-12-29,359024
2016-12-30,359024
2016-12-31,359024
2017-01-01,341741
2017-01-02,341741
2017-01-03,341741
2017-01-04,324980
2017-01-05,324980
2017-01-06,324980
2017-01-07,309261
2017-01-08,309261
2017-01-09,309261
2017-01-10,294606
2017-01-11,294606
2017-01-12,280187
2017-01-13,280187
2017-01-14,280187
2017-01-15,266671
2017-01-16,266671
2017-01-17,266671
2017-01-18,253570
