date_obj,Armadyl%20d'hide%20body price
2015-03-26,146471
2015-03-27,145275
2015-03-28,148498
2015-03-29,151756
2015-03-30,154137
2015-03-31,157165
2015-04-01,158743
2015-04-02,162279
2015-04-03,167938
2015-04-04,170659
2015-04-05,172982
2015-04-06,175650
2015-04-07,178921
2015-04-08,180063
2015-04-09,175928
2015-04-10,175586
2015-04-11,175518
2015-04-12,177136
2015-04-13,178673
2015-04-14,180408
2015-04-15,186102
2015-04-16,192761
2015-04-17,201625
2015-04-18,208305
2015-04-19,216689
2015-04-20,222645
2015-04-21,221822
2015-04-22,217289
2015-04-23,207608
2015-04-24,197353
2015-04-25,188624
2015-04-26,180206
2015-04-27,178243
2015-04-28,177561
2015-04-29,177337
2015-04-30,178184
2015-05-01,177174
2015-05-02,176309
2015-05-03,175185
2015-05-04,172886
2015-05-05,172436
2015-05-06,168324
2015-05-07,161889
2015-05-08,156429
2015-05-09,152020
2015-05-10,146163
2015-05-11,140894
2015-05-12,136886
2015-05-13,132875
2015-05-14,133429
2015-05-15,133235
2015-05-16,134450
2015-05-17,136920
2015-05-18,141367
2015-05-19,145771
2015-05-20,147746
2015-05-21,149104
2015-05-22,153805
2015-05-23,155311
2015-05-24,159204
2015-05-25,160897
2015-05-26,158400
2015-05-27,154813
2015-05-28,152019
2015-05-29,154685
2015-05-30,160165
2015-05-31,168043
2015-06-01,176441
2015-06-02,183482
2015-06-03,186748
2015-06-04,185944
2015-06-05,184115
2015-06-06,175746
2015-06-07,167654
2015-06-08,161104
2015-06-09,156878
2015-06-10,155894
2015-06-11,156104
2015-06-12,157409
2015-06-13,158595
2015-06-14,156043
2015-06-15,152849
2015-06-16,153458
2015-06-17,153962
2015-06-18,151823
2015-06-19,150102
2015-06-20,148376
2015-06-21,148169
2015-06-22,148252
2015-06-23,148226
2015-06-24,147898
2015-06-25,147801
2015-06-26,146881
2015-06-27,141516
2015-06-28,137275
2015-06-29,134892
2015-06-30,130404
2015-07-01,128210
2015-07-02,128839
2015-07-03,126664
2015-07-04,129010
2015-07-05,130813
2015-07-06,130669
2015-07-07,131052
2015-07-08,128495
2015-07-09,127178
2015-07-10,125782
2015-07-11,125646
2015-07-12,125280
2015-07-13,124969
2015-07-14,126416
2015-07-15,127100
2015-07-16,127327
2015-07-17,129648
2015-07-18,131490
2015-07-19,132724
2015-07-20,134859
2015-07-21,137477
2015-07-22,139301
2015-07-23,137542
2015-07-24,139749
2015-07-25,138752
2015-07-26,140076
2015-07-27,141317
2015-07-28,137443
2015-07-29,136887
2015-07-30,137934
2015-07-31,141085
2015-08-01,143846
2015-08-02,147857
2015-08-03,154829
2015-08-04,159406
2015-08-05,166526
2015-08-06,167455
2015-08-07,165068
2015-08-08,165737
2015-08-09,166548
2015-08-10,168255
2015-08-11,168481
2015-08-12,167281
2015-08-13,168477
2015-08-14,173459
2015-08-15,178128
2015-08-16,181386
2015-08-17,182044
2015-08-18,182846
2015-08-19,175180
2015-08-20,168407
2015-08-21,167332
2015-08-22,170295
2015-08-23,175428
2015-08-24,180708
2015-08-25,185478
2015-08-26,185967
2015-08-27,184721
2015-08-28,180192
2015-08-29,175989
2015-08-30,174020
2015-08-31,169409
2015-09-01,161230
2015-09-02,157836
2015-09-03,153684
2015-09-04,151165
2015-09-05,146842
2015-09-06,141754
2015-09-07,136243
2015-09-08,137375
2015-09-09,143702
2015-09-10,150618
2015-09-11,154617
2015-09-12,156934
2015-09-13,160540
2015-09-14,160245
2015-09-15,158890
2015-09-16,157169
2015-09-17,155904
2015-09-18,155735
2015-09-19,154520
2015-09-20,151915
2015-09-21,147103
2015-09-22,147708
2015-09-23,151266
2015-09-24,154177
2015-09-25,156903
2015-09-27,161485
2015-09-28,163018
2015-09-29,158584
2015-09-30,155480
2015-10-05,142221
2015-10-06,140803
2015-10-07,138979
2015-10-08,139007
2015-10-09,142532
2015-10-10,143794
2015-10-11,147830
2015-10-12,153093
2015-10-13,155537
2015-10-14,158648
2015-10-15,159452
2015-10-16,158053
2015-10-17,156891
2015-10-18,152401
2015-10-19,151797
2015-10-20,148551
2015-10-22,139822
2015-10-23,135088
2015-10-24,131521
2015-10-25,130997
2015-10-26,133568
2015-10-27,137489
2015-10-28,139876
2015-10-29,141204
2015-10-30,142529
2015-10-31,146046
2015-11-01,149034
2015-11-02,149080
2015-11-03,148288
2015-11-04,147576
2015-11-05,146709
2015-11-06,149278
2015-11-07,151205
2015-11-08,151482
2015-11-09,151275
2015-11-10,146343
2015-11-11,145552
