date_obj,Bronze%20boots price
2015-03-26,17622
2015-03-27,17622
2015-03-28,17622
2015-03-29,17622
2015-03-30,16767
2015-03-31,16767
2015-04-01,16767
2015-04-02,16767
2015-04-03,15943
2015-04-04,15943
2015-04-05,15943
2015-04-06,15166
2015-04-07,15166
2015-04-08,15166
2015-04-09,14417
2015-04-10,14417
2015-04-11,14417
2015-04-12,13716
2015-04-13,13716
2015-04-14,13716
2015-04-15,13716
2015-04-16,13049
2015-04-17,13049
2015-04-18,13049
2015-04-19,12412
2015-04-20,12412
2015-04-21,12412
2015-04-22,12412
2015-04-23,11807
2015-04-24,11807
2015-04-25,11807
2015-04-26,11807
2015-04-27,11233
2015-04-28,11233
2015-04-29,11233
2015-04-30,11233
2015-05-01,10690
2015-05-02,10690
2015-05-03,10690
2015-05-04,10169
2015-05-05,10169
2015-05-06,10169
2015-05-07,9699
2015-05-08,9699
2015-05-09,9699
2015-05-10,9234
2015-05-11,9234
2015-05-12,9234
2015-05-13,9234
2015-05-14,8785
2015-05-15,8785
2015-05-16,8785
2015-05-17,8360
2015-05-18,8360
2015-05-19,8360
2015-05-20,8360
2015-05-21,8360
2015-05-22,7955
2015-05-23,7955
2015-05-24,7955
2015-05-25,7955
2015-05-26,7573
2015-05-27,7573
2015-05-28,7573
2015-05-29,7251
2015-05-30,7251
2015-05-31,7251
2015-06-01,6932
2015-06-02,6932
2015-06-03,6932
2015-06-04,6599
2015-06-05,6599
2015-06-06,6599
2015-06-07,6283
2015-06-08,6283
2015-06-09,6283
2015-06-10,5985
2015-06-11,5985
2015-06-12,5985
2015-06-13,5695
2015-06-14,5695
2015-06-15,5695
2015-06-16,5418
2015-06-17,5418
2015-06-18,5153
2015-06-19,5153
2015-06-20,5153
2015-06-21,4936
2015-06-22,4936
2015-06-23,4936
2015-06-24,4689
2015-06-25,4689
2015-06-26,4689
2015-06-27,4470
2015-06-28,4470
2015-06-29,4470
2015-06-30,4246
2015-07-01,4246
2015-07-02,4246
2015-07-03,4043
2015-07-04,4043
2015-07-05,4043
2015-07-06,4043
2015-07-07,3840
2015-07-08,3840
2015-07-09,3840
2015-07-10,3664
2015-07-11,3664
2015-07-12,3664
2015-07-13,3664
2015-07-14,3491
2015-07-15,3491
2015-07-16,3491
2015-07-17,3328
2015-07-18,3328
2015-07-19,3328
2015-07-20,3199
2015-07-21,3199
2015-07-22,3199
2015-07-23,3047
2015-07-24,3047
2015-07-25,3047
2015-07-26,2894
2015-07-27,2894
2015-07-28,2894
2015-07-29,2749
2015-07-30,2749
2015-07-31,2749
2015-08-01,2631
2015-08-02,2631
2015-08-03,2563
2015-08-04,2563
2015-08-05,2563
2015-08-06,2476
2015-08-07,2476
2015-08-08,2476
2015-08-09,2385
2015-08-10,2385
2015-08-11,2385
2015-08-12,2289
2015-08-13,2289
2015-08-14,2289
2015-08-15,2180
2015-08-16,2180
2015-08-17,2180
2015-08-18,2133
2015-08-19,2133
2015-08-20,2133
2015-08-21,2057
2015-08-22,2057
2015-08-23,2057
2015-08-24,2057
2015-08-25,1974
2015-08-26,1974
2015-08-27,1974
2015-08-28,1923
2015-08-29,1923
2015-08-30,1923
2015-08-31,1923
2015-09-01,1864
2015-09-02,1864
2015-09-03,1864
2015-09-04,1864
2015-09-05,1851
2015-09-06,1851
2015-09-07,1851
2015-09-08,1851
2015-09-09,1774
2015-09-10,1774
2015-09-11,1774
2015-09-12,1774
2015-09-13,1723
2015-09-14,1723
2015-09-15,1723
2015-09-16,1723
2015-09-17,1686
2015-09-18,1686
2015-09-19,1686
2015-09-20,1686
2015-09-21,1608
2015-09-22,1608
2015-09-23,1608
2015-09-24,1608
2015-09-25,1608
2015-09-27,1531
2015-09-28,1531
2015-09-29,1531
2015-09-30,1460
2015-10-05,1394
2015-10-06,1394
2015-10-07,1394
2015-10-08,1335
2015-10-09,1335
2015-10-10,1335
2015-10-11,1335
2015-10-12,1272
2015-10-13,1272
2015-10-14,1272
2015-10-15,1272
2015-10-16,1216
2015-10-17,1216
2015-10-18,1216
2015-10-19,1216
2015-10-20,1171
2015-10-22,1171
2015-10-23,1171
2015-10-24,1171
2015-10-25,1166
2015-10-26,1166
2015-10-27,1166
2015-10-29,1166
2015-10-30,1114
2015-10-31,1114
2015-11-01,1114
2015-11-02,1114
2015-11-03,1065
2015-11-04,1065
2015-11-05,1065
2015-11-06,1065
2015-11-07,1042
2015-11-08,1042
2015-11-09,1042
2015-11-10,1042
2015-11-11,1042
2015-11-12,996
2015-11-13,996
2015-11-14,996
2015-11-15,996
2015-11-16,996
2015-11-17,954
2015-11-18,954
2015-11-19,954
2015-11-20,954
2015-11-21,954
2015-11-22,951
2015-11-23,951
2015-11-24,951
2015-11-25,951
2015-11-26,951
2015-11-27,951
2015-11-28,947
2015-11-29,947
2015-11-30,947
2015-12-01,947
2015-12-02,947
2015-12-03,956
2015-12-04,956
2015-12-05,956
2015-12-06,956
2015-12-07,956
2015-12-08,948
2015-12-09,948
2015-12-10,948
2015-12-11,948
2015-12-12,948
2015-12-13,918
2015-12-14,918
2015-12-15,918
2015-12-16,918
2015-12-17,918
2015-12-18,918
2015-12-19,903
2015-12-20,903
2015-12-21,903
2015-12-22,903
2015-12-23,903
2015-12-24,870
2015-12-25,870
2015-12-26,870
2015-12-27,870
2015-12-28,870
2015-12-29,874
2015-12-30,874
2015-12-31,874
2016-01-01,874
2016-01-02,874
2016-01-03,869
2016-01-04,869
2016-01-05,869
2016-01-06,869
2016-01-07,869
2016-01-08,869
2016-01-09,869
2016-01-10,869
2016-01-11,848
2016-01-12,848
2016-01-13,848
2016-01-14,848
2016-01-15,859
2016-01-16,859
2016-01-17,859
2016-01-18,859
2016-01-19,859
2016-01-20,856
2016-01-21,856
2016-01-22,856
2016-01-23,856
2016-01-24,856
2016-01-25,834
2016-01-26,834
2016-01-27,834
2016-01-28,834
2016-01-29,831
2016-01-30,831
2016-01-31,831
2016-02-01,831
2016-02-02,849
2016-02-03,849
2016-02-04,849
2016-02-05,849
2016-02-06,849
2016-02-07,849
2016-02-08,849
2016-02-09,849
2016-02-10,849
2016-02-11,872
2016-02-12,872
2016-02-13,872
2016-02-14,872
2016-02-15,885
2016-02-16,885
2016-02-17,885
2016-02-18,885
2016-02-19,885
2016-02-20,888
2016-02-21,888
2016-02-22,888
2016-02-23,888
2016-02-24,893
2016-02-25,893
2016-02-26,893
2016-02-27,893
2016-02-28,909
2016-02-29,909
2016-03-01,909
2016-03-02,909
2016-03-03,876
2016-03-04,876
2016-03-05,876
2016-03-06,876
2016-03-07,873
2016-03-08,873
2016-03-09,873
2016-03-10,873
2016-03-11,865
2016-03-12,865
2016-03-13,865
2016-03-14,865
2016-03-15,865
2016-03-16,865
2016-03-17,865
2016-03-18,858
2016-03-19,858
2016-03-20,858
2016-03-21,858
2016-03-22,827
2016-03-23,827
2016-03-24,827
2016-03-25,827
2016-03-26,786
2016-03-27,786
2016-03-28,786
2016-03-29,786
2016-03-30,799
2016-03-31,799
2016-04-01,799
2016-04-02,799
2016-04-03,818
2016-04-04,818
2016-04-05,818
2016-04-06,818
2016-04-07,818
2016-04-08,814
2016-04-09,814
2016-04-10,814
2016-04-11,814
2016-04-12,818
2016-04-13,818
2016-04-14,818
2016-04-15,818
2016-04-16,830
2016-04-17,830
2016-04-18,830
2016-04-19,830
2016-04-20,811
2016-04-21,811
2016-04-22,811
2016-04-23,811
2016-04-24,794
2016-04-25,794
2016-04-26,794
2016-04-27,796
2016-04-28,796
2016-04-29,796
2016-04-30,796
2016-05-01,794
2016-05-02,794
2016-05-03,794
2016-05-04,794
2016-05-05,797
2016-05-06,797
2016-05-07,797
2016-05-08,797
2016-05-09,803
2016-05-10,803
2016-05-11,803
2016-05-12,803
2016-05-13,779
2016-05-14,779
2016-05-15,779
2016-05-16,746
2016-05-17,746
2016-05-18,746
2016-05-19,746
2016-05-22,726
2016-05-23,709
2016-05-24,709
2016-05-25,709
2016-05-26,709
2016-05-27,692
2016-05-28,692
2016-05-29,692
2016-05-30,692
2016-05-31,706
2016-06-01,706
2016-06-02,706
2016-06-03,706
2016-06-04,702
2016-06-05,702
2016-06-06,702
2016-06-07,702
2016-06-08,703
2016-06-09,703
2016-06-10,703
2016-06-11,703
2016-06-12,683
2016-06-13,683
2016-06-14,683
2016-06-15,683
2016-06-16,677
2016-06-17,677
2016-06-18,677
2016-06-19,677
2016-06-20,672
2016-06-21,672
2016-06-22,672
2016-06-23,672
2016-06-24,668
2016-06-25,668
2016-06-26,668
2016-06-27,668
2016-06-28,681
2016-06-29,681
2016-06-30,681
2016-07-01,713
2016-07-02,713
2016-07-03,713
2016-07-04,713
2016-07-05,748
2016-07-06,748
2016-07-07,748
2016-07-08,748
2016-07-09,786
2016-07-10,786
2016-07-11,786
2016-07-12,786
2016-07-13,765
2016-07-14,765
2016-07-15,765
2016-07-16,765
2016-07-17,765
2016-07-18,739
2016-07-23,714
2016-07-24,714
2016-07-25,714
2016-07-26,714
2016-07-27,714
2016-07-28,698
2016-07-29,698
2016-07-30,698
2016-07-31,698
2016-08-01,698
2016-08-02,694
2016-08-03,694
2016-08-04,694
2016-08-05,694
2016-08-06,694
2016-08-07,698
2016-08-08,698
2016-08-09,698
2016-08-10,698
2016-08-11,698
2016-08-12,698
2016-08-13,700
2016-08-14,700
2016-08-15,700
2016-08-16,700
2016-08-17,700
2016-08-18,700
2016-08-19,707
2016-08-20,707
2016-08-21,707
2016-08-22,707
2016-08-23,707
2016-08-24,707
2016-08-25,688
2016-08-26,688
2016-08-28,688
2016-08-31,683
2016-09-01,683
2016-09-02,683
2016-09-03,683
2016-09-04,683
2016-09-05,683
2016-09-06,686
2016-09-07,686
2016-09-08,686
2016-09-09,686
2016-09-10,686
2016-09-11,686
2016-09-12,680
2016-09-13,680
2016-09-14,680
2016-09-15,680
2016-09-16,680
2016-09-17,680
2016-09-18,663
2016-09-19,663
2016-09-20,663
2016-09-21,663
2016-09-22,663
2016-09-23,663
2016-09-24,653
2016-09-25,653
2016-09-26,653
2016-09-27,653
2016-09-28,653
2016-09-29,653
2016-09-30,674
2016-10-01,674
2016-10-02,674
2016-10-03,674
2016-10-04,674
2016-10-05,674
2016-10-06,707
2016-10-07,707
2016-10-08,707
2016-10-09,707
2016-10-10,707
2016-10-11,707
2016-10-12,721
2016-10-13,721
2016-10-14,721
2016-10-15,721
2016-10-16,721
2016-10-17,684
2016-10-18,684
2016-10-19,684
2016-10-20,684
2016-10-21,684
2016-10-22,665
2016-10-23,665
2016-10-24,665
2016-10-25,665
2016-10-26,665
2016-10-27,667
2016-10-28,667
2016-10-29,667
2016-10-30,667
2016-10-31,667
2016-11-01,667
2016-11-02,672
2016-11-03,672
2016-11-04,672
2016-11-05,672
2016-11-06,672
2016-11-07,672
2016-11-08,680
2016-11-09,680
2016-11-10,680
2016-11-11,680
2016-11-12,680
2016-11-13,688
2016-11-14,688
2016-11-15,688
2016-12-07,730
2016-12-08,730
2016-12-09,730
2016-12-10,730
2016-12-11,721
2016-12-12,721
2016-12-13,721
2016-12-14,721
2016-12-15,721
2016-12-16,708
2016-12-17,708
2016-12-18,708
2016-12-19,708
2016-12-20,721
2016-12-21,721
2016-12-22,721
2016-12-23,721
2016-12-24,742
2016-12-25,742
2016-12-26,742
2016-12-27,742
2016-12-28,731
2016-12-29,731
2016-12-30,731
2016-12-31,731
2017-01-01,724
2017-01-02,724
2017-01-03,724
2017-01-04,720
2017-01-05,720
2017-01-06,720
2017-01-07,720
2017-01-08,692
2017-01-09,692
2017-01-10,692
2017-01-11,668
2017-01-12,668
2017-01-13,668
2017-01-14,668
2017-01-15,659
2017-01-16,659
2017-01-17,659
2017-01-18,630
2017-01-19,630
2017-01-20,630
2017-01-21,623
2017-01-22,623
2017-01-23,623
2017-01-27,615
2017-01-28,599
2017-01-29,599
2017-01-30,599
2017-01-31,599
2017-02-01,575
2017-02-02,575
2017-02-03,575
2017-02-04,575
2017-02-05,575
2017-02-06,575
2017-02-07,575
2017-02-08,571
2017-02-09,571
2017-02-10,571
2017-02-11,563
2017-02-12,563
2017-02-13,563
2017-02-14,537
2017-02-15,537
2017-02-16,537
2017-02-18,513
2017-02-19,513
2017-02-20,513
2017-02-21,493
2017-02-22,493
2017-02-23,493
2017-02-24,493
2017-02-25,475
2017-02-26,475
2017-02-27,475
2017-02-28,475
2017-03-01,453
2017-03-02,453
2017-03-03,453
2017-03-04,453
2017-03-05,436
2017-03-06,436
2017-03-07,436
2017-03-08,436
2017-03-09,431
2017-03-10,431
2017-03-11,431
2017-03-12,431
2017-03-13,423
2017-03-14,423
2017-03-15,423
2017-03-16,423
2017-03-17,407
2017-03-18,407
2017-03-19,407
2017-03-20,399
2017-03-21,399
2017-03-22,399
2017-03-23,399
2017-03-24,385
2017-03-25,385
2017-03-26,385
2017-03-27,385
2017-03-28,370
2017-03-29,370
2017-03-30,370
2017-03-31,370
2017-04-01,360
2017-04-02,360
2017-04-03,360
2017-04-04,360
2017-04-12,353
2017-04-13,345
2017-04-14,345
2017-04-15,345
2017-04-16,352
2017-04-17,352
2017-04-18,352
2017-04-19,354
2017-04-20,354
2017-04-21,354
2017-04-22,354
2017-04-23,356
