date_obj,Crystal%20grail price
2019-07-24,15000000
2019-07-25,14868523
2019-07-26,14125096
2019-07-27,13418841
2019-07-28,12747898
2019-07-29,12110503
2019-07-30,11504977
2019-07-31,10929728
2019-08-01,10383241
2019-08-02,9864078
2019-08-03,1500000
2019-08-04,1425000
2019-08-05,1353750
2019-08-06,1286062
2019-08-07,1221758
2019-08-08,1160670
2019-08-09,1102636
2019-08-10,1047504
2019-08-11,995128
2019-08-12,945371
2019-08-13,898102
2019-08-14,853722
2019-08-15,813352
2019-08-16,803051
2019-08-17,790059
2019-08-18,757260
2019-08-19,719405
2019-08-20,684242
2019-08-21,663618
2019-08-22,647492
2019-08-23,639480
2019-08-24,660824
2019-08-24,660824
2019-08-25,660824
2019-08-25,660824
2019-08-26,652606
2019-08-26,652606
2019-08-27,650186
2019-08-27,650186
2019-08-28,644369
2019-08-29,625334
2019-08-30,602070
2019-08-31,573395
2019-09-01,569655
2019-09-02,563729
2019-09-03,553238
2019-09-04,541461
2019-09-05,539464
2019-09-06,558956
2019-09-07,582442
2019-09-08,610265
2019-09-09,639094
2019-09-10,665164
2019-09-11,692947
2019-09-12,714747
2019-09-13,714747
2019-09-14,739009
2019-09-15,767338
2019-09-16,790880
2019-09-17,815682
2019-09-18,838707
2019-09-19,866399
2019-09-20,866399
2019-09-21,834124
2019-09-22,809327
2019-09-23,788936
2019-09-24,788936
2019-09-25,765187
2019-09-26,773258
2019-09-27,773258
2019-09-28,762435
2019-09-29,762435
2019-09-30,776666
2019-10-01,783970
2019-10-02,783970
2019-10-03,782352
2019-10-04,782352
2019-10-05,796539
2019-10-06,800567
2019-10-07,800567
2019-10-08,805206
2019-10-09,805206
2019-10-10,811886
2019-10-11,811886
2019-10-12,793197
2019-10-13,774063
2019-10-14,774063
2019-10-15,756752
2019-10-16,755161
2019-10-17,755161
2019-10-18,749662
2019-10-19,733360
2019-10-20,708057
2019-10-21,708057
2019-10-22,697694
2019-10-23,675071
2019-10-24,664565
2019-10-25,645212
2019-10-26,643969
2019-10-27,643969
2019-10-28,652390
2019-10-29,652390
2019-10-30,657921
2019-10-31,667044
2019-11-01,667044
2019-11-02,677862
2019-11-03,695552
2019-11-04,695552
2019-11-05,711275
2019-11-06,711275
2019-11-07,714889
2019-11-08,714889
2019-11-09,705218
2019-11-10,696693
2019-11-11,696693
2019-11-12,680841
2019-11-13,680841
2019-11-14,688557
2019-11-15,688557
2019-11-16,703986
2019-11-17,703986
2019-11-18,720865
2019-11-19,720865
2019-11-20,716177
2019-11-21,716177
2019-11-22,728249
2019-11-23,728249
2019-11-24,740330
2019-11-25,759596
2019-11-26,759596
2019-11-27,774729
2019-11-28,785614
2019-11-29,785614
2019-11-30,797337
2019-12-01,797337
2019-12-02,798848
2019-12-03,798848
2019-12-04,790357
2019-12-05,790357
2019-12-06,785547
2019-12-07,785242
2019-12-08,785242
2019-12-09,770816
2019-12-10,760077
2019-12-11,760077
2019-12-12,762539
2019-12-13,762539
2019-12-14,752358
2019-12-15,747869
2019-12-16,753374
2019-12-17,753374
2019-12-18,759609
2019-12-19,759609
2019-12-20,774803
2019-12-21,784200
2019-12-22,773798
2019-12-23,773798
2019-12-24,779734
2019-12-25,769500
2019-12-26,769500
2019-12-27,749285
2019-12-28,733361
2019-12-29,733361
2019-12-30,722491
2019-12-31,698989
2020-01-01,674565
2020-01-02,651708
2020-01-03,637620
2020-01-04,637620
2020-01-05,637904
2020-01-06,637904
2020-01-07,638118
2020-01-08,638118
2020-01-09,647096
2020-01-10,657789
2020-01-11,675157
2020-01-12,676979
2020-01-13,676979
2020-01-14,687512
2020-01-15,711975
2020-01-16,741916
2020-01-17,775261
2020-01-18,775261
2020-01-19,814025
2020-01-20,847229
2020-01-21,847229
2020-01-22,825145
2020-01-23,792877
2020-01-24,771433
2020-01-25,771433
2020-01-26,762949
2020-01-27,745405
2020-01-28,745405
2020-01-29,742768
2020-01-30,746701
2020-01-31,736924
2020-02-01,736451
2020-02-02,730600
2020-02-03,730600
2020-02-04,727317
2020-02-05,715413
2020-02-06,706275
2020-02-07,706275
2020-02-08,683021
2020-02-09,683021
2020-02-10,662666
2020-02-11,634678
2020-02-12,612152
2020-02-13,612152
2020-02-14,594047
2020-02-15,594047
2020-02-16,586651
2020-02-17,582733
2020-02-18,582733
2020-02-19,560292
2020-02-20,560327
2020-02-21,560327
2020-02-22,548732
2020-02-23,548732
2020-02-24,542838
2020-02-25,542838
2020-02-26,552660
2020-02-27,552660
2020-02-28,573318
2020-02-29,573318
2020-03-01,590142
2020-03-02,590142
2020-03-03,617392
2020-03-04,617392
2020-03-05,645382
2020-03-06,671436
2020-03-07,689047
2020-03-08,702032
2020-03-09,733063
2020-03-10,767571
2020-03-11,800502
2020-03-12,830115
2020-03-13,830115
2020-03-14,851777
2020-03-15,851777
2020-03-16,860008
2020-03-17,839016
2020-03-18,839016
2020-03-19,805387
2020-03-20,779909
2020-03-21,779909
2020-03-22,742719
2020-03-23,742719
2020-03-24,725593
2020-03-25,725593
2020-03-26,709119
2020-03-27,709675
2020-03-28,709675
2020-03-29,703119
2020-03-30,684226
2020-03-31,684226
2020-04-01,688342
2020-04-02,691542
2020-04-03,691542
2020-04-04,705371
2020-04-05,705371
2020-04-06,728262
2020-04-07,745092
2020-04-08,762821
2020-04-09,762209
2020-04-10,762209
2020-04-11,764095
