date_obj,Hydra%20tail price
2019-01-10,3000000
2019-01-10,2861073
2019-01-11,2718019
2019-01-12,2582118
2019-01-13,2453012
2019-01-14,2330361
2019-01-15,2213842
2019-01-16,2103149
2019-01-17,1997991
2019-01-18,2064382
2019-01-19,2167602
2019-01-20,2274973
2019-01-22,2110295
2019-01-23,2004780
2019-01-24,1904541
2019-01-25,1809313
2019-01-26,1718847
2019-01-27,1632904
2019-01-28,1551258
2019-01-29,1473695
2019-01-30,1400010
2019-01-31,1330714
2019-02-01,1264178
2019-02-02,1203222
2019-02-03,1143060
2019-02-04,1087646
2019-02-05,1033263
2019-02-06,989094
2019-02-07,939639
2019-02-08,892657
2019-02-09,848024
2019-02-10,805622
2019-02-11,765340
2019-02-12,728230
2019-02-13,691818
2019-02-14,691818
2019-02-15,657227
2019-02-16,626295
2019-02-17,597577
2019-02-18,567698
2019-02-19,540229
2019-02-20,514648
2019-02-21,488915
2019-02-22,488915
2019-02-23,464469
2019-02-24,441245
2019-02-25,420020
2019-02-26,420020
2019-02-27,399019
2019-02-28,399019
2019-03-01,379208
2019-03-02,379208
2019-03-03,360247
2019-03-04,343755
2019-03-05,327806
2019-03-06,313155
2019-03-07,313155
2019-03-08,298252
2019-03-09,298252
2019-03-10,283341
2019-03-11,283341
2019-03-12,269173
2019-03-13,269173
2019-03-14,257809
2019-03-15,257809
2019-03-16,257399
2019-03-17,257827
2019-03-18,257827
2019-03-19,257827
2019-03-20,261795
2019-03-21,261795
2019-03-22,257711
2019-03-23,260195
2019-03-24,260195
2019-03-25,263244
2019-03-26,263244
2019-03-27,264644
2019-03-28,264644
2019-03-29,265051
2019-03-30,265051
2019-03-31,272526
2019-04-01,272526
2019-04-02,265935
2019-04-03,265935
2019-04-04,255854
2019-04-05,255854
2019-04-06,245382
2019-04-07,245382
2019-04-08,233402
2019-04-09,233402
2019-04-10,228199
2019-04-11,228199
2019-04-12,235341
2019-04-13,235341
2019-04-14,229522
2019-04-15,229522
2019-04-16,224090
2019-04-17,224090
2019-04-18,220038
2019-04-19,220038
2019-04-20,209046
2019-04-21,209046
2019-04-22,199404
2019-04-23,199404
2019-04-24,189433
2019-04-25,189433
2019-04-26,180337
2019-04-27,180337
2019-04-28,171915
2019-04-29,171915
2019-04-30,164100
2019-05-01,164100
2019-05-02,164100
2019-05-03,155895
2019-05-04,155895
2019-05-05,148529
2019-05-06,148529
2019-05-07,141973
2019-05-08,141973
2019-05-09,141973
2019-05-10,135783
2019-05-11,135783
2019-05-12,133533
2019-05-13,133533
2019-05-14,130823
2019-05-15,130823
2019-05-16,130823
2019-05-17,130786
2019-05-18,130786
2019-05-19,135978
2019-05-20,135978
2019-05-21,135978
2019-05-22,137232
2019-05-23,137232
2019-05-24,137232
2019-05-25,130980
2019-05-26,130980
2019-05-27,126859
2019-05-28,126859
2019-05-29,125052
2019-05-30,125052
2019-05-31,125052
2019-06-01,120055
2019-06-02,120055
2019-06-03,120055
2019-06-04,116224
2019-06-05,116224
2019-06-06,116224
2019-06-07,112639
2019-06-08,112639
2019-06-09,111001
2019-06-10,111001
2019-06-11,111001
2019-06-12,115004
2019-06-13,115004
2019-06-14,115004
2019-06-15,117360
2019-06-16,117360
2019-06-17,117360
2019-06-18,117870
2019-06-19,117870
2019-06-20,116825
2019-06-21,116825
2019-06-22,116825
2019-06-23,113632
2019-06-24,113632
2019-06-25,113632
2019-06-26,109186
2019-06-27,109186
2019-06-28,109186
2019-06-29,106518
2019-06-30,106518
2019-07-01,106518
2019-07-02,108443
2019-07-03,108443
2019-07-04,108443
2019-07-05,110584
2019-07-06,110584
2019-07-07,110584
2019-07-08,107503
2019-07-09,107503
2019-07-10,107503
2019-07-11,108568
2019-07-12,108568
2019-07-13,108568
2019-07-14,109293
2019-07-15,109293
2019-07-16,109293
2019-07-17,111955
2019-07-18,111955
2019-07-19,111955
2019-07-20,114125
2019-07-21,114125
2019-07-22,114125
2019-07-23,114347
2019-07-24,114347
2019-07-25,114347
2019-07-26,114347
2019-07-27,110059
2019-07-28,110059
2019-07-29,110059
2019-07-30,104705
2019-07-31,104705
2019-08-01,104705
2019-08-02,101211
2019-08-03,101211
2019-08-04,97370
2019-08-05,97370
2019-08-06,97370
2019-08-07,93605
2019-08-08,93605
2019-08-09,93605
2019-08-10,90881
2019-08-11,90881
2019-08-12,90881
2019-08-13,88180
2019-08-14,88180
2019-08-15,87835
2019-08-16,87835
2019-08-17,87835
2019-08-18,85256
2019-08-19,85256
2019-08-20,85256
2019-08-21,86539
2019-08-22,86539
2019-08-23,88135
2019-08-24,88135
2019-08-24,88135
2019-08-25,90356
2019-08-25,90356
2019-08-26,90356
2019-08-26,90356
2019-08-27,90356
2019-08-27,90356
2019-08-28,89345
2019-08-29,89345
2019-08-30,89345
2019-08-31,89070
2019-09-01,89070
2019-09-02,89070
2019-09-03,86194
2019-09-04,86194
2019-09-05,86194
2019-09-06,86194
2019-09-07,82097
2019-09-08,82097
2019-09-09,82097
2019-09-10,78249
2019-09-11,78249
2019-09-12,78249
2019-09-13,74518
2019-09-14,74518
2019-09-15,75201
2019-09-16,75201
2019-09-17,75201
2019-09-18,78728
2019-09-19,78728
2019-09-20,78728
2019-09-21,81656
2019-09-22,81656
2019-09-23,81656
2019-09-24,84994
2019-09-25,84994
2019-09-26,88223
2019-09-27,88223
2019-09-28,88223
2019-09-29,87843
2019-09-30,87843
2019-10-01,84379
2019-10-02,84379
2019-10-03,84379
2019-10-04,82428
2019-10-05,82428
2019-10-06,80682
2019-10-07,80682
2019-10-08,80682
2019-10-09,78530
2019-10-10,78530
2019-10-11,78530
2019-10-12,77858
2019-10-13,77858
2019-10-14,77463
2019-10-15,77463
2019-10-16,77463
2019-10-17,78986
2019-10-18,78986
2019-10-19,81056
2019-10-20,81056
2019-10-21,81056
2019-10-22,82837
2019-10-23,82837
2019-10-24,82837
2019-10-25,86011
2019-10-26,86011
2019-10-27,86011
2019-10-28,90279
2019-10-29,90279
2019-10-30,90279
2019-10-31,89375
2019-11-01,89375
2019-11-02,89375
2019-11-03,90736
2019-11-04,90736
2019-11-05,90736
2019-11-06,90736
2019-11-07,94681
2019-11-08,94681
2019-11-09,94681
2019-11-10,94520
2019-11-11,94520
2019-11-12,94520
2019-11-13,92626
2019-11-14,92626
2019-11-15,92626
2019-11-16,88821
2019-11-17,88821
2019-11-18,88821
2019-11-19,84681
2019-11-20,84681
2019-11-21,84681
2019-11-22,81824
2019-11-23,81824
2019-11-24,81824
2019-11-25,79688
2019-11-26,79688
2019-11-27,79688
2019-11-28,79688
2019-11-29,75827
2019-11-30,75827
2019-12-01,75827
2019-12-02,76489
2019-12-03,76489
2019-12-04,76489
2019-12-05,78015
2019-12-06,78015
2019-12-07,78015
2019-12-08,75070
2019-12-09,75070
2019-12-10,72483
2019-12-11,72483
2019-12-12,72483
2019-12-13,72483
2019-12-14,69696
2019-12-15,69696
2019-12-16,69696
2019-12-17,67936
2019-12-18,67936
2019-12-19,67936
2019-12-20,64712
2019-12-21,64712
2019-12-22,63366
2019-12-23,63366
2019-12-24,63366
2019-12-25,62248
2019-12-26,62248
2019-12-27,62248
2019-12-28,60911
2019-12-29,60911
2019-12-30,60911
2019-12-31,59879
2020-01-01,59879
2020-01-02,59879
2020-01-03,59977
2020-01-04,59977
2020-01-05,60157
2020-01-06,60157
2020-01-07,59419
2020-01-08,59419
2020-01-09,59419
2020-01-10,58664
2020-01-11,58664
2020-01-12,61393
2020-01-13,61393
2020-01-14,61393
2020-01-15,62895
2020-01-16,62895
2020-01-17,65251
2020-01-18,65251
2020-01-19,67955
2020-01-20,67955
2020-01-21,67955
2020-01-22,69815
2020-01-23,69815
2020-01-24,72748
2020-01-25,72748
2020-01-26,74646
2020-01-27,74646
2020-01-28,75889
2020-01-29,75889
2020-01-30,73907
2020-01-31,73907
2020-02-01,72082
2020-02-02,72082
2020-02-03,69040
2020-02-04,69040
2020-02-05,66521
2020-02-06,66521
2020-02-07,63373
2020-02-08,63373
2020-02-09,63569
2020-02-10,63569
2020-02-11,60893
2020-02-12,60893
2020-02-13,60893
2020-02-14,60976
2020-02-15,60976
2020-02-16,60976
2020-02-17,62031
2020-02-18,62031
2020-02-19,60923
2020-02-20,60923
2020-02-21,60923
2020-02-22,61127
2020-02-23,61127
2020-02-24,60489
2020-02-25,60489
2020-02-26,62292
2020-02-27,62292
2020-02-28,65394
2020-02-29,65394
2020-03-01,65814
2020-03-02,65814
2020-03-03,68040
2020-03-04,68040
2020-03-05,68040
2020-03-06,69666
2020-03-07,69666
2020-03-08,72569
2020-03-09,72569
2020-03-10,74442
2020-03-11,74442
2020-03-12,75219
2020-03-13,75219
2020-03-14,74276
2020-03-15,74276
2020-03-16,72415
2020-03-17,72415
