date_obj,Ruby%20amulet%20(u) price
2015-03-26,1013
2015-03-27,1013
2015-03-28,1013
2015-03-29,1013
2015-03-30,1013
2015-03-31,1013
2015-04-01,1013
2015-04-02,1013
2015-04-03,1013
2015-04-04,1013
2015-04-05,1013
2015-04-06,1013
2015-04-07,1013
2015-04-08,1013
2015-04-09,1041
2015-04-10,1041
2015-04-11,1041
2015-04-12,1041
2015-04-13,1041
2015-04-14,1041
2015-04-15,1041
2015-04-16,1041
2015-04-17,1041
2015-04-18,1041
2015-04-19,1041
2015-04-20,1041
2015-04-21,1041
2015-04-22,1041
2015-04-23,1059
2015-04-24,1059
2015-04-25,1059
2015-04-26,1059
2015-04-27,1059
2015-04-28,1059
2015-04-29,1059
2015-04-30,1059
2015-05-01,1059
2015-05-02,1059
2015-05-03,1059
2015-05-04,1059
2015-05-05,1059
2015-05-06,1059
2015-05-07,1059
2015-05-08,1088
2015-05-09,1088
2015-05-10,1088
2015-05-11,1088
2015-05-12,1088
2015-05-13,1088
2015-05-14,1088
2015-05-15,1088
2015-05-16,1088
2015-05-17,1088
2015-05-18,1088
2015-05-19,1088
2015-05-20,1088
2015-05-21,1088
2015-05-22,1088
2015-05-23,1088
2015-05-24,1116
2015-05-25,1116
2015-05-26,1116
2015-05-27,1116
2015-05-28,1116
2015-05-29,1116
2015-05-30,1116
2015-05-31,1116
2015-06-01,1116
2015-06-02,1116
2015-06-03,1116
2015-06-04,1116
2015-06-05,1116
2015-06-06,1116
2015-06-07,1158
2015-06-08,1158
2015-06-09,1158
2015-06-10,1158
2015-06-11,1158
2015-06-12,1158
2015-06-13,1158
2015-06-14,1158
2015-06-15,1158
2015-06-16,1158
2015-06-17,1158
2015-06-18,1158
2015-06-19,1158
2015-06-20,1196
2015-06-21,1196
2015-06-22,1196
2015-06-23,1196
2015-06-24,1196
2015-06-25,1196
2015-06-26,1196
2015-06-27,1196
2015-06-28,1196
2015-06-29,1196
2015-06-30,1196
2015-07-01,1196
2015-07-02,1196
2015-07-03,1196
2015-07-04,1196
2015-07-05,1196
2015-07-06,1196
2015-07-07,1201
2015-07-08,1201
2015-07-09,1201
2015-07-10,1201
2015-07-11,1201
2015-07-12,1201
2015-07-13,1201
2015-07-14,1201
2015-07-15,1201
2015-07-16,1201
2015-07-17,1201
2015-07-18,1201
2015-07-19,1201
2015-07-20,1201
2015-07-21,1201
2015-07-22,1201
2015-07-23,1215
2015-07-24,1215
2015-07-25,1215
2015-07-26,1215
2015-07-27,1215
2015-07-28,1215
2015-07-29,1215
2015-07-30,1215
2015-07-31,1215
2015-08-01,1215
2015-08-02,1215
2015-08-03,1215
2015-08-04,1215
2015-08-05,1215
2015-08-06,1225
2015-08-07,1225
2015-08-08,1225
2015-08-09,1225
2015-08-10,1225
2015-08-11,1225
2015-08-12,1225
2015-08-13,1225
2015-08-14,1225
2015-08-15,1225
2015-08-16,1225
2015-08-17,1225
2015-08-18,1225
2015-08-19,1225
2015-08-20,1225
2015-08-21,1225
2015-08-22,1225
2015-08-23,1225
2015-08-24,1225
2015-08-25,1225
2015-08-26,1225
2015-08-27,1192
2015-08-28,1192
2015-08-29,1192
2015-08-30,1192
2015-08-31,1192
2015-09-01,1192
2015-09-02,1192
2015-09-03,1192
2015-09-04,1192
2015-09-05,1192
2015-09-06,1192
2015-09-07,1192
2015-09-08,1192
2015-09-09,1192
2015-09-10,1192
2015-09-11,1192
2015-09-12,1192
2015-09-13,1192
2015-09-14,1192
2015-09-15,1192
2015-09-16,1192
2015-09-17,1185
2015-09-18,1185
2015-09-19,1185
2015-09-20,1185
2015-09-21,1185
2015-09-22,1185
2015-09-23,1185
2015-09-24,1185
2015-09-25,1185
2015-09-27,1185
2015-09-28,1185
2015-09-29,1185
2015-09-30,1185
2015-10-05,1185
2015-10-06,1185
2015-10-07,1185
2015-10-08,1206
2015-10-09,1206
2015-10-10,1206
2015-10-11,1206
2015-10-12,1206
2015-10-13,1206
2015-10-14,1206
2015-10-15,1206
2015-10-16,1206
2015-10-17,1206
2015-10-18,1206
2015-10-19,1206
2015-10-20,1206
2015-10-22,1206
2015-10-23,1206
2015-10-24,1206
2015-10-25,1206
2015-10-26,1206
2015-10-27,1206
2015-10-29,1212
2015-10-30,1212
2015-10-31,1212
2015-11-01,1212
2015-11-02,1212
2015-11-03,1212
2015-11-04,1212
2015-11-05,1212
2015-11-06,1212
2015-11-07,1212
2015-11-08,1212
2015-11-09,1212
2015-11-10,1212
2015-11-11,1212
2015-11-12,1212
2015-11-13,1212
2015-11-14,1212
2015-11-15,1212
2015-11-16,1212
2015-11-17,1212
2015-11-18,1212
2015-11-19,1212
2015-11-20,1212
2015-11-21,1233
2015-11-22,1233
2015-11-23,1233
2015-11-24,1233
2015-11-25,1233
2015-11-26,1233
2015-11-27,1233
2015-11-28,1233
2015-11-29,1233
2015-11-30,1233
2015-12-01,1233
2015-12-02,1233
2015-12-03,1233
2015-12-04,1233
2015-12-05,1233
2015-12-06,1233
2015-12-07,1233
2015-12-08,1233
2015-12-09,1233
2015-12-10,1233
2015-12-11,1233
2015-12-12,1233
2015-12-13,1257
2015-12-14,1257
2015-12-15,1257
2015-12-16,1257
2015-12-17,1257
2015-12-18,1257
2015-12-19,1257
2015-12-20,1257
