date_obj,Iron%20dart price
2015-03-26,35
2015-03-27,35
2015-03-28,35
2015-03-29,35
2015-03-30,35
2015-03-31,35
2015-04-01,36
2015-04-02,36
2015-04-03,36
2015-04-04,37
2015-04-05,37
2015-04-06,37
2015-04-07,37
2015-04-08,37
2015-04-09,37
2015-04-10,36
2015-04-11,36
2015-04-12,36
2015-04-13,35
2015-04-14,35
2015-04-15,35
2015-04-16,34
2015-04-17,34
2015-04-18,34
2015-04-19,34
2015-04-20,34
2015-04-21,34
2015-04-22,34
2015-04-23,34
2015-04-24,34
2015-04-25,34
2015-04-26,35
2015-04-27,35
2015-04-28,35
2015-04-29,36
2015-04-30,36
2015-05-01,36
2015-05-02,36
2015-05-03,36
2015-05-04,36
2015-05-05,36
2015-05-06,36
2015-05-07,36
2015-05-08,36
2015-05-09,36
2015-05-10,36
2015-05-11,35
2015-05-12,35
2015-05-13,35
2015-05-14,34
2015-05-15,34
2015-05-16,34
2015-05-17,33
2015-05-18,33
2015-05-19,33
2015-05-20,33
2015-05-21,32
2015-05-22,32
2015-05-23,32
2015-05-24,31
2015-05-25,31
2015-05-26,31
2015-05-27,30
2015-05-28,30
2015-05-29,30
2015-05-30,30
2015-05-31,31
2015-06-01,31
2015-06-02,31
2015-06-03,31
2015-06-04,31
2015-06-05,30
2015-06-06,30
2015-06-07,30
2015-06-08,30
2015-06-09,30
2015-06-10,31
2015-06-11,31
2015-06-12,31
2015-06-13,32
2015-06-14,32
2015-06-15,32
2015-06-16,32
2015-06-17,32
2015-06-18,33
2015-06-19,33
2015-06-20,35
2015-06-21,35
2015-06-22,35
2015-06-23,36
2015-06-24,36
2015-06-25,36
2015-06-26,37
2015-06-27,37
2015-06-28,37
2015-06-29,38
2015-06-30,38
2015-07-01,38
2015-07-02,39
2015-07-03,39
2015-07-04,40
2015-07-05,40
2015-07-06,40
2015-07-07,42
2015-07-08,42
2015-07-09,42
2015-07-10,42
2015-07-11,42
2015-07-12,42
2015-07-13,42
2015-07-14,42
2015-07-15,42
2015-07-16,41
2015-07-17,41
2015-07-18,41
2015-07-19,40
2015-07-20,40
2015-07-21,40
2015-07-22,39
2015-07-23,39
2015-07-24,39
2015-07-25,38
2015-07-26,38
2015-07-27,38
2015-07-28,37
2015-07-29,37
2015-07-30,36
2015-07-31,36
2015-08-01,36
2015-08-02,35
