date_obj,Opal%20amulet price
2017-02-01,10000
2017-02-02,10000
2017-02-03,10000
2017-02-04,10000
2017-02-05,10000
2017-02-06,10000
2017-02-07,10000
2017-02-08,10000
2017-02-09,10000
2017-02-10,10000
2017-02-11,10000
2017-02-12,10000
2017-02-13,10000
2017-02-14,10000
2017-02-15,10000
2017-02-16,10000
2017-02-18,10000
2017-02-19,10000
2017-02-20,10000
2017-02-21,10000
2017-02-22,10000
2017-02-23,10000
2017-02-24,10000
2017-02-25,9510
2017-02-26,9510
2017-02-27,9510
2017-02-28,9510
2017-03-01,9510
2017-03-02,9510
2017-03-03,9510
2017-03-04,9510
2017-03-05,9510
2017-03-06,9510
2017-03-07,9510
2017-03-08,9510
2017-03-09,9510
2017-03-10,9510
2017-03-11,9510
2017-03-12,9510
2017-03-13,9510
2017-03-14,9510
2017-03-15,9510
2017-03-16,9510
2017-03-17,9510
2017-03-18,9510
2017-03-19,9510
2017-03-20,9510
2017-03-21,9510
2017-03-22,9510
2017-03-23,9510
2017-03-24,9510
2017-03-25,9035
2017-03-26,9035
2017-03-27,9035
2017-03-28,9035
2017-03-29,9035
2017-03-30,9035
2017-03-31,9035
2017-04-01,9035
2017-04-02,9035
2017-04-03,9035
2017-04-04,9035
2017-04-12,400
2017-04-13,400
2017-04-14,400
2017-04-15,400
2017-04-16,400
2017-04-17,400
2017-04-18,400
2017-04-19,400
2017-04-20,400
2017-04-21,400
2017-04-22,400
2017-04-23,400
2017-04-24,400
2017-04-25,400
2017-04-26,400
2017-04-27,400
2017-04-28,400
2017-04-29,400
2017-04-30,400
2017-05-01,400
2017-05-02,400
2017-05-03,400
2017-05-04,400
2017-05-05,400
2017-05-06,400
2017-05-07,400
2017-05-08,400
2017-05-09,400
2017-05-10,400
2017-05-11,400
2017-05-12,400
2017-05-13,400
2017-05-14,400
2017-05-15,400
2017-05-16,400
2017-05-17,400
2017-05-18,400
2017-05-19,400
2017-05-20,400
2017-05-21,400
2017-05-22,400
2017-05-23,400
2017-05-24,400
2017-05-25,400
2017-05-26,400
2017-05-27,400
2017-05-28,400
2017-05-29,400
2017-05-30,400
2017-05-31,400
2017-06-01,400
2017-06-02,400
2017-06-03,400
2017-06-06,400
2017-06-07,400
2017-06-08,400
2017-06-09,400
2017-06-10,400
2017-06-11,400
2017-06-12,400
2017-06-13,400
2017-06-14,400
2017-06-15,400
2017-06-16,400
2017-06-17,400
2017-06-18,400
2017-06-19,400
2017-06-20,400
2017-06-21,400
2017-06-22,400
2017-06-23,400
2017-06-24,400
2017-06-25,400
2017-06-26,400
2017-06-27,400
2017-06-28,400
2017-06-29,393
2017-06-30,393
2017-07-01,393
2017-07-02,393
2017-07-03,393
2017-07-04,393
2017-07-05,393
2017-07-06,393
2017-07-07,393
2017-07-08,393
2017-07-13,393
2017-07-14,393
2017-07-15,393
2017-07-16,393
2017-07-17,393
2017-07-18,393
2017-07-19,393
2017-07-20,393
2017-07-21,393
2017-07-22,393
2017-07-23,393
2017-07-24,393
2017-07-25,393
2017-07-26,393
2017-07-27,393
2017-07-28,393
2017-07-29,393
2017-07-30,393
2017-07-31,393
2017-08-01,393
2017-08-02,393
2017-08-03,393
2017-08-04,393
2017-08-05,393
2017-08-06,393
2017-08-09,393
2017-08-10,393
2017-08-11,393
2017-08-12,393
2017-08-13,393
2017-08-14,393
2017-08-15,393
2017-08-17,393
2017-08-18,393
2017-08-19,393
2017-08-20,393
2017-08-21,393
2017-08-22,393
2017-08-23,393
2017-08-24,393
2017-08-25,393
2017-08-26,393
2017-08-27,393
2017-08-28,393
2017-08-29,393
2017-08-30,393
2017-08-31,393
2017-09-01,393
2017-09-02,393
2017-09-03,393
2017-09-04,393
2017-09-05,393
2017-09-06,393
2017-09-07,393
2017-09-08,393
2017-09-09,393
2017-09-10,393
2017-09-11,393
2017-09-12,393
2017-09-13,393
2017-09-14,393
2017-09-15,393
2017-09-16,393
2017-09-17,393
2017-09-19,393
2017-09-20,393
2017-09-21,393
2017-09-22,393
2017-09-23,393
2017-09-24,393
2017-09-25,393
2017-09-26,393
2017-09-27,393
2017-09-28,393
2017-09-29,393
2017-09-30,393
2017-10-01,393
2017-10-02,393
2017-10-03,393
2017-10-04,393
2017-10-05,393
2017-10-06,393
2017-10-07,393
2017-10-08,393
2017-10-09,393
2017-10-10,393
2017-10-11,393
2017-10-12,393
2017-10-13,393
2017-10-14,393
2017-10-15,393
2017-10-16,393
2017-10-17,393
2017-10-18,393
2017-10-19,385
2017-10-20,385
2017-10-21,385
2017-10-22,385
2017-10-23,385
2017-10-24,385
2017-10-25,385
2017-10-26,385
2017-10-27,385
2017-10-28,385
2017-10-29,385
2017-10-30,385
2017-10-31,385
2017-11-01,385
2017-11-02,385
2017-11-03,385
2017-11-04,385
2017-11-05,385
2017-11-06,385
2017-11-07,385
2017-11-08,385
2017-11-09,385
2017-11-10,385
2017-11-11,385
2017-11-12,385
2017-11-13,385
2017-11-14,385
2017-11-15,385
2017-11-16,385
2017-11-17,385
2017-11-18,385
2017-11-19,385
2017-11-20,385
2017-11-21,385
2017-11-22,385
2017-11-23,385
2017-11-24,385
2017-11-25,385
2017-11-26,385
2017-11-27,385
2017-11-28,385
2017-11-29,385
2017-11-30,385
2017-12-01,385
2017-12-02,385
2017-12-03,385
2017-12-04,385
2017-12-05,385
2017-12-06,385
2017-12-07,385
2017-12-08,385
2017-12-09,385
2017-12-10,385
2017-12-11,385
2017-12-12,385
2017-12-14,385
2017-12-15,385
2017-12-16,385
2017-12-17,385
2017-12-18,385
2017-12-19,385
2017-12-20,385
2017-12-21,385
2017-12-22,385
2017-12-23,385
2017-12-24,385
2017-12-25,385
2017-12-26,385
2017-12-27,385
2017-12-28,385
2017-12-29,385
