date_obj,Brimstone%20ring price
2019-10-22,5462218
2019-10-23,5459310
2019-10-24,5443829
2019-10-25,5435806
2019-10-26,5433688
2019-10-27,5425293
2019-10-28,5402949
2019-10-29,5325418
2019-10-30,5223684
2019-10-31,5079892
2019-11-01,5039453
2019-11-02,5028129
2019-11-03,5018479
2019-11-04,5005881
2019-11-05,4996056
2019-11-06,4992619
2019-11-07,5025156
2019-11-08,5035246
2019-11-09,5051403
2019-11-10,5062196
2019-11-11,5043881
2019-11-12,5023187
2019-11-13,5003581
2019-11-14,4955437
2019-11-15,4904125
2019-11-16,4849538
2019-11-17,4795738
2019-11-18,4793994
2019-11-19,4793862
2019-11-20,4761255
2019-11-21,4684958
2019-11-22,4690221
2019-11-23,4664861
2019-11-24,4673474
2019-11-25,4627105
2019-11-26,4595961
2019-11-27,4601556
2019-11-28,4591571
2019-11-29,4602292
2019-11-30,4613686
2019-12-01,4753339
2019-12-02,4892180
2019-12-03,4904736
2019-12-04,4983873
2019-12-05,4905012
2019-12-06,4873399
2019-12-07,4857632
2019-12-08,5007041
2019-12-09,4967723
2019-12-10,4919140
2019-12-11,4853506
2019-12-12,4834288
2019-12-13,4829521
2019-12-14,5055714
2019-12-15,5282488
2019-12-16,5297377
2019-12-17,5338341
2019-12-18,5260017
2019-12-19,5225713
2019-12-20,5148315
2019-12-21,5104220
2019-12-22,5104235
2019-12-23,5075178
2019-12-24,5019382
2019-12-25,4974890
2019-12-26,4939488
2019-12-27,4933476
2019-12-28,4919685
2019-12-29,4891691
2019-12-30,4904067
2019-12-31,4866228
2020-01-01,4866577
2020-01-02,4923125
2020-01-03,4992584
2020-01-04,5129818
2020-01-05,5050978
2020-01-06,5014567
2020-01-07,4957907
2020-01-08,4926172
2020-01-09,4938463
2020-01-10,4967666
2020-01-11,5005065
2020-01-12,4976452
2020-01-13,4971370
2020-01-14,5109668
2020-01-15,5314503
2020-01-16,5378003
2020-01-17,5341349
2020-01-18,5395829
2020-01-19,5382714
2020-01-20,5360129
2020-01-21,5340549
2020-01-22,5267068
2020-01-23,5235076
2020-01-24,5199067
2020-01-25,5157873
2020-01-26,5095471
2020-01-27,4923469
2020-01-28,4788101
2020-01-29,4677902
2020-01-30,4629353
2020-01-31,4658544
2020-02-01,4660177
2020-02-02,4660294
2020-02-03,4638781
2020-02-04,4726749
2020-02-05,4923433
2020-02-06,4738920
2020-02-07,4506581
2020-02-08,4325545
2020-02-09,4315869
2020-02-10,4283583
2020-02-11,4229344
2020-02-12,4193580
2020-02-13,4165860
2020-02-14,4172471
2020-02-15,4228568
2020-02-16,4262891
2020-02-17,4212958
2020-02-18,4154178
2020-02-19,3963862
2020-02-20,3963503
2020-02-21,3963605
2020-02-22,3990631
2020-02-23,4087158
2020-02-24,3998146
2020-02-25,3964368
2020-02-26,3943725
2020-02-27,3936709
2020-02-28,3936338
2020-02-29,3993823
2020-03-01,3974043
2020-03-02,3938939
2020-03-03,3903402
2020-03-04,3824642
2020-03-05,3783474
2020-03-06,3678907
2020-03-07,3653300
2020-03-08,3673235
2020-03-09,3772088
2020-03-10,3758149
2020-03-11,3735342
2020-03-12,3780798
2020-03-13,3757667
2020-03-14,3786402
2020-03-15,3857079
2020-03-16,3901582
2020-03-17,3998226
2020-03-18,3955570
2020-03-19,3962343
2020-03-20,4083382
2020-03-21,4172651
2020-03-22,4169631
2020-03-23,4106804
2020-03-24,4065736
2020-03-25,4065289
2020-03-26,4058557
2020-03-27,4190800
2020-03-28,4236671
2020-03-29,4347180
2020-03-30,4316133
2020-03-31,4464576
2020-04-01,4521888
2020-04-02,4637054
2020-04-03,4721287
2020-04-04,4787502
2020-04-05,4721050
2020-04-06,4671295
2020-04-07,4579907
2020-04-08,4527141
2020-04-09,4490767
2020-04-10,4474723
2020-04-11,4466990
2020-04-12,4442274
2020-04-13,4437230
2020-04-14,4409357
2020-04-15,4361923
2020-04-16,4363599
2020-04-17,4344768
2020-04-18,4383647
2020-04-19,4377766
2020-04-20,4337218
2020-04-21,4314351
2020-04-22,4280698
2020-04-23,4265548
2020-04-24,4267249
2020-04-25,4280074
2020-04-26,4458081
2020-04-27,4523649
2020-04-28,4585611
2020-04-29,4718573
2020-04-30,4672055
2020-05-01,4628236
2020-05-02,4610341
2020-05-03,4579476
2020-05-04,4541266
2020-05-05,4531346
2020-05-06,4525914
2020-05-07,4496806
2020-05-08,4463931
2020-05-09,4557992
2020-05-10,4704292
2020-05-11,4640002
2020-05-12,4645938
2020-05-13,4728980
