date_obj,Saradomin%20d'hide%20boots price
2016-07-06,2077481
2016-07-07,2168264
2016-07-08,2264674
2016-07-09,2369495
2016-07-10,2473081
2016-07-11,2580297
2016-07-12,2695149
2016-07-13,2695149
2016-07-14,2829907
2016-07-15,2948773
2016-07-16,3077757
2016-07-17,3077757
2016-07-18,3218833
2016-07-23,3287372
2016-07-24,3157697
2016-07-25,3157697
2016-07-26,2999812
2016-07-27,2999812
2016-07-28,2849821
2016-07-29,2849821
2016-07-30,2707852
2016-07-31,2707852
2016-08-01,2707852
2016-08-02,2572459
2016-08-03,2572459
2016-08-04,2443836
2016-08-05,2443836
2016-08-06,2321644
2016-08-07,2321644
2016-08-08,2205561
2016-08-09,2096971
2016-08-10,2096971
2016-08-11,1992122
2016-08-12,1992122
2016-08-13,1892515
2016-08-14,1892515
2016-08-15,1799390
2016-08-16,1799390
2016-08-17,1711870
2016-08-18,1711870
2016-08-19,1632119
2016-08-20,1632119
2016-08-21,1563606
2016-08-22,1563606
2016-08-23,1514424
2016-08-24,1514424
2016-08-25,1493938
2016-08-26,1493938
2016-08-28,1500563
2016-08-31,1566018
2016-09-01,1611174
2016-09-02,1611174
2016-09-03,1691416
2016-09-04,1767592
2016-09-05,1849881
2016-09-06,1931276
2016-09-07,1931276
2016-09-08,1986429
2016-09-09,1986429
2016-09-10,2042942
2016-09-11,2042942
2016-09-12,1959031
2016-09-13,1959031
2016-09-14,1951078
2016-09-15,1951078
2016-09-16,1880097
2016-09-17,1880097
2016-09-18,1789109
2016-09-19,1789109
2016-09-20,1714874
2016-09-21,1714874
2016-09-22,1631271
2016-09-23,1631271
2016-09-24,1592038
2016-09-25,1665206
2016-09-26,1665206
2016-09-27,1607598
2016-09-28,1607598
2016-09-29,1527235
2016-09-30,1450873
2016-10-01,1379047
2016-10-02,1379047
2016-10-03,1310094
2016-10-04,1245209
2016-10-05,1245209
2016-10-06,1245101
2016-10-07,1245101
2016-10-08,1307357
2016-10-09,1307357
2016-10-10,1362687
2016-10-11,1422671
2016-10-12,1422671
2016-10-13,1477298
2016-10-14,1542304
2016-10-15,1567075
2016-10-16,1567075
2016-10-17,1593602
2016-10-18,1593602
2016-10-19,1570397
2016-10-20,1570397
2016-10-21,1569434
2016-10-22,1569434
2016-10-23,1577223
2016-10-24,1534425
2016-10-25,1534425
2016-10-26,1497631
2016-10-27,1497631
2016-10-28,1487845
2016-10-29,1460035
2016-10-30,1460035
2016-10-31,1435635
2016-11-01,1435635
2016-11-02,1386663
2016-11-03,1386663
2016-11-04,1336727
2016-11-05,1336727
2016-11-06,1289727
2016-11-07,1289727
2016-11-08,1326964
2016-11-09,1289059
2016-11-10,1289059
2016-11-11,1298269
2016-11-12,1264910
2016-11-13,1264910
2016-11-14,1251902
2016-12-08,953992
2016-12-09,944536
2016-12-10,944536
2016-12-11,936286
2016-12-12,930356
2016-12-13,916922
2016-12-14,909157
2016-12-15,909157
2016-12-16,907616
2016-12-17,941774
2016-12-18,941774
2016-12-19,982505
2016-12-20,1021365
2016-12-21,1036745
2016-12-22,1036745
2016-12-23,1073575
2016-12-24,1073575
2016-12-25,1096045
2016-12-26,1107764
2016-12-27,1136332
2016-12-28,1178457
2016-12-29,1202636
2016-12-30,1198778
2016-12-31,1219639
2017-01-01,1257458
2017-01-02,1282862
2017-01-03,1300159
2017-01-04,1280890
2017-01-05,1238402
2017-01-06,1199917
2017-01-07,1150140
2017-01-08,1118656
2017-01-09,1100150
2017-01-10,1089321
2017-01-11,1113196
2017-01-12,1141126
2017-01-13,1160773
2017-01-14,1173647
2017-01-15,1201747
2017-01-16,1223048
2017-01-17,1250658
2017-01-18,1275878
2017-01-19,1309252
2017-01-20,1368824
2017-01-21,1344521
2017-01-22,1352801
2017-01-27,1252690
2017-01-28,1231551
2017-01-29,1226783
2017-01-30,1205859
2017-01-31,1198568
2017-02-01,1184953
2017-02-02,1147380
2017-02-03,1145310
2017-02-04,1175287
2017-02-05,1227772
2017-02-06,1249181
2017-02-07,1258371
2017-02-08,1235769
2017-02-09,1235769
2017-02-10,1209238
2017-02-11,1215736
2017-02-12,1215736
2017-02-13,1209374
2017-02-14,1238966
2017-02-15,1241460
2017-02-16,1284536
2017-02-18,1291203
2017-02-19,1303922
2017-02-20,1305073
2017-02-21,1297757
2017-02-22,1284285
2017-02-23,1268303
2017-02-24,1260137
2017-02-25,1248907
2017-02-26,1226120
2017-02-27,1194791
2017-02-28,1188926
2017-03-01,1197946
2017-03-02,1177462
2017-03-03,1195132
2017-03-04,1201646
2017-03-05,1210992
2017-03-06,1189276
2017-03-07,1175675
2017-03-08,1173869
2017-03-09,1169216
2017-03-10,1146801
2017-03-11,1146700
2017-03-12,1150795
2017-03-13,1148793
2017-03-14,1142881
2017-03-15,1124085
2017-03-16,1068645
2017-03-17,1064502
2017-03-18,1094269
2017-03-19,1106046
2017-03-20,1097116
2017-03-21,1092002
2017-03-22,1084755
2017-03-23,1064196
2017-03-24,1013919
2017-03-25,1013919
2017-03-26,974981
2017-03-27,1002816
2017-03-28,1032091
2017-03-29,1027008
2017-03-30,1031577
2017-03-31,1065485
2017-04-01,1059583
2017-04-02,1061419
2017-04-03,1084733
2017-04-04,1097757
2017-04-12,979523
2017-04-13,970616
2017-04-14,964414
2017-04-15,962799
2017-04-16,955512
2017-04-17,977663
2017-04-18,1022188
2017-04-19,1031644
2017-04-20,1054278
2017-04-21,1051829
2017-04-22,1054547
2017-04-23,1090023
2017-04-24,1109970
2017-04-25,1091147
2017-04-26,1091147
2017-04-27,1083718
2017-04-28,1079518
2017-04-29,1087912
2017-04-30,1141840
2017-05-01,1140661
2017-05-02,1092075
2017-05-03,1070792
2017-05-04,1076955
2017-05-05,1060740
2017-05-06,1066283
2017-05-07,1040488
2017-05-08,1014574
2017-05-09,968810
2017-05-10,922297
2017-05-11,886041
2017-05-12,907818
2017-05-13,897415
2017-05-14,895480
2017-05-15,889616
2017-05-16,915761
2017-05-17,920237
2017-05-18,943334
2017-05-19,951591
2017-05-20,945436
2017-05-21,945436
2017-05-22,919277
2017-05-23,912082
2017-05-24,882713
2017-05-25,856802
2017-05-26,821065
2017-05-27,786752
2017-05-28,784450
2017-05-29,768072
2017-05-30,761803
2017-05-31,776149
2017-06-01,811394
2017-06-02,848200
2017-06-03,890610
2017-06-06,918382
2017-06-07,921549
2017-06-08,921549
2017-06-09,919466
2017-06-10,900513
2017-06-11,882815
2017-06-12,849884
2017-06-13,842893
2017-06-14,848181
2017-06-15,856678
2017-06-16,863764
2017-06-17,891751
2017-06-18,915040
2017-06-19,915040
2017-06-20,897547
2017-06-21,882366
2017-06-22,875724
2017-06-23,862230
2017-06-24,842167
2017-06-25,803481
2017-06-26,773392
2017-06-27,759614
2017-06-28,767707
2017-06-29,772798
