date_obj,Potato%20cactus%20seed price
2019-01-10,3500
2019-01-10,3405
2019-01-11,3234
2019-01-12,3072
2019-01-13,2918
2019-01-14,2772
2019-01-15,2633
2019-01-16,2501
2019-01-17,2375
2019-01-18,2256
2019-01-19,2143
2019-01-20,2035
2019-01-21,1933
2019-01-22,1836
2019-01-23,1744
2019-01-24,1656
2019-01-25,1573
2019-01-26,1494
2019-01-27,1419
2019-01-28,1348
2019-01-29,1280
2019-01-30,1216
2019-01-31,1155
2019-02-01,1097
2019-02-02,1042
2019-02-03,989
2019-02-04,939
2019-02-05,892
2019-02-06,847
2019-02-07,804
2019-02-08,763
2019-02-09,724
2019-02-10,687
2019-02-11,652
2019-02-12,619
2019-02-13,588
2019-02-14,558
2019-02-15,530
2019-02-16,503
2019-02-17,477
2019-02-18,453
2019-02-19,430
2019-02-20,408
2019-02-21,387
2019-02-22,367
2019-02-23,348
2019-02-24,330
2019-02-25,313
2019-02-26,297
2019-02-27,282
2019-02-28,268
2019-03-01,254
2019-03-02,241
2019-03-03,228
2019-03-04,216
2019-03-05,205
2019-03-06,194
2019-03-07,184
2019-03-08,174
2019-03-09,165
2019-03-10,156
2019-03-11,148
2019-03-12,140
2019-03-13,133
2019-03-14,126
2019-03-15,119
2019-03-16,113
2019-03-17,107
2019-03-18,101
2019-03-19,95
2019-03-20,90
2019-03-21,85
2019-03-22,80
2019-03-23,76
2019-03-24,72
2019-03-25,68
2019-03-26,64
2019-03-27,63
2019-03-28,63
2019-03-29,63
2019-03-30,63
2019-03-31,62
2019-04-01,61
2019-04-02,59
2019-04-03,57
2019-04-04,54
2019-04-05,51
2019-04-06,49
2019-04-07,48
2019-04-08,46
2019-04-09,45
2019-04-10,43
2019-04-11,40
2019-04-12,38
2019-04-13,38
2019-04-14,38
2019-04-15,38
2019-04-16,39
2019-04-17,38
2019-04-18,38
2019-04-19,39
2019-04-20,39
2019-04-21,40
2019-04-22,39
2019-04-23,38
2019-04-24,38
2019-04-25,37
2019-04-26,36
2019-04-27,36
2019-04-28,34
2019-04-29,32
2019-04-30,30
2019-05-01,29
2019-05-02,28
2019-05-03,27
2019-05-04,26
2019-05-05,25
2019-05-06,23
2019-05-07,24
2019-05-08,23
2019-05-09,22
2019-05-10,22
2019-05-11,20
2019-05-12,19
2019-05-13,19
2019-05-14,19
2019-05-15,19
2019-05-16,19
2019-05-17,19
2019-05-18,19
2019-05-19,19
2019-05-20,19
2019-05-21,19
2019-05-22,19
2019-05-23,19
2019-05-24,19
2019-05-25,19
2019-05-26,20
2019-05-27,20
2019-05-28,20
2019-05-29,20
2019-05-30,20
2019-05-31,20
2019-06-01,19
2019-06-02,18
2019-06-03,17
2019-06-04,17
2019-06-05,16
2019-06-06,16
2019-06-07,16
2019-06-08,16
2019-06-09,15
2019-06-10,15
2019-06-11,15
2019-06-12,15
2019-06-13,15
2019-06-14,16
2019-06-15,15
2019-06-16,16
2019-06-17,17
2019-06-18,17
2019-06-19,17
2019-06-20,18
2019-06-21,18
2019-06-22,18
2019-06-23,18
2019-06-24,18
2019-06-25,18
2019-06-26,19
2019-06-27,20
2019-06-28,20
2019-06-29,20
2019-06-30,19
2019-07-01,19
2019-07-02,19
2019-07-03,19
2019-07-04,18
2019-07-05,18
2019-07-06,18
2019-07-07,18
2019-07-08,18
2019-07-09,18
2019-07-10,18
2019-07-11,17
2019-07-12,17
2019-07-13,17
2019-07-14,17
2019-07-15,17
2019-07-16,17
2019-07-17,17
2019-07-18,16
2019-07-19,16
2019-07-20,16
2019-07-21,15
2019-07-22,15
2019-07-23,15
2019-07-24,15
2019-07-25,14
2019-07-26,14
2019-07-27,14
2019-07-28,15
2019-07-29,16
2019-07-30,16
2019-07-31,16
2019-08-01,16
2019-08-02,16
2019-08-03,16
2019-08-04,16
2019-08-05,16
2019-08-06,15
2019-08-07,15
2019-08-08,15
2019-08-09,14
2019-08-10,14
2019-08-11,13
2019-08-12,14
2019-08-13,14
2019-08-14,14
2019-08-15,14
2019-08-16,15
2019-08-17,15
2019-08-18,15
2019-08-19,15
2019-08-20,16
2019-08-21,16
2019-08-22,16
2019-08-23,15
2019-08-24,14
2019-08-24,14
2019-08-25,14
2019-08-25,14
2019-08-26,14
2019-08-26,14
2019-08-27,15
2019-08-27,15
2019-08-28,15
2019-08-29,15
2019-08-30,15
2019-08-31,15
2019-09-01,15
2019-09-02,15
2019-09-03,15
2019-09-04,14
2019-09-05,14
2019-09-06,14
2019-09-07,13
2019-09-08,13
2019-09-09,13
2019-09-10,14
2019-09-11,14
2019-09-12,14
2019-09-13,15
2019-09-14,15
2019-09-15,16
2019-09-16,16
2019-09-17,16
2019-09-18,17
2019-09-19,18
2019-09-20,19
2019-09-21,20
2019-09-22,21
2019-09-23,23
2019-09-24,23
2019-09-25,24
2019-09-26,25
2019-09-27,25
2019-09-28,26
2019-09-29,26
2019-09-30,26
2019-10-01,28
2019-10-02,28
2019-10-03,30
2019-10-04,32
2019-10-05,33
2019-10-06,33
2019-10-07,34
2019-10-08,35
2019-10-09,35
2019-10-10,36
2019-10-11,36
2019-10-12,35
2019-10-13,35
2019-10-14,35
2019-10-15,35
2019-10-16,35
2019-10-17,35
2019-10-18,35
2019-10-19,36
2019-10-20,36
2019-10-21,36
2019-10-22,36
2019-10-23,36
2019-10-24,37
2019-10-25,36
2019-10-26,35
2019-10-27,33
2019-10-28,33
2019-10-29,33
2019-10-30,32
2019-10-31,32
2019-11-01,32
2019-11-02,32
2019-11-03,31
2019-11-04,31
2019-11-05,31
2019-11-06,29
2019-11-07,29
2019-11-08,29
2019-11-09,27
2019-11-10,26
2019-11-11,27
2019-11-12,26
2019-11-13,27
2019-11-14,27
2019-11-15,27
2019-11-16,28
2019-11-17,28
2019-11-18,28
2019-11-19,28
2019-11-20,28
2019-11-21,28
2019-11-22,29
2019-11-23,29
2019-11-24,29
2019-11-25,30
2019-11-26,31
2019-11-27,31
2019-11-28,31
2019-11-29,31
2019-11-30,31
2019-12-01,32
2019-12-02,34
2019-12-03,34
2019-12-04,33
2019-12-05,33
2019-12-06,34
2019-12-07,34
2019-12-08,34
2019-12-09,32
2019-12-10,30
2019-12-11,28
2019-12-12,28
2019-12-13,28
2019-12-14,29
2019-12-15,30
2019-12-16,32
2019-12-17,33
2019-12-18,33
2019-12-19,34
2019-12-20,36
2019-12-21,38
2019-12-22,38
2019-12-23,38
2019-12-24,39
2019-12-25,40
2019-12-26,40
2019-12-27,40
2019-12-28,40
2019-12-29,40
2019-12-30,40
2019-12-31,41
2020-01-01,43
2020-01-02,44
2020-01-03,44
2020-01-04,43
2020-01-05,42
2020-01-06,42
2020-01-07,42
2020-01-08,42
2020-01-09,43
2020-01-10,44
2020-01-11,45
2020-01-12,45
2020-01-13,45
2020-01-14,47
2020-01-15,50
2020-01-16,52
2020-01-17,54
2020-01-18,54
2020-01-19,53
2020-01-20,54
2020-01-21,54
2020-01-22,54
2020-01-23,54
2020-01-24,54
2020-01-25,54
2020-01-26,54
2020-01-27,52
2020-01-28,51
2020-01-29,52
