date_obj,Iron%20dragon%20mask price
2015-03-26,96754
2015-03-27,96754
2015-03-28,94948
2015-03-29,94948
2015-03-30,94948
2015-03-31,92205
2015-04-01,92205
2015-04-02,92205
2015-04-03,92205
2015-04-04,92205
2015-04-05,89438
2015-04-06,89438
2015-04-07,89438
2015-04-08,89438
2015-04-09,90207
2015-04-10,90207
2015-04-11,90207
2015-04-12,90207
2015-04-13,87643
2015-04-14,87643
2015-04-15,87643
2015-04-16,87643
2015-04-17,87643
2015-04-18,84899
2015-04-19,84899
2015-04-20,84899
2015-04-21,84899
2015-04-22,81552
2015-04-23,81552
2015-04-24,81552
2015-04-25,81552
2015-04-26,78793
2015-04-27,78793
2015-04-28,78793
2015-04-29,78793
2015-04-30,75808
2015-05-01,75808
2015-05-02,75808
2015-05-03,72099
2015-05-04,72099
2015-05-05,72099
2015-05-06,69412
2015-05-07,69412
2015-05-08,69412
2015-05-09,69412
2015-05-10,66192
2015-05-11,66192
2015-05-12,66192
2015-05-13,66192
2015-05-14,63421
2015-05-15,63421
2015-05-16,63421
2015-05-17,60496
2015-05-18,60496
2015-05-19,60496
2015-05-20,60496
2015-05-21,58025
2015-05-22,58025
2015-05-23,58025
2015-05-24,55217
2015-05-25,55217
2015-05-26,52593
2015-05-27,52593
2015-05-28,52593
2015-05-29,50071
2015-05-30,50071
2015-05-31,47862
2015-06-01,47862
2015-06-02,47862
2015-06-03,45554
2015-06-04,45554
2015-06-05,45554
2015-06-06,43476
2015-06-07,43476
2015-06-08,43476
2015-06-09,41394
2015-06-10,41394
2015-06-11,41394
2015-06-12,41394
2015-06-13,39324
2015-06-14,39324
2015-06-15,39324
2015-06-16,39324
2015-06-17,37828
2015-06-18,37828
2015-06-19,37828
2015-06-20,36680
2015-06-21,36680
2015-06-22,36680
2015-06-23,36680
2015-06-24,36596
2015-06-25,36596
2015-06-26,36596
2015-06-27,36596
2015-06-28,35575
2015-06-29,35575
2015-06-30,35575
2015-07-01,35575
2015-07-02,34399
2015-07-03,34399
2015-07-04,34399
2015-07-05,33452
2015-07-06,33452
2015-07-07,33452
2015-07-08,33452
2015-07-09,33024
2015-07-10,33024
2015-07-11,33024
2015-07-12,33024
2015-07-13,33024
2015-07-14,32564
2015-07-15,32564
2015-07-16,32564
2015-07-17,32564
2015-07-18,32532
2015-07-19,32532
2015-07-20,32532
2015-07-21,31827
2015-07-22,31827
2015-07-23,31827
2015-07-24,32005
2015-07-25,32005
2015-07-26,32005
2015-07-27,32005
2015-07-28,32364
2015-07-29,32364
2015-07-30,32364
2015-07-31,32364
2015-08-01,32831
2015-08-02,32831
2015-08-03,32831
2015-08-04,33068
2015-08-05,33068
2015-08-06,33068
2015-08-07,32749
2015-08-08,32749
2015-08-09,32749
2015-08-10,33077
2015-08-11,33077
2015-08-12,33077
2015-08-13,33077
2015-08-14,32869
2015-08-15,32869
2015-08-16,32869
2015-08-17,32869
2015-08-18,32631
2015-08-19,32631
2015-08-20,32631
2015-08-21,32631
2015-08-22,32918
2015-08-23,32918
2015-08-24,32918
2015-08-25,32918
2015-08-26,32918
2015-08-27,32665
2015-08-28,32665
2015-08-29,32665
2015-08-30,32665
2015-08-31,32413
2015-09-01,32413
2015-09-02,32413
2015-09-03,32413
2015-09-04,32543
2015-09-05,32543
2015-09-06,32543
2015-09-07,32543
2015-09-08,32889
2015-09-09,32889
2015-09-10,32889
2015-09-11,33184
2015-09-12,33184
2015-09-13,33184
2015-09-14,33184
2015-09-15,34023
2015-09-16,34023
2015-09-17,34023
2015-09-18,34023
2015-09-19,34023
2015-09-20,34023
2015-09-21,34191
2015-09-22,34191
2015-09-23,34191
2015-09-24,34191
2015-09-25,34191
2015-09-27,34562
2015-09-28,34562
2015-09-29,34562
2015-09-30,34965
2015-10-05,35213
2015-10-06,35213
2015-10-07,35213
2015-10-08,35213
2015-10-09,34486
2015-10-10,34486
2015-10-11,34486
2015-10-12,35081
2015-10-13,35081
2015-10-14,35081
2015-10-15,35081
2015-10-16,34050
2015-10-17,34050
2015-10-18,34050
2015-10-19,34050
2015-10-20,33134
2015-10-22,33134
2015-10-23,33134
2015-10-24,33134
2015-10-25,32843
2015-10-26,32843
2015-10-27,32843
2015-10-29,32843
2015-10-30,32921
2015-10-31,32921
2015-11-01,32921
2015-11-02,32921
2015-11-03,32921
2015-11-04,33072
2015-11-05,33072
2015-11-06,33072
2015-11-07,33072
2015-11-08,33072
2015-11-09,33173
2015-11-10,33173
2015-11-11,33173
2015-11-12,33173
2015-11-13,33173
2015-11-14,32784
2015-11-15,32784
2015-11-16,32784
2015-11-17,32784
2015-11-18,32784
2015-11-19,32537
2015-11-20,32537
2015-11-21,32537
2015-11-22,32537
2015-11-23,32537
2015-11-24,30910
2015-11-25,30910
2015-11-26,30910
2015-11-27,30910
2015-11-28,30910
2015-11-29,31424
2015-11-30,31424
2015-12-01,31424
2015-12-02,31424
2015-12-03,31424
2015-12-04,31240
2015-12-05,31240
2015-12-06,31240
2015-12-07,31240
2015-12-08,31240
2015-12-10,31808
2015-12-11,31808
2015-12-12,31808
2015-12-13,31625
2015-12-14,31625
2015-12-15,31625
2015-12-16,31625
2015-12-17,31625
2015-12-18,31876
2015-12-19,31876
2015-12-20,31876
2015-12-21,31876
2015-12-22,31876
2015-12-23,31899
2015-12-24,31899
2015-12-25,31899
2015-12-26,31899
2015-12-27,31899
2015-12-28,31630
2015-12-29,31630
2015-12-30,31630
2015-12-31,31630
2016-01-01,31173
2016-01-02,31173
2016-01-03,31173
2016-01-04,31092
2016-01-05,31092
2016-01-06,31092
2016-01-07,31092
2016-01-08,31092
2016-01-09,30787
2016-01-10,30787
2016-01-11,30787
2016-01-12,30787
2016-01-13,30787
2016-01-14,30699
2016-01-15,30699
2016-01-16,30699
2016-01-17,30699
2016-01-18,30699
2016-01-19,30433
2016-01-20,30433
2016-01-21,30433
2016-01-22,30433
2016-01-23,30081
2016-01-24,30081
2016-01-25,30081
2016-01-26,30081
2016-01-27,29406
2016-01-28,29406
2016-01-29,29406
2016-01-30,29406
2016-01-31,29406
2016-02-01,29876
2016-02-02,29876
2016-02-03,29876
2016-02-04,29876
2016-02-05,30216
2016-02-06,30216
2016-02-07,30216
2016-02-08,30216
2016-02-09,30216
2016-02-10,30387
2016-02-11,30387
2016-02-12,30387
2016-02-13,30387
2016-02-14,30672
2016-02-15,30672
2016-02-16,30672
2016-02-17,30672
2016-02-18,30362
2016-02-19,30362
2016-02-20,30362
2016-02-21,29168
2016-02-22,29168
2016-02-23,29168
2016-02-24,29168
2016-02-25,28899
2016-02-26,28899
2016-02-27,28899
2016-02-28,28899
2016-02-29,28912
2016-03-01,28912
2016-03-02,28912
2016-03-03,28912
2016-03-04,29167
2016-03-05,29167
2016-03-06,29167
2016-03-07,29167
2016-03-08,29218
2016-03-09,29218
2016-03-10,29218
2016-03-11,29917
2016-03-12,29917
2016-03-13,29917
2016-03-14,29917
2016-03-15,28815
2016-03-16,28815
2016-03-17,28815
2016-03-18,28815
2016-03-19,28174
2016-03-20,28174
2016-03-21,28174
2016-03-22,28174
2016-03-23,26970
2016-03-24,26970
2016-03-25,26970
2016-03-26,26970
2016-03-27,26970
2016-03-28,25729
2016-03-29,25729
2016-03-30,25729
2016-03-31,25729
2016-04-01,24703
2016-04-02,24703
2016-04-03,24703
2016-04-04,24703
2016-04-05,23560
2016-04-06,23560
2016-04-07,23560
2016-04-08,23560
2016-04-09,22614
2016-04-10,22614
2016-04-11,22614
2016-04-12,22865
2016-04-13,22865
2016-04-14,22865
2016-04-15,22865
2016-04-16,22865
2016-04-17,22965
2016-04-18,22965
2016-04-19,22965
2016-04-20,22884
2016-04-21,22884
2016-04-22,22884
2016-04-23,22884
2016-04-24,22884
2016-04-25,22245
2016-04-26,22245
2016-04-27,22245
2016-04-28,22245
2016-04-29,21406
2016-04-30,21406
2016-05-01,21406
2016-05-02,21406
2016-05-03,20637
2016-05-04,20637
2016-05-05,20637
2016-05-06,20691
2016-05-07,20691
2016-05-08,20691
2016-05-09,19854
2016-05-10,19854
2016-05-11,19854
2016-05-12,19854
2016-05-13,19341
2016-05-14,19341
2016-05-15,19341
2016-05-16,19341
2016-05-17,18683
2016-05-18,18683
2016-05-19,18683
2016-05-22,18574
2016-05-23,18371
2016-05-24,18371
2016-05-25,18371
2016-05-26,18371
2016-05-27,18054
2016-05-28,18054
2016-05-29,18054
2016-05-30,18054
2016-05-31,17710
2016-06-01,17710
2016-06-02,17710
2016-06-03,17710
2016-06-04,17315
2016-06-05,17315
2016-06-06,17315
2016-06-07,17315
2016-06-08,16779
2016-06-09,16779
2016-06-10,16779
2016-06-11,16779
2016-06-12,16585
