date_obj,Rune%20armour%20set%20(lg) price
2015-03-26,143043
2015-03-27,143043
2015-03-28,143850
2015-03-29,143322
2015-03-30,143304
2015-03-31,145694
2015-04-01,146927
2015-04-02,145882
2015-04-03,143085
2015-04-04,142172
2015-04-05,143126
2015-04-06,142383
2015-04-07,140152
2015-04-08,139990
2015-04-09,142223
2015-04-10,143721
2015-04-11,144001
2015-04-12,144512
2015-04-13,144080
2015-04-14,144010
2015-04-15,144780
2015-04-16,143890
2015-04-17,145239
2015-04-18,145631
2015-04-19,145884
2015-04-20,146561
2015-04-21,146117
2015-04-22,145187
2015-04-23,144440
2015-04-24,143471
2015-04-25,144268
2015-04-26,145331
2015-04-27,144798
2015-04-28,144657
2015-04-29,143653
2015-04-30,142748
2015-05-01,141791
2015-05-02,141555
2015-05-03,142402
2015-05-04,143583
2015-05-05,142711
2015-05-06,141925
2015-05-07,141042
2015-05-08,140715
2015-05-09,142234
2015-05-10,142960
2015-05-11,142474
2015-05-12,142079
2015-05-13,142614
2015-05-14,142915
2015-05-15,144287
2015-05-16,143845
2015-05-17,143952
2015-05-18,144365
2015-05-19,144778
2015-05-20,144778
2015-05-21,144784
2015-05-22,144501
2015-05-23,145123
2015-05-24,145620
2015-05-25,144675
2015-05-26,144498
2015-05-27,144348
2015-05-28,143798
2015-05-29,143108
2015-05-30,142106
2015-05-31,141193
2015-06-01,141717
2015-06-02,141569
2015-06-03,141064
2015-06-04,141121
2015-06-05,141199
2015-06-06,141255
2015-06-07,143179
2015-06-08,142938
2015-06-09,142936
2015-06-10,142409
2015-06-11,142909
2015-06-12,143046
2015-06-13,143318
2015-06-14,144765
2015-06-15,145207
2015-06-16,143905
2015-06-17,144854
2015-06-18,144189
2015-06-19,144103
2015-06-20,144702
2015-06-21,143677
2015-06-22,144013
2015-06-23,146719
2015-06-24,145775
2015-06-25,145242
2015-06-26,143709
2015-06-27,142048
2015-06-28,141306
2015-06-29,141663
2015-06-30,142530
2015-07-01,142801
2015-07-02,143641
2015-07-03,142914
2015-07-04,142090
2015-07-05,140661
2015-07-06,140097
2015-07-07,140775
2015-07-08,141035
2015-07-09,141273
2015-07-10,141591
2015-07-11,143744
2015-07-12,144582
2015-07-13,143661
2015-07-14,141899
2015-07-15,140807
2015-07-16,140621
2015-07-17,141094
2015-07-18,142488
2015-07-19,142317
2015-07-20,141841
2015-07-21,143442
2015-07-22,145255
2015-07-23,144918
2015-07-24,143656
2015-07-25,142457
2015-07-26,141407
2015-07-27,142159
2015-07-28,143135
2015-07-29,145069
2015-07-30,145867
2015-07-31,145070
2015-08-01,146238
2015-08-02,146351
2015-08-03,145132
2015-08-04,146181
2015-08-05,146553
2015-08-06,148285
2015-08-07,148399
2015-08-08,148305
2015-08-09,146509
2015-08-10,145553
2015-08-11,145961
2015-08-12,147137
2015-08-13,146688
2015-08-14,146514
2015-08-15,145606
2015-08-16,144695
2015-08-17,144042
2015-08-18,145279
2015-08-19,146394
2015-08-20,147240
2015-08-21,146312
2015-08-22,145590
2015-08-23,145214
2015-08-24,144363
2015-08-25,143955
2015-08-26,143226
2015-08-27,143419
2015-08-28,144822
2015-08-29,144956
2015-08-30,145470
2015-08-31,145252
2015-09-01,144981
2015-09-02,144161
2015-09-03,144972
2015-09-04,145235
2015-09-05,143957
2015-09-06,143030
2015-09-07,142318
2015-09-08,143965
2015-09-09,147395
2015-09-10,147855
2015-09-11,145981
2015-09-12,146878
2015-09-13,147837
2015-09-14,147535
2015-09-15,145137
2015-09-16,144092
2015-09-17,144315
2015-09-18,142696
2015-09-19,143087
2015-09-20,144555
2015-09-21,144184
2015-09-22,144149
2015-09-23,145118
2015-09-24,146771
2015-09-25,148250
2015-09-27,150238
2015-09-28,149066
2015-09-29,147128
2015-09-30,145160
2015-10-05,145846
2015-10-06,144579
2015-10-07,143565
2015-10-08,142742
2015-10-09,143420
2015-10-10,144963
2015-10-11,145262
2015-10-12,144310
