date_obj,Black%20cane price
2015-03-26,52301
2015-03-27,52301
2015-03-28,52246
2015-03-29,52246
2015-03-30,51258
2015-03-31,51258
2015-04-01,50289
2015-04-02,50289
2015-04-03,49530
2015-04-04,49530
2015-04-05,48254
2015-04-06,48254
2015-04-07,47105
2015-04-08,47105
2015-04-09,45646
2015-04-10,45035
2015-04-11,44028
2015-04-12,44028
2015-04-13,43324
2015-04-14,43324
2015-04-15,42433
2015-04-16,42433
2015-04-17,41745
2015-04-18,41745
2015-04-19,40983
2015-04-20,40983
2015-04-21,40009
2015-04-22,40009
2015-04-23,39466
2015-04-24,39466
2015-04-25,38644
2015-04-26,38644
2015-04-27,37608
2015-04-28,37608
2015-04-29,37412
2015-04-30,37412
2015-05-01,36727
2015-05-02,36727
2015-05-03,36255
2015-05-04,36255
2015-05-05,36136
2015-05-06,36136
2015-05-07,35292
2015-05-08,35292
2015-05-09,35075
2015-05-10,35075
2015-05-11,34896
2015-05-12,34896
2015-05-13,34718
2015-05-14,34718
2015-05-15,34676
2015-05-16,34676
2015-05-17,34616
2015-05-18,34616
2015-05-19,34140
2015-05-20,34140
2015-05-21,34140
2015-05-22,34601
2015-05-23,34601
2015-05-24,34638
2015-05-25,34638
2015-05-26,35628
2015-05-27,35628
2015-05-28,36080
2015-05-29,36080
2015-05-30,36337
2015-05-31,36337
2015-06-01,36261
2015-06-02,36261
2015-06-03,36464
2015-06-04,36464
2015-06-05,36742
2015-06-06,36742
2015-06-07,37492
2015-06-08,37492
2015-06-09,37658
2015-06-10,37658
2015-06-11,37292
2015-06-12,37292
2015-06-13,37488
2015-06-14,37488
2015-06-15,38051
2015-06-16,38051
2015-06-17,38185
2015-06-18,38185
2015-06-19,39054
2015-06-20,39054
2015-06-21,40848
2015-06-22,40848
2015-06-23,41260
2015-06-24,41260
2015-06-25,41065
2015-06-26,41065
2015-06-27,41230
2015-06-28,41230
2015-06-29,42148
2015-06-30,42148
2015-07-01,42148
2015-07-02,42305
2015-07-03,42305
2015-07-04,42945
2015-07-05,42945
2015-07-06,42945
2015-07-07,43663
2015-07-08,43663
2015-07-09,43663
2015-07-10,44831
2015-07-11,44831
2015-07-12,44831
2015-07-13,45798
2015-07-14,45798
2015-07-15,46102
2015-07-16,46102
2015-07-17,46102
2015-07-18,46683
2015-07-19,46683
2015-07-20,47518
2015-07-21,47518
2015-07-22,47861
2015-07-23,47861
2015-07-24,48783
2015-07-25,48783
2015-07-26,48783
2015-07-27,48876
2015-07-28,48876
2015-07-29,49583
2015-07-30,49583
2015-07-31,49583
2015-08-01,49684
2015-08-02,49684
2015-08-03,49583
2015-08-04,49583
2015-08-05,49305
2015-08-06,49305
2015-08-07,49305
2015-08-08,48769
2015-08-09,48769
2015-08-10,49142
2015-08-11,49142
2015-08-12,49142
2015-08-13,49130
2015-08-14,49130
2015-08-15,49335
2015-08-16,49335
2015-08-17,50291
2015-08-18,50291
2015-08-19,51277
2015-08-20,51277
2015-08-21,51906
2015-08-22,51906
2015-08-23,51906
2015-08-24,52132
2015-08-25,52132
2015-08-26,52132
2015-08-27,52389
2015-08-28,52389
2015-08-29,52342
2015-08-30,52342
2015-08-31,52561
2015-09-01,52561
2015-09-02,52561
2015-09-03,52770
2015-09-04,52770
2015-09-05,53697
2015-09-06,53697
2015-09-07,53697
2015-09-08,54088
2015-09-09,54088
