date_obj,Diamond%20dragon%20bolts price
2018-01-03,1150
2018-01-04,1203
2018-01-05,1264
2018-01-06,1324
2018-01-07,1324
2018-01-08,1350
2018-01-09,1283
2018-01-10,1283
2018-01-11,1218
2018-01-12,1218
2018-01-13,1158
2018-01-14,1158
2018-01-15,1100
2018-01-16,1100
2018-01-17,1045
2018-01-18,1045
2018-01-19,1045
2018-01-20,993
2018-01-21,993
2018-01-22,993
2018-01-23,952
2018-01-25,977
2018-01-26,1007
2018-01-27,1027
2018-01-28,1057
2018-01-29,1053
2018-01-30,1053
2018-01-31,1030
2018-02-01,1030
2018-02-02,999
2018-02-03,998
2018-02-04,998
2018-02-05,1005
2018-02-06,1016
2018-02-07,1028
2018-02-08,1028
2018-02-09,1031
2018-02-10,1031
2018-02-11,1032
2018-02-12,1034
2018-02-13,1034
2018-02-14,1075
2018-02-15,1129
2018-02-16,1183
2018-02-17,1243
2018-02-18,1303
2018-02-19,1369
2018-02-20,1369
2018-02-21,1438
2018-02-22,1438
2018-02-23,1510
2018-02-24,1510
2018-02-25,1586
2018-02-26,1662
2018-02-27,1745
2018-02-28,1745
2018-03-01,1825
2018-03-02,1916
2018-03-03,2008
2018-03-04,2008
2018-03-05,2102
2018-03-06,2102
2018-03-07,2204
2018-03-08,2204
2018-03-09,2283
2018-03-10,2283
2018-03-11,2259
2018-03-12,2259
2018-03-13,2158
2018-03-14,2158
2018-03-15,2050
2018-03-16,2050
2018-03-17,1947
2018-03-18,1947
2018-03-19,1850
2018-03-20,1850
2018-03-21,1798
2018-03-23,1861
2018-03-24,1861
2018-03-25,1944
2018-03-26,1944
2018-03-27,1949
2018-03-28,1949
2018-03-29,1993
2018-03-30,1993
2018-03-31,2032
2018-04-01,2032
2018-04-02,2112
2018-04-03,2112
2018-04-04,2196
2018-04-05,2196
2018-04-06,2245
2018-04-07,2245
2018-04-08,2151
2018-04-09,2151
2018-04-10,2181
2018-04-11,2181
2018-04-12,2217
2018-04-13,2217
2018-04-14,2213
2018-04-15,2210
2018-04-16,2210
2018-04-17,2232
2018-04-18,2232
2018-04-19,2245
2018-04-20,2245
2018-04-21,2239
2018-04-22,2239
2018-04-23,2231
2018-04-24,2231
2018-04-25,2233
2018-04-26,2233
2018-04-27,2224
2018-04-28,2224
2018-04-29,2240
2018-04-30,2256
2018-05-01,2256
2018-05-03,2219
2018-05-04,2219
2018-05-05,2250
2018-05-07,2312
2018-05-08,2312
2018-05-09,2321
2018-05-10,2321
2018-05-11,2424
2018-05-12,2439
2018-05-13,2439
2018-05-14,2357
2018-05-15,2357
2018-05-16,2257
2018-05-17,2257
2018-05-18,2271
2018-05-19,2271
2018-05-20,2302
2018-05-21,2302
2018-05-22,2289
2018-05-23,2289
2018-05-24,2309
2018-05-25,2309
2018-05-26,2312
2018-05-27,2312
2018-05-28,2301
2018-05-29,2301
2018-05-30,2289
2018-05-31,2289
2018-06-01,2259
2018-06-02,2265
2018-06-03,2265
2018-06-04,2263
2018-06-05,2281
2018-06-06,2277
2018-06-07,2277
2018-06-08,2199
2018-06-09,2199
2018-06-10,2093
2018-06-11,2093
2018-06-12,1990
2018-06-13,1990
2018-06-14,1898
2018-06-15,1898
2018-06-16,1807
2018-06-17,1807
2018-06-18,1749
2018-06-19,1749
2018-06-20,1752
2018-06-21,1752
2018-06-22,1767
2018-06-23,1767
2018-06-24,1749
2018-06-25,1749
2018-06-26,1755
2018-06-27,1755
2018-06-28,1762
2018-06-29,1762
2018-06-30,1759
2018-07-01,1759
2018-07-02,1771
2018-07-03,1771
2018-07-04,1771
2018-07-05,1771
2018-07-06,1769
2018-07-07,1769
2018-07-08,1766
2018-07-09,1801
2018-07-10,1801
2018-07-11,1767
2018-07-12,1767
2018-07-13,1778
2018-07-14,1815
2018-07-15,1815
2018-07-16,1841
2018-07-17,1841
2018-07-18,1792
2018-07-19,1792
2018-07-20,1802
2018-07-21,1802
2018-07-22,1768
2018-07-23,1768
2018-07-24,1768
2018-07-25,1783
2018-07-26,1783
2018-07-27,1780
2018-07-28,1780
2018-07-29,1777
2018-07-30,1777
2018-07-31,1780
2018-08-01,1780
2018-08-02,1776
2018-08-03,1776
2018-08-04,1762
2018-08-05,1762
2018-08-06,1760
2018-08-07,1760
2018-08-08,1752
2018-08-09,1752
2018-08-10,1715
2018-08-11,1715
2018-08-12,1688
2018-08-14,1705
2018-08-16,1701
2018-08-17,1698
2018-08-18,1698
2018-08-19,1689
2018-08-20,1684
2018-08-21,1684
2018-08-22,1686
2018-08-23,1686
2018-08-24,1683
2018-08-25,1679
2018-08-26,1679
2018-08-27,1686
2018-08-28,1686
2018-08-29,1689
2018-08-30,1689
2018-08-31,1680
2018-09-01,1691
2018-09-02,1691
2018-09-03,1693
2018-09-04,1693
2018-09-05,1701
2018-09-06,1701
2018-09-07,1708
2018-09-08,1734
2018-09-09,1734
2018-09-10,1708
2018-09-11,1708
2018-09-12,1719
2018-09-13,1719
2018-09-14,1719
2018-09-15,1719
2018-09-16,1705
2018-09-17,1705
2018-09-18,1709
2018-09-19,1709
2018-09-20,1724
2018-09-21,1724
2018-09-22,1706
2018-09-23,1706
2018-09-24,1715
2018-09-25,1715
2018-09-26,1725
2018-09-27,1725
2018-09-28,1724
2018-09-29,1724
2018-09-30,1737
2018-10-02,1739
2018-10-03,1749
2018-10-04,1749
2018-10-05,1729
2018-10-06,1747
2018-10-07,1747
2018-10-08,1769
2018-10-09,1774
2018-10-10,1774
2018-10-11,1782
2018-10-12,1782
2018-10-13,1793
2018-10-14,1793
2018-10-15,1788
2018-10-16,1788
2018-10-17,1794
2018-10-18,1794
2018-10-19,1787
2018-10-20,1787
2018-10-21,1846
2018-10-22,1858
2018-10-23,1858
2018-10-24,1840
2018-10-25,1840
2018-10-26,1823
2018-10-27,1823
2018-10-28,1847
2018-10-29,1847
2018-10-30,1857
2018-10-31,1850
2018-11-01,1836
2018-11-03,1834
2018-11-04,1853
2018-11-05,1865
2018-11-06,1855
2018-11-07,1855
2018-11-08,1819
2018-11-09,1819
2018-11-10,1786
2018-11-11,1778
2018-11-12,1769
2018-11-13,1760
2018-11-14,1753
2018-11-15,1758
2018-11-16,1745
2018-11-17,1747
2018-11-18,1748
2018-11-19,1748
2018-11-20,1736
2018-11-21,1736
2018-11-22,1672
2018-11-23,1592
2018-11-24,1601
2018-11-25,1623
2018-11-26,1608
2018-11-27,1622
2018-11-28,1635
2018-11-29,1627
2018-12-01,1638
2018-12-02,1646
2018-12-03,1646
2018-12-04,1664
2018-12-05,1675
2018-12-07,1668
2018-12-09,1672
2018-12-10,1680
2018-12-11,1700
2018-12-12,1705
2018-12-13,1691
2018-12-14,1694
2018-12-15,1695
2018-12-16,1681
2018-12-17,1670
2018-12-18,1671
2018-12-19,1664
2018-12-20,1661
2018-12-21,1674
2018-12-22,1678
2018-12-23,1674
2018-12-24,1662
2018-12-25,1642
2018-12-26,1623
2018-12-27,1615
2018-12-28,1615
2018-12-29,1629
2018-12-30,1627
2018-12-31,1612
2019-01-01,1593
2019-01-02,1597
2019-01-03,1589
