date_obj,Black%20med%20helm price
2015-03-26,6569
2015-03-27,6569
2015-03-28,6569
2015-03-29,6569
2015-03-30,6569
2015-03-31,6569
2015-04-01,6569
2015-04-02,6569
2015-04-03,6252
2015-04-04,6252
2015-04-05,6252
2015-04-06,6252
2015-04-07,6252
2015-04-08,6252
2015-04-09,6252
2015-04-10,5953
2015-04-11,5953
2015-04-12,5953
2015-04-13,5953
2015-04-14,5953
2015-04-15,5953
2015-04-16,5953
2015-04-17,5688
2015-04-18,5688
2015-04-19,5688
2015-04-20,5688
2015-04-21,5688
2015-04-22,5688
2015-04-23,5688
2015-04-24,5688
2015-04-25,5412
2015-04-26,5412
2015-04-27,5412
2015-04-28,5412
2015-04-29,5412
2015-04-30,5412
2015-05-01,5412
2015-05-02,5154
2015-05-03,5154
2015-05-04,5154
2015-05-05,5154
2015-05-06,5154
2015-05-07,5154
2015-05-08,5154
2015-05-09,4908
2015-05-10,4908
2015-05-11,4908
2015-05-12,4908
2015-05-13,4908
2015-05-14,4908
2015-05-15,4908
2015-05-16,4908
2015-05-17,4673
2015-05-18,4673
2015-05-19,4673
2015-05-20,4673
2015-05-21,4673
2015-05-22,4673
2015-05-23,4673
2015-05-24,4673
2015-05-25,4457
2015-05-26,4457
2015-05-27,4457
2015-05-28,4457
2015-05-29,4457
2015-05-30,4247
2015-05-31,4247
2015-06-01,4247
2015-06-02,4247
2015-06-03,4247
2015-06-04,4247
2015-06-05,4048
2015-06-06,4048
2015-06-07,4048
2015-06-08,4048
2015-06-09,4048
2015-06-10,3860
2015-06-11,3860
2015-06-12,3860
2015-06-13,3860
2015-06-14,3860
2015-06-15,3860
2015-06-16,3680
2015-06-17,3680
2015-06-18,3680
2015-06-19,3680
2015-06-20,3680
2015-06-21,3510
2015-06-22,3510
2015-06-23,3510
2015-06-24,3510
2015-06-25,3510
2015-06-26,3351
2015-06-27,3351
2015-06-28,3351
2015-06-29,3351
2015-06-30,3351
2015-07-01,3196
2015-07-02,3196
2015-07-03,3196
2015-07-04,3196
2015-07-05,3196
2015-07-06,3048
2015-07-07,3048
2015-07-08,3048
2015-07-09,3048
2015-07-10,3048
2015-07-11,2905
2015-07-12,2905
2015-07-13,2905
2015-07-14,2905
2015-07-15,2767
2015-07-16,2767
2015-07-17,2767
2015-07-18,2767
2015-07-19,2767
2015-07-20,2639
2015-07-21,2639
2015-07-22,2639
2015-07-23,2639
2015-07-24,2521
2015-07-25,2521
2015-07-26,2521
2015-07-27,2521
2015-07-28,2521
2015-07-29,2404
2015-07-30,2404
2015-07-31,2404
2015-08-01,2404
2015-08-02,2404
2015-08-03,2295
2015-08-04,2295
2015-08-05,2295
2015-08-06,2295
2015-08-07,2295
2015-08-08,2189
2015-08-09,2189
2015-08-10,2189
2015-08-11,2189
2015-08-12,2189
2015-08-13,2086
2015-08-14,2086
2015-08-15,2086
2015-08-16,2086
2015-08-17,1987
2015-08-18,1987
2015-08-19,1987
2015-08-20,1987
2015-08-21,1897
2015-08-22,1897
2015-08-23,1897
2015-08-24,1897
2015-08-25,1897
2015-08-26,1814
2015-08-27,1814
2015-08-28,1814
2015-08-29,1814
2015-08-30,1814
2015-08-31,1729
2015-09-01,1729
2015-09-02,1729
2015-09-03,1729
2015-09-04,1729
2015-09-05,1647
2015-09-06,1647
2015-09-07,1647
2015-09-08,1647
2015-09-09,1573
2015-09-10,1573
2015-09-11,1573
2015-09-12,1573
2015-09-13,1500
2015-09-14,1500
2015-09-15,1500
2015-09-16,1500
2015-09-17,1451
2015-09-18,1451
2015-09-19,1451
2015-09-20,1451
2015-09-21,1451
2015-09-22,1451
2015-09-23,1451
2015-09-24,1451
2015-09-25,1386
2015-09-27,1386
2015-09-28,1386
2015-09-29,1386
2015-09-30,1386
2015-10-05,1323
2015-10-06,1323
2015-10-07,1323
2015-10-08,1323
2015-10-09,1264
2015-10-10,1264
2015-10-11,1264
2015-10-12,1264
2015-10-13,1264
2015-10-14,1264
2015-10-15,1264
2015-10-16,1210
2015-10-17,1210
2015-10-18,1210
2015-10-19,1210
2015-10-20,1210
2015-10-22,1155
2015-10-23,1155
2015-10-24,1155
2015-10-25,1155
2015-10-26,1155
2015-10-27,1103
2015-10-29,1103
2015-10-30,1103
2015-10-31,1103
2015-11-01,1103
2015-11-02,1059
2015-11-03,1059
2015-11-04,1059
2015-11-05,1059
2015-11-06,1059
2015-11-07,1059
2015-11-08,1013
2015-11-09,1013
2015-11-10,1013
2015-11-11,1013
2015-11-12,1013
2015-11-13,1013
2015-11-14,1013
2015-11-15,969
2015-11-16,969
2015-11-17,969
2015-11-18,969
2015-11-19,969
2015-11-20,969
2015-11-21,969
2015-11-22,969
2015-11-23,927
2015-11-24,927
2015-11-25,927
2015-11-26,927
2015-11-27,927
2015-11-28,927
2015-11-29,886
2015-11-30,886
2015-12-01,886
2015-12-02,886
2015-12-03,886
2015-12-04,886
2015-12-05,886
2015-12-06,848
2015-12-07,848
2015-12-08,848
2015-12-09,848
2015-12-10,848
2015-12-11,848
2015-12-12,848
2015-12-13,811
2015-12-14,811
2015-12-15,811
2015-12-16,811
2015-12-17,811
2015-12-18,811
2015-12-19,811
2015-12-20,776
2015-12-21,776
2015-12-22,776
2015-12-23,776
2015-12-24,776
2015-12-25,776
2015-12-26,743
2015-12-27,743
2015-12-28,743
2015-12-29,743
2015-12-30,743
2015-12-31,714
2016-01-01,714
2016-01-02,714
2016-01-03,714
2016-01-04,714
2016-01-05,714
2016-01-06,682
2016-01-07,682
2016-01-08,682
2016-01-09,682
2016-01-10,682
2016-01-11,682
2016-01-12,651
2016-01-13,651
2016-01-14,651
2016-01-15,651
2016-01-16,651
2016-01-17,651
2016-01-18,624
2016-01-19,624
2016-01-20,624
2016-01-21,624
2016-01-22,624
2016-01-23,624
2016-01-24,598
2016-01-25,598
2016-01-26,598
2016-01-27,598
2016-01-28,598
2016-01-29,598
2016-01-30,598
2016-01-31,571
2016-02-01,571
2016-02-02,571
2016-02-03,571
2016-02-04,571
2016-02-05,571
2016-02-06,545
2016-02-07,545
2016-02-08,545
2016-02-09,545
2016-02-10,545
2016-02-11,545
2016-02-12,519
2016-02-13,519
2016-02-14,519
2016-02-15,519
2016-02-16,519
2016-02-17,495
2016-02-18,495
2016-02-19,495
2016-02-20,495
2016-02-21,495
2016-02-22,495
2016-02-23,473
2016-02-24,473
2016-02-25,473
2016-02-26,473
2016-02-27,473
2016-02-28,473
2016-02-29,451
2016-03-01,451
2016-03-02,451
2016-03-03,451
2016-03-04,451
2016-03-05,430
2016-03-06,430
2016-03-07,430
2016-03-08,430
2016-03-09,430
2016-03-10,430
2016-03-11,422
2016-03-12,422
2016-03-13,422
2016-03-14,422
2016-03-15,422
2016-03-16,422
2016-03-17,422
2016-03-18,408
2016-03-19,408
2016-03-20,408
2016-03-21,408
2016-03-22,408
2016-03-23,408
2016-03-24,402
2016-03-25,402
2016-03-26,402
2016-03-27,402
2016-03-28,402
2016-03-29,402
2016-03-30,402
2016-03-31,391
2016-04-01,391
2016-04-02,391
2016-04-03,391
2016-04-04,391
2016-04-05,391
2016-04-06,391
2016-04-07,401
2016-04-08,401
2016-04-09,401
2016-04-10,401
2016-04-11,401
2016-04-12,401
2016-04-13,390
2016-04-14,390
2016-04-15,390
2016-04-16,390
2016-04-17,390
2016-04-18,390
2016-04-19,390
2016-04-20,409
2016-04-21,409
2016-04-22,409
2016-04-23,409
2016-04-24,409
2016-04-25,409
2016-04-26,409
2016-04-27,411
2016-04-28,411
