date_obj,Papaya%20fruit price
2015-03-26,2394
2015-03-27,2394
2015-03-28,2282
2015-03-29,2282
2015-03-30,2167
2015-03-31,2167
2015-04-01,2062
2015-04-02,2062
2015-04-03,1958
2015-04-04,1958
2015-04-05,1864
2015-04-06,1864
2015-04-07,1771
2015-04-08,1771
2015-04-09,1771
2015-04-10,1694
2015-04-11,1694
2015-04-12,1753
2015-04-13,1753
2015-04-14,1840
2015-04-15,1840
2015-04-16,1846
2015-04-17,1846
2015-04-18,1845
2015-04-19,1845
2015-04-20,1764
2015-04-21,1764
2015-04-22,1686
2015-04-23,1606
2015-04-24,1606
2015-04-25,1525
2015-04-26,1525
2015-04-27,1451
2015-04-28,1451
2015-04-29,1378
2015-04-30,1378
2015-05-01,1339
2015-05-02,1339
2015-05-03,1306
2015-05-04,1306
2015-05-05,1334
2015-05-06,1334
2015-05-07,1399
2015-05-08,1399
2015-05-09,1412
2015-05-10,1412
2015-05-11,1383
2015-05-12,1416
2015-05-13,1416
2015-05-14,1405
2015-05-15,1405
2015-05-16,1362
2015-05-17,1334
2015-05-18,1334
2015-05-19,1304
2015-05-20,1304
2015-05-21,1304
2015-05-22,1325
2015-05-23,1325
2015-05-24,1366
2015-05-25,1366
2015-05-26,1395
2015-05-27,1395
2015-05-28,1390
2015-05-29,1373
2015-05-30,1338
2015-05-31,1338
2015-06-01,1338
2015-06-02,1338
2015-06-03,1319
2015-06-04,1319
2015-06-05,1335
2015-06-06,1354
2015-06-07,1389
2015-06-08,1389
2015-06-09,1408
2015-06-10,1346
2015-06-11,1346
2015-06-12,1304
2015-06-13,1297
2015-06-14,1311
2015-06-15,1305
2015-06-16,1277
2015-06-17,1277
2015-06-18,1297
2015-06-19,1297
2015-06-20,1292
2015-06-21,1292
2015-06-22,1307
2015-06-23,1307
2015-06-24,1306
2015-06-25,1306
2015-06-26,1305
2015-06-27,1305
2015-06-28,1290
2015-06-29,1290
2015-06-30,1298
2015-07-01,1297
2015-07-02,1297
2015-07-03,1291
2015-07-04,1276
2015-07-05,1276
2015-07-06,1300
2015-07-07,1306
2015-07-08,1286
2015-07-09,1286
2015-07-10,1273
2015-07-11,1273
2015-07-12,1264
2015-07-13,1242
2015-07-14,1251
2015-07-15,1297
2015-07-16,1294
2015-07-17,1272
2015-07-18,1272
2015-07-19,1267
2015-07-20,1215
2015-07-21,1240
2015-07-22,1272
2015-07-23,1272
2015-07-24,1307
2015-07-25,1307
2015-07-26,1335
2015-07-27,1391
2015-07-28,1428
2015-07-29,1385
2015-07-30,1385
2015-07-31,1416
2015-08-01,1431
2015-08-02,1384
2015-08-03,1384
2015-08-04,1343
2015-08-05,1323
2015-08-06,1332
2015-08-07,1304
2015-08-08,1305
2015-08-09,1266
2015-08-10,1232
2015-08-11,1282
2015-08-12,1282
2015-08-13,1323
2015-08-14,1345
2015-08-15,1345
2015-08-16,1353
2015-08-17,1421
2015-08-18,1493
2015-08-19,1568
2015-08-20,1602
2015-08-21,1580
2015-08-22,1535
2015-08-23,1535
2015-08-24,1462
2015-08-25,1462
2015-08-26,1509
2015-08-27,1566
2015-08-28,1629
2015-08-29,1582
2015-08-30,1582
2015-08-31,1526
2015-09-01,1503
2015-09-02,1503
2015-09-03,1464
2015-09-04,1418
2015-09-05,1418
2015-09-06,1377
2015-09-07,1356
2015-09-08,1397
2015-09-09,1395
2015-09-10,1379
2015-09-11,1352
2015-09-12,1351
2015-09-13,1337
2015-09-14,1325
2015-09-15,1318
2015-09-16,1318
2015-09-17,1266
2015-09-18,1266
2015-09-19,1223
2015-09-20,1180
2015-09-21,1172
2015-09-22,1154
2015-09-23,1171
2015-09-24,1171
2015-09-25,1200
2015-09-27,1213
2015-09-28,1198
2015-09-29,1207
2015-09-30,1234
2015-10-05,1261
2015-10-06,1305
2015-10-07,1305
2015-10-08,1310
2015-10-09,1306
2015-10-10,1306
2015-10-11,1349
2015-10-12,1367
2015-10-13,1367
2015-10-14,1427
2015-10-15,1498
2015-10-16,1549
2015-10-17,1549
2015-10-18,1610
2015-10-19,1586
2015-10-20,1604
2015-10-22,1633
2015-10-23,1599
2015-10-24,1599
2015-10-25,1578
2015-10-26,1551
2015-10-27,1551
2015-10-29,1501
2015-10-30,1501
2015-10-31,1444
2015-11-01,1444
2015-11-02,1417
2015-11-03,1430
2015-11-04,1430
