date_obj,Dragonfruit%20pie price
2019-01-10,3500
2019-01-10,3665
2019-01-11,3839
2019-01-12,3906
2019-01-13,3710
2019-01-14,3524
2019-01-15,3347
2019-01-16,3179
2019-01-17,3030
2019-01-18,3030
2019-01-19,2916
2019-01-20,2916
2019-01-21,2809
2019-01-22,2809
2019-01-23,2715
2019-01-24,2715
2019-01-25,2613
2019-01-26,2613
2019-01-27,2484
2019-01-28,2484
2019-01-29,2359
2019-01-30,2359
2019-01-31,2241
2019-02-01,2128
2019-02-02,2128
2019-02-03,2021
2019-02-04,2021
2019-02-05,1919
2019-02-06,1919
2019-02-07,1823
2019-02-08,1823
2019-02-09,1731
2019-02-10,1731
2019-02-11,1644
2019-02-12,1644
2019-02-13,1561
2019-02-14,1561
2019-02-15,1482
2019-02-16,1482
2019-02-17,1407
2019-02-18,1338
2019-02-19,1338
2019-02-20,1271
2019-02-21,1207
2019-02-22,1207
2019-02-23,1146
2019-02-24,1088
2019-02-25,1049
2019-02-26,1049
2019-02-27,996
2019-02-28,996
2019-03-01,946
2019-03-02,946
2019-03-03,898
2019-03-04,898
2019-03-05,860
2019-03-06,824
2019-03-07,824
2019-03-08,782
2019-03-09,782
2019-03-10,742
2019-03-11,742
2019-03-12,705
2019-03-13,705
2019-03-14,679
2019-03-15,679
2019-03-16,645
2019-03-17,624
2019-03-18,624
2019-03-19,624
2019-03-20,612
2019-03-21,612
2019-03-22,587
2019-03-23,617
2019-03-24,617
2019-03-25,648
2019-03-26,648
2019-03-27,677
2019-03-28,677
2019-03-29,647
2019-03-30,647
2019-03-31,647
2019-04-01,626
2019-04-02,626
2019-04-03,631
2019-04-04,631
2019-04-05,646
2019-04-06,646
2019-04-07,646
2019-04-08,654
2019-04-09,654
2019-04-10,626
2019-04-11,626
2019-04-12,604
2019-04-13,582
2019-04-14,580
2019-04-15,580
2019-04-16,561
2019-04-17,561
2019-04-18,590
2019-04-19,590
2019-04-20,620
2019-04-21,620
2019-04-22,651
2019-04-23,651
2019-04-24,684
2019-04-25,684
2019-04-26,719
2019-04-27,719
2019-04-28,753
2019-04-29,753
2019-04-30,791
2019-05-01,791
2019-05-02,807
2019-05-03,801
2019-05-04,801
2019-05-05,764
2019-05-06,764
2019-05-07,760
2019-05-08,760
2019-05-09,760
2019-05-10,746
2019-05-11,746
2019-05-12,758
2019-05-13,758
2019-05-14,747
2019-05-15,747
2019-05-16,723
2019-05-17,723
2019-05-18,686
2019-05-19,686
2019-05-20,666
2019-05-21,666
2019-05-22,666
2019-05-23,646
2019-05-24,646
2019-05-25,622
2019-05-26,622
2019-05-27,619
2019-05-28,619
2019-05-29,590
2019-05-30,590
2019-05-31,590
2019-06-01,585
2019-06-02,585
2019-06-03,586
2019-06-04,586
2019-06-05,593
2019-06-06,593
2019-06-07,601
2019-06-08,601
2019-06-09,610
2019-06-10,610
2019-06-11,635
2019-06-12,635
2019-06-13,667
2019-06-14,667
2019-06-15,696
2019-06-16,696
2019-06-17,687
2019-06-18,687
2019-06-19,685
2019-06-20,685
2019-06-21,717
2019-06-22,717
2019-06-23,753
2019-06-24,753
2019-06-25,763
2019-06-26,763
2019-06-27,768
2019-06-28,768
2019-06-29,772
2019-06-30,772
2019-07-01,807
2019-07-02,807
2019-07-03,797
2019-07-04,797
2019-07-05,807
2019-07-06,807
2019-07-07,812
2019-07-08,812
2019-07-09,771
2019-07-10,771
2019-07-11,737
2019-07-12,737
2019-07-13,772
2019-07-14,803
