date_obj,Fremennik%20yellow%20cloak price
2015-03-04,10000
2015-03-05,9506
2015-03-06,9506
2015-03-07,9506
2015-03-08,9506
2015-03-09,9506
2015-03-10,9506
2015-03-11,9506
2015-03-12,9506
2015-03-13,9506
2015-03-14,9039
2015-03-15,9039
2015-03-16,9039
2015-03-17,9039
2015-03-18,9039
2015-03-19,9039
2015-03-20,9039
2015-03-21,9039
2015-03-22,9039
2015-03-23,8591
2015-03-24,8591
2015-03-25,8591
2015-03-26,8591
2015-03-27,8591
2015-03-28,8591
2015-03-29,8591
2015-03-30,8591
2015-03-31,8591
2015-04-01,8591
2015-04-02,8342
2015-04-03,8342
2015-04-04,8342
2015-04-05,8342
2015-04-06,8342
2015-04-07,8342
2015-04-08,8342
2015-04-09,8342
2015-04-10,8342
2015-04-11,7924
2015-04-12,7924
2015-04-13,7924
2015-04-14,7924
2015-04-15,7924
2015-04-16,7924
2015-04-17,7924
2015-04-18,7924
2015-04-19,7924
2015-04-20,7550
2015-04-21,7550
2015-04-22,7550
2015-04-23,7550
2015-04-24,7550
2015-04-25,7550
2015-04-26,7550
2015-04-27,7550
2015-04-28,7550
2015-04-29,7550
2015-04-30,7177
2015-05-01,7177
2015-05-02,7177
2015-05-03,7177
2015-05-04,7177
2015-05-05,7177
2015-05-06,7177
2015-05-07,7177
2015-05-08,7177
2015-05-09,6825
2015-05-10,6825
2015-05-11,6825
2015-05-12,6825
2015-05-13,6825
2015-05-14,6825
2015-05-15,6825
2015-05-16,6825
2015-05-17,6825
2015-05-18,6825
2015-05-19,6538
2015-05-20,6538
2015-05-21,6538
2015-05-22,6538
2015-05-23,6538
2015-05-24,6538
2015-05-25,6538
2015-05-26,6538
2015-05-27,6538
2015-05-28,6211
2015-05-29,6211
2015-05-30,6211
2015-05-31,6211
2015-06-01,6211
2015-06-02,6211
2015-06-03,6211
2015-06-04,5971
2015-06-05,5971
2015-06-06,5971
2015-06-07,5971
2015-06-08,5971
2015-06-09,5971
2015-06-10,5673
2015-06-11,5673
2015-06-12,5673
2015-06-13,5673
2015-06-14,5673
2015-06-15,5673
2015-06-16,5393
2015-06-17,5393
2015-06-18,5393
2015-06-19,5393
2015-06-20,5393
2015-06-21,5393
2015-06-22,5130
2015-06-23,5130
2015-06-24,5130
2015-06-25,5130
2015-06-26,5130
2015-06-27,5130
2015-06-28,4889
2015-06-29,4889
2015-06-30,4889
2015-07-01,4889
2015-07-02,4889
2015-07-03,4889
2015-07-04,4889
2015-07-05,4660
2015-07-06,4660
2015-07-07,4660
2015-07-08,4660
2015-07-09,4660
2015-07-10,4660
2015-07-11,4660
2015-07-12,4448
2015-07-13,4448
2015-07-14,4448
2015-07-15,4448
2015-07-16,4448
2015-07-17,4448
2015-07-18,4268
2015-07-19,4268
2015-07-20,4268
2015-07-21,4268
2015-07-22,4268
2015-07-23,4268
2015-07-24,4228
2015-07-25,4228
2015-07-26,4228
2015-07-27,4228
2015-07-28,4228
2015-07-29,4228
2015-07-30,4228
2015-07-31,4127
2015-08-01,4127
2015-08-02,4127
2015-08-03,4127
2015-08-04,4127
2015-08-05,4127
2015-08-06,3920
2015-08-07,3920
2015-08-08,3920
2015-08-09,3920
2015-08-10,3920
2015-08-11,3920
2015-08-12,3920
2015-08-13,3726
2015-08-14,3726
2015-08-15,3726
2015-08-16,3726
2015-08-17,3726
2015-08-18,3726
2015-08-19,3544
2015-08-20,3544
2015-08-21,3544
2015-08-22,3544
2015-08-23,3544
2015-08-24,3544
2015-08-25,3544
2015-08-26,3366
2015-08-27,3366
2015-08-28,3366
2015-08-29,3366
2015-08-30,3366
2015-08-31,3366
2015-09-02,3199
2015-09-07,3199
2015-09-08,3041
2015-09-10,3041
2015-09-14,2892
2015-09-16,2892
2015-09-22,2749
2015-09-23,2749
2015-09-24,2749
2015-09-25,2749
2015-09-27,2612
2015-09-28,2612
2015-09-29,2612
2015-09-30,2612
2015-10-05,2490
2015-10-06,2490
2015-10-07,2490
2015-10-08,2490
2015-10-09,2490
2015-10-10,2490
2015-10-11,2490
2015-10-12,2417
2015-10-13,2417
2015-10-14,2417
2015-10-15,2417
2015-10-16,2417
2015-10-17,2417
2015-10-18,2417
2015-10-19,2417
2015-10-20,2296
2015-10-22,2296
2015-10-23,2296
2015-10-24,2296
2015-10-25,2296
2015-10-26,2296
2015-10-27,2183
2015-10-29,2183
2015-10-30,2183
2015-10-31,2183
2015-11-01,2183
2015-11-02,2183
2015-11-03,2183
2015-11-04,2184
2015-11-05,2184
2015-11-06,2184
2015-11-07,2184
2015-11-08,2184
2015-11-09,2184
2015-11-10,2184
2015-11-11,2184
2015-11-12,2184
2015-11-13,2142
2015-11-14,2142
2015-11-15,2142
2015-11-16,2142
2015-11-17,2142
2015-11-18,2142
2015-11-19,2142
2015-11-20,2193
2015-11-21,2193
2015-11-22,2193
