date_obj,Wizard%20hat price
2015-03-04,2339
2015-03-05,2339
2015-03-06,2222
2015-03-07,2222
2015-03-08,2110
2015-03-09,2110
2015-03-10,2004
2015-03-11,2004
2015-03-12,1903
2015-03-13,1903
2015-03-14,1807
2015-03-15,1718
2015-03-16,1718
2015-03-17,1634
2015-03-18,1634
2015-03-19,1552
2015-03-20,1552
2015-03-21,1474
2015-03-22,1400
2015-03-23,1400
2015-03-24,1330
2015-03-25,1330
2015-03-26,1263
2015-03-27,1263
2015-03-28,1199
2015-03-29,1140
2015-03-30,1084
2015-03-31,1084
2015-04-01,1029
2015-04-02,1029
2015-04-03,977
2015-04-04,928
2015-04-05,928
2015-04-06,882
2015-04-07,882
2015-04-08,837
2015-04-09,837
2015-04-10,797
2015-04-11,758
2015-04-12,758
2015-04-13,737
2015-04-14,737
2015-04-15,709
2015-04-16,709
2015-04-17,679
2015-04-18,655
2015-04-19,655
2015-04-20,622
2015-04-21,601
2015-04-22,601
2015-04-23,577
2015-04-24,577
2015-04-25,548
2015-04-26,548
2015-04-27,520
2015-04-28,495
2015-04-29,495
2015-04-30,472
2015-05-01,448
2015-05-02,439
2015-05-03,439
2015-05-04,436
2015-05-05,436
2015-05-06,426
2015-05-07,426
2015-05-08,405
2015-05-09,398
2015-05-10,393
2015-05-11,393
2015-05-12,382
2015-05-13,382
2015-05-14,370
2015-05-15,370
2015-05-16,358
2015-05-17,352
2015-05-18,352
2015-05-19,345
2015-05-20,345
2015-05-21,345
2015-05-22,340
2015-05-23,340
2015-05-24,330
2015-05-25,317
2015-05-26,317
2015-05-27,301
2015-05-28,301
2015-05-29,286
2015-05-30,284
2015-05-31,284
2015-06-01,272
2015-06-02,272
2015-06-03,258
2015-06-04,258
2015-06-05,245
2015-06-06,236
2015-06-07,231
2015-06-08,231
2015-06-09,219
2015-06-10,208
2015-06-11,208
2015-06-12,197
2015-06-13,187
2015-06-14,177
2015-06-15,177
2015-06-16,168
2015-06-17,168
2015-06-18,159
2015-06-19,159
2015-06-20,158
2015-06-21,158
2015-06-22,162
2015-06-23,162
