date_obj,White%202h%20sword price
2015-03-26,29500
2015-03-27,29500
2015-03-28,29500
2015-03-29,29500
2015-03-30,29500
2015-03-31,29500
2015-04-01,29500
2015-04-02,29500
2015-04-03,29500
2015-04-04,29500
2015-04-05,29500
2015-04-06,29500
2015-04-07,29500
2015-04-08,29500
2015-04-09,29500
2015-04-10,29500
2015-04-11,29500
2015-04-12,29500
2015-04-13,29500
2015-04-14,29500
2015-04-15,29500
2015-04-16,29500
2015-04-17,29500
2015-04-18,29500
2015-04-19,29500
2015-04-20,29500
2015-04-21,29500
2015-04-22,29500
2015-04-23,29500
2015-04-24,29500
2015-04-25,29500
2015-04-26,29500
2015-04-27,29500
2015-04-28,29500
2015-04-29,29500
2015-04-30,29500
2015-05-01,29500
2015-05-02,29500
2015-05-03,29500
2015-05-04,29500
2015-05-05,28161
2015-05-06,28161
2015-05-07,28161
2015-05-08,28161
2015-05-09,28161
2015-05-10,28161
2015-05-11,28161
2015-05-12,28161
2015-05-13,28161
2015-05-14,28161
2015-05-15,28161
2015-05-16,28161
2015-05-17,28161
2015-05-18,28161
2015-05-19,28161
2015-05-20,28161
2015-05-21,28161
2015-05-22,28161
2015-05-23,28161
2015-05-24,28161
2015-05-25,28161
2015-05-26,28161
2015-05-27,28161
2015-05-28,28161
2015-05-29,28161
2015-05-30,28161
2015-05-31,28161
2015-06-01,28161
2015-06-02,28161
2015-06-03,28161
2015-06-04,28161
2015-06-05,28161
2015-06-06,28161
2015-06-07,28161
2015-06-08,28161
2015-06-09,28161
2015-06-10,28161
2015-06-11,28161
2015-06-12,28161
2015-06-13,28161
2015-06-14,28161
2015-06-15,28161
2015-06-16,28161
2015-06-17,28161
2015-06-18,28161
2015-06-19,28161
2015-06-20,28161
2015-06-21,28161
2015-06-22,28161
2015-06-23,28161
2015-06-24,28161
2015-06-25,28161
2015-06-26,28161
2015-06-27,28161
2015-06-28,28161
2015-06-29,28161
2015-06-30,28161
2015-07-01,28161
2015-07-02,28161
2015-07-03,28161
2015-07-04,28161
2015-07-05,26790
2015-07-06,26790
2015-07-07,26790
2015-07-08,26790
2015-07-09,26790
2015-07-10,26790
2015-07-11,26790
2015-07-12,26790
2015-07-13,26790
2015-07-14,26790
2015-07-15,26790
2015-07-16,26790
2015-07-17,26790
2015-07-18,26790
2015-07-19,26790
2015-07-20,26790
2015-07-21,26790
2015-07-22,26790
2015-07-23,26790
2015-07-24,26790
2015-07-25,26790
2015-07-26,26790
2015-07-27,26790
2015-07-28,26790
2015-07-29,26790
2015-07-30,26790
2015-07-31,26790
2015-08-01,26790
2015-08-02,26790
2015-08-03,26790
2015-08-04,26790
2015-08-05,26790
2015-08-06,26790
2015-08-07,26790
2015-08-08,26790
2015-08-09,26790
2015-08-10,26790
2015-08-11,26790
2015-08-12,26790
2015-08-13,26790
2015-08-14,26790
2015-08-15,26790
2015-08-16,26790
2015-08-17,26790
2015-08-18,26790
2015-08-19,26790
2015-08-20,26790
2015-08-21,26790
2015-08-22,26790
2015-08-23,26790
2015-08-24,26790
2015-08-25,26790
2015-08-26,26790
2015-08-27,25493
2015-08-28,25493
2015-08-29,25493
2015-08-30,25493
2015-08-31,25493
2015-09-01,25493
2015-09-02,25493
2015-09-03,25493
2015-09-04,25493
2015-09-05,25493
2015-09-06,25493
2015-09-07,25493
2015-09-08,25493
2015-09-09,25493
2015-09-10,25493
2015-09-11,25493
2015-09-12,25493
2015-09-13,25493
2015-09-14,25493
2015-09-15,25493
2015-09-16,25493
2015-09-17,25493
2015-09-18,25493
2015-09-19,25493
2015-09-20,25493
2015-09-21,25493
2015-09-22,25493
2015-09-23,25493
2015-09-24,25493
2015-09-25,25493
2015-09-27,25493
2015-09-28,25493
2015-09-29,25493
2015-09-30,25493
2015-10-05,25493
2015-10-06,25493
2015-10-07,25493
2015-10-08,25493
2015-10-09,25493
2015-10-10,25493
2015-10-11,25493
2015-10-12,25493
2015-10-13,25493
2015-10-14,25493
2015-10-15,25493
2015-10-16,25493
2015-10-17,25493
2015-10-18,25493
2015-10-19,25493
2015-10-20,25493
2015-10-22,25493
2015-10-23,25493
2015-10-24,25493
2015-10-25,25493
2015-10-26,25493
2015-10-27,25493
2015-10-29,24261
2015-10-30,24261
2015-10-31,24261
2015-11-01,24261
2015-11-02,24261
2015-11-03,24261
2015-11-04,24261
2015-11-05,24261
2015-11-06,24261
2015-11-07,24261
2015-11-08,24261
2015-11-09,24261
2015-11-10,24261
2015-11-11,24261
2015-11-12,24261
2015-11-13,24261
2015-11-14,24261
2015-11-15,24261
2015-11-16,24261
2015-11-17,24261
2015-11-18,24261
2015-11-19,24261
2015-11-20,24261
2015-11-21,24261
2015-11-22,24261
2015-11-23,24261
2015-11-24,24261
2015-11-25,24261
2015-11-26,24261
2015-11-27,24261
2015-11-28,24261
2015-11-29,24261
2015-11-30,24261
2015-12-01,24261
2015-12-02,24261
2015-12-03,24261
2015-12-04,24261
2015-12-05,24261
2015-12-06,24261
2015-12-07,24261
2015-12-08,24261
2015-12-09,24261
2015-12-10,24261
2015-12-11,24261
2015-12-13,24261
2015-12-14,24261
2015-12-15,24261
2015-12-16,24261
2015-12-17,24261
2015-12-18,24261
2015-12-19,24261
2015-12-20,24261
2015-12-21,24261
2015-12-22,24261
2015-12-23,24261
2015-12-24,24261
2015-12-25,24261
2015-12-26,24261
2015-12-27,24261
2015-12-28,24261
2015-12-29,24261
2015-12-30,23062
2015-12-31,23062
2016-01-01,23062
2016-01-02,23062
2016-01-03,23062
2016-01-04,23062
2016-01-05,23062
2016-01-06,23062
2016-01-07,23062
2016-01-08,23062
2016-01-09,23062
2016-01-10,23062
2016-01-11,23062
2016-01-12,23062
2016-01-13,23062
2016-01-14,23062
2016-01-15,23062
2016-01-16,23062
2016-01-17,23062
2016-01-18,23062
2016-01-19,23062
2016-01-20,23062
2016-01-21,23062
2016-01-22,23062
2016-01-23,23062
2016-01-24,23062
2016-01-25,23062
2016-01-26,23062
2016-01-27,21915
2016-01-28,21915
2016-01-29,21915
2016-01-30,21915
2016-01-31,21915
2016-02-01,21915
2016-02-02,21915
2016-02-03,21915
2016-02-04,21915
2016-02-05,21915
2016-02-06,21915
2016-02-07,21915
2016-02-08,21915
2016-02-09,21915
2016-02-10,21915
2016-02-11,21915
2016-02-12,21915
2016-02-13,21915
2016-02-14,21915
2016-02-15,21915
2016-02-16,21915
2016-02-17,21915
2016-02-18,21915
2016-02-19,21915
2016-02-20,21915
2016-02-21,21915
2016-02-22,21915
2016-02-23,21915
2016-02-24,21915
2016-02-25,21915
2016-02-26,21915
2016-02-27,21915
2016-02-28,21915
2016-02-29,21915
2016-03-01,20830
2016-03-02,20830
2016-03-03,20830
2016-03-04,20830
2016-03-05,20830
2016-03-06,20830
2016-03-07,20830
2016-03-08,20830
2016-03-09,20830
2016-03-10,20830
2016-03-11,20830
2016-03-12,20830
2016-03-13,20830
2016-03-14,20830
2016-03-15,20830
2016-03-16,20830
2016-03-17,20830
2016-03-18,20830
2016-03-19,20830
2016-03-20,20830
2016-03-21,20830
2016-03-22,20830
2016-03-23,20830
2016-03-24,20830
2016-03-25,20830
2016-03-26,20830
2016-03-27,20830
2016-03-28,20830
2016-03-29,20830
2016-03-30,20830
2016-03-31,20830
2016-04-01,20830
2016-04-02,20830
2016-04-03,20830
2016-04-04,20830
2016-04-05,20830
2016-04-06,20830
2016-04-07,20830
2016-04-08,19812
2016-04-09,19812
2016-04-10,19812
2016-04-11,19812
2016-04-12,19812
2016-04-13,19812
2016-04-14,19812
2016-04-15,19812
2016-04-16,19812
2016-04-17,19812
2016-04-18,19812
2016-04-19,19812
2016-04-20,19812
2016-04-21,19812
2016-04-22,19812
2016-04-23,19812
2016-04-24,19812
2016-04-25,19812
2016-04-26,19812
2016-04-27,19812
2016-04-28,19812
2016-04-29,19812
2016-04-30,19812
2016-05-01,19812
