date_obj,Pineapple%20ring price
2015-03-26,91
2015-03-27,91
2015-03-28,91
2015-03-29,91
2015-03-30,91
2015-03-31,91
2015-04-01,91
2015-04-02,91
2015-04-03,91
2015-04-04,88
2015-04-05,88
2015-04-06,88
2015-04-07,88
2015-04-08,88
2015-04-09,88
2015-04-10,88
2015-04-11,88
2015-04-12,88
2015-04-13,88
2015-04-14,88
2015-04-15,88
2015-04-16,88
2015-04-17,88
2015-04-18,88
2015-04-19,88
2015-04-20,88
2015-04-21,88
2015-04-22,88
2015-04-23,88
2015-04-24,88
2015-04-25,88
2015-04-26,88
2015-04-27,88
2015-04-28,83
2015-04-29,83
2015-04-30,83
2015-05-01,83
2015-05-02,83
2015-05-03,83
2015-05-04,83
2015-05-05,83
2015-05-06,83
2015-05-07,83
2015-05-08,83
2015-05-09,83
2015-05-10,83
2015-05-11,83
2015-05-12,83
2015-05-13,83
2015-05-14,83
2015-05-15,83
2015-05-16,83
2015-05-17,83
2015-05-18,83
2015-05-19,83
2015-05-20,83
2015-05-21,83
2015-05-22,83
2015-05-23,83
2015-05-24,83
2015-05-25,83
2015-05-26,83
2015-05-27,83
2015-05-28,79
2015-05-29,79
2015-05-30,79
2015-05-31,79
2015-06-01,79
2015-06-02,79
2015-06-03,79
2015-06-04,79
2015-06-05,79
2015-06-06,79
2015-06-07,79
2015-06-08,79
2015-06-09,79
2015-06-10,79
2015-06-11,79
2015-06-12,79
2015-06-13,79
2015-06-14,79
2015-06-15,79
2015-06-16,79
2015-06-17,79
2015-06-18,79
2015-06-19,79
2015-06-20,79
2015-06-21,79
2015-06-22,79
2015-06-23,79
2015-06-24,79
2015-06-25,79
2015-06-26,79
2015-06-27,79
2015-06-28,79
2015-06-29,79
2015-06-30,79
2015-07-01,79
2015-07-02,79
2015-07-03,79
2015-07-04,79
2015-07-05,79
2015-07-06,79
2015-07-07,79
2015-07-08,79
2015-07-09,79
2015-07-10,79
2015-07-11,79
2015-07-12,79
2015-07-13,79
2015-07-14,79
2015-07-15,79
2015-07-16,79
2015-07-17,80
2015-07-18,80
2015-07-19,80
2015-07-20,80
2015-07-21,80
2015-07-22,80
2015-07-23,80
2015-07-24,80
2015-07-25,80
2015-07-26,80
2015-07-27,80
2015-07-28,80
2015-07-29,80
2015-07-30,80
2015-07-31,80
2015-08-01,80
2015-08-02,80
2015-08-03,80
2015-08-04,80
2015-08-05,80
2015-08-06,80
2015-08-07,80
2015-08-08,76
2015-08-09,76
2015-08-10,76
2015-08-11,76
2015-08-12,76
2015-08-13,76
2015-08-14,76
2015-08-15,76
2015-08-16,76
2015-08-17,76
2015-08-18,76
2015-08-19,76
2015-08-20,76
2015-08-21,76
2015-08-22,76
2015-08-23,76
2015-08-24,76
2015-08-25,76
2015-08-26,76
2015-08-27,76
2015-08-28,76
2015-08-29,76
2015-08-30,76
2015-08-31,76
2015-09-01,76
2015-09-02,76
2015-09-03,76
2015-09-04,76
2015-09-05,76
2015-09-06,76
2015-09-07,76
2015-09-08,76
2015-09-09,76
2015-09-10,76
2015-09-11,76
2015-09-12,76
2015-09-13,76
2015-09-14,76
2015-09-15,76
2015-09-16,76
2015-09-17,76
2015-09-18,76
2015-09-19,76
2015-09-20,76
2015-09-21,76
2015-09-22,76
2015-09-23,76
2015-09-24,76
2015-09-25,73
2015-09-27,73
2015-09-28,73
2015-09-29,73
2015-09-30,73
2015-10-05,73
2015-10-06,73
2015-10-07,73
2015-10-08,73
