date_obj,Gilded%20full%20helm price
2015-03-26,264956
2015-03-27,264956
2015-03-28,264956
2015-03-29,252174
2015-03-30,252174
2015-03-31,252174
2015-04-01,252174
2015-04-02,252174
2015-04-03,252174
2015-04-04,252174
2015-04-05,252174
2015-04-06,252174
2015-04-07,240124
2015-04-08,240124
2015-04-09,240124
2015-04-10,240124
2015-04-11,240124
2015-04-12,240124
2015-04-13,240124
2015-04-14,240124
2015-04-15,240124
2015-04-16,228615
2015-04-17,228615
2015-04-18,228615
2015-04-19,228615
2015-04-20,228615
2015-04-21,228615
2015-04-22,228615
2015-04-23,228615
2015-04-24,217644
2015-04-25,217644
2015-04-26,217644
2015-04-27,217644
2015-04-28,217644
2015-04-29,217644
2015-04-30,217644
2015-05-01,217644
2015-05-02,207024
2015-05-03,207024
2015-05-04,207024
2015-05-05,207024
2015-05-06,207024
2015-05-07,207024
2015-05-08,207024
2015-05-09,207024
2015-05-10,207024
2015-05-11,196965
2015-05-12,196965
2015-05-13,196965
2015-05-14,196965
2015-05-15,196965
2015-05-16,196965
2015-05-17,196965
2015-05-18,196965
2015-05-19,187452
2015-05-20,187452
2015-05-21,187452
2015-05-22,187452
2015-05-23,187452
2015-05-24,187452
2015-05-25,187452
2015-05-26,187452
2015-05-27,187452
2015-05-28,178079
2015-05-29,178079
2015-05-30,178079
2015-05-31,178079
2015-06-01,169421
2015-06-02,169421
2015-06-03,169421
2015-06-04,169421
2015-06-05,169421
2015-06-06,161436
2015-06-07,161436
2015-06-08,161436
2015-06-09,161436
2015-06-10,161436
2015-06-11,153589
2015-06-12,153589
2015-06-13,153589
2015-06-14,153589
2015-06-15,153589
2015-06-16,146234
2015-06-17,146234
2015-06-18,146234
2015-06-19,146234
2015-06-20,146234
2015-06-21,139152
2015-06-22,139152
2015-06-23,139152
2015-06-24,139152
2015-06-25,139152
2015-06-26,132194
2015-06-27,132194
2015-06-28,132194
2015-06-29,132194
2015-06-30,132194
2015-07-01,127558
2015-07-02,127558
2015-07-03,127558
2015-07-04,127558
2015-07-05,127558
2015-07-06,127558
2015-07-07,133478
2015-07-08,133478
2015-07-09,133478
2015-07-10,133478
2015-07-11,133478
2015-07-12,133478
2015-07-13,139971
2015-07-14,139971
2015-07-15,139971
2015-07-16,139971
2015-07-17,139971
2015-07-18,139971
2015-07-19,146065
2015-07-20,146065
2015-07-21,146065
2015-07-22,146065
2015-07-23,146065
2015-07-24,152385
2015-07-25,152385
2015-07-26,152385
2015-07-27,152385
2015-07-28,152385
2015-07-29,146915
2015-07-30,146915
2015-07-31,146915
2015-08-01,146915
2015-08-02,146915
2015-08-03,141216
2015-08-04,141216
2015-08-05,141216
2015-08-06,141216
2015-08-07,141216
2015-08-08,138489
2015-08-09,138489
2015-08-10,138489
2015-08-11,138489
2015-08-12,138489
2015-08-13,132688
2015-08-14,132688
2015-08-15,132688
2015-08-16,132688
2015-08-17,127213
