date_obj,Adamantite%20ore price
2015-03-26,1350
2015-03-27,1350
2015-03-28,1375
2015-03-29,1343
2015-03-30,1328
2015-03-31,1314
2015-04-01,1341
2015-04-02,1379
2015-04-03,1422
2015-04-04,1416
2015-04-05,1370
2015-04-06,1331
2015-04-07,1318
2015-04-08,1292
2015-04-09,1319
2015-04-10,1325
2015-04-11,1349
2015-04-12,1347
2015-04-13,1314
2015-04-14,1332
2015-04-15,1324
2015-04-16,1296
2015-04-17,1309
2015-04-18,1328
2015-04-19,1321
2015-04-20,1320
2015-04-21,1327
2015-04-22,1345
2015-04-23,1338
2015-04-24,1327
2015-04-25,1361
2015-04-26,1304
2015-04-27,1297
2015-04-28,1331
2015-04-29,1335
2015-04-30,1337
2015-05-01,1321
2015-05-02,1272
2015-05-03,1263
2015-05-04,1212
2015-05-05,1202
2015-05-06,1188
2015-05-07,1207
2015-05-08,1236
2015-05-09,1250
2015-05-10,1229
2015-05-11,1222
2015-05-12,1231
2015-05-13,1256
2015-05-14,1306
2015-05-15,1341
2015-05-16,1354
2015-05-17,1363
2015-05-18,1309
2015-05-19,1282
2015-05-20,1277
2015-05-21,1247
2015-05-22,1250
2015-05-23,1277
2015-05-24,1250
2015-05-25,1255
2015-05-26,1217
2015-05-27,1215
2015-05-28,1220
2015-05-29,1200
2015-05-30,1191
2015-05-31,1193
2015-06-01,1182
2015-06-02,1157
2015-06-03,1127
2015-06-04,1129
2015-06-05,1158
2015-06-06,1197
2015-06-07,1187
2015-06-08,1179
2015-06-09,1208
2015-06-10,1250
2015-06-11,1286
2015-06-12,1300
2015-06-13,1310
2015-06-14,1288
2015-06-15,1265
2015-06-16,1253
2015-06-17,1200
2015-06-18,1176
2015-06-19,1193
2015-06-20,1205
2015-06-21,1207
2015-06-22,1205
2015-06-23,1255
2015-06-24,1261
2015-06-25,1260
2015-06-26,1258
2015-06-27,1218
2015-06-28,1177
2015-06-29,1155
2015-06-30,1163
2015-07-01,1148
2015-07-02,1168
2015-07-03,1184
2015-07-04,1180
2015-07-05,1170
2015-07-06,1178
2015-07-07,1232
2015-07-08,1288
2015-07-09,1315
2015-07-10,1288
2015-07-11,1294
2015-07-12,1259
2015-07-13,1203
2015-07-14,1187
2015-07-15,1178
2015-07-16,1147
2015-07-17,1112
2015-07-18,1079
2015-07-19,1065
2015-07-20,1106
2015-07-21,1153
2015-07-22,1198
2015-07-23,1228
2015-07-24,1229
2015-07-25,1215
2015-07-26,1177
2015-07-27,1165
2015-07-28,1193
2015-07-29,1225
2015-07-30,1250
2015-07-31,1261
2015-08-01,1277
2015-08-02,1248
2015-08-03,1188
2015-08-04,1177
2015-08-05,1192
2015-08-06,1205
2015-08-07,1208
2015-08-08,1229
2015-08-09,1213
2015-08-10,1241
2015-08-11,1244
2015-08-12,1228
2015-08-13,1229
2015-08-14,1222
