date_obj,Calquat%20sapling price
2015-03-26,3137
2015-03-27,3137
2015-03-28,3137
2015-03-29,2998
2015-03-30,2998
2015-03-31,2998
2015-04-01,2998
2015-04-02,2998
2015-04-03,2998
2015-04-04,2998
2015-04-05,2998
2015-04-06,2998
2015-04-07,2998
2015-04-08,2998
2015-04-09,2998
2015-04-10,2998
2015-04-11,2998
2015-04-12,2877
2015-04-13,2877
2015-04-14,2877
2015-04-15,2877
2015-04-16,2877
2015-04-17,2877
2015-04-18,2877
2015-04-19,2877
2015-04-20,2877
2015-04-21,2877
2015-04-22,2877
2015-04-23,2877
2015-04-24,2757
2015-04-25,2757
2015-04-26,2757
2015-04-27,2757
2015-04-28,2757
2015-04-29,2757
2015-04-30,2757
2015-05-01,2757
2015-05-02,2757
2015-05-03,2757
2015-05-04,2757
2015-05-05,2757
2015-05-06,2757
2015-05-07,2624
2015-05-08,2624
2015-05-09,2624
2015-05-10,2624
2015-05-11,2624
2015-05-12,2624
2015-05-13,2624
2015-05-14,2624
2015-05-15,2624
2015-05-16,2624
2015-05-17,2624
2015-05-18,2624
2015-05-19,2624
2015-05-20,2624
2015-05-21,2539
2015-05-22,2539
2015-05-23,2539
2015-05-24,2539
2015-05-25,2539
2015-05-26,2539
2015-05-27,2539
2015-05-28,2539
2015-05-29,2539
2015-05-30,2466
2015-05-31,2466
2015-06-01,2466
2015-06-02,2466
2015-06-03,2466
2015-06-04,2466
2015-06-05,2466
2015-06-06,2466
2015-06-07,2360
2015-06-08,2360
2015-06-09,2360
2015-06-10,2360
2015-06-11,2360
2015-06-12,2360
2015-06-13,2360
2015-06-14,2360
2015-06-15,2360
2015-06-16,2360
2015-06-17,2244
2015-06-18,2244
2015-06-19,2244
2015-06-20,2244
2015-06-21,2244
2015-06-22,2244
2015-06-23,2244
2015-06-24,2244
2015-06-25,2134
2015-06-26,2134
2015-06-27,2134
2015-06-28,2134
2015-06-29,2134
2015-06-30,2134
2015-07-01,2134
2015-07-02,2134
2015-07-03,2030
2015-07-04,2030
2015-07-05,2030
2015-07-06,2030
2015-07-07,2030
2015-07-08,2030
2015-07-09,2030
2015-07-10,2030
2015-07-11,2030
2015-07-12,1930
2015-07-13,1930
2015-07-14,1930
2015-07-15,1930
2015-07-16,1930
2015-07-17,1930
2015-07-18,1930
2015-07-19,1930
2015-07-20,1834
2015-07-21,1834
2015-07-22,1834
2015-07-23,1834
