date_obj,Ahrim's%20robetop price
2015-03-26,243481
2015-03-27,243481
2015-03-28,242699
2015-03-29,240816
2015-03-30,234710
2015-03-31,227857
2015-04-01,232626
2015-04-02,238101
2015-04-03,248300
2015-04-04,260001
2015-04-05,270835
2015-04-06,281259
2015-04-07,284507
2015-04-08,277500
2015-04-09,279615
2015-04-10,281815
2015-04-11,274438
2015-04-12,266347
2015-04-13,265313
2015-04-14,270993
2015-04-15,267012
2015-04-16,260310
2015-04-17,254036
2015-04-18,246640
2015-04-19,241318
2015-04-20,239465
2015-04-21,237889
2015-04-22,237501
2015-04-23,231419
2015-04-24,227208
2015-04-25,223782
2015-04-26,223491
2015-04-27,224413
2015-04-28,218972
2015-04-29,218972
2015-04-30,219350
2015-05-01,229268
2015-05-02,240714
2015-05-03,247034
2015-05-04,251299
2015-05-05,245687
2015-05-06,239097
2015-05-07,231112
2015-05-08,226578
2015-05-09,222243
2015-05-10,220707
2015-05-11,216418
2015-05-12,222467
2015-05-13,226748
2015-05-14,232890
2015-05-15,236765
2015-05-16,242809
2015-05-17,246600
2015-05-18,245778
2015-05-19,243688
2015-05-20,243688
2015-05-21,238842
2015-05-22,234969
2015-05-23,232627
2015-05-24,237250
2015-05-25,239505
2015-05-26,240813
2015-05-27,250194
2015-05-28,261458
2015-05-29,271140
2015-05-30,277038
2015-05-31,286148
2015-06-01,298422
2015-06-02,291502
2015-06-03,284479
2015-06-04,281505
2015-06-05,283991
2015-06-06,287891
2015-06-07,290313
2015-06-08,284101
2015-06-09,279855
2015-06-10,282779
2015-06-11,282441
2015-06-12,282160
2015-06-13,275677
2015-06-14,273111
2015-06-15,273075
2015-06-16,275253
2015-06-17,284931
2015-06-18,296284
2015-06-19,310699
2015-06-20,325855
2015-06-21,341157
2015-06-22,354454
2015-06-23,358491
2015-06-24,370510
2015-06-25,375826
2015-06-26,384160
2015-06-27,401452
2015-06-28,407697
2015-06-29,421655
2015-06-30,435720
2015-07-01,436869
2015-07-02,444351
2015-07-03,453824
2015-07-04,453838
2015-07-05,460408
2015-07-06,451985
2015-07-07,442440
2015-07-08,437357
2015-07-09,432284
2015-07-10,424904
2015-07-11,422363
2015-07-12,428294
2015-07-13,433364
2015-07-14,423839
2015-07-15,421612
2015-07-16,424522
2015-07-17,420705
2015-07-18,414189
2015-07-19,404774
2015-07-20,396266
2015-07-21,391929
2015-07-22,383717
2015-07-23,371029
2015-07-24,362204
2015-07-25,354342
2015-07-26,357457
2015-07-27,360837
2015-07-28,361324
2015-07-29,354885
2015-07-30,349388
2015-07-31,346936
2015-08-01,345863
2015-08-02,356403
2015-08-03,367219
2015-08-04,367510
2015-08-05,374615
2015-08-06,382152
2015-08-07,393574
2015-08-08,402324
2015-08-09,417138
2015-08-10,411130
2015-08-11,403451
2015-08-12,407990
2015-08-13,415739
2015-08-14,431621
2015-08-15,423503
2015-08-16,417684
2015-08-17,438209
2015-08-18,446423
2015-08-19,444962
2015-08-20,446478
2015-08-21,467107
2015-08-22,482062
2015-08-23,467735
2015-08-24,452920
2015-08-25,435175
2015-08-26,428888
2015-08-27,431059
2015-08-28,425888
2015-08-29,412343
2015-08-30,399179
2015-08-31,396561
2015-09-01,396007
2015-09-02,395131
2015-09-03,387174
2015-09-04,375742
2015-09-05,375924
2015-09-06,392480
2015-09-07,410012
2015-09-08,413077
2015-09-09,392423
2015-09-10,376277
2015-09-11,368149
2015-09-12,383469
2015-09-13,395501
2015-09-14,392423
2015-09-15,386473
2015-09-16,385324
2015-09-17,388068
2015-09-18,392685
2015-09-19,398298
2015-09-20,406785
2015-09-21,398549
2015-09-22,391099
2015-09-23,385590
2015-09-24,389943
2015-09-25,386595
2015-09-27,395908
2015-09-28,414251
2015-09-29,434964
2015-09-30,456602
2015-10-05,505247
2015-10-06,496616
2015-10-07,488080
2015-10-08,510328
2015-10-09,535491
2015-10-10,562266
2015-10-11,579875
2015-10-12,556292
2015-10-13,533482
2015-10-14,516339
2015-10-15,499700
2015-10-16,475222
2015-10-17,451460
2015-10-18,430215
2015-10-19,413155
2015-10-20,394821
2015-10-22,398766
2015-10-23,401193
2015-10-24,415700
2015-10-25,427422
2015-10-26,425255
2015-10-27,420992
2015-10-28,413922
2015-10-29,394622
2015-10-30,396642
2015-10-31,395064
2015-11-01,409408
2015-11-02,402967
2015-11-03,399087
2015-11-04,386498
2015-11-05,390785
2015-11-06,392411
2015-11-07,397725
2015-11-08,404376
2015-11-09,412767
2015-11-10,424729
2015-11-11,412877
2015-11-12,403631
2015-11-13,400040
2015-11-14,387406
2015-11-15,388844
2015-11-16,390047
2015-11-17,385728
2015-11-18,376218
2015-11-19,376015
2015-11-20,391171
2015-11-21,406263
2015-11-22,417568
2015-11-23,416038
2015-11-24,420106
2015-11-25,424501
2015-11-26,433356
2015-11-27,443915
2015-11-28,433003
2015-11-29,430767
2015-11-30,443548
2015-12-01,434530
2015-12-02,429982
2015-12-03,431419
2015-12-04,445910
2015-12-05,445598
2015-12-06,444072
2015-12-07,455038
2015-12-08,472048
2015-12-09,494895
2015-12-10,518887
2015-12-11,543568
2015-12-12,564400
2015-12-13,592267
2015-12-14,617571
2015-12-15,646172
2015-12-16,644538
2015-12-17,632737
2015-12-18,629514
2015-12-19,621925
2015-12-20,638077
2015-12-21,644352
2015-12-22,647099
2015-12-23,652671
2015-12-24,663911
2015-12-25,696942
2015-12-26,729675
2015-12-27,745544
2015-12-28,721461
2015-12-29,713904
2015-12-30,693580
2015-12-31,689474
2016-01-01,704260
2016-01-02,709840
2016-01-03,728297
2016-01-04,723151
2016-01-05,704825
2016-01-06,693230
2016-01-07,698209
2016-01-08,725625
2016-01-09,761562
2016-01-10,761776
2016-01-11,756080
2016-01-12,752650
2016-01-13,753104
2016-01-14,786795
2016-01-15,817487
2016-01-16,824235
2016-01-17,815579
2016-01-18,788310
2016-01-19,798829
2016-01-20,822899
2016-01-21,789519
2016-01-22,776586
2016-01-23,758848
2016-01-24,753034
2016-01-25,771266
2016-01-26,793546
2016-01-27,797506
2016-01-28,781845
2016-01-29,751952
2016-01-30,764211
2016-01-31,768383
2016-02-01,787728
2016-02-02,786312
2016-02-03,768098
2016-02-04,745673
2016-02-05,738773
2016-02-06,734192
2016-02-07,731492
2016-02-08,729444
2016-02-09,723769
2016-02-10,724398
2016-02-11,711347
2016-02-12,702934
2016-02-13,711203
2016-02-14,712187
2016-02-15,709741
2016-02-16,714295
2016-02-17,719351
2016-02-18,721568
2016-02-19,722679
2016-02-20,698428
2016-02-21,691512
2016-02-22,685199
2016-02-23,678361
2016-02-24,671119
2016-02-25,670664
2016-02-26,674237
2016-02-27,675869
2016-02-28,669252
2016-02-29,669695
2016-03-01,663242
2016-03-02,666667
2016-03-03,678614
2016-03-04,704626
2016-03-05,697696
2016-03-06,724510
2016-03-07,741290
2016-03-08,738744
2016-03-09,745759
2016-03-10,737642
2016-03-11,735701
2016-03-12,769783
2016-03-13,808156
2016-03-14,811595
2016-03-15,794022
2016-03-16,801792
2016-03-17,784620
2016-03-18,783814
2016-03-19,791857
2016-03-20,799359
2016-03-21,805877
2016-03-22,801304
2016-03-23,805153
2016-03-24,841083
2016-03-25,874884
2016-03-26,914761
2016-03-27,934781
2016-03-28,932382
2016-03-29,906514
2016-03-30,861188
2016-03-31,818423
2016-04-01,800282
2016-04-02,788212
2016-04-03,768689
2016-04-04,787208
2016-04-05,797785
2016-04-06,805831
2016-04-07,823792
2016-04-08,832323
2016-04-09,869673
2016-04-10,877926
2016-04-11,903538
2016-04-12,883364
2016-04-13,884721
2016-04-14,880484
2016-04-15,923977
2016-04-16,970124
2016-04-17,1018219
2016-04-18,1029866
2016-04-19,1045768
2016-04-20,1038031
2016-04-21,998590
2016-04-22,963852
2016-04-23,946268
2016-04-24,935343
2016-04-25,948897
2016-04-26,956389
2016-04-27,944096
2016-04-28,935471
2016-04-29,939637
2016-04-30,970472
2016-05-01,1016479
2016-05-02,1059092
2016-05-03,1111982
2016-05-04,1162972
2016-05-05,1186834
2016-05-06,1177986
2016-05-07,1123508
2016-05-08,1067332
2016-05-09,1021642
2016-05-10,981218
2016-05-11,1006539
2016-05-12,1050595
2016-05-13,1020786
2016-05-14,980823
2016-05-15,961922
2016-05-16,960071
2016-05-17,960501
2016-05-18,930831
2016-05-19,885475
2016-05-22,837512
2016-05-23,837644
2016-05-24,849433
2016-05-25,861857
2016-05-26,860938
2016-05-27,863274
2016-05-28,899723
2016-05-29,893494
2016-05-30,886583
2016-05-31,878426
2016-06-01,877526
2016-06-02,872802
2016-06-03,892313
2016-06-04,916432
2016-06-05,950874
2016-06-06,935988
2016-06-07,909095
2016-06-08,889182
2016-06-09,897898
2016-06-10,927569
2016-06-11,943492
2016-06-12,954521
2016-06-13,940883
2016-06-14,944507
2016-06-15,983660
2016-06-16,952045
2016-06-17,951983
2016-06-18,974425
2016-06-19,1002516
2016-06-20,1050892
2016-06-21,1034116
2016-06-22,983478
2016-06-23,961580
2016-06-24,946598
2016-06-25,960240
2016-06-26,972618
2016-06-27,954406
2016-06-28,929246
2016-06-29,895262
2016-06-30,906273
2016-07-01,906601
2016-07-02,929929
2016-07-03,935049
2016-07-04,978817
2016-07-05,971510
2016-07-06,974030
2016-07-07,957187
2016-07-08,952994
2016-07-09,983709
2016-07-10,988521
2016-07-11,978600
2016-07-12,968090
2016-07-13,931362
2016-07-14,928778
2016-07-15,902857
2016-07-16,904911
2016-07-17,903816
2016-07-18,902052
2016-07-23,846841
2016-07-24,827698
2016-07-25,816342
2016-07-26,832292
2016-07-27,873790
2016-07-28,905050
2016-07-29,901368
2016-07-30,938485
2016-07-31,985410
2016-08-01,1013215
2016-08-02,1063143
2016-08-03,1092571
2016-08-04,1110363
2016-08-05,1107092
2016-08-06,1057758
2016-08-07,1084842
2016-08-08,1036252
2016-08-09,1035750
2016-08-10,1042323
2016-08-11,1079010
2016-08-12,1059812
2016-08-13,1077493
2016-08-14,1108171
2016-08-15,1090735
2016-08-16,1082713
2016-08-17,1050475
2016-08-18,1002843
2016-08-19,1006114
2016-08-20,1028915
2016-08-21,989270
2016-08-22,970972
2016-08-23,950237
2016-08-24,939517
2016-08-25,925977
2016-08-26,916678
2016-08-28,846787
2016-08-31,818318
2016-09-01,779383
2016-09-02,741753
2016-09-03,741890
2016-09-04,731880
2016-09-05,746459
2016-09-06,761144
2016-09-07,753841
2016-09-08,750934
2016-09-09,745333
2016-09-10,754582
2016-09-11,792296
2016-09-12,775582
2016-09-13,756786
2016-09-14,722215
2016-09-15,690101
2016-09-16,708624
2016-09-17,731339
2016-09-18,725396
2016-09-19,728521
2016-09-20,754051
2016-09-21,752864
2016-09-22,789910
2016-09-23,805611
2016-09-24,838110
2016-09-25,877958
2016-09-26,856054
2016-09-27,883872
2016-09-28,911260
2016-09-29,926455
2016-09-30,940860
2016-10-01,957358
2016-10-02,959460
2016-10-03,971551
2016-10-04,996390
2016-10-05,1025119
2016-10-06,1066399
2016-10-07,1078335
2016-10-08,1039201
2016-10-09,1012015
2016-10-10,975588
2016-10-11,942023
2016-10-12,922118
2016-10-13,938244
2016-10-14,974053
2016-10-15,1016587
2016-10-16,1067364
2016-10-17,1120678
2016-10-18,1176712
2016-10-19,1233229
2016-10-20,1266410
2016-10-21,1286315
2016-10-22,1344537
2016-10-23,1410791
2016-10-24,1378725
2016-10-25,1348634
2016-10-26,1330955
2016-10-27,1282272
2016-10-28,1252208
2016-10-29,1264715
2016-10-30,1269293
2016-10-31,1254688
2016-11-01,1248515
2016-11-02,1220172
2016-11-03,1226481
2016-11-04,1259520
2016-11-05,1243338
2016-11-06,1298576
2016-11-07,1325391
2016-11-08,1298804
2016-11-09,1252877
2016-11-10,1197060
2016-11-11,1141589
2016-11-12,1098306
2016-11-13,1061679
2016-11-14,1083000
2016-11-15,1105255
2016-12-07,1454505
2016-12-08,1462562
2016-12-09,1428077
2016-12-10,1420206
2016-12-11,1440962
2016-12-12,1422557
2016-12-13,1415274
2016-12-14,1479014
2016-12-15,1523140
2016-12-16,1574535
2016-12-17,1593030
2016-12-18,1615097
2016-12-19,1646785
2016-12-20,1691518
