date_obj,Hood%20of%20darkness price
2016-07-06,10000000
2016-07-07,9511178
2016-07-08,9511178
2016-07-09,9035619
2016-07-10,8583838
2016-07-11,8159428
2016-07-12,8159428
2016-07-13,7758614
2016-07-14,7758614
2016-07-15,7376370
2016-07-16,7376370
2016-07-17,7009851
2016-07-18,7009851
2016-07-23,6018415
2016-07-24,6018415
2016-07-25,5721238
2016-07-26,5721238
2016-07-27,5721238
2016-07-28,5438415
2016-07-29,5438415
2016-07-30,5168392
2016-07-31,5168392
2016-08-01,5168392
2016-08-02,5168392
2016-08-03,4912697
2016-08-04,4912697
2016-08-05,4912697
2016-08-06,4912697
2016-08-07,4667062
2016-08-08,4667062
2016-08-09,4667062
2016-08-10,4667062
2016-08-11,4667062
2016-08-12,4434622
2016-08-13,4434622
2016-08-14,4434622
2016-08-15,4434622
2016-08-16,4434622
2016-08-17,4214951
2016-08-18,4214951
2016-08-19,4214951
2016-08-20,4214951
2016-08-21,4006002
2016-08-22,4006002
2016-08-23,4006002
2016-08-24,4006002
2016-08-25,4006002
2016-08-26,4006002
2016-08-28,3807608
2016-08-31,3619479
2016-09-01,3619479
2016-09-02,3619479
2016-09-03,3439478
2016-09-04,3439478
2016-09-05,3271572
2016-09-06,3271572
2016-09-07,3271572
2016-09-08,3109800
2016-09-09,3109800
2016-09-10,3109800
2016-09-11,2959354
2016-09-12,2959354
2016-09-13,2959354
2016-09-14,2959354
2016-09-15,2814013
2016-09-16,2814013
2016-09-17,2814013
2016-09-18,2814013
2016-09-19,2814013
2016-09-20,2675678
2016-09-21,2675678
2016-09-22,2675678
2016-09-23,2675678
2016-09-24,2675678
2016-09-25,2544302
2016-09-26,2544302
2016-09-27,2544302
2016-09-28,2544302
2016-09-29,2544302
2016-09-30,2419017
2016-10-01,2419017
2016-10-02,2419017
2016-10-03,2419017
2016-10-04,2299045
2016-10-05,2299045
2016-10-06,2299045
2016-10-07,2299045
2016-10-08,2184730
2016-10-09,2184730
2016-10-10,2184730
2016-10-11,2184730
2016-10-12,2184730
2016-10-13,2078343
2016-10-14,2078343
2016-10-15,2078343
2016-10-16,2078343
2016-10-17,1976127
2016-10-18,1976127
2016-10-19,1976127
2016-10-20,1976127
2016-10-21,1976127
2016-10-22,1879589
2016-10-23,1879589
2016-10-24,1879589
2016-10-25,1879589
2016-10-26,1786301
2016-10-27,1786301
2016-10-28,1786301
2016-10-29,1786301
2016-10-30,1786301
2016-10-31,1697947
2016-11-01,1697947
2016-11-02,1697947
2016-11-03,1697947
2016-11-04,1697947
2016-11-05,1697947
2016-11-06,1613873
2016-11-07,1613873
2016-11-08,1613873
2016-11-09,1613873
2016-11-10,1613873
2016-11-11,1534027
2016-11-12,1534027
2016-11-13,1534027
2016-11-14,1534027
2016-11-15,1534027
2016-12-07,1191558
2016-12-08,1191558
2016-12-09,1191558
2016-12-10,1191558
2016-12-11,1191558
2016-12-12,1133178
2016-12-13,1133178
2016-12-14,1133178
2016-12-15,1133178
2016-12-16,1133178
2016-12-17,1133178
2016-12-18,1077074
2016-12-19,1077074
2016-12-20,1077074
2016-12-21,1077074
2016-12-22,1077074
2016-12-23,1023884
2016-12-24,1023884
2016-12-25,1023884
2016-12-26,1023884
2016-12-27,1023884
2016-12-28,974358
2016-12-29,974358
2016-12-30,974358
2016-12-31,974358
2017-01-01,974358
2017-01-02,926528
2017-01-03,926528
2017-01-04,926528
2017-01-05,926528
2017-01-06,881691
2017-01-07,881691
2017-01-08,881691
2017-01-09,881691
2017-01-10,838453
2017-01-11,838453
2017-01-12,838453
2017-01-13,838453
2017-01-14,797015
2017-01-15,797015
2017-01-16,797015
2017-01-17,758625
2017-01-18,758625
2017-01-19,758625
2017-01-20,758625
2017-01-21,721636
2017-01-22,721636
2017-01-23,721636
2017-01-27,686123
2017-01-28,686123
2017-01-29,652868
2017-01-30,652868
2017-01-31,652868
2017-02-01,652868
2017-02-02,620855
2017-02-03,620855
2017-02-04,620855
2017-02-05,620855
2017-02-06,590550
2017-02-07,590550
2017-02-08,590550
2017-02-09,590550
2017-02-10,561576
2017-02-11,561576
2017-02-12,561576
2017-02-13,561576
2017-02-14,533656
2017-02-15,533656
2017-02-16,533656
2017-02-18,507879
2017-02-19,507879
2017-02-20,507879
2017-02-21,507879
2017-02-22,507879
2017-02-23,483523
2017-02-24,483523
2017-02-25,483523
2017-02-26,483523
2017-02-27,483523
2017-02-28,459608
2017-03-01,459608
2017-03-02,459608
2017-03-03,459608
2017-03-04,459608
2017-03-05,437080
2017-03-06,437080
2017-03-07,437080
2017-03-08,437080
2017-03-09,437080
2017-03-10,415226
2017-03-11,415226
2017-03-12,415226
2017-03-13,415226
2017-03-14,394830
2017-03-15,394830
2017-03-16,394830
2017-03-17,394830
